Datetime,Open,High,Low,Close,Volume
2019-05-28,7.48,7.63,7.34,7.51,251630
2019-05-29,7.51,7.51,7.24,7.27,41670
2019-05-30,7.3,7.34,7.12,7.16,67830
2019-06-03,6.86,7.0,6.51,6.86,17690
2019-06-10,6.34,6.53,6.04,6.08,62450
2019-06-11,6.0,6.12,5.93,6.08,36000
2019-06-12,6.15,6.32,6.09,6.12,71850
2019-06-13,6.08,6.1,6.0,6.06,56900
2019-06-14,5.98,6.1,5.9,5.93,92080
2019-06-17,5.83,5.87,5.44,5.49,80150
2019-06-18,5.47,5.47,4.6,5.03,1344290
2019-06-19,5.13,5.16,4.64,4.68,171830
2019-06-20,4.5,4.8,4.32,4.64,187890
2019-06-21,4.7,4.97,4.7,4.81,82830
2019-06-24,4.93,5.73,4.93,5.61,390220
2019-06-25,5.66,5.69,4.49,5.01,729080
2019-06-26,4.89,5.3,4.88,5.17,1001630
2019-06-27,5.24,5.42,5.23,5.36,272680
2019-06-28,5.37,5.37,5.07,5.13,69960
2019-07-01,5.23,5.23,5.05,5.09,46890
2019-07-02,5.19,5.47,5.1,5.37,93390
2019-07-03,5.37,5.82,5.3,5.62,171860
2019-07-04,5.42,5.77,5.42,5.46,37010
2019-07-05,5.44,5.6,5.38,5.42,60930
2019-07-08,5.45,5.49,5.14,5.25,172710
2019-07-09,5.18,5.24,4.84,4.94,59940
2019-07-10,4.89,5.1,4.89,4.94,54890
2019-07-11,5.16,5.3,5.06,5.14,115400
2019-07-12,5.15,5.18,5.07,5.12,20010
2019-07-15,5.2,5.21,4.61,4.9,71760
2019-07-16,4.93,5.17,4.93,5.04,56570
2019-07-17,4.95,5.05,4.93,4.97,65250
2019-07-18,4.89,5.0,4.83,4.87,39280
2019-07-19,4.89,4.89,4.55,4.68,40480
2019-07-22,4.79,4.79,4.54,4.56,55620
2019-07-23,4.35,4.63,4.12,4.51,35700
2019-07-24,4.53,4.53,4.37,4.4,32250
2019-07-25,4.2,5.19,4.09,4.97,122160
2019-07-26,5.17,5.3,4.85,4.95,109120
2019-07-29,4.81,4.89,4.51,4.7,380710
2019-07-30,4.7,4.7,4.41,4.55,26560
2019-07-31,4.51,4.51,4.35,4.45,52500
2019-08-01,4.45,4.65,4.18,4.26,53810
2019-08-02,4.37,5.12,4.36,5.09,813090
2019-08-05,5.07,5.07,4.72,4.81,170460
2019-08-06,4.88,4.93,4.41,4.54,94420
2019-08-07,4.85,4.85,4.47,4.56,44690
2019-08-08,4.15,4.62,4.15,4.47,43450
2019-08-09,4.56,4.69,4.45,4.51,98100
2019-08-13,4.71,5.25,4.62,4.71,242540
2019-08-14,4.88,4.98,4.61,4.72,49250
2019-08-16,4.66,4.74,4.57,4.58,70950
2019-08-19,4.63,4.67,4.54,4.56,924140
2019-08-20,4.7,4.7,4.4,4.43,38950
2019-08-21,4.44,4.54,4.15,4.41,325500
2019-08-22,4.34,4.34,4.12,4.17,927600
2019-08-23,4.07,4.35,4.07,4.26,33970
2019-08-26,4.45,4.5,4.3,4.45,37590
2019-08-27,4.56,4.7,4.5,4.55,26660
2019-08-28,4.65,5.06,4.64,4.81,155440
2019-08-29,4.8,4.8,4.55,4.63,23660
2019-08-30,4.6,4.61,4.55,4.61,13400
2019-09-03,4.4,4.57,4.3,4.42,39280
2019-09-04,4.41,4.57,4.33,4.43,18400
2019-09-05,4.39,4.7,4.38,4.55,123780
2019-09-06,4.65,5.18,4.62,4.89,109420
2019-09-11,5.27,5.57,5.27,5.41,93220
2019-09-12,5.59,5.76,5.26,5.37,149850
2019-09-13,5.36,5.43,5.14,5.17,31270
2019-09-16,5.2,5.41,5.14,5.19,71470
2019-09-17,5.3,5.34,5.1,5.13,44590
2019-09-18,5.21,5.21,4.96,5.04,93730
2019-09-19,4.97,4.97,4.77,4.82,58480
2019-09-20,4.9,5.35,4.76,5.12,109720
2019-09-23,5.35,5.68,5.2,5.35,111660
2019-09-24,5.45,5.45,5.07,5.12,56670
2019-09-25,5.04,5.07,4.86,4.87,49250
2019-09-26,4.9,5.31,4.46,5.06,149020
2019-09-27,4.99,5.25,4.97,5.09,194450
2019-09-30,5.19,5.22,4.82,4.99,98000
2019-10-01,5.03,5.03,4.36,4.56,164350
2019-10-03,4.5,4.68,4.3,4.44,84720
2019-10-04,4.56,4.63,4.47,4.51,33800
2019-10-07,4.51,4.55,4.38,4.41,124000
2019-10-09,4.43,4.51,4.39,4.43,57340
2019-10-10,4.4,4.51,4.35,4.38,24220
2019-10-11,4.42,4.5,4.29,4.43,78550
2019-10-14,4.54,5.31,4.14,4.31,622030
2019-10-15,4.42,4.76,3.93,3.99,1634890
2019-10-16,4.07,4.16,3.5,3.57,276730
2019-10-17,3.65,3.88,3.39,3.62,212710
2019-10-18,3.68,3.8,3.46,3.52,240990
2019-10-22,3.5,4.08,3.41,3.92,248510
2019-10-23,4.01,4.22,3.93,4.0,108830
2019-10-24,4.1,4.2,3.99,4.06,112040
2019-10-25,4.11,4.18,4.05,4.11,41530
2019-10-29,4.14,4.2,4.07,4.1,44450
2019-10-30,4.13,4.43,4.13,4.22,104910
2019-10-31,4.3,4.31,4.14,4.16,71390
2019-11-01,4.11,4.19,3.96,4.03,103540
2019-11-04,4.06,4.42,3.99,4.29,176290
2019-11-05,4.34,4.44,4.22,4.26,129730
2019-11-06,4.27,4.27,4.1,4.13,59510
2019-11-07,4.11,4.2,3.97,4.03,217320
2019-11-08,4.05,4.1,3.92,3.94,103680
2019-11-13,4.26,4.28,4.05,4.1,56430
2019-11-14,4.07,4.11,4.0,4.07,52480
2019-11-15,4.0,4.01,3.82,3.84,209890
2019-11-18,3.91,3.98,3.86,3.93,69860
2019-11-19,3.9,3.91,3.81,3.88,12040
2019-11-20,3.85,3.9,3.81,3.85,86340
2019-11-21,3.89,3.89,3.74,3.75,32970
2019-11-22,3.8,3.83,3.75,3.77,84490
2019-11-25,3.81,3.83,3.79,3.81,41370
2019-11-26,3.84,3.85,3.7,3.72,46210
2019-11-27,3.75,3.8,3.72,3.72,24830
2019-11-28,3.75,3.77,3.67,3.7,31150
2019-11-29,3.68,3.83,3.6,3.65,15100
2019-12-02,3.64,3.65,3.45,3.48,78040
2019-12-03,3.43,3.74,3.36,3.62,51580
2019-12-04,3.62,3.62,3.53,3.56,13300
2019-12-05,3.59,3.59,3.42,3.45,42730
2019-12-06,3.44,3.55,3.4,3.5,21690
2019-12-09,3.5,3.68,3.49,3.52,76880
2019-12-10,3.5,3.55,3.45,3.51,36860
2019-12-11,3.47,4.21,3.46,4.18,337750
2019-12-12,4.3,4.45,3.92,3.97,325650
2019-12-13,3.98,3.99,3.79,3.81,118550
2019-12-16,3.8,4.25,3.77,3.89,227640
2019-12-17,3.97,4.07,3.87,3.88,49840
2019-12-18,3.99,4.18,3.99,4.03,101780
2019-12-19,4.09,4.09,3.96,3.97,28590
2019-12-20,3.96,4.1,3.94,4.0,69150
2019-12-23,3.85,4.18,3.85,4.07,43800
2019-12-24,4.1,4.26,4.05,4.18,139560
2019-12-26,4.34,4.85,4.34,4.76,741930
2019-12-27,4.7,5.71,4.68,5.66,1174740
2019-12-30,5.8,6.23,5.78,6.22,836040
2019-12-31,6.2,6.2,5.6,5.7,326920
2020-01-01,5.67,5.95,5.59,5.7,116590
2020-01-02,5.83,6.07,5.52,5.63,66990
2020-01-03,5.78,5.92,5.62,5.76,103930
2020-01-06,5.76,5.76,5.24,5.39,57250
2020-01-07,5.7,5.78,5.6,5.68,93630
2020-01-08,5.74,5.77,5.5,5.57,21930
2020-01-09,5.7,6.13,5.7,5.95,148380
2020-01-10,6.11,6.54,6.11,6.54,259410
2020-01-13,6.75,7.14,6.51,6.8,278100
2020-01-14,6.72,6.76,6.51,6.62,45930
2020-01-15,6.85,7.28,6.47,7.28,98650
2020-01-16,7.38,7.64,7.38,7.64,129100
2020-01-17,7.99,8.02,7.32,7.71,316060
2020-01-20,7.88,8.1,7.72,7.99,178890
