Datetime,Open,High,Low,Close,Volume
2019-05-28,52.0,54.0,50.45,50.6,6154
2019-05-29,51.8,52.0,50.1,50.1,590
2019-05-30,50.3,50.3,48.75,49.4,2630
2019-06-03,47.55,48.5,45.0,46.1,2159
2019-06-10,45.35,45.35,43.4,43.95,672
2019-06-11,44.0,45.0,43.75,43.75,3328
2019-06-12,43.5,43.5,42.75,43.0,1185
2019-06-13,42.1,42.45,40.45,42.2,4349
2019-06-14,43.3,43.45,40.25,42.0,3848
2019-06-17,41.75,43.0,41.2,42.05,6063
2019-06-18,42.9,49.0,42.9,47.7,38444
2019-06-19,47.5,49.25,44.6,46.85,17010
2019-06-20,46.35,47.0,46.3,46.4,1194
2019-06-21,45.4,47.65,44.15,47.2,1842
2019-06-24,47.2,48.95,45.35,46.9,6812
2019-06-25,46.0,46.55,44.0,45.9,6442
2019-06-26,45.0,47.5,45.0,46.2,4668
2019-06-27,47.5,48.5,46.95,47.6,12879
2019-06-28,46.15,48.95,46.15,48.0,14249
2019-07-01,48.0,48.45,47.5,47.5,1687
2019-07-02,47.7,48.4,47.7,48.0,1270
2019-07-03,48.4,49.05,48.4,48.65,3584
2019-07-04,48.6,48.6,48.05,48.05,3524
2019-07-05,47.7,49.05,47.7,48.45,1117
2019-07-08,47.15,47.55,46.55,46.9,1446
2019-07-09,47.2,49.6,47.2,47.45,7533
2019-07-10,47.25,47.3,46.7,46.8,1882
2019-07-11,47.05,48.2,46.9,47.0,1126
2019-07-12,47.6,48.55,46.65,47.15,543
2019-07-15,47.25,47.25,45.25,46.0,1138
2019-07-16,45.8,45.8,45.2,45.2,3400
2019-07-17,45.9,47.6,45.6,46.65,806
2019-07-18,45.1,46.05,45.1,45.5,1104
2019-07-19,45.3,46.4,44.9,45.85,2229
2019-07-22,45.4,45.5,44.55,45.25,1373
2019-07-23,45.65,45.65,45.0,45.2,2078
2019-07-24,44.2,46.05,44.0,44.35,344
2019-07-25,43.6,47.5,38.55,39.65,23217
2019-07-26,39.8,40.2,39.25,39.35,4788
2019-07-29,39.35,41.0,37.6,37.65,1877
2019-07-30,37.6,38.35,34.05,34.75,6741
2019-07-31,34.25,36.8,32.15,36.6,3214
2019-08-01,36.35,36.35,34.6,35.3,1211
2019-08-02,34.15,37.5,33.55,36.05,2462
2019-08-05,34.2,35.8,34.1,35.7,512
2019-08-06,35.35,37.45,35.35,37.05,265
2019-08-07,36.85,38.05,36.45,36.65,375
