Datetime,Open,High,Low,Close,Volume
2019-05-28,63.1,64.25,63.05,63.5,1620
2019-05-29,69.65,69.65,61.6,64.8,399
2019-05-30,68.4,68.4,64.95,65.75,1130
2019-06-03,63.5,66.5,63.0,63.0,250
2019-06-10,58.2,63.9,58.2,63.9,380
2019-06-12,59.2,63.0,59.2,59.95,80
2019-06-13,58.3,60.0,58.25,58.35,125
2019-06-14,58.35,61.95,58.0,59.5,921
2019-06-17,63.95,63.95,59.0,59.5,900
2019-06-21,58.0,58.0,58.0,58.0,325
2019-06-24,55.75,60.0,55.75,60.0,174
2019-06-25,58.3,58.3,58.3,58.3,6
2019-06-26,57.7,57.7,57.7,57.7,15
2019-06-28,65.0,65.0,56.9,61.0,604
2019-07-01,59.0,59.0,57.75,57.75,148
2019-07-02,57.5,58.1,57.5,58.1,200
2019-07-03,60.9,62.35,60.9,62.0,58
2019-07-04,58.5,63.95,58.5,63.0,130
2019-07-11,62.0,64.0,61.0,62.5,576
2019-07-16,55.3,58.0,55.3,57.85,142
2019-07-17,61.95,61.95,57.0,60.0,192
2019-07-18,56.1,56.1,56.0,56.0,200
2019-07-19,55.55,60.0,55.5,60.0,160
2019-07-23,63.0,63.0,63.0,63.0,1
2019-07-24,55.1,55.1,55.1,55.1,1
2019-07-29,55.1,55.1,54.0,54.0,710
2019-07-30,51.55,56.0,51.5,56.0,740
2019-07-31,59.8,59.8,56.0,57.25,30
2019-08-01,58.0,58.0,58.0,58.0,61
2019-08-02,56.0,56.0,56.0,56.0,9
2019-08-05,50.2,59.9,50.2,59.9,53
2019-08-07,57.0,59.0,56.95,59.0,778
2019-08-08,56.05,58.5,56.05,57.8,690
2019-08-09,55.0,57.4,54.95,56.4,810
2019-08-13,54.1,54.1,54.0,54.0,360
2019-08-14,54.0,55.95,51.65,54.25,138
2019-08-16,52.1,55.15,51.8,54.2,1971
2019-08-19,54.2,56.9,52.1,54.2,268
2019-08-20,56.0,56.65,56.0,56.45,110
2019-08-21,57.95,58.0,54.0,57.8,151
2019-08-22,55.0,55.0,55.0,55.0,99
2019-08-23,57.75,57.75,57.7,57.75,122
2019-08-26,55.0,59.0,55.0,58.85,1233
2019-08-27,59.95,61.65,56.1,56.35,21610
2019-08-28,54.6,54.6,53.65,54.25,500
2019-08-29,54.25,54.25,54.25,54.25,3800
2019-08-30,51.85,56.0,51.85,56.0,12
