Datetime,Open,High,Low,Close,Volume
2019-05-28,135.0,145.0,132.1,145.0,372
2019-05-29,140.0,140.0,132.0,132.8,529
2019-05-30,132.8,132.8,128.0,128.3,331
2019-06-03,123.0,129.95,110.0,115.85,1889
2019-06-10,115.5,115.5,106.1,110.0,149
2019-06-11,110.0,110.0,107.3,110.0,103
2019-06-12,108.0,111.0,105.0,106.25,609
2019-06-13,107.0,109.9,107.0,109.9,2
2019-06-14,104.0,104.0,100.0,102.5,126
2019-06-17,98.0,100.0,90.0,99.85,2203
2019-06-18,100.0,102.05,100.0,102.05,32
2019-06-19,98.0,102.05,96.0,96.75,323
2019-06-20,98.0,109.9,98.0,108.85,1652
2019-06-21,104.5,104.5,95.05,98.75,114
2019-06-24,99.0,101.95,96.05,97.65,310
2019-06-25,97.0,99.9,95.15,95.35,220
2019-06-26,100.0,108.9,95.0,98.45,350
2019-06-27,100.0,108.9,100.0,108.9,113
2019-06-28,100.25,104.95,100.0,104.8,373
2019-07-01,109.9,110.0,97.2,97.25,842
2019-07-02,104.0,104.0,98.0,103.9,147
2019-07-03,107.0,107.0,102.0,102.0,486
2019-07-04,102.0,104.9,102.0,104.25,32
2019-07-05,103.0,104.7,99.0,99.35,506
2019-07-08,104.0,104.0,98.0,103.85,72
2019-07-09,99.05,99.05,99.05,99.05,20
2019-07-10,103.5,103.5,98.5,99.0,211
2019-07-11,92.0,99.95,91.25,99.95,1024
2019-07-15,100.0,100.0,92.05,92.05,85
2019-07-16,99.0,99.0,96.5,98.3,206
2019-07-17,99.0,100.15,99.0,99.0,566
2019-07-18,94.0,94.0,91.25,91.6,82
2019-07-19,94.45,94.5,94.45,94.45,876
2019-07-22,92.45,95.0,90.0,90.0,346
2019-07-23,92.0,92.0,85.0,90.0,100
2019-07-25,89.0,92.0,85.05,86.05,102
2019-07-26,85.95,85.95,81.0,81.95,554
2019-07-29,90.0,90.0,90.0,90.0,2
2019-07-31,89.9,90.0,89.9,90.0,200
2019-08-01,85.0,85.0,75.05,81.2,272
2019-08-05,76.0,82.0,76.0,81.95,143
2019-08-06,89.8,92.0,85.0,91.0,1268
2019-08-07,90.5,97.95,90.1,95.0,302
2019-08-08,87.25,99.9,87.25,97.35,1727
2019-08-09,95.0,101.05,95.0,100.55,82
2019-08-13,100.0,101.0,95.0,95.0,405
2019-08-14,95.0,101.0,87.0,91.9,589
2019-08-16,99.0,99.0,99.0,99.0,1
2019-08-19,99.0,99.0,99.0,99.0,100
2019-08-20,99.0,99.0,90.05,90.95,105
2019-08-21,91.0,91.0,85.05,85.1,201
2019-08-22,88.05,99.0,88.05,91.7,355
2019-08-23,88.05,95.05,88.05,90.0,321
2019-08-26,99.0,99.0,88.05,88.05,59
2019-08-27,98.0,98.0,98.0,98.0,2
2019-08-28,98.0,98.0,88.25,90.1,649
2019-08-29,97.0,97.0,90.05,96.65,155
2019-08-30,90.0,97.0,90.0,97.0,36
2019-09-03,90.0,94.0,88.05,88.4,532
2019-09-04,86.0,89.75,82.05,89.75,301
2019-09-05,83.45,87.5,83.45,87.5,80
2019-09-06,87.0,87.5,85.1,87.5,515
2019-09-11,82.0,102.6,82.0,101.8,3487
2019-09-12,100.0,104.9,93.25,104.9,221
2019-09-13,105.0,108.0,103.0,108.0,144
2019-09-16,119.0,119.4,101.3,102.05,368
2019-09-17,95.55,100.95,95.0,95.05,1150
2019-09-18,95.1,110.0,95.0,100.35,1639
2019-09-19,99.0,99.0,99.0,99.0,15
2019-09-20,104.9,108.9,97.0,108.9,205
2019-09-23,117.5,117.5,99.6,105.6,109
2019-09-24,107.0,108.55,97.7,97.7,844
2019-09-25,104.75,104.75,104.75,104.75,3
2019-09-26,104.0,104.7,102.0,102.0,5
2019-09-27,100.0,100.0,100.0,100.0,50
2019-09-30,101.0,104.3,101.0,103.2,159
2019-10-03,100.0,103.0,100.0,103.0,864
2019-10-04,90.65,98.0,90.65,98.0,37
2019-10-07,99.0,105.0,99.0,105.0,633
2019-10-09,102.0,102.0,100.0,100.0,975
2019-10-10,99.0,100.0,99.0,100.0,140
2019-10-11,104.9,111.1,100.0,108.8,1489
