Datetime,Open,High,Low,Close,Volume
2020-10-06,100.94,103.07,100.94,102.94,236
2020-10-07,92.66,103.87,92.66,103.86,13
2020-10-08,98.68,101.47,98.68,98.68,33
2020-10-09,102.54,102.54,102.54,102.54,5
2020-10-12,103.61,103.61,103.61,103.61,12
2020-10-13,105.69,106.54,105.69,106.54,33
2020-10-14,106.54,110.82,106.54,110.82,11
2020-10-15,116.16,116.16,105.28,114.55,1434
2020-10-16,120.16,120.16,108.83,108.83,1198
2020-10-19,106.01,106.01,103.39,103.39,22
2020-10-20,103.34,103.34,102.0,102.65,1604
2020-10-21,102.65,102.65,97.68,102.54,1075
2020-10-22,97.41,101.47,97.41,101.47,61
2020-10-23,101.47,101.47,101.47,101.47,80
2020-10-26,96.4,103.87,96.4,98.35,1627
2020-10-27,103.07,103.07,102.81,102.81,402
2020-10-28,102.54,102.54,102.54,102.54,1
2020-10-29,97.41,97.41,97.41,97.41,1
2020-10-30,102.0,102.0,100.14,102.0,1602
2020-11-02,101.47,101.47,100.14,100.14,1068
2020-11-03,98.8,98.8,97.46,98.8,1076
2020-11-04,98.8,98.8,97.46,97.46,857
2020-11-05,97.46,97.46,97.46,97.46,1068
2020-11-06,97.48,97.48,94.79,94.79,571
2020-11-10,97.2,97.46,97.2,97.46,1175
2020-11-11,92.66,96.4,92.66,96.34,1497
2020-11-12,91.59,91.59,91.59,91.59,5
2020-11-18,96.13,96.13,96.13,96.13,21
2020-11-19,100.94,100.94,100.94,100.94,10
2020-11-20,96.13,105.48,96.13,96.24,546
2020-11-23,96.24,96.24,91.46,91.51,749
2020-11-24,96.08,96.08,87.05,87.09,550
2020-11-25,87.09,91.31,82.8,83.85,1143
2020-11-26,80.13,88.04,80.13,80.13,2286
2020-11-27,77.44,84.14,77.44,80.11,1129
2020-12-01,84.11,84.11,76.48,77.32,520
2020-12-02,75.57,81.18,75.37,78.64,4539
2020-12-03,75.84,82.22,75.84,77.5,462
2020-12-04,81.24,81.24,76.64,76.64,3
2020-12-07,80.47,80.47,75.3,80.47,2247
2020-12-08,84.38,84.38,84.38,84.38,53
2020-12-09,80.39,88.39,80.39,82.78,19
2020-12-10,82.78,82.78,82.78,82.78,5
2020-12-11,82.78,82.78,78.77,79.04,374
2020-12-15,81.44,81.44,81.44,81.44,91
2020-12-16,85.45,85.45,77.73,80.63,2844
2020-12-17,80.11,81.04,80.11,81.04,1390
2020-12-18,81.18,81.18,77.57,79.31,1616
2020-12-21,79.31,79.31,79.31,79.31,267
2020-12-22,75.57,82.78,75.57,82.78,1262
2020-12-23,78.85,82.78,78.85,82.78,396
2020-12-28,86.92,86.92,83.04,83.33,37
2021-01-01,79.61,87.32,79.61,79.68,503
2021-01-04,80.11,80.11,80.11,80.11,3
2021-01-05,80.11,82.78,78.77,82.76,673
2021-01-06,85.42,85.42,85.42,85.42,1
2021-01-08,81.98,87.85,81.98,84.91,323
2021-01-11,88.92,88.92,80.92,88.84,297
2021-01-12,93.18,93.19,85.73,92.38,1517
2021-01-14,96.98,96.98,96.98,96.98,15
2021-01-15,101.83,101.83,101.83,101.83,11
2021-01-18,104.41,106.81,104.14,106.81,53
2021-01-19,112.15,112.15,112.15,112.15,42
2021-01-20,117.76,117.76,112.42,117.76,688
2021-01-21,123.65,123.65,123.65,123.65,313
2021-01-22,129.83,129.83,129.83,129.83,240
2021-01-25,136.32,136.32,136.32,136.32,769
2021-01-27,143.13,143.13,143.13,143.13,674
2021-01-28,150.28,150.28,135.97,150.28,945
2021-01-29,153.29,153.29,150.34,153.27,3369
2021-02-01,156.21,156.33,154.88,155.68,8281
2021-02-02,158.75,158.79,157.52,158.79,5072
2021-02-03,161.95,161.95,157.54,161.0,3426
2021-02-04,161.95,164.22,157.82,160.24,9945
2021-02-05,157.04,163.42,157.04,160.48,9022
