Datetime,Open,High,Low,Close,Volume
2019-05-28,66.6,66.6,58.13,66.6,1140
2019-05-29,64.4,64.4,64.4,64.4,38
2019-05-30,61.87,62.07,61.87,62.0,105
2019-06-03,58.2,59.4,58.2,59.4,330
2019-06-10,55.4,55.4,55.4,55.4,45
2019-06-11,53.6,55.07,53.6,55.07,195
2019-06-12,55.27,55.5,55.27,55.5,150
2019-06-13,54.77,58.0,54.7,55.4,263
2019-06-14,55.43,55.77,55.43,55.77,59
2019-06-17,53.07,54.83,53.07,54.77,210
2019-06-18,54.13,55.5,54.13,55.5,83
2019-06-19,55.47,56.5,55.47,56.5,143
2019-06-20,55.97,56.77,55.97,56.77,135
2019-06-21,56.83,56.83,56.73,56.8,135
2019-06-24,57.27,57.47,57.27,57.43,87
2019-06-25,57.53,57.53,57.53,57.53,15
2019-06-26,57.8,58.07,57.8,58.03,173
2019-06-27,56.83,57.33,56.83,57.33,195
2019-06-28,56.13,57.87,56.13,57.47,345
2019-07-01,57.8,58.03,57.77,58.03,180
2019-07-02,56.33,56.87,56.33,56.7,173
2019-07-03,56.83,56.93,56.83,56.93,63
2019-07-04,57.27,57.53,57.27,57.5,144
2019-07-05,56.83,57.77,56.7,56.7,320
2019-07-08,55.97,56.1,55.97,56.07,93
2019-07-09,55.9,55.9,55.43,55.47,152
2019-07-10,55.87,56.03,55.53,55.53,231
2019-07-11,55.6,55.77,55.6,55.67,269
2019-07-12,56.03,58.0,56.0,57.13,863
2019-07-15,55.37,55.9,55.37,55.9,117
2019-07-16,55.43,57.13,55.43,55.97,162
2019-07-17,55.9,56.1,55.9,56.1,134
2019-07-18,55.87,55.87,55.43,55.5,68
2019-07-19,55.1,55.43,54.7,54.7,48
2019-07-22,54.57,54.77,54.57,54.7,38
2019-07-23,54.23,54.57,54.23,54.43,71
2019-07-24,54.1,54.3,54.03,54.07,111
2019-07-25,54.3,54.5,54.2,54.23,176
2019-07-26,54.37,54.57,54.3,54.57,35
2019-07-29,54.1,54.13,54.07,54.07,27
2019-07-30,56.67,56.67,53.7,53.7,392
2019-07-31,54.07,54.07,54.07,54.07,14
2019-08-01,53.63,53.63,53.27,53.37,80
2019-08-02,52.37,52.37,52.07,52.07,57
2019-08-05,50.97,50.97,50.7,50.7,20
2019-08-08,50.43,50.43,50.43,50.43,42
2019-08-09,52.93,52.93,52.93,52.93,14
2019-08-13,52.13,52.5,52.13,52.43,41
2019-08-14,52.6,55.03,52.6,53.4,39
2019-08-16,56.07,56.07,52.77,53.07,107
2019-08-19,53.3,53.4,53.3,53.4,27
2019-08-20,52.97,53.1,52.37,52.4,80
2019-08-21,51.5,51.77,51.43,51.63,59
2019-08-22,54.2,54.2,54.2,54.2,57
2019-08-23,52.97,53.0,52.9,52.97,122
2019-08-26,55.6,55.6,53.53,55.03,86
2019-08-27,53.4,53.53,53.4,53.53,66
2019-08-28,52.07,52.13,52.07,52.13,41
2019-08-29,54.73,54.73,50.77,50.93,185
2019-08-30,53.47,53.47,53.47,53.47,300
2019-09-03,56.13,56.13,52.07,55.2,174
2019-09-05,53.4,57.93,53.4,57.83,125
2019-09-06,57.0,58.07,57.0,58.07,21
2019-09-13,56.17,57.4,56.17,57.4,69
2019-09-16,56.8,56.8,56.8,56.8,6
2019-09-17,56.8,56.8,56.07,56.07,33
2019-09-20,56.2,58.87,56.2,58.87,26
2019-09-24,59.1,59.1,58.93,58.93,77
2019-10-01,58.95,58.95,58.95,58.95,1
2019-10-04,59.05,59.1,59.05,59.1,9
2019-10-07,58.15,62.05,58.05,62.05,103
2019-10-09,61.3,61.45,61.3,61.4,31
2019-10-10,60.5,60.5,60.15,60.45,105
2019-10-11,63.05,63.15,63.05,63.15,19
2019-10-14,66.3,66.3,66.3,66.3,1
2019-10-15,69.6,69.6,64.0,66.7,231
2019-10-16,67.1,67.55,67.1,67.5,74
2019-10-17,66.2,66.3,66.2,66.3,18
2019-10-18,65.05,65.15,65.05,65.15,53
2019-10-22,65.25,65.3,64.1,64.1,27
2019-10-23,63.15,63.2,63.05,63.2,114
2019-10-24,63.4,63.45,63.4,63.45,33
2019-10-25,63.5,63.6,62.1,62.1,22
2019-10-29,62.15,63.1,62.15,63.1,306
2019-10-30,63.3,63.35,63.3,63.3,48
2019-10-31,63.5,63.9,63.45,63.45,42
2019-11-01,62.15,62.25,62.1,62.2,64
2019-11-04,62.45,62.5,62.45,62.45,22
2019-11-05,61.1,61.25,61.1,61.2,98
2019-11-06,60.1,60.25,60.1,60.25,232
2019-11-13,60.1,60.3,60.1,60.3,32
