Datetime,Open,High,Low,Close,Volume
2023-07-03,3.15,3.3,3.15,3.3,16881
2023-07-04,3.46,3.46,3.46,3.46,19945
2023-07-05,3.63,3.63,3.63,3.63,4355
2023-07-06,3.81,3.81,3.81,3.81,6082
2023-07-07,4.0,4.0,4.0,4.0,7948
2023-07-10,4.2,4.2,4.2,4.2,2207
2023-07-11,4.41,4.41,4.41,4.41,2250
2023-07-12,4.63,4.63,4.63,4.63,6005
2023-07-13,4.86,4.86,4.86,4.86,42931
2023-07-14,5.1,5.1,5.1,5.1,2995
2023-07-17,5.61,5.61,5.61,5.61,5465
2023-07-18,6.17,6.17,6.17,6.17,5373
2023-07-19,6.78,6.78,6.78,6.78,2423
2023-07-20,7.11,7.11,7.11,7.11,10365
2023-07-21,7.46,7.46,7.46,7.46,15686
2023-07-24,7.83,7.83,7.83,7.83,3265
2023-07-25,8.22,8.22,8.22,8.22,7488
2023-07-26,8.63,8.63,8.63,8.63,9365
2023-07-27,9.06,9.06,9.06,9.06,10765
2023-07-28,9.51,9.51,9.51,9.51,8849
2023-07-31,9.7,9.7,9.7,9.7,34475
2023-08-01,9.89,9.89,9.89,9.89,15100
2023-08-02,10.08,10.08,10.08,10.08,27080
2023-08-03,10.28,10.28,10.28,10.28,3644
2023-08-04,10.48,10.48,10.48,10.48,17057
2023-08-07,10.68,10.68,10.68,10.68,21395
2023-08-08,10.89,10.89,10.89,10.89,4397
2023-08-09,11.1,11.1,11.1,11.1,5540
2023-08-10,11.32,11.32,11.32,11.32,29875
2023-08-11,11.54,11.54,11.54,11.54,7243
2023-08-14,11.77,11.77,11.77,11.77,8609
2023-08-16,12.0,12.0,12.0,12.0,11444
2023-08-17,12.24,12.24,12.24,12.24,10473
2023-08-18,12.48,12.48,12.48,12.48,16334
2023-08-21,12.72,12.72,12.72,12.72,13157
2023-08-22,12.97,12.97,12.97,12.97,9154
2023-08-23,13.22,13.22,13.22,13.22,17153
2023-08-24,13.48,13.48,13.48,13.48,20293
2023-08-25,13.74,13.74,13.74,13.74,6393
2023-08-28,14.01,14.01,14.01,14.01,5234
2023-08-29,14.29,14.29,14.29,14.29,7233
2023-08-30,14.57,14.57,14.57,14.57,10362
2023-08-31,14.86,14.86,14.86,14.86,7573
2023-09-01,15.15,15.15,15.15,15.15,30481
2023-09-04,15.45,15.45,15.45,15.45,17014
2023-09-05,15.75,15.75,15.75,15.75,20161
2023-09-06,16.06,16.06,16.06,16.06,13418
2023-09-07,16.38,16.38,16.38,16.38,19493
2023-09-08,16.7,16.7,16.7,16.7,10349
2023-09-11,17.03,17.03,17.03,17.03,8344
2023-09-12,17.37,17.37,16.69,16.69,354476
2023-09-13,17.02,17.02,16.99,17.02,436958
2023-09-14,17.36,17.36,17.36,17.36,8124
2023-09-15,17.7,17.7,17.7,17.7,13162
2023-09-18,18.05,18.05,18.05,18.05,35596
2023-09-20,18.41,18.41,18.41,18.41,26423
2023-09-21,18.77,18.77,18.77,18.77,8231
2023-09-22,19.14,19.14,19.14,19.14,6823
2023-09-25,19.52,19.52,19.52,19.52,15212
2023-09-26,19.91,19.91,19.91,19.91,7066
2023-09-27,20.3,20.3,20.3,20.3,100437
2023-09-28,20.7,20.7,20.7,20.7,10394
2023-09-29,21.11,21.11,21.11,21.11,7629
2023-10-03,21.53,21.53,21.53,21.53,9840
2023-10-04,21.96,21.96,21.96,21.96,9138
2023-10-05,22.39,22.39,22.39,22.39,4625
2023-10-06,22.83,22.83,22.83,22.83,13263
2023-10-09,23.28,23.28,23.28,23.28,14502
2023-10-10,23.74,23.74,23.74,23.74,15593
2023-10-11,24.21,24.21,24.21,24.21,156109
2023-10-12,24.69,24.69,24.69,24.69,12172
2023-10-13,25.18,25.18,25.18,25.18,152856
2023-10-16,25.68,25.68,25.68,25.68,10816
2023-10-17,26.19,26.19,26.19,26.19,10056
2023-10-18,26.71,26.71,26.71,26.71,7004
2023-10-19,27.24,27.24,27.24,27.24,4874
2023-10-20,27.78,27.78,27.78,27.78,25592
2023-10-23,28.33,28.33,28.33,28.33,77005
2023-10-25,28.89,28.89,28.89,28.89,13779
2023-10-26,29.46,29.46,29.46,29.46,23391
2023-10-27,30.04,30.04,30.04,30.04,33396
2023-10-30,30.64,30.64,30.64,30.64,27194
2023-10-31,31.25,31.25,31.25,31.25,37902
2023-11-01,31.25,31.87,31.25,31.87,311428
2023-11-02,32.5,32.5,31.24,31.24,346357
2023-11-03,30.62,30.62,30.62,30.62,10320
2023-11-06,30.01,30.01,30.01,30.01,7583
2023-11-07,29.41,29.41,29.41,29.41,2055
2023-11-08,28.83,28.83,28.83,28.83,3249
2023-11-09,28.26,28.26,28.26,28.26,3486
2023-11-10,27.7,27.7,27.7,27.7,12647
2023-11-12,27.15,27.15,27.15,27.15,10467
2023-11-13,26.61,27.69,26.61,27.69,567716
2023-11-15,28.24,28.24,28.24,28.24,42514
2023-11-16,28.8,28.8,28.8,28.8,18705
2023-11-17,29.37,29.37,28.23,28.23,458973
2023-11-20,27.67,27.67,27.67,27.67,8034
2023-11-21,27.12,27.12,27.12,27.12,10187
2023-11-22,26.58,26.58,26.58,26.58,3201
2023-11-23,26.05,26.8,26.05,26.8,196442
2023-11-24,26.27,26.27,26.27,26.27,11080
2023-11-28,24.96,26.8,24.96,24.96,337990
2023-11-29,23.72,23.72,23.72,23.72,7727
2023-11-30,22.54,24.69,22.54,22.54,167802
2023-12-01,21.42,21.42,21.42,21.42,30927
2023-12-04,20.35,22.49,20.35,22.49,399288
2023-12-05,23.61,23.61,23.61,23.61,217562
2023-12-06,24.79,24.79,24.79,24.79,10822
2023-12-07,26.02,26.02,26.02,26.02,48572
2023-12-08,27.32,27.32,27.32,27.32,33005
2023-12-11,26.78,27.86,26.78,27.86,559845
2023-12-12,28.41,28.41,28.41,28.41,16370
2023-12-13,28.97,28.97,28.97,28.97,16490
2023-12-14,29.54,29.54,29.54,29.54,55941
2023-12-15,30.13,30.13,30.13,30.13,77019
2023-12-18,30.73,30.73,30.73,30.73,39573
2023-12-19,31.34,31.34,30.12,30.12,348901
2023-12-20,29.52,29.52,29.52,29.52,349163
2023-12-21,28.93,28.93,28.93,28.93,68557
2023-12-22,28.36,28.38,28.36,28.38,127586
2023-12-26,28.43,28.94,28.43,28.94,22419
2023-12-27,29.51,29.51,29.51,29.51,14705
2023-12-28,30.1,30.1,29.99,29.99,51414
2023-12-29,30.0,30.58,30.0,30.58,27595
2024-01-01,31.19,31.19,31.19,31.19,4996
2024-01-02,31.81,31.81,31.81,31.81,56058
