Datetime,Open,High,Low,Close,Volume
2019-05-28,860.0,868.8,849.2,851.1,59045
2019-05-29,848.0,848.9,834.0,838.05,17227
2019-05-30,840.45,852.0,838.0,848.6,12563
2019-06-03,836.0,845.0,824.75,840.75,23342
2019-06-10,817.85,827.4,806.5,812.7,22223
2019-06-11,812.75,818.75,809.1,814.3,9679
2019-06-12,809.55,811.75,790.0,799.8,61442
2019-06-13,793.15,801.0,784.15,796.75,28811
2019-06-14,802.75,805.3,786.0,788.15,17444
2019-06-17,790.0,797.8,773.15,777.85,28746
2019-06-18,785.0,786.0,772.25,778.55,14799
2019-06-19,781.0,788.05,729.0,740.1,56201
2019-06-20,738.0,771.7,721.9,763.55,40936
2019-06-21,765.0,765.0,745.7,750.0,18380
2019-06-24,751.0,758.9,733.5,739.75,19836
2019-06-25,740.0,752.0,732.3,748.3,32693
2019-06-26,745.0,758.0,741.6,747.85,12743
2019-06-27,754.3,755.8,731.0,736.3,63695
2019-06-28,740.65,745.55,729.2,731.0,21890
2019-07-01,738.1,740.65,720.8,737.4,25054
2019-07-02,742.0,751.2,738.9,742.4,24619
2019-07-03,740.0,758.0,737.0,754.35,29840
2019-07-04,760.5,773.55,758.0,760.15,48449
2019-07-05,763.95,766.0,722.0,728.15,40727
2019-07-08,728.0,728.0,702.65,712.7,30754
2019-07-09,715.0,717.5,696.0,714.25,30558
2019-07-10,711.55,716.4,694.15,699.6,36478
2019-07-11,697.1,709.4,690.4,706.35,23708
2019-07-12,710.0,720.35,703.0,711.55,22132
2019-07-15,715.9,715.9,697.0,700.15,19462
2019-07-16,702.0,711.4,691.3,705.3,23085
2019-07-17,713.0,715.9,699.0,701.2,20577
2019-07-18,699.0,705.0,692.05,696.25,15681
2019-07-19,695.0,701.95,675.25,677.55,23123
2019-07-22,674.05,683.45,666.8,679.05,16675
2019-07-23,668.0,681.75,661.3,669.55,30396
2019-07-24,666.0,670.6,647.4,652.4,34053
2019-07-25,652.0,673.3,639.9,664.6,80802
2019-07-26,664.5,686.3,662.45,682.5,25773
2019-07-29,680.95,682.6,654.55,657.25,29721
2019-07-30,664.9,664.9,631.4,637.1,32797
2019-07-31,635.35,659.9,625.45,657.95,17868
2019-08-01,650.0,657.4,631.85,638.1,42869
2019-08-02,613.1,641.45,607.45,627.7,101661
2019-08-05,612.0,626.5,604.4,621.75,27776
2019-08-06,626.45,636.25,624.75,634.1,16022
2019-08-07,630.35,645.2,618.4,621.5,23565
2019-08-08,629.95,642.45,620.9,640.0,23998
2019-08-09,648.45,649.2,614.45,631.35,35629
2019-08-13,639.5,639.5,607.75,613.8,21978
2019-08-14,614.9,630.0,614.9,623.4,15875
2019-08-16,623.4,640.2,606.85,632.15,40451
2019-08-19,640.0,641.0,614.55,616.5,39537
2019-08-20,619.45,620.4,596.85,600.25,69066
2019-08-21,598.0,598.0,560.9,566.7,111474
2019-08-22,565.85,566.9,543.7,547.65,74617
2019-08-23,547.65,564.35,533.1,559.75,47026
2019-08-26,571.25,576.95,552.5,574.1,49314
2019-08-27,575.1,589.45,572.7,587.45,40064
