Datetime,Open,High,Low,Close,Volume
2025-08-20,141.8,145.7,130.25,131.65,6626924
2025-08-21,132.55,137.1,126.05,126.85,1903120
2025-08-22,126.9,129.75,122.75,124.15,1043971
2025-08-25,125.05,126.0,118.7,119.55,899263
2025-08-26,119.0,119.15,110.55,112.35,517407
2025-08-28,112.55,118.1,108.9,115.9,976272
2025-08-29,117.55,119.2,111.75,114.3,437959
2025-09-01,116.45,116.45,110.2,110.85,332988
2025-09-02,111.25,112.9,109.4,110.0,379276
2025-09-03,109.65,111.8,108.0,110.15,380213
2025-09-04,111.65,112.0,107.4,108.3,133060
2025-09-05,107.25,108.75,105.0,105.55,305725
2025-09-08,105.05,113.75,104.5,110.85,544385
2025-09-09,111.3,112.15,108.15,109.45,362110
2025-09-10,108.35,109.05,106.0,106.8,154227
2025-09-11,106.65,111.8,106.5,107.9,276564
2025-09-12,107.5,109.0,106.25,106.8,241997
2025-09-15,108.05,108.05,106.0,106.15,192077
2025-09-16,106.1,107.3,105.65,106.05,63843
2025-09-17,106.15,106.25,104.25,104.9,199447
2025-09-18,104.9,105.55,102.5,103.15,204885
2025-09-19,102.95,105.55,102.4,104.35,195697
2025-09-22,105.25,106.0,102.25,102.85,180813
2025-09-23,102.75,103.35,99.6,100.05,207717
2025-09-24,99.65,100.65,95.1,96.2,202562
2025-09-25,96.2,96.65,92.0,92.8,227633
2025-09-26,92.15,92.9,89.25,89.8,237655
2025-09-29,89.65,90.8,87.75,88.95,177220
2025-09-30,89.0,90.0,87.5,88.25,95063
2025-10-01,88.5,94.47,88.21,93.73,213645
2025-10-03,94.78,94.78,92.02,92.67,122450
2025-10-06,92.05,92.29,88.64,89.35,106012
2025-10-07,89.35,89.76,87.5,87.66,88759
2025-10-08,87.7,91.19,87.11,90.33,74283
2025-10-09,90.64,90.84,88.61,90.26,42645
2025-10-10,89.02,93.69,89.02,92.2,85539
2025-10-13,91.0,91.28,89.69,89.98,30844
2025-10-14,89.33,90.92,87.05,87.41,77390
2025-10-15,92.0,92.0,87.0,87.42,27778
2025-10-16,88.0,89.23,88.0,88.23,19027
2025-10-17,88.01,88.53,84.15,85.06,46936
2025-10-20,86.89,86.89,83.0,84.56,62444
2025-10-21,84.55,85.1,84.55,84.82,6040
2025-10-23,84.84,95.68,84.84,92.31,306056
2025-10-24,92.61,95.16,90.79,94.48,181294
2025-10-27,94.48,97.66,92.41,95.81,96688
2025-10-28,95.7,98.6,94.24,96.11,55186
2025-10-29,96.44,96.81,94.0,94.21,28870
2025-10-30,93.4,93.9,92.18,92.55,19883
2025-10-31,92.41,92.41,90.22,90.42,15956
2025-11-03,94.79,94.79,89.4,90.04,28636
2025-11-04,89.75,90.55,88.29,89.02,17016
2025-11-06,90.0,90.0,87.6,88.9,12875
2025-11-07,87.05,88.85,87.05,88.58,12781
2025-11-10,91.3,91.3,85.2,86.1,32047
2025-11-11,87.82,87.83,85.4,86.88,24363
2025-11-12,88.39,91.13,87.52,89.15,48464
2025-11-13,93.0,94.99,89.3,90.28,91944
2025-11-14,90.0,91.17,89.35,90.36,25502
2025-11-17,91.4,91.61,89.82,90.08,8228
2025-11-18,90.51,90.51,88.24,88.66,13784
2025-11-19,88.65,88.69,86.61,86.77,14914
2025-11-20,86.45,90.05,86.28,87.48,37684
2025-11-21,88.75,88.75,85.0,85.21,20443
2025-11-24,84.07,86.04,82.6,83.09,15293
2025-11-25,83.0,84.47,83.0,84.16,16896
2025-11-26,84.51,85.33,81.0,82.95,24720
2025-11-27,82.06,83.85,80.0,80.96,33113
2025-11-28,80.02,81.28,69.0,77.67,211836
2025-12-01,77.72,78.89,72.8,74.77,102411
2025-12-02,74.8,75.81,73.33,75.15,45940
2025-12-03,74.7,75.2,70.9,71.03,29311
2025-12-04,72.89,73.03,70.66,72.32,53527
2025-12-05,72.45,72.79,71.11,72.23,25671
2025-12-08,71.79,72.85,70.14,70.81,27375
2025-12-09,70.0,72.39,69.07,71.72,20442
2025-12-10,73.99,73.99,70.1,70.39,10066
2025-12-11,70.05,71.79,69.31,71.42,10677
2025-12-12,72.0,72.71,71.21,72.23,17552
2025-12-15,72.74,73.66,71.0,71.47,55941
2025-12-16,71.47,75.0,70.74,73.27,54052
2025-12-17,74.77,76.0,71.4,74.86,52855
2025-12-18,75.0,75.0,72.46,72.65,27173
2025-12-19,71.43,73.48,71.43,72.8,16083
2025-12-22,72.0,74.45,72.0,73.57,14855
2025-12-23,73.58,73.82,72.82,73.21,18357
2025-12-24,73.79,75.89,72.58,73.08,36627
2025-12-26,73.75,73.75,68.83,70.9,38694
2025-12-29,70.84,70.94,67.4,68.1,52124
2025-12-30,68.0,69.18,67.19,68.17,22147
2025-12-31,68.0,74.61,68.0,70.51,121488
2026-01-01,70.94,70.94,69.17,69.55,25884
2026-01-02,69.15,70.55,69.15,70.43,19771
2026-01-05,70.3,74.35,70.3,73.11,69602
2026-01-06,74.2,74.4,71.93,72.75,34916
2026-01-07,72.4,73.12,71.99,72.78,10796
2026-01-08,72.45,73.08,70.01,70.39,12557
2026-01-09,68.65,70.28,67.13,67.86,20738
2026-01-12,67.77,67.79,66.0,66.38,20496
2026-01-13,67.54,71.77,67.0,68.08,198082
2026-01-14,67.03,71.0,67.03,68.72,132326
2026-01-16,68.05,70.67,67.3,67.85,50921
2026-01-19,66.02,68.87,66.02,66.64,43300
2026-01-20,66.51,66.51,64.5,64.92,24368
2026-01-21,66.0,67.0,62.77,66.05,25498
2026-01-22,66.16,67.0,65.25,66.13,39068
2026-01-23,66.13,66.13,62.72,63.0,29960
2026-01-27,62.8,63.35,60.7,60.84,41821
2026-01-28,62.06,62.5,60.91,61.25,56346
2026-01-29,61.96,61.96,59.06,59.2,13467
2026-01-30,58.26,61.3,58.14,59.97,20848
2026-02-01,60.0,61.69,58.7,59.59,18676
2026-02-02,59.1,59.37,57.5,58.73,22816
2026-02-03,61.65,61.65,59.69,59.95,18811
