Datetime,Open,High,Low,Close,Volume
2019-05-28,33.15,34.35,32.9,34.35,2207
2019-05-29,34.3,34.65,31.3,31.65,998
2019-05-30,34.2,34.2,30.65,32.95,185
2019-06-03,32.8,32.8,31.9,32.0,643
2019-06-10,29.4,29.4,28.0,29.0,7904
2019-06-11,28.05,28.65,26.75,27.35,2754
2019-06-12,29.0,29.0,27.5,27.95,2556
2019-06-13,27.5,27.5,26.5,27.15,2696
2019-06-14,27.0,28.7,26.0,26.7,3937
2019-06-17,26.7,26.7,24.1,25.65,5721
2019-06-19,26.0,26.15,24.5,24.8,6354
2019-06-20,23.15,28.8,23.1,24.65,2869
2019-06-21,25.85,25.85,25.85,25.85,400
2019-06-24,24.45,24.45,24.45,24.45,700
2019-06-25,24.3,24.55,24.3,24.55,200
2019-06-26,24.55,24.55,24.55,24.55,360
2019-06-27,25.9,25.9,23.6,24.75,6575
2019-06-28,24.4,24.4,23.3,23.55,2059
2019-07-01,26.5,26.5,23.5,26.15,43
2019-07-02,25.85,25.95,24.8,24.85,340
2019-07-03,23.05,27.0,23.05,24.25,2288
2019-07-04,24.15,24.95,24.05,24.25,320
2019-07-05,25.0,27.8,25.0,27.05,955
2019-07-08,27.0,27.0,27.0,27.0,100
2019-07-10,27.75,27.9,27.25,27.35,614
2019-07-11,26.95,26.95,24.35,24.5,440
2019-07-15,23.75,25.0,23.75,24.05,460
2019-07-16,23.8,27.95,23.8,25.35,451
2019-07-17,25.55,25.6,25.55,25.55,450
2019-07-18,25.0,26.0,23.8,26.0,1250
2019-07-19,25.0,25.0,23.5,23.95,2590
2019-07-22,24.0,24.4,23.0,23.2,3317
2019-07-23,23.0,27.3,22.6,26.45,3532
2019-07-24,24.0,24.95,23.05,23.25,2871
2019-07-25,23.5,23.7,22.7,22.7,4550
2019-07-26,22.8,22.8,22.8,22.8,85
2019-07-29,23.75,23.75,22.1,23.55,1510
2019-07-30,23.05,23.05,23.0,23.0,1812
