Datetime,Open,High,Low,Close,Volume
2025-01-22,163.4,171.57,163.4,171.55,4638400
2025-01-23,162.98,171.4,162.98,163.02,2460800
2025-01-24,158.0,159.0,154.87,154.87,312000
2025-01-27,147.13,147.13,147.13,147.13,6400
2025-01-28,139.78,139.78,139.78,139.78,19200
2025-01-29,132.8,132.8,132.8,132.8,19200
2025-01-30,126.16,130.05,126.16,126.16,897600
2025-01-31,119.86,122.0,119.86,119.86,262400
2025-02-01,113.9,123.0,113.9,113.9,478400
2025-02-03,108.25,119.55,108.25,119.55,734400
2025-02-04,126.8,129.4,112.2,115.0,745600
2025-02-05,117.3,125.05,112.0,122.15,419200
2025-02-06,124.0,124.95,113.5,115.55,328000
2025-02-07,114.0,120.0,113.55,117.65,201600
2025-02-10,118.0,118.0,105.7,108.9,257600
2025-02-11,105.5,105.5,95.0,95.75,507200
2025-02-12,98.5,109.5,94.55,105.8,251200
2025-02-13,106.9,106.9,100.4,101.6,126400
2025-02-14,100.1,101.6,93.0,93.9,198400
2025-02-17,95.5,95.75,90.0,91.5,212800
2025-02-18,91.55,91.55,80.0,82.8,496000
2025-02-19,82.0,89.8,79.0,88.2,716800
2025-02-20,87.95,90.0,83.8,88.55,356800
2025-02-21,87.9,87.9,84.15,85.55,185600
2025-02-24,84.9,86.95,81.8,82.7,107200
2025-02-25,82.5,83.9,80.0,80.7,110400
2025-02-27,80.0,80.0,76.7,76.7,326400
2025-02-28,73.4,74.7,72.9,72.9,88000
2025-03-03,74.0,74.0,69.26,69.26,96000
2025-03-04,65.8,71.0,65.8,70.2,264000
2025-03-05,70.5,73.71,70.5,73.71,78400
2025-03-06,77.39,77.39,76.5,77.39,123200
2025-03-07,77.39,81.25,77.0,81.25,91200
2025-03-10,85.31,85.31,79.45,79.97,147200
2025-03-11,76.66,79.99,76.66,77.93,51200
2025-03-12,76.38,76.38,76.38,76.38,3200
2025-03-13,74.86,74.87,74.86,74.86,99200
2025-03-17,73.37,73.37,73.37,73.37,4800
2025-03-18,71.91,71.91,71.91,71.91,11200
2025-03-19,70.48,73.34,70.48,73.34,116800
2025-03-20,71.88,72.1,71.88,71.88,116800
2025-03-21,70.45,73.31,70.45,73.31,291200
2025-03-24,74.77,74.77,71.85,71.85,161600
2025-03-25,70.42,70.42,70.42,70.42,177600
2025-03-26,69.9,69.9,69.02,69.02,36800
2025-03-27,67.64,68.0,67.64,67.64,115200
2025-03-28,66.51,66.55,66.29,66.29,99200
2025-04-01,66.29,67.61,66.29,67.61,11200
2025-04-02,68.96,68.96,68.96,68.96,3200
2025-04-03,70.33,70.33,70.33,70.33,16000
2025-04-04,71.73,71.73,68.93,68.95,113600
2025-04-07,67.58,67.58,67.58,67.58,4800
2025-04-08,66.23,68.0,66.23,68.0,36800
2025-04-09,67.99,67.99,66.64,66.64,9600
2025-04-11,67.88,67.97,67.88,67.97,24000
2025-04-15,69.32,69.32,69.32,69.32,14400
2025-04-16,70.7,70.7,70.7,70.7,14400
2025-04-17,72.11,72.11,72.11,72.11,4800
2025-04-21,68.51,74.98,68.51,73.5,612800
2025-04-22,74.0,77.17,73.0,77.17,273600
2025-04-23,79.53,79.53,74.6,75.1,126400
2025-04-24,75.87,77.14,73.7,74.47,113600
2025-04-25,75.89,75.89,70.76,74.07,145600
2025-04-28,73.0,75.0,71.0,71.92,176000
2025-04-29,73.2,74.0,70.6,70.91,36800
2025-04-30,70.26,71.0,67.37,67.37,145600
2025-05-02,65.51,69.4,65.51,69.09,33600
2025-05-05,69.79,72.0,69.79,70.56,30400
2025-05-06,70.11,70.11,68.2,69.17,43200
2025-05-07,68.0,72.0,65.9,71.9,38400
2025-05-08,70.11,72.95,69.1,69.1,27200
2025-05-09,67.0,68.88,66.11,67.01,35200
2025-05-12,69.0,70.36,69.0,70.36,33600
2025-05-13,71.75,73.87,71.0,73.74,110400
2025-05-14,70.06,70.06,70.06,70.06,32000
2025-05-15,66.56,66.56,66.56,66.56,32000
2025-05-16,63.24,63.24,63.24,63.24,84800
2025-05-19,60.08,64.0,60.08,60.98,604800
2025-05-20,57.94,63.0,57.94,61.91,400000
2025-05-21,61.5,61.5,58.82,58.82,166400
2025-05-22,58.99,61.76,56.0,61.42,307200
2025-05-23,62.0,62.5,59.35,61.13,97600
2025-05-26,59.51,61.9,59.5,61.49,89600
2025-05-27,61.29,61.29,59.57,60.06,161600
2025-05-28,60.06,61.0,58.4,60.37,62400
2025-05-29,61.85,61.85,59.0,60.27,56000
2025-05-30,60.27,60.27,58.4,59.52,91200
2025-06-02,57.75,61.29,57.01,60.78,62400
2025-06-03,59.0,61.0,59.0,59.03,72000
2025-06-04,59.03,59.8,59.0,59.59,49600
2025-06-05,60.0,60.5,59.11,60.45,44800
2025-06-06,60.45,62.0,60.45,61.5,32000
2025-06-09,62.0,62.5,60.55,60.55,89600
2025-06-10,60.0,61.95,60.0,60.01,156800
2025-06-11,60.05,61.0,59.81,60.28,60800
2025-06-12,60.4,61.2,60.4,60.5,41600
2025-06-13,59.3,59.8,59.05,59.5,19200
2025-06-16,59.5,60.78,58.71,59.94,14400
2025-06-17,60.0,60.0,56.95,58.95,150400
2025-06-18,59.0,59.7,57.83,59.48,57600
2025-06-19,59.47,59.99,59.0,59.72,129600
2025-06-20,59.43,59.99,59.0,59.55,11200
2025-06-23,58.05,59.57,58.01,58.86,19200
2025-06-24,58.0,60.0,58.0,59.0,43200
2025-06-25,60.0,60.19,58.95,59.0,30400
2025-06-26,59.0,60.75,58.71,60.02,46400
2025-06-27,59.16,63.02,59.1,62.45,64000
2025-06-30,63.0,64.3,62.1,63.75,20800
2025-07-01,63.75,63.75,61.7,61.7,25600
2025-07-02,61.7,61.9,61.1,61.9,60800
2025-07-03,63.29,63.29,62.02,62.65,24000
2025-07-04,62.5,63.0,60.9,62.28,48000
2025-07-07,62.0,62.0,61.0,62.0,198400
2025-07-08,61.5,61.5,60.0,60.4,112000
2025-07-09,60.0,61.25,60.0,61.2,12800
2025-07-10,60.04,62.0,58.14,60.0,97600
2025-07-11,59.02,63.0,59.02,63.0,185600
2025-07-14,66.15,66.15,63.4,64.37,169600
2025-07-15,64.37,65.8,63.4,65.8,25600
2025-07-16,66.0,67.0,64.2,66.4,32000
2025-07-17,65.99,65.99,65.11,65.5,16000
2025-07-18,65.09,65.11,64.5,64.5,9600
2025-07-21,64.6,65.9,61.9,63.98,54400
2025-07-22,64.99,64.99,62.91,64.0,32000
2025-07-23,63.06,65.32,63.06,64.11,30400
2025-07-24,63.0,66.0,63.0,63.5,20800
2025-07-25,62.31,64.65,62.31,63.37,30400
2025-07-28,63.02,64.28,63.02,64.28,144000
2025-07-29,64.28,64.88,63.06,63.61,208000
