Datetime,Open,High,Low,Close,Volume
2023-09-14,441.05,460.65,438.0,452.15,50191
2023-09-15,452.15,459.0,445.5,448.15,33950
2023-09-18,447.05,455.0,445.5,449.55,47795
2023-09-20,444.5,451.6,443.5,449.9,17333
2023-09-21,444.05,463.0,444.05,449.75,33478
2023-09-22,445.8,456.7,445.8,453.6,11363
2023-09-25,448.05,456.9,448.05,449.95,21318
2023-09-26,450.95,470.0,450.1,464.5,72457
2023-09-27,464.95,485.9,464.1,475.6,107621
2023-09-28,479.9,490.05,477.4,482.65,69718
2023-09-29,486.05,517.9,486.05,502.65,130473
2023-10-03,491.95,491.95,468.15,482.2,40896
2023-10-04,473.15,493.2,472.35,491.15,47929
2023-10-05,494.0,497.95,485.0,487.65,25334
2023-10-06,484.0,554.95,483.0,533.9,103196
2023-10-09,523.25,542.0,508.45,527.5,76309
2023-10-10,521.0,537.0,521.0,529.3,29651
2023-10-11,534.95,536.35,514.0,519.7,16991
2023-10-12,525.0,528.1,517.0,526.0,7038
2023-10-13,520.0,532.45,514.35,520.5,10995
2023-10-16,524.6,536.85,519.05,530.0,20855
2023-10-17,534.0,544.9,520.15,523.9,18517
2023-10-18,527.35,537.65,521.15,524.4,5809
2023-10-19,521.05,533.95,513.25,517.6,11624
2023-10-20,524.15,525.6,505.65,509.2,3323
2023-10-23,505.05,517.45,466.0,469.15,15537
2023-10-25,466.5,485.0,454.05,456.6,15377
2023-10-26,463.15,488.45,442.7,459.75,22434
2023-10-27,466.5,482.3,466.5,473.85,4572
2023-10-30,475.7,483.35,466.25,477.9,13135
2023-10-31,477.45,483.0,465.95,474.4,4697
2023-11-01,487.95,489.05,471.0,471.35,3838
2023-11-02,474.55,476.6,466.65,471.55,4558
2023-11-03,472.1,480.0,467.0,471.3,4619
2023-11-06,471.35,494.9,470.75,491.1,16332
2023-11-07,491.1,491.95,481.95,484.45,4051
2023-11-08,498.0,498.0,483.45,488.25,24958
2023-11-09,490.0,492.5,480.0,480.7,2805
2023-11-10,488.95,488.95,478.35,483.0,1283
2023-11-12,514.85,530.8,505.55,523.7,31820
2023-11-13,533.0,545.0,525.05,526.55,30568
2023-11-15,541.95,541.95,516.25,519.85,12184
2023-11-16,534.95,534.95,512.5,520.95,11329
2023-11-17,530.4,530.4,507.0,509.95,24916
2023-11-20,515.05,528.45,515.0,515.9,21402
2023-11-21,519.95,521.8,510.0,516.15,14611
2023-11-22,516.1,521.35,494.7,501.7,17014
2023-11-23,512.0,517.25,504.95,509.25,17081
2023-11-24,510.0,520.1,510.0,516.25,11874
2023-11-28,516.25,538.0,514.0,521.0,24971
2023-11-29,519.0,520.0,507.85,514.95,15196
2023-11-30,514.95,528.0,511.6,523.95,200605
2023-12-01,534.5,537.0,520.2,527.6,23975
2023-12-04,544.3,552.5,523.3,526.5,14453
2023-12-05,521.05,527.45,511.75,514.7,24206
2023-12-06,511.05,519.6,504.4,507.1,21108
2023-12-07,509.95,509.95,497.55,503.15,5647
2023-12-08,504.8,512.65,496.0,499.1,12667
2023-12-11,495.15,510.0,495.15,507.8,7730
2023-12-12,504.5,506.05,492.85,497.15,23018
2023-12-13,497.7,503.35,497.0,499.25,5927
2023-12-14,506.4,506.45,496.35,502.25,6602
2023-12-15,503.45,565.55,502.25,556.6,100507
2023-12-18,568.0,587.45,552.05,554.0,26461
2023-12-19,557.0,594.35,553.75,582.35,44096
2023-12-20,582.55,593.6,546.7,554.2,38236
2023-12-21,539.5,559.0,538.0,552.55,26383
2023-12-22,552.15,565.9,548.7,553.9,8512
2023-12-26,555.3,585.0,547.2,565.6,40235
2023-12-27,584.4,584.4,562.85,565.65,203934
2023-12-28,584.35,602.4,566.75,591.5,36976
2023-12-29,581.9,614.0,579.9,582.8,60572
2024-01-01,587.85,589.15,575.9,577.8,5877
2024-01-02,579.55,585.0,564.95,569.85,16431
2024-01-03,579.0,580.25,569.05,572.8,9521
2024-01-04,570.05,584.15,570.0,572.45,4222
2024-01-05,579.95,579.95,561.55,569.95,10496
2024-01-08,576.65,582.45,561.9,563.1,6345
2024-01-09,570.55,578.0,564.55,571.3,14477
2024-01-10,574.5,583.4,564.65,567.6,7430
2024-01-11,570.6,600.0,570.6,593.45,12091
2024-01-12,593.0,599.0,577.05,582.3,15656
2024-01-15,582.55,595.05,577.35,579.85,14894
2024-01-16,579.3,588.15,561.95,570.95,26697
2024-01-17,560.15,578.45,560.15,571.3,6303
2024-01-18,577.3,577.3,561.65,569.05,11208
2024-01-19,574.7,582.0,568.85,578.05,3418
2024-01-20,579.5,593.75,569.05,574.05,8438
2024-01-23,583.05,589.15,562.85,580.05,26790
2024-01-24,579.95,613.65,562.0,589.4,42414
2024-01-25,591.0,595.45,580.55,581.8,12866
2024-01-29,600.0,600.0,580.25,583.0,8874
2024-01-30,580.0,589.7,577.0,583.45,16401
2024-01-31,585.3,616.15,579.9,596.15,22916
2024-02-01,596.0,629.0,588.8,610.0,24144
2024-02-02,614.5,635.0,596.25,613.6,42446
2024-02-05,610.2,625.25,603.05,609.45,24014
2024-02-06,619.85,619.85,600.65,602.55,4162
2024-02-07,602.65,616.55,602.65,606.2,18889
2024-02-08,607.0,615.0,600.1,607.25,11483
2024-02-09,600.05,615.0,580.3,606.7,19581
2024-02-12,615.8,615.8,587.35,596.05,9124
2024-02-13,539.85,548.5,482.75,501.0,55425
2024-02-14,494.95,517.0,494.85,514.15,28711
2024-02-15,517.65,546.1,501.0,523.3,33573
2024-02-16,528.65,542.9,521.75,531.95,10929
2024-02-19,536.9,539.85,530.45,534.2,16234
2024-02-20,535.0,547.0,526.25,536.15,16626
2024-02-21,528.9,536.8,522.5,529.05,17161
2024-02-22,557.9,557.9,520.35,526.0,7638
2024-02-23,541.95,541.95,516.0,519.2,7296
2024-02-26,511.15,521.95,507.0,514.2,36097
2024-02-27,520.25,520.25,503.0,504.8,19755
2024-02-28,502.05,509.35,491.95,496.6,25695
2024-02-29,490.1,502.6,490.1,495.75,16042
2024-03-01,495.0,502.65,489.1,490.0,5445
2024-03-02,492.8,514.5,491.9,510.75,5745
2024-03-04,516.75,520.0,489.65,494.65,28829
2024-03-05,496.8,496.8,481.35,489.65,17761
2024-03-06,480.85,486.05,466.3,470.35,18415
2024-03-07,479.75,479.75,458.9,467.25,15235
2024-03-11,467.55,472.45,455.85,457.55,17929
2024-03-12,464.55,464.55,435.05,441.75,14802
2024-03-13,435.8,457.85,405.45,410.6,37832
2024-03-14,403.05,445.9,403.05,431.75,66204
2024-03-15,423.25,453.0,422.55,449.25,19979
2024-03-18,440.3,447.05,429.3,430.1,12854
2024-03-19,428.75,456.8,428.75,435.1,14505
2024-03-20,436.1,439.0,426.65,429.5,10552
2024-03-21,433.0,436.15,423.4,424.95,3617
2024-03-22,425.05,439.15,425.05,428.65,9718
2024-03-26,430.05,436.3,412.0,415.85,15869
2024-03-27,417.5,428.65,417.0,425.75,10428
2024-03-28,425.75,447.85,425.75,442.5,13385
2024-04-01,449.95,470.0,441.65,453.8,19927
2024-04-02,454.5,466.05,451.05,452.5,8076
2024-04-03,445.05,467.7,445.05,462.6,4288
2024-04-04,468.95,468.95,455.5,459.0,5865
2024-04-05,460.1,468.85,458.65,461.6,2902
2024-04-08,465.0,476.8,462.4,463.45,13633
2024-04-09,463.45,470.6,457.3,460.7,3383
2024-04-10,459.6,459.6,450.6,455.15,5719
2024-04-12,453.85,459.15,452.0,455.1,7375
2024-04-15,444.05,448.8,435.25,437.7,3498
2024-04-16,441.1,444.95,437.75,441.4,2528
2024-04-18,441.4,449.0,432.4,436.55,6249
2024-04-19,425.6,436.75,424.45,429.85,5367
2024-04-22,425.7,439.85,425.7,437.15,6504
