Datetime,Open,High,Low,Close,Volume
2025-07-09,80.0,80.0,80.0,80.0,25000
2025-07-14,64.0,64.0,64.0,64.0,25000
2025-07-15,64.0,64.0,51.2,51.2,50000
2025-07-30,60.0,60.0,60.0,60.0,25000
2025-08-04,72.0,72.0,72.0,72.0,25000
2025-08-20,72.0,72.0,72.0,72.0,25000
2025-09-10,57.7,57.7,57.7,57.7,25000
2025-09-18,55.0,55.0,55.0,55.0,200000
2025-09-19,55.0,55.0,55.0,55.0,50000
2025-09-22,55.0,55.0,52.3,53.64,575000
2025-09-23,63.4,63.4,52.05,52.15,75000
2025-09-25,53.05,53.05,53.05,53.05,25000
2025-09-26,53.15,53.15,53.1,53.1,50000
2025-09-29,53.0,53.0,53.0,53.0,200000
2025-09-30,53.25,53.25,50.0,50.0,425000
2025-10-03,53.82,53.82,53.82,53.82,375000
2025-10-07,50.0,50.0,50.0,50.0,150000
2025-10-16,53.5,53.5,53.0,53.0,100000
2025-10-17,53.5,53.5,53.5,53.5,25000
2025-10-24,55.0,55.0,55.0,55.0,25000
2025-10-27,55.0,55.0,55.0,55.0,25000
2025-11-03,55.0,60.0,55.0,60.0,75000
2025-12-01,60.0,63.0,60.0,63.0,50000
2025-12-03,68.0,68.0,68.0,68.0,25000
2025-12-15,68.0,68.0,68.0,68.0,25000
2025-12-18,70.0,70.0,70.0,70.0,25000
2025-12-26,60.0,64.88,56.05,62.1,12275000
2025-12-30,60.7,60.7,60.7,60.7,25000
2026-01-01,61.2,61.2,61.2,61.2,25000
2026-01-06,65.0,67.99,65.0,67.99,50000
2026-02-03,68.0,68.0,68.0,68.0,25000
2026-02-05,66.5,66.5,60.0,60.0,50000
2026-02-06,60.05,60.05,50.05,56.7,75000
2026-02-11,59.5,59.5,59.5,59.5,25000
2026-02-17,60.01,60.01,60.01,60.01,25000
2026-02-24,60.0,60.0,60.0,60.0,25000
2026-02-26,60.01,60.01,60.01,60.01,25000
2026-02-27,60.0,60.0,60.0,60.0,25000
2026-03-05,65.0,65.0,65.0,65.0,25000
2026-03-17,65.0,65.0,65.0,65.0,75000
2026-03-30,62.05,62.05,62.0,62.0,50000
2026-04-15,65.0,65.0,65.0,65.0,75000
2026-04-16,65.0,68.0,65.0,68.0,50000
2026-04-30,61.0,61.0,61.0,61.0,50000
2026-05-04,61.0,61.0,61.0,61.0,0
2026-05-05,61.0,61.0,61.0,61.0,0
2026-05-06,61.0,61.0,61.0,61.0,0
