Datetime,Open,High,Low,Close,Volume
2024-12-09,549.0,567.95,521.55,521.55,63264
2024-12-10,495.5,495.5,495.5,495.5,6526
2024-12-11,477.0,520.25,477.0,520.25,71568
2024-12-12,546.25,546.25,522.75,545.6,16267
2024-12-13,548.0,551.0,518.35,543.7,13993
2024-12-16,523.0,528.95,516.55,516.55,4862
2024-12-17,493.55,513.0,490.75,508.15,9037
2024-12-18,492.0,509.5,492.0,498.1,1028
2024-12-19,478.05,504.95,478.05,491.0,4582
2024-12-20,501.95,501.95,480.2,491.2,2566
2024-12-23,502.75,510.0,466.0,470.45,3836
2024-12-24,475.8,477.45,465.4,471.6,1743
2024-12-26,479.75,479.8,450.0,463.85,3881
2024-12-27,466.3,478.9,454.0,458.1,1419
2024-12-30,455.05,474.9,434.95,459.3,3436
2024-12-31,450.85,464.0,444.5,459.55,1383
2025-01-01,463.3,470.0,451.9,463.45,1195
2025-01-02,454.2,484.6,454.2,476.3,2319
2025-01-03,488.35,497.0,470.7,490.5,1770
2025-01-06,482.25,495.5,458.05,474.85,2028
2025-01-07,471.5,480.05,465.5,476.5,401
2025-01-08,478.7,478.7,465.0,471.05,1135
2025-01-09,470.5,478.15,457.7,462.7,2183
2025-01-10,467.1,480.75,450.8,455.0,2172
2025-01-13,451.95,451.95,429.0,430.9,1505
2025-01-14,430.45,469.95,425.45,457.7,1634
2025-01-15,461.5,473.0,457.55,467.4,732
2025-01-16,467.4,476.5,456.0,461.05,1342
2025-01-17,467.4,467.4,448.0,448.85,845
2025-01-20,450.6,470.6,444.45,463.45,2402
2025-01-21,463.45,466.0,444.0,458.6,668
2025-01-22,444.0,446.35,425.1,443.25,3624
2025-01-23,447.0,447.0,414.65,431.5,1745
2025-01-24,428.85,440.55,426.5,434.0,986
2025-01-27,430.0,430.0,396.0,403.9,2453
2025-01-28,406.95,408.9,391.0,408.05,1073
2025-01-29,409.0,415.6,394.0,400.95,2187
2025-01-30,408.7,420.9,399.55,402.3,351
2025-01-31,408.65,409.0,390.0,393.05,999
2025-02-01,407.35,410.25,385.2,399.2,477
2025-02-03,391.9,393.5,370.0,384.25,2674
2025-02-04,386.05,394.5,375.0,388.05,1905
2025-02-05,392.65,400.5,382.65,387.15,1136
2025-02-06,393.4,405.3,380.6,388.7,3146
2025-02-07,422.8,422.8,352.4,366.25,5814
2025-02-10,363.35,366.0,323.25,332.7,6003
2025-02-11,328.05,337.5,317.3,326.35,1594
2025-02-12,334.55,345.25,304.95,340.2,3006
2025-02-13,330.6,335.35,317.55,321.55,2541
2025-02-14,328.25,328.25,287.05,305.25,7002
2025-02-17,320.0,320.0,286.0,300.8,5839
2025-02-18,300.8,303.0,277.5,285.7,2968
2025-02-19,280.55,324.0,280.3,308.5,1887
2025-02-20,307.0,309.55,295.25,305.45,2043
2025-02-21,295.95,304.95,290.25,297.4,2315
2025-02-24,286.05,290.05,283.6,284.95,317
2025-02-25,288.0,296.0,280.0,283.35,2208
2025-02-27,283.35,285.15,265.95,267.3,1505
2025-02-28,270.55,280.3,260.0,269.1,1336
2025-03-03,274.5,274.5,245.65,261.75,5033
2025-03-04,259.1,273.95,257.55,267.45,2660
2025-03-05,272.95,288.8,267.8,281.2,1276
2025-03-06,282.0,295.25,282.0,294.45,2789
2025-03-07,301.75,306.8,286.05,302.0,2471
2025-03-10,299.4,299.4,286.9,286.9,900
2025-03-11,275.0,281.85,272.6,274.7,1691
2025-03-12,265.5,278.9,261.0,264.0,1642
2025-03-13,262.0,264.0,252.0,256.45,2257
2025-03-17,256.45,256.45,243.65,243.65,3925
2025-03-18,240.55,255.1,231.5,253.1,5317
2025-03-19,248.1,265.75,242.0,265.0,9890
2025-03-20,269.8,278.25,265.0,278.25,5999
2025-03-21,289.95,292.15,282.3,292.15,3901
2025-03-24,304.45,304.45,292.15,300.65,4205
2025-03-25,309.9,309.9,292.5,297.55,5466
2025-03-26,292.2,292.2,291.6,291.6,573
2025-03-27,291.1,291.7,286.05,289.0,1049
2025-03-28,288.0,288.0,283.25,283.25,638
2025-04-01,283.4,283.4,278.3,279.6,650
2025-04-02,285.0,285.0,284.95,284.95,20
2025-04-03,287.6,290.5,284.95,290.5,269
2025-04-04,288.1,289.85,288.05,289.0,1173
2025-04-07,283.25,283.25,283.25,283.25,45
2025-04-08,277.6,288.5,277.6,288.5,536
2025-04-09,287.8,287.8,282.9,282.9,119
2025-04-11,283.0,286.4,283.0,286.4,2344
2025-04-15,292.1,292.1,292.1,292.1,2136
2025-04-16,295.0,297.0,295.0,297.0,204
2025-04-17,297.3,302.9,297.3,302.9,282
2025-04-21,302.9,308.95,302.9,308.95,995
2025-04-22,315.1,315.1,312.0,312.0,1514
2025-04-23,318.1,318.2,312.0,318.0,2889
2025-04-24,318.9,324.35,318.9,324.35,2001
2025-04-25,327.9,327.9,317.9,317.9,3052
2025-04-28,312.0,314.75,311.55,312.0,1043
2025-04-29,318.0,318.0,310.0,310.0,376
