Datetime,Open,High,Low,Close,Volume
2021-02-01,297.6,299.9,287.0,294.85,4181
2021-02-02,299.0,307.95,299.0,303.45,1833
2021-02-03,308.0,329.8,306.0,324.75,12186
2021-02-04,330.0,333.95,321.95,325.0,7413
2021-02-05,330.3,330.3,318.95,327.25,5295
2021-02-08,326.7,349.95,324.85,342.1,8730
2021-02-09,342.85,350.0,332.05,337.3,12912
2021-02-10,342.75,343.9,332.9,337.2,4330
2021-02-11,339.1,350.95,337.1,346.6,5994
2021-02-12,349.0,352.5,325.45,327.7,18665
2021-02-15,332.0,341.7,327.5,329.1,3920
2021-02-16,331.0,336.7,321.3,327.75,1766
2021-02-17,320.05,330.2,316.55,323.45,4774
2021-02-18,326.1,326.1,303.2,306.1,12079
2021-02-19,309.95,315.0,297.3,299.3,3354
2021-02-22,304.95,312.95,299.25,307.65,13223
2021-02-23,310.0,315.0,303.0,307.05,5154
2021-02-24,313.0,313.0,307.0,308.2,3969
2021-02-25,310.0,310.0,300.1,302.85,9408
2021-02-26,301.0,305.55,290.0,303.6,8556
2021-03-01,303.0,306.95,298.8,306.4,7013
2021-03-02,317.2,328.0,311.5,315.0,10559
2021-03-03,316.0,318.0,312.5,314.8,10726
2021-03-04,312.0,328.95,311.0,324.4,10892
2021-03-05,323.0,341.0,322.5,325.1,15773
2021-03-08,320.1,334.35,320.0,320.8,4933
2021-03-09,324.0,328.0,316.25,319.1,3294
2021-03-10,320.0,325.0,317.35,323.45,4846
2021-03-12,324.0,328.5,321.3,325.45,2392
2021-03-15,327.0,390.5,323.2,378.4,72646
2021-03-16,391.0,397.0,364.1,377.45,18017
2021-03-17,367.4,390.0,355.0,359.35,9974
2021-03-18,367.0,370.3,333.5,346.7,21658
2021-03-19,327.15,346.95,324.1,341.15,15121
2021-03-22,345.75,358.2,338.0,350.65,5256
2021-03-23,352.15,357.7,346.75,352.05,2652
2021-03-24,349.6,367.55,340.0,344.95,5189
2021-03-25,345.0,347.75,333.35,337.2,8531
2021-03-26,345.0,346.75,334.4,335.15,3746
2021-03-30,340.75,342.85,333.0,340.8,2007
2021-03-31,348.4,348.4,330.85,336.85,6310
2021-04-01,344.95,374.3,340.0,369.8,16077
2021-04-05,365.85,368.85,354.05,357.3,3448
2021-04-06,366.0,376.7,352.3,362.65,13762
2021-04-07,356.0,372.45,356.0,362.05,6712
2021-04-08,362.25,369.95,359.0,361.1,5647
2021-04-09,362.0,364.0,356.0,358.5,3135
2021-04-12,332.0,350.15,332.0,334.8,6695
2021-04-13,321.0,351.85,321.0,338.3,5603
2021-04-15,336.75,340.25,332.0,335.2,1490
2021-04-16,336.0,343.0,326.0,332.65,6192
2021-04-19,332.5,332.5,321.65,323.9,2609
2021-04-20,323.9,337.35,321.0,330.05,4662
2021-04-22,330.15,342.6,330.15,340.2,5694
2021-04-23,337.3,350.4,334.0,336.0,3558
2021-04-26,342.2,345.75,337.0,338.9,1020
2021-04-27,339.7,346.0,332.1,337.2,7316
2021-04-28,343.9,345.95,337.1,339.0,2099
2021-04-29,341.9,345.1,333.0,338.15,2199
2021-04-30,338.0,358.3,328.0,347.65,8316
2021-05-03,354.0,359.5,340.05,354.05,3094
2021-05-04,359.3,389.95,354.1,372.4,16507
2021-05-05,376.0,376.0,360.65,371.85,15149
2021-05-06,361.6,385.0,361.6,372.25,12456
2021-05-07,377.3,382.7,367.9,380.0,6015
2021-05-10,381.0,399.7,379.75,385.15,22977
2021-05-11,392.0,417.2,381.05,401.65,16204
2021-05-12,415.0,415.0,389.1,392.7,12690
2021-05-14,398.0,398.7,376.0,385.5,18921
2021-05-17,387.95,393.7,383.4,384.3,5635
2021-05-18,392.0,399.0,387.05,391.5,6153
2021-05-19,400.0,404.2,389.65,395.05,7447
2021-05-20,397.9,402.65,390.5,392.25,6908
2021-05-21,391.4,409.0,391.4,394.15,9392
2021-05-24,400.0,445.0,400.0,428.65,26527
2021-05-25,450.0,461.6,443.1,450.2,25119
2021-05-26,456.7,469.2,434.6,445.15,33867
2021-05-27,447.25,449.3,439.15,441.8,4680
2021-05-28,441.85,449.35,430.55,432.05,8424
2021-05-31,432.1,432.35,422.4,422.85,2498
2021-06-01,448.0,448.0,403.0,412.75,11557
2021-06-02,438.95,438.95,416.95,432.0,4948
2021-06-03,435.0,439.9,428.05,430.55,7392
2021-06-04,434.05,441.1,425.8,429.1,7347
2021-06-07,429.0,452.65,429.0,449.35,7584
2021-06-08,470.0,471.0,455.95,462.3,7619
2021-06-09,462.45,533.7,462.45,500.15,88236
2021-06-10,485.0,575.0,485.0,567.0,77860
2021-06-11,568.6,604.0,568.6,576.85,40091
2021-06-14,577.0,577.35,526.6,552.3,20487
2021-06-15,555.0,565.05,545.0,547.75,8011
2021-06-16,554.6,564.0,502.0,508.0,21632
2021-06-17,507.6,520.8,495.0,500.0,8691
2021-06-18,520.0,520.0,462.15,500.8,8893
2021-06-21,486.75,510.0,476.25,496.25,4608
2021-06-22,505.0,514.3,503.4,508.9,5573
2021-06-23,514.35,520.2,504.05,507.1,4203
2021-06-24,511.15,532.25,510.8,516.6,5150
2021-06-25,525.65,537.0,508.95,533.35,9589
2021-06-28,547.9,547.9,530.05,533.95,5730
2021-06-29,543.0,588.45,537.7,573.35,36644
2021-06-30,580.0,600.0,555.0,563.6,14102
2021-07-01,560.6,594.5,560.6,580.35,26899
2021-07-02,594.15,595.95,567.4,572.4,9046
2021-07-05,578.9,589.5,568.45,570.95,14801
2021-07-06,574.65,584.05,557.85,564.1,7016
2021-07-07,578.5,578.5,560.0,562.75,8097
2021-07-08,566.2,583.9,563.3,567.55,8397
2021-07-09,566.8,572.85,555.55,560.45,14326
2021-07-12,567.1,615.0,567.1,592.2,23077
2021-07-13,621.95,621.95,585.45,588.25,7511
2021-07-14,587.75,606.2,586.0,589.3,16652
2021-07-15,593.3,609.4,589.85,594.3,17839
2021-07-16,586.0,645.0,586.0,639.35,66656
2021-07-19,638.0,767.2,611.0,765.65,175254
2021-07-20,785.0,809.95,705.0,734.55,106048
2021-07-22,750.0,765.0,741.0,747.35,14078
2021-07-23,744.7,757.95,717.6,720.7,10020
2021-07-26,721.0,742.8,709.5,716.75,4310
2021-07-27,726.7,774.0,723.05,742.8,16799
2021-07-28,768.95,768.95,708.65,717.5,8253
2021-07-29,704.0,740.0,704.0,730.05,6726
2021-07-30,753.3,754.8,715.2,717.45,10687
2021-08-02,731.8,734.0,707.7,709.75,5960
2021-08-03,719.7,743.65,711.0,715.1,15886
2021-08-04,715.0,734.1,706.0,709.25,6715
2021-08-05,714.75,717.75,661.5,680.7,21569
2021-08-06,687.65,699.0,680.0,685.05,7509
2021-08-09,687.85,689.8,655.75,662.85,8133
2021-08-10,662.85,677.95,609.25,648.55,9892
2021-08-11,648.15,653.75,605.5,629.9,22227
2021-08-12,630.0,692.85,630.0,686.85,13584
2021-08-13,685.0,706.95,674.65,680.85,17166
2021-08-16,691.0,694.5,650.0,656.2,3782
2021-08-17,675.0,675.0,638.25,648.2,10292
2021-08-18,633.0,667.3,633.0,649.0,3910
2021-08-20,633.0,650.0,616.0,627.2,19667
2021-08-23,615.0,638.55,564.2,598.85,15178
2021-08-24,609.0,655.0,606.0,642.4,19110
2021-08-25,653.9,659.05,605.5,636.65,30826
2021-08-26,651.4,651.4,634.95,639.4,4245
2021-08-27,642.8,701.05,636.45,691.65,25976
2021-08-30,699.0,715.0,670.7,681.4,16525
2021-08-31,662.1,710.0,662.1,702.4,13989
2021-09-01,681.0,714.95,680.95,706.15,23535
2021-09-02,712.35,719.35,694.85,702.0,11319
2021-09-03,703.0,728.9,703.0,721.8,10619
2021-09-06,656.0,729.3,656.0,725.55,8413
2021-09-07,724.0,774.25,710.55,753.3,43134
2021-09-08,756.0,779.05,747.55,761.75,26719
2021-09-09,765.0,772.75,763.1,767.65,7381
2021-09-13,772.6,795.0,768.0,786.05,11970
2021-09-14,789.0,853.95,789.0,843.95,48834
2021-09-15,846.0,1012.7,846.0,1007.2,128153
2021-09-16,1015.5,1033.45,969.95,992.55,51623
2021-09-17,1000.1,1010.0,939.05,986.7,26064
2021-09-20,957.1,1147.15,957.1,1084.05,41644
2021-09-21,1095.0,1124.5,994.55,1036.55,31282
2021-09-22,1035.9,1056.25,996.0,1000.5,14897
2021-09-23,1015.0,1035.0,990.0,993.25,13275
2021-09-24,999.0,1027.85,960.1,972.55,15650
2021-09-27,966.0,994.7,952.1,958.95,9038
2021-09-28,960.0,998.0,940.0,963.85,12465
2021-09-29,949.8,982.0,939.15,960.15,10966
2021-09-30,959.75,992.0,951.85,962.6,6567
2021-10-01,970.0,970.3,943.3,954.2,4456
2021-10-04,954.2,977.7,941.0,943.65,8425
2021-10-05,951.85,952.7,920.9,928.3,7941
2021-10-06,940.8,945.0,906.0,909.1,7574
2021-10-07,930.0,983.0,922.9,947.65,24200
2021-10-08,954.8,956.35,925.2,933.5,12421
2021-10-11,933.5,952.75,907.0,914.25,9007
2021-10-12,919.8,965.7,917.45,956.9,15360
2021-10-13,970.4,971.35,942.15,954.6,3615
2021-10-14,952.25,1010.0,925.35,993.65,30799
2021-10-18,1000.0,1000.0,939.65,942.2,14949
2021-10-19,962.2,1003.15,948.55,955.8,21236
2021-10-20,954.1,963.0,886.95,923.4,12563
2021-10-21,927.65,940.0,920.7,926.4,3723
2021-10-22,931.9,940.95,885.65,900.6,5981
2021-10-25,870.0,914.0,839.4,845.7,8978
2021-10-26,892.0,892.0,785.0,797.25,27475
2021-10-27,820.0,830.0,780.2,798.15,18060
2021-10-28,817.0,817.0,750.0,764.95,13576
2021-10-29,741.05,805.0,733.7,765.85,14835
2021-11-01,768.6,792.7,762.3,768.2,6045
2021-11-02,785.95,796.4,772.85,789.1,2412
2021-11-03,786.55,795.55,763.85,773.55,2959
2021-11-04,774.0,800.0,774.0,796.5,2384
2021-11-08,796.5,817.0,775.5,777.45,2373
2021-11-09,792.6,823.8,786.45,801.7,6891
2021-11-10,800.45,800.45,775.0,779.65,2190
2021-11-11,785.25,791.55,770.85,773.3,2458
2021-11-12,857.0,857.0,743.0,749.1,6639
2021-11-15,756.45,759.1,720.65,723.85,7182
2021-11-16,723.1,746.95,716.0,740.75,3513
2021-11-17,736.65,745.55,700.0,706.45,18958
2021-11-18,720.65,729.0,693.5,697.15,2375
2021-11-22,677.0,700.0,657.75,672.45,14505
2021-11-23,672.25,722.95,652.85,719.45,10007
2021-11-24,716.5,725.0,697.4,707.45,7223
2021-11-25,700.05,710.35,688.35,692.6,3202
2021-11-26,701.05,771.55,698.85,706.85,14594
2021-11-29,710.05,710.05,649.9,658.35,4481
2021-11-30,680.1,689.1,666.75,669.95,2045
2021-12-01,685.0,685.0,655.0,667.25,5151
2021-12-02,691.65,754.0,690.0,731.15,16113
2021-12-03,744.0,748.65,729.5,734.45,10281
2021-12-06,760.0,760.0,707.15,713.05,3446
2021-12-07,727.85,741.15,712.5,729.35,8245
2021-12-08,731.0,742.0,721.05,726.8,5830
2021-12-09,742.0,742.0,715.9,725.6,1668
2021-12-10,726.55,747.9,717.65,727.95,3143
2021-12-13,742.55,780.0,737.0,755.1,6210
2021-12-14,797.5,797.5,748.05,769.4,3537
2021-12-15,766.0,770.0,737.45,742.65,7698
2021-12-16,749.0,756.55,723.55,727.15,1523
2021-12-17,723.15,726.25,705.6,712.95,1767
2021-12-20,712.0,712.0,660.1,678.3,5106
2021-12-21,692.2,698.35,671.4,678.6,2928
2021-12-22,679.0,694.75,679.0,684.25,4766
2021-12-23,700.1,709.45,692.45,701.4,1922
2021-12-24,709.25,745.0,702.05,739.75,5028
2021-12-27,735.1,743.85,721.3,732.9,4674
2021-12-28,729.5,738.55,718.05,722.3,1469
2021-12-29,723.75,729.5,702.9,709.4,2450
2021-12-30,704.0,723.6,701.1,703.3,619
2021-12-31,709.85,728.0,706.7,716.75,4018
2022-01-03,722.85,734.0,722.85,727.15,1381
2022-01-04,728.4,730.75,714.0,720.7,4648
2022-01-05,722.65,736.35,711.25,718.85,879
2022-01-06,710.4,728.1,696.05,719.6,2490
2022-01-07,719.6,736.9,719.05,722.75,2856
2022-01-10,731.95,794.95,731.95,757.2,7676
2022-01-11,772.0,781.25,760.0,765.2,9154
2022-01-12,770.0,775.55,738.65,746.5,6868
2022-01-13,755.8,756.55,735.2,739.7,3024
2022-01-14,744.4,761.2,730.05,735.85,11531
2022-01-17,750.0,750.0,718.0,719.6,8658
2022-01-18,726.0,727.1,700.05,702.55,7225
2022-01-19,702.15,713.0,691.95,708.7,1744
2022-01-20,711.9,727.0,708.9,719.55,1475
2022-01-21,715.1,716.0,695.0,701.8,2768
2022-01-24,705.05,706.35,671.55,682.6,5604
2022-01-25,673.0,696.0,661.55,690.35,4745
2022-01-27,714.75,714.75,675.05,683.9,5038
2022-01-28,687.5,696.55,680.05,687.5,1800
2022-01-31,698.95,702.85,682.1,684.8,1917
2022-02-01,699.0,699.0,686.0,694.3,2482
2022-02-02,694.7,714.0,690.8,703.7,4051
2022-02-03,702.25,711.2,685.65,691.8,3377
2022-02-04,694.95,701.35,670.25,676.65,4279
2022-02-07,688.0,688.0,670.0,679.7,525
2022-02-08,681.8,681.8,651.65,672.15,2811
2022-02-09,675.4,743.0,663.75,733.85,11206
2022-02-10,754.0,754.0,705.2,709.6,9260
2022-02-11,700.3,707.9,684.3,691.2,953
2022-02-14,690.05,690.05,657.25,665.9,2478
2022-02-15,674.95,680.5,658.95,677.35,2034
2022-02-16,677.2,689.0,667.1,676.65,1433
2022-02-17,677.45,684.45,651.4,661.65,3967
2022-02-18,662.25,664.0,643.0,658.5,2365
2022-02-21,659.9,664.7,636.0,641.35,5078
2022-02-22,630.05,630.05,603.7,613.9,2113
2022-02-23,618.35,626.7,613.0,615.0,7190
2022-02-24,619.95,619.95,560.0,563.55,10088
2022-02-25,597.65,605.0,582.45,592.1,1260
2022-02-28,585.05,599.95,564.05,595.9,4774
2022-03-02,589.95,606.75,584.95,596.0,2498
2022-03-03,599.95,618.05,594.6,601.4,10596
2022-03-04,598.25,603.0,586.85,592.1,1532
2022-03-07,576.95,590.0,562.8,566.65,4709
2022-03-08,574.6,595.75,571.4,584.0,18746
2022-03-09,587.65,642.4,587.65,626.65,16940
2022-03-10,634.95,647.3,620.4,627.95,12275
2022-03-11,628.85,631.0,616.6,619.3,4672
2022-03-14,623.85,631.3,605.15,607.5,8393
2022-03-15,621.0,627.35,600.45,603.45,7990
2022-03-16,618.1,630.7,617.5,627.7,4288
2022-03-17,659.95,659.95,634.0,635.3,6650
2022-03-21,641.05,641.05,622.2,624.35,1636
