Datetime,Open,High,Low,Close,Volume
2019-05-28,9.67,9.67,9.67,9.67,232
2019-06-12,10.08,10.08,10.08,10.08,204
2019-06-18,9.6,9.6,9.6,9.6,179
2019-06-20,10.06,10.06,10.06,10.06,3
2019-06-26,9.57,9.57,9.57,9.57,153
2019-07-03,9.11,9.9,9.11,9.9,165
2019-07-08,9.9,9.9,9.42,9.42,333
2019-07-10,8.96,9.85,8.96,9.85,37
2019-07-11,9.37,9.37,9.37,9.37,153
2019-07-12,8.91,8.91,8.91,8.91,351
2019-07-15,9.34,9.34,8.47,8.47,53
2019-07-16,8.07,8.88,8.07,8.88,17
2019-07-17,9.32,9.32,9.32,9.32,51
2019-07-30,9.32,9.32,9.32,9.32,1
2019-07-31,9.44,9.44,9.44,9.44,5
2019-08-01,8.98,8.98,8.98,8.98,77
2019-08-05,9.27,9.27,9.27,9.27,8
2019-08-08,9.21,9.21,9.21,9.21,51
2019-08-09,8.75,8.75,8.75,8.75,179
2019-08-13,8.75,8.75,8.32,8.32,365
2019-08-14,7.91,7.91,7.91,7.91,86
2019-08-16,7.53,7.53,7.53,7.53,230
2019-08-27,7.17,7.66,7.17,7.17,233
2019-08-28,7.53,7.53,7.53,7.53,1
2019-09-06,7.9,7.9,7.9,7.9,54
2019-09-11,8.67,8.67,8.67,8.67,1
2019-09-12,9.1,9.1,9.1,9.1,12
2019-09-13,9.56,9.56,9.55,9.55,4
2019-09-24,9.55,9.55,9.55,9.55,1
2019-09-25,10.03,10.03,10.02,10.02,14
2019-09-26,10.01,10.01,9.52,9.52,9
2019-10-03,9.52,9.52,9.52,9.52,5
2019-10-04,9.52,9.98,9.52,9.95,3
2019-10-09,9.47,9.47,9.47,9.47,13
2019-10-18,9.9,9.9,9.9,9.9,1
2019-10-31,9.44,9.44,9.42,9.42,510
2019-11-01,9.19,9.19,8.98,8.98,510
2019-11-07,9.42,9.42,9.42,9.42,5
2019-11-14,8.96,8.96,8.96,8.96,51
2019-11-18,9.39,9.39,9.39,9.39,6
2019-11-19,9.19,9.19,9.19,9.19,11
2019-11-22,9.65,9.65,9.65,9.65,2
2019-11-25,9.93,9.93,9.93,9.93,5
2019-11-26,9.44,9.44,9.44,9.44,1
2019-12-18,9.88,9.88,9.88,9.88,15
2019-12-27,10.34,10.34,10.34,10.34,1
2019-12-30,10.31,10.31,10.31,10.31,13
2020-01-09,10.82,10.82,10.77,10.77,1
2020-01-13,10.69,10.69,10.69,10.69,13
2020-01-14,10.69,10.69,10.69,10.69,1
2020-01-21,11.21,11.21,11.21,11.21,3
2020-01-22,11.1,11.1,11.1,11.1,1
2020-01-31,11.54,11.54,11.46,11.46,3
2020-02-01,11.69,11.69,11.69,11.69,3
2020-02-03,11.74,11.74,11.74,11.74,1
2020-02-05,11.72,11.72,11.72,11.72,1
2020-02-07,11.66,11.66,11.66,11.66,1
2020-02-25,11.61,11.61,11.61,11.61,5
2020-04-20,12.0,12.0,12.0,12.0,107
2020-04-23,12.25,12.25,12.25,12.25,26
2020-05-12,11.74,12.25,11.74,12.25,102
2020-05-15,12.25,12.25,12.25,12.25,51
2020-06-04,11.64,11.64,11.64,11.64,2
2020-06-16,11.64,11.64,11.64,11.64,51
2020-06-19,11.64,11.64,11.08,11.08,26
2020-07-01,11.61,11.61,11.61,11.61,26
2020-07-02,11.61,11.61,11.61,11.61,13
2020-07-07,12.12,12.12,12.12,12.12,26
2020-07-09,11.77,12.71,11.77,12.41,2
2020-07-17,13.02,13.02,13.02,13.02,26
2020-07-23,12.94,12.94,12.94,12.94,10
2020-08-17,12.92,12.92,12.92,12.92,13
2020-08-20,12.28,12.28,12.28,12.28,132
2020-08-21,11.74,11.74,11.74,11.74,26
2020-08-27,11.23,11.23,11.15,11.21,260
2020-08-28,10.67,10.67,10.67,10.67,128
2020-09-02,10.21,10.21,10.16,10.16,77
2020-09-03,10.41,10.41,10.41,10.41,51
2020-09-04,9.9,9.9,9.9,9.9,100
2020-09-08,9.93,9.93,9.93,9.93,1
2020-09-09,9.44,9.44,9.44,9.44,3
2020-09-11,8.98,8.98,8.98,8.98,9
2020-09-14,9.42,9.42,8.55,8.55,82
2020-09-15,8.42,8.68,8.42,8.68,279
2020-09-17,9.09,9.09,8.24,8.24,469
2020-09-18,8.65,8.65,8.19,8.19,296
2020-09-25,8.6,8.6,8.6,8.6,15
2020-09-28,9.01,9.01,8.42,9.01,48
2020-09-29,8.58,9.19,8.58,9.19,158
2020-09-30,9.47,9.47,9.47,9.47,207
2020-10-01,9.47,9.47,9.01,9.01,102
2020-10-05,9.01,9.01,9.01,9.01,16
