Datetime,Open,High,Low,Close,Volume
2019-05-29,37.5,37.5,36.0,36.0,35
2019-05-30,42.0,42.0,37.0,39.95,350
2019-06-03,36.0,38.5,34.65,34.65,63
2019-06-10,36.0,36.0,34.55,34.55,25
2019-06-11,34.55,34.55,34.55,34.55,50
2019-06-12,31.3,37.7,31.25,33.15,1410
2019-06-13,35.8,35.8,35.0,35.45,175
2019-06-14,32.05,34.85,32.05,32.35,1150
2019-06-17,34.75,34.75,34.4,34.4,216
2019-06-18,31.65,33.0,31.0,31.0,2914
2019-06-19,29.05,31.0,29.05,30.15,294
2019-06-20,32.9,32.95,31.0,31.3,5144
2019-06-21,34.0,34.15,30.0,34.15,928
2019-06-24,35.0,37.55,31.9,31.9,3358
2019-06-26,32.0,33.9,29.3,33.65,2949
2019-06-27,35.0,36.8,33.0,34.75,296
2019-06-28,38.2,38.2,33.0,34.85,101
2019-07-01,36.25,36.25,31.4,31.95,1000
2019-07-02,35.05,35.05,31.0,31.9,678
2019-07-03,32.0,34.5,30.5,32.95,1543
2019-07-04,33.5,33.5,33.05,33.25,23
2019-07-05,34.0,35.4,31.15,32.6,113
2019-07-08,33.5,34.95,30.0,33.0,2219
2019-07-09,32.6,32.8,30.3,32.65,1331
2019-07-10,32.0,34.5,30.5,31.15,1024
2019-07-11,34.25,34.25,28.25,30.9,4471
2019-07-12,33.0,33.0,32.0,32.0,8
2019-07-15,28.8,32.5,28.8,31.0,82
2019-07-16,32.0,32.0,32.0,32.0,2
2019-07-17,32.0,32.0,31.75,32.0,367
2019-07-18,32.5,32.5,30.5,30.95,3970
2019-07-19,34.0,34.0,29.15,30.95,118
2019-07-22,31.05,31.05,29.4,30.95,95
2019-07-23,33.95,33.95,29.05,33.7,2283
2019-07-24,36.85,36.85,30.35,31.3,1649
2019-07-25,29.75,31.8,29.75,31.8,79
2019-07-26,34.65,34.65,28.65,31.65,2704
2019-07-29,30.0,30.0,28.5,28.5,585
2019-07-30,31.25,31.25,25.7,29.2,4302
2019-07-31,32.1,32.1,27.0,31.3,1178
2019-08-01,34.4,34.4,28.2,31.15,156
2019-08-02,34.25,34.25,28.1,31.0,424
2019-08-05,34.1,34.1,27.9,28.95,1601
2019-08-06,27.05,30.9,26.1,30.8,862
2019-08-07,36.95,36.95,28.0,31.35,921
2019-08-08,37.6,37.6,28.0,31.75,1125
2019-08-09,37.8,37.8,27.0,28.65,1197
2019-08-13,33.9,33.9,27.1,29.5,3561
2019-08-14,30.0,30.0,26.5,27.9,4313
2019-08-16,28.2,29.45,26.6,27.7,6826
2019-08-19,30.9,30.9,26.0,28.7,1868
2019-08-20,33.4,33.4,24.55,26.2,5059
2019-08-21,29.0,29.5,22.4,25.5,2221
