Datetime,Open,High,Low,Close,Volume
2019-05-28,191.75,192.5,180.35,184.3,7488
2019-05-29,185.0,186.0,178.0,182.25,2226
2019-05-30,178.2,184.25,178.2,180.65,4856
2019-06-03,191.5,191.5,183.1,186.35,7094
2019-06-10,184.45,186.85,181.0,181.0,2692
2019-06-11,181.0,181.95,178.0,178.3,5950
2019-06-12,179.0,181.5,173.7,176.8,1266
2019-06-13,179.9,179.9,171.25,172.05,4020
2019-06-14,172.6,175.25,171.0,174.15,1529
2019-06-17,177.7,177.7,169.1,174.0,3929
2019-06-18,170.8,173.7,169.05,170.0,2981
2019-06-19,176.5,176.5,164.5,165.75,5471
2019-06-20,165.3,169.9,160.1,164.8,7474
2019-06-21,164.0,166.0,158.55,165.0,11087
2019-06-24,163.35,167.2,157.55,161.15,11688
2019-06-25,161.0,163.6,159.25,161.4,2520
2019-06-26,164.35,164.35,159.0,163.0,4533
2019-06-27,160.25,165.0,159.6,163.0,7861
2019-06-28,160.5,178.0,160.1,168.55,21149
2019-07-01,168.1,178.0,168.0,174.7,8708
2019-07-02,175.0,177.0,173.6,176.25,2685
2019-07-03,174.0,186.9,172.05,181.2,14982
2019-07-04,183.0,183.8,178.5,178.8,2241
2019-07-05,177.4,178.0,171.05,171.55,4041
2019-07-08,172.0,174.4,165.65,168.3,6299
2019-07-09,165.1,168.0,165.0,165.45,4748
2019-07-10,167.0,167.0,161.5,162.05,4623
2019-07-11,161.5,168.0,161.5,163.65,6343
2019-07-12,162.05,164.95,161.1,162.0,1336
2019-07-15,162.2,164.9,162.2,162.75,1792
2019-07-16,161.2,165.0,161.05,162.25,6042
2019-07-17,161.1,165.0,158.65,159.6,6063
2019-07-18,157.25,161.95,155.0,155.35,8029
2019-07-19,155.0,157.95,150.0,151.6,8350
2019-07-22,150.0,150.0,142.0,144.55,12755
2019-07-23,144.0,150.45,144.0,148.75,1521
2019-07-24,148.5,148.9,144.0,145.55,4340
2019-07-25,142.65,146.8,142.0,144.15,9232
2019-07-26,143.4,156.0,143.4,152.55,3027
2019-07-29,154.45,154.45,145.3,147.4,4691
2019-07-30,147.3,150.9,141.1,142.65,4953
2019-07-31,143.0,143.0,138.55,141.6,4217
2019-08-01,136.0,142.0,135.1,136.7,5719
2019-08-02,136.9,141.9,135.0,139.9,2273
2019-08-05,132.35,138.1,132.3,132.75,4311
2019-08-06,137.9,138.0,133.5,136.75,2665
2019-08-07,137.9,141.0,136.05,137.95,1576
2019-08-08,133.6,138.05,133.0,135.7,4471
2019-08-09,140.0,144.95,138.0,140.4,6279
2019-08-13,140.25,145.0,137.55,141.55,4254
2019-08-14,142.5,163.9,142.5,157.0,18424
2019-08-16,157.0,159.9,153.0,154.1,4930
2019-08-19,155.0,159.0,155.0,157.0,2446
2019-08-20,157.5,157.95,153.05,154.4,2559
2019-08-21,153.05,154.0,146.3,146.35,3836
2019-08-22,142.2,149.0,138.0,139.2,9258
2019-08-23,137.35,145.45,137.2,143.95,5541
2019-08-26,150.0,150.5,146.0,148.35,4198
2019-08-27,146.2,157.95,146.2,153.15,3452
2019-08-28,151.5,157.9,150.0,151.1,6683
2019-08-29,152.0,152.8,144.8,147.85,4364
2019-08-30,151.9,153.0,145.5,146.75,4430
2019-09-03,145.0,147.0,145.0,146.3,3002
2019-09-04,144.55,149.0,141.0,143.05,1635
2019-09-05,145.0,149.4,143.1,145.9,3975
2019-09-06,147.45,149.0,145.0,145.6,8782
2019-09-11,147.45,157.8,147.45,152.65,25996
2019-09-12,155.1,163.45,152.35,160.4,12152
2019-09-13,163.95,169.0,159.0,167.3,11733
2019-09-16,166.95,167.0,150.0,152.5,21470
2019-09-17,153.0,154.95,150.0,152.45,9303
2019-09-18,150.65,157.0,150.65,153.05,2818
2019-09-19,153.0,153.0,148.1,150.7,4076
2019-09-20,147.55,157.5,147.3,155.4,9189
2019-09-23,156.5,172.95,156.1,166.05,18661
2019-09-24,166.5,168.75,162.1,163.45,10902
2019-09-25,162.35,162.75,157.55,158.7,8032
2019-09-26,158.5,160.0,157.2,158.0,6694
2019-09-27,158.0,158.0,151.0,153.1,14947
2019-09-30,151.55,158.6,147.75,148.6,59723
2019-10-01,147.05,150.7,147.05,149.1,4803
2019-10-03,150.0,150.0,143.05,144.4,7480
2019-10-04,145.0,145.85,141.0,144.55,6698
2019-10-07,142.25,146.0,142.25,143.65,5319
2019-10-09,142.5,143.55,140.25,141.05,17491
2019-10-10,142.0,142.8,140.35,141.55,2335
2019-10-11,143.0,143.0,140.05,140.35,3843
2019-10-14,141.0,143.0,135.0,138.7,26852
2019-10-15,142.9,142.9,136.0,136.7,11540
2019-10-16,138.0,138.4,134.2,134.75,5490
2019-10-17,132.65,143.5,132.65,140.9,29195
2019-10-18,138.1,142.9,135.9,139.35,8720
2019-10-22,141.4,143.0,139.5,140.3,5613
2019-10-23,138.1,140.9,137.0,137.7,4193
2019-10-24,136.3,137.85,134.25,136.35,22913
2019-10-25,137.0,138.9,135.1,135.55,17713
2019-10-29,141.4,143.8,136.0,140.95,20557
