Datetime,Open,High,Low,Close,Volume
2024-07-26,106.4,127.68,106.4,115.09,10345684
2024-07-29,117.35,119.5,113.13,114.13,1646705
2024-07-30,114.14,123.47,114.14,118.28,831465
2024-07-31,119.49,121.9,117.43,118.24,713119
2024-08-01,119.2,120.5,114.7,115.65,527954
2024-08-02,113.3,121.8,112.5,120.2,724017
2024-08-05,115.05,117.2,112.25,113.5,333897
2024-08-06,114.1,116.35,110.05,111.0,501361
2024-08-07,114.95,116.3,112.05,115.7,290329
2024-08-08,115.55,116.15,113.0,113.5,112435
2024-08-09,114.8,115.3,112.8,113.95,306072
2024-08-12,113.5,119.5,112.05,115.15,632993
2024-08-13,115.85,116.65,112.3,113.15,359887
2024-08-14,114.0,115.85,110.6,113.05,196235
2024-08-16,114.0,115.3,111.9,112.55,82549
2024-08-19,113.45,125.4,113.45,123.75,1219090
2024-08-20,125.2,134.2,124.25,132.7,1231741
2024-08-21,134.75,143.1,133.15,138.8,1079486
2024-08-22,139.75,144.0,135.8,136.65,428961
2024-08-23,138.1,138.15,133.0,134.0,299953
2024-08-26,134.35,139.9,131.5,132.15,355911
2024-08-27,132.3,136.5,130.9,132.0,333115
2024-08-28,132.5,134.5,130.0,130.95,400557
2024-08-29,131.1,133.8,127.1,127.95,237378
2024-08-30,128.65,137.7,127.1,136.35,405434
2024-09-02,136.4,142.75,135.75,137.8,422339
2024-09-03,138.65,138.65,133.85,134.6,300045
2024-09-04,133.8,136.4,131.75,135.4,246199
2024-09-05,137.0,146.05,135.7,139.85,497977
2024-09-06,139.9,142.4,134.6,136.05,279523
2024-09-09,136.0,136.0,129.3,133.6,168515
2024-09-10,136.0,142.8,135.0,137.95,226362
2024-09-11,139.7,154.35,137.7,150.45,1429528
2024-09-12,153.2,158.8,150.45,151.7,446773
2024-09-13,152.6,153.85,147.6,148.25,336402
2024-09-16,149.55,155.0,146.5,151.8,557296
2024-09-17,152.0,152.0,146.9,147.25,124010
2024-09-18,147.55,149.3,142.4,142.95,142688
2024-09-19,143.35,147.6,138.05,141.35,116798
2024-09-20,143.45,145.6,139.25,140.0,135991
2024-09-23,142.05,142.15,136.15,138.75,200501
2024-09-24,139.0,144.9,137.2,143.35,148934
2024-09-25,143.5,144.75,139.45,143.65,94598
2024-09-26,143.05,145.8,139.55,140.2,111419
2024-09-27,140.9,141.75,136.9,137.55,64391
2024-09-30,135.8,138.15,133.1,134.15,98851
2024-10-01,134.95,137.05,134.3,134.7,90766
2024-10-03,132.05,134.55,130.6,131.55,80726
2024-10-04,130.15,132.9,127.05,129.3,161586
2024-10-07,130.05,132.0,120.85,122.65,271166
2024-10-08,120.0,129.85,120.0,127.95,176607
2024-10-09,129.0,131.9,125.7,126.25,121635
2024-10-10,127.45,130.9,127.3,128.95,119155
2024-10-11,128.95,129.7,126.85,127.85,76544
2024-10-14,129.65,129.7,126.6,127.25,77220
2024-10-15,127.0,129.2,126.0,126.55,31355
2024-10-16,126.0,129.2,125.9,127.85,57964
2024-10-17,128.05,132.3,126.5,127.5,103727
2024-10-18,128.8,128.8,124.0,126.65,52202
2024-10-21,125.3,127.8,124.65,124.9,44319
2024-10-22,124.0,125.65,120.0,120.95,46595
2024-10-23,120.05,124.0,118.3,121.35,52813
2024-10-24,123.65,123.65,119.8,120.0,34634
2024-10-25,120.05,120.8,116.6,118.35,104819
2024-10-28,121.0,122.25,118.95,119.15,38611
2024-10-29,118.0,120.5,117.0,117.8,32548
2024-10-30,116.0,121.45,116.0,119.95,69313
2024-10-31,120.0,121.85,119.25,119.85,25450
2024-11-01,122.0,122.0,119.65,120.9,22457
2024-11-04,121.95,121.95,117.5,119.1,48183
2024-11-05,119.0,120.1,118.0,119.4,19960
2024-11-06,120.7,125.0,118.9,123.7,56031
2024-11-07,124.65,125.1,120.45,120.9,61774
2024-11-08,123.6,123.6,119.5,120.55,44180
2024-11-11,120.35,120.55,117.9,118.2,13909
2024-11-12,119.65,119.85,115.4,115.8,18405
2024-11-13,115.0,117.9,112.3,112.55,25918
2024-11-14,114.65,115.0,112.0,112.75,60142
