Datetime,Open,High,Low,Close,Volume
2019-07-15,5.4,5.4,5.4,5.4,400
2019-07-24,5.4,5.4,5.4,5.4,12
2019-07-25,5.4,5.4,5.4,5.4,988
2019-08-06,5.2,5.2,5.2,5.2,1
2019-11-04,5.2,5.2,5.2,5.2,122
2020-07-01,4.94,4.94,4.94,4.94,100
2020-07-08,4.7,4.7,4.7,4.7,108
2020-08-25,4.75,4.75,4.75,4.75,1
2020-09-01,4.75,4.75,4.75,4.75,1
2021-06-23,4.98,4.98,4.98,4.98,10
2021-07-02,5.22,5.22,5.22,5.22,10
2021-09-07,5.0,5.0,4.96,4.96,400
2021-11-25,5.2,5.2,5.2,5.2,1100
2022-01-07,5.46,5.46,5.46,5.46,2
2022-06-08,5.73,5.73,5.73,5.73,400
2022-06-17,6.01,6.01,6.01,6.01,13100
2022-11-03,6.31,6.31,6.31,6.31,5
2022-11-04,6.62,6.62,6.62,6.62,5
2022-11-17,6.95,6.95,6.95,6.95,5
2022-11-18,7.29,7.29,7.29,7.29,5
2022-11-21,7.65,7.65,7.65,7.65,5
2022-11-29,8.03,8.03,8.03,8.03,5
2022-11-30,8.43,8.43,8.43,8.43,5
2022-12-01,8.85,8.85,8.85,8.85,5
2022-12-05,9.29,9.29,9.29,9.29,5
2023-01-23,9.29,9.29,9.29,9.29,100
2023-02-06,9.29,9.29,9.29,9.29,100
2023-02-20,9.75,9.75,9.75,9.75,100
2023-02-27,9.75,9.75,9.75,9.75,100
2023-04-17,10.23,10.23,10.23,10.23,100
2023-05-02,10.23,10.23,10.23,10.23,100
2023-05-29,10.23,10.23,10.23,10.23,100
2023-06-26,10.74,10.74,10.74,10.74,100
2023-07-17,10.74,10.74,10.74,10.74,100
2023-08-14,11.27,11.27,11.27,11.27,100
2023-09-25,11.27,11.27,11.27,11.27,100
2023-10-16,11.83,11.83,11.83,11.83,100
2024-01-01,12.42,12.42,12.42,12.42,100
2024-01-23,12.42,12.42,12.42,12.42,100
2024-03-13,13.04,13.04,13.04,13.04,35
2024-06-18,15.08,15.08,15.08,15.08,10
2024-07-22,15.08,15.08,15.08,15.08,1240
2024-08-12,15.83,15.83,15.83,15.83,10
2024-08-26,15.83,15.83,15.83,15.83,200
