Datetime,Open,High,Low,Close,Volume
2020-01-01,1.56,1.56,1.56,1.56,1
2020-01-09,1.56,1.56,1.56,1.56,1
2020-02-07,1.49,1.49,1.49,1.49,194
2020-02-10,1.49,1.49,1.49,1.49,2
2020-02-24,1.49,1.49,1.49,1.49,20
2020-03-16,1.49,1.49,1.49,1.49,5
2020-03-23,1.42,1.42,1.42,1.42,1400
2020-03-30,1.35,1.35,1.35,1.35,37
2020-03-31,1.29,1.29,1.29,1.29,26
2020-04-13,1.29,1.29,1.29,1.29,1009
2020-04-17,1.29,1.29,1.29,1.29,1
2020-04-20,1.29,1.29,1.29,1.29,1007
2020-04-22,1.29,1.29,1.29,1.29,1
2020-04-23,1.29,1.29,1.29,1.29,145
2020-04-24,1.29,1.29,1.29,1.29,252
2020-04-27,1.29,1.29,1.29,1.29,10
2020-04-28,1.29,1.29,1.29,1.29,198
2020-04-29,1.29,1.29,1.29,1.29,100
2020-06-05,1.29,1.29,1.29,1.29,100
2020-06-22,1.28,1.29,1.28,1.29,1905
2020-06-30,1.29,1.29,1.29,1.29,100
2020-07-03,1.29,1.29,1.29,1.29,100
2020-07-08,1.29,1.29,1.29,1.29,270
2020-07-10,1.29,1.29,1.29,1.29,3
2020-07-17,1.23,1.23,1.23,1.23,100
2020-07-20,1.23,1.23,1.23,1.23,100
2020-07-22,1.17,1.17,1.17,1.17,896
2020-07-30,1.17,1.17,1.17,1.17,203
2020-08-03,1.2,1.2,1.12,1.12,199
2020-08-11,1.1,1.1,1.1,1.1,1
2020-08-12,1.1,1.1,1.1,1.1,100
2020-08-13,1.1,1.1,1.1,1.1,101
2020-08-14,1.1,1.1,1.1,1.1,300
2020-08-17,1.1,1.1,1.1,1.1,100
2020-08-21,1.05,1.05,1.05,1.05,1
2020-08-25,1.05,1.05,1.05,1.05,1
2020-09-15,1.0,1.0,1.0,1.0,62
2020-09-21,1.0,1.0,0.95,0.95,102
2020-09-22,0.91,0.91,0.91,0.91,110
2020-09-23,0.91,0.91,0.91,0.91,690
2020-09-24,0.91,0.91,0.91,0.91,1
2020-09-28,0.87,0.95,0.87,0.95,12
2020-09-29,0.91,0.91,0.91,0.91,2
2020-10-01,0.87,0.87,0.87,0.87,500
2020-10-05,0.83,0.83,0.83,0.83,200
2020-10-07,0.79,0.79,0.79,0.79,500
2020-10-08,0.79,0.82,0.79,0.82,260
2020-10-12,0.78,0.78,0.78,0.78,100
2020-10-13,0.75,0.75,0.75,0.75,100
2020-10-14,0.78,0.78,0.78,0.78,39
2020-10-15,0.81,0.81,0.81,0.81,200
2020-10-29,0.81,0.81,0.81,0.81,1000
2020-11-10,0.8,0.8,0.8,0.8,634
2020-11-17,0.82,0.82,0.8,0.8,500
2020-11-18,0.8,0.8,0.8,0.8,5
2020-11-24,0.82,0.82,0.8,0.8,11
2020-12-01,0.8,0.8,0.8,0.8,700
2020-12-07,0.8,0.8,0.8,0.8,300
2020-12-16,0.8,0.8,0.8,0.8,100
2020-12-22,0.8,0.84,0.8,0.84,963
2020-12-28,0.86,0.86,0.86,0.86,2
2020-12-31,0.9,0.9,0.9,0.9,12
2021-01-12,0.94,0.94,0.94,0.94,4
2021-01-14,0.98,0.98,0.98,0.98,2000
2021-01-18,1.02,1.02,1.02,1.02,299
2021-01-21,1.07,1.07,1.07,1.07,1001
2021-01-22,1.12,1.12,1.12,1.12,800
2021-02-02,1.17,1.17,1.17,1.17,10
2021-02-04,1.22,1.22,1.22,1.22,100
2021-02-17,1.28,1.28,1.28,1.28,11
2021-02-23,1.34,1.34,1.34,1.34,1000
2021-02-24,1.4,1.4,1.34,1.34,400
2021-03-02,1.4,1.4,1.34,1.36,100
2021-03-04,1.42,1.42,1.35,1.36,681
2021-03-08,1.42,1.42,1.4,1.4,179
2021-03-12,1.47,1.47,1.47,1.47,100
2021-03-15,1.51,1.51,1.51,1.51,3
2021-03-17,1.51,1.58,1.51,1.58,1572
2021-03-18,1.65,1.65,1.65,1.65,300
2021-03-23,1.73,1.73,1.73,1.73,100
2021-03-31,1.8,1.8,1.73,1.73,150
2021-04-07,1.8,1.8,1.8,1.8,210
2021-04-12,1.89,1.89,1.86,1.86,111
2021-04-22,1.95,1.95,1.95,1.95,309
2021-04-23,2.04,2.04,2.04,2.04,300
2021-04-27,2.05,2.05,2.05,2.05,300
2021-04-28,2.11,2.11,2.1,2.1,5
2021-04-29,2.15,2.15,2.15,2.15,500
2021-05-04,2.15,2.15,2.15,2.15,793
2021-05-07,2.2,2.25,2.2,2.25,546
2021-05-10,2.25,2.36,2.25,2.3,423
2021-05-12,2.35,2.36,2.35,2.36,300
2021-05-19,2.4,2.4,2.36,2.37,873
2021-05-24,2.38,2.38,2.37,2.38,201
2021-05-27,2.45,2.45,2.38,2.38,548
2021-05-28,2.45,2.45,2.38,2.45,550
2021-06-01,2.52,2.52,2.45,2.45,60
2021-06-02,2.52,2.52,2.52,2.52,2
2021-06-03,2.52,2.52,2.52,2.52,1
2021-06-04,2.53,2.6,2.53,2.53,203
2021-06-07,2.6,2.65,2.6,2.6,507
2021-06-08,2.67,2.67,2.65,2.65,100
2021-06-10,2.65,2.7,2.6,2.6,220
2021-06-11,2.65,2.65,2.6,2.6,953
2021-06-14,2.73,2.73,2.73,2.73,44
2021-06-16,2.86,2.86,2.86,2.86,146
2021-06-17,3.0,3.0,3.0,3.0,101
2021-06-23,3.15,3.15,3.15,3.15,736
2021-06-24,3.3,3.3,3.3,3.3,5
2021-06-25,3.46,3.46,3.46,3.46,15
2021-06-28,3.63,3.63,3.63,3.63,184
2021-06-29,3.81,3.81,3.81,3.81,305
2021-06-30,4.0,4.0,4.0,4.0,825
2021-07-01,4.2,4.2,4.2,4.2,620
2021-07-02,4.41,4.41,4.41,4.41,605
2021-07-05,4.63,4.63,4.63,4.63,875
2021-07-06,4.86,4.86,4.86,4.86,5
