Datetime,Open,High,Low,Close,Volume
2019-05-28,119.5,122.8,117.0,122.8,5600
2019-05-29,123.5,126.0,120.4,126.0,8000
2019-05-30,126.0,134.1,120.25,126.8,20000
2019-06-03,123.2,125.5,123.1,125.5,2400
2019-06-10,122.05,129.0,115.1,122.05,11200
2019-06-11,123.0,130.0,123.0,130.0,4000
2019-06-12,128.5,134.8,125.6,132.25,15200
2019-06-13,130.0,130.0,127.0,127.0,4000
2019-06-14,124.75,135.7,124.75,130.75,21600
2019-06-17,129.9,130.0,127.45,127.5,6400
2019-06-18,130.85,130.85,127.5,130.8,6400
2019-06-19,127.5,127.5,123.6,124.55,17600
2019-06-20,122.5,128.25,122.5,128.25,11200
2019-06-21,126.3,126.3,126.3,126.3,800
2019-06-24,128.75,128.75,128.75,128.75,800
2019-06-25,123.6,128.9,123.6,128.9,3200
2019-06-26,124.2,135.5,124.2,131.2,11200
2019-06-27,132.0,132.0,127.5,129.0,6400
2019-06-28,131.0,132.5,130.0,132.5,14400
2019-07-01,128.5,128.5,128.5,128.5,4000
2019-07-02,131.0,132.0,131.0,132.0,3200
2019-07-03,132.0,132.0,132.0,132.0,3200
2019-07-04,130.0,130.9,130.0,130.45,3200
2019-07-08,126.6,126.6,126.0,126.0,7200
2019-07-09,127.95,128.0,122.7,125.25,4800
2019-07-10,122.6,122.6,120.0,120.0,2400
2019-07-11,118.3,118.3,118.3,118.3,800
2019-07-12,113.1,121.8,110.0,121.8,15200
2019-07-15,115.0,115.0,115.0,115.0,800
2019-07-16,118.6,128.0,115.0,126.65,8800
2019-07-17,124.0,130.0,124.0,129.0,4000
2019-07-18,123.25,128.85,123.25,128.85,1600
2019-07-19,123.3,123.5,123.0,123.0,5600
2019-07-22,120.05,124.5,118.0,124.5,6400
2019-07-23,120.3,124.3,120.3,124.3,1600
2019-07-24,119.0,130.0,118.0,130.0,6400
2019-07-25,124.35,127.0,124.0,125.65,9600
2019-07-26,127.0,127.8,127.0,127.4,3200
2019-07-29,123.6,123.6,121.9,121.95,4800
2019-07-30,124.0,125.0,124.0,125.0,3200
2019-07-31,119.8,119.8,102.8,104.05,72000
2019-08-01,107.25,107.25,93.0,96.55,18400
2019-08-02,97.8,100.0,97.8,99.05,2400
2019-08-05,104.5,105.0,104.5,104.75,1600
2019-08-06,103.4,103.4,100.1,101.5,8800
2019-08-07,106.45,106.45,100.5,101.85,5600
2019-08-08,105.0,107.0,101.0,101.0,3200
2019-08-09,104.0,104.5,104.0,104.25,1600
2019-08-13,100.0,104.0,100.0,102.0,2400
2019-08-14,99.8,101.0,99.8,101.0,1600
2019-08-16,102.5,107.5,102.5,107.5,1600
2019-08-20,107.0,107.0,102.5,106.0,3200
2019-08-21,106.8,116.85,106.4,106.4,4800
2019-08-22,106.45,106.45,101.6,102.5,4000
2019-08-23,104.0,104.0,100.5,103.4,4000
2019-08-26,101.0,101.0,101.0,101.0,800
2019-08-27,104.0,108.0,103.0,103.0,9600
2019-08-28,100.0,103.8,100.0,102.45,2400
2019-08-29,98.05,103.0,98.0,99.0,6400
2019-08-30,98.5,118.0,98.5,107.45,8000
2019-09-03,108.0,108.0,100.25,103.6,4800
2019-09-04,100.55,103.8,100.55,103.8,2400
2019-09-05,104.0,104.0,104.0,104.0,800
2019-09-06,106.5,106.5,101.0,102.65,4800
2019-09-11,100.5,102.0,100.5,102.0,4000
2019-09-12,104.0,108.9,101.05,108.9,3200
2019-09-13,111.5,111.5,100.0,109.1,12800
2019-09-16,109.45,109.45,105.0,105.0,1600
2019-09-17,107.5,107.9,107.5,107.7,1600
2019-09-18,103.05,103.05,102.1,102.1,4800
2019-09-19,105.0,105.7,102.1,104.25,2400
2019-09-20,106.9,110.0,106.0,108.55,8800
2019-09-23,108.9,108.9,108.9,108.9,800
2019-09-24,109.0,111.0,109.0,110.1,5600
2019-09-25,114.0,120.0,110.0,119.5,13600
2019-09-26,125.0,125.0,125.0,125.0,800
2019-09-27,128.2,135.0,116.0,129.5,45600
2019-09-30,130.5,132.0,129.0,129.0,4800
2019-10-01,135.0,136.5,120.0,123.5,19200
2019-10-03,129.0,129.0,129.0,129.0,800
2019-10-07,128.95,133.0,118.0,123.8,20800
2019-10-09,124.8,124.8,124.8,124.8,800
2019-10-10,116.0,123.8,114.05,123.8,8000
2019-10-11,112.0,128.0,110.0,121.85,24800
2019-10-14,126.0,131.95,122.5,127.5,7200
2019-10-15,128.0,129.5,124.75,124.9,11200
2019-10-16,127.95,129.0,126.5,129.0,14400
2019-10-17,129.9,131.5,126.0,129.95,17600
2019-10-18,127.0,131.9,126.1,131.1,10400
2019-10-22,129.0,134.4,125.0,130.4,19200
2019-10-23,129.05,133.95,129.0,129.8,7200
2019-10-24,134.9,140.0,130.65,136.45,24800
2019-10-25,134.0,138.4,133.0,138.4,33600
2019-10-29,140.0,141.6,137.5,138.0,16000
2019-10-30,141.95,142.0,136.05,138.5,10400
2019-10-31,139.9,140.5,137.05,137.95,11200
2019-11-01,138.0,139.75,138.0,139.4,20000
2019-11-04,140.0,141.0,137.3,139.4,25600
2019-11-05,139.9,139.9,136.2,137.1,23200
2019-11-06,135.9,137.9,135.9,137.5,16800
2019-11-07,137.35,138.2,132.0,134.1,24000
2019-11-08,133.5,136.0,130.1,135.7,26400
2019-11-13,133.0,139.0,130.5,137.6,42400
2019-11-14,136.0,136.0,129.0,134.85,24800
2019-11-15,137.95,137.95,130.4,134.35,14400
2019-11-18,130.0,134.4,130.0,130.1,6400
2019-11-19,133.9,136.5,133.15,136.05,24800
2019-11-20,136.1,136.8,133.4,136.0,28000
2019-11-21,137.0,137.9,135.5,135.7,4800
2019-11-22,135.0,136.4,135.0,136.1,16000
2019-11-25,133.6,139.0,133.55,137.85,19200
2019-11-26,138.0,140.7,137.0,139.75,48800
2019-11-27,135.1,140.25,135.1,139.55,35200
2019-11-28,140.9,142.5,139.05,140.25,18400
2019-11-29,137.7,138.0,136.0,138.0,4000
2019-12-02,136.0,140.5,136.0,139.2,18400
2019-12-03,138.95,142.0,138.0,140.65,20000
2019-12-04,141.0,142.75,139.0,140.85,20800
2019-12-05,137.1,141.5,137.1,137.55,4800
2019-12-06,135.0,138.5,135.0,137.4,9600
2019-12-09,136.5,136.8,136.2,136.8,11200
2019-12-10,131.0,139.5,131.0,138.55,31200
2019-12-11,134.0,142.0,134.0,140.55,51200
2019-12-12,140.0,140.35,137.2,138.6,8000
2019-12-13,139.0,139.5,138.5,138.7,18400
2019-12-16,140.3,141.0,137.0,140.4,13600
2019-12-17,142.5,142.75,139.0,141.2,45600
2019-12-18,137.2,138.45,136.0,137.85,55200
2019-12-19,137.95,137.95,137.0,137.7,13600
2019-12-20,135.0,137.45,132.0,136.35,20800
2019-12-23,135.0,139.5,135.0,138.2,20800
2019-12-24,139.0,139.1,135.0,137.55,52000
2019-12-26,135.5,138.0,135.5,137.45,49600
2019-12-27,135.0,137.95,135.0,137.7,16800
2019-12-30,137.9,137.9,133.2,136.3,21600
2019-12-31,136.0,136.3,136.0,136.3,14400
2020-01-01,131.0,138.3,125.0,137.15,68800
2020-01-02,135.9,135.95,134.95,135.3,48800
2020-01-03,135.2,135.2,134.9,134.9,8000
2020-01-06,135.2,135.2,128.0,128.0,20000
2020-01-07,129.9,129.9,129.5,129.5,16000
2020-01-08,129.5,129.5,125.05,127.9,21600
2020-01-09,127.9,127.9,119.0,121.4,105600
2020-01-10,122.5,123.5,119.0,121.5,20000
2020-01-13,124.0,124.0,123.0,123.9,22400
2020-01-14,124.5,124.5,123.4,124.0,39200
2020-01-15,123.8,124.15,121.0,123.0,25600
2020-01-16,124.9,129.5,123.0,127.45,52800
2020-01-17,127.5,128.4,123.5,126.95,25600
2020-01-20,127.4,127.65,127.4,127.65,4800
2020-01-21,127.0,128.0,127.0,127.8,24000
2020-01-22,126.5,126.75,126.5,126.65,8000
2020-01-23,125.2,127.4,125.2,127.0,48000
2020-01-24,126.0,127.8,125.5,126.45,29600
2020-01-27,124.45,124.45,124.45,124.45,800
2020-01-28,125.0,128.5,125.0,127.3,36800
2020-01-29,126.85,126.85,126.85,126.85,1600
2020-01-30,128.5,128.8,127.0,127.3,28800
2020-01-31,126.8,127.2,126.1,126.45,25600
2020-02-01,127.8,136.4,121.2,132.5,31200
2020-02-03,133.2,133.8,133.2,133.8,1600
2020-02-04,133.9,133.9,133.9,133.9,1600
2020-02-05,134.0,136.0,133.0,133.9,19200
2020-02-06,133.5,133.5,132.5,132.5,21600
2020-02-07,132.9,132.9,131.3,132.2,25600
2020-02-10,132.5,132.5,128.0,129.2,8000
2020-02-11,128.0,129.9,128.0,129.9,6400
2020-02-12,128.0,129.85,128.0,129.75,9600
2020-02-13,129.95,130.0,129.9,130.0,3200
2020-02-14,130.5,132.0,128.5,131.0,6400
2020-02-17,131.0,133.5,126.15,130.0,9600
2020-02-18,132.0,133.4,130.0,132.9,18400
2020-02-19,133.8,135.7,133.2,134.25,6400
2020-02-20,136.5,139.0,135.0,136.65,13600
2020-02-24,135.1,138.0,135.1,138.0,2400
2020-02-25,138.25,139.0,137.85,138.15,13600
2020-02-26,133.5,138.0,133.0,138.0,3200
2020-02-27,135.05,135.05,135.0,135.0,1600
2020-02-28,133.0,137.5,127.15,134.45,12800
2020-03-02,134.75,134.75,134.75,134.75,800
2020-03-03,136.0,136.0,131.7,133.9,4000
2020-03-04,128.05,135.9,125.1,133.8,10400
2020-03-05,128.15,135.0,127.45,132.85,5600
