Datetime,Open,High,Low,Close,Volume
2022-05-10,600.0,626.0,595.56,595.91,163
2022-05-11,602.0,636.0,585.9,591.05,875
2022-05-12,591.77,624.0,570.1,592.67,1160
2022-05-13,608.0,614.0,577.48,585.85,1126
2022-05-16,605.0,605.0,577.0,580.14,1024
2022-05-17,585.0,600.0,577.0,589.77,406
2022-05-18,595.0,599.19,590.15,593.88,2445
2022-05-19,590.0,593.0,574.53,578.24,5101
2022-05-20,584.9,598.9,583.0,590.45,878
2022-05-23,593.97,599.0,590.63,594.84,225
2022-05-24,594.84,596.01,588.29,592.11,1754
2022-05-25,592.11,599.9,586.1,588.9,88
2022-05-26,590.94,594.47,586.0,593.5,87
2022-05-27,591.0,601.29,591.0,597.5,229
2022-05-30,605.0,613.0,592.1,612.59,5444
2022-05-31,615.0,618.0,607.71,609.3,238
2022-06-01,611.0,617.0,601.1,604.48,310
2022-06-02,600.1,612.86,600.1,612.83,303
2022-06-03,618.0,625.0,611.18,613.86,793
2022-06-06,618.0,618.0,604.1,611.2,916
2022-06-07,614.5,614.5,602.01,605.81,416
2022-06-08,610.0,610.0,600.03,603.61,669
2022-06-09,603.61,607.55,600.0,602.89,393
2022-06-10,602.57,605.98,592.1,596.38,1084
2022-06-13,595.0,595.0,575.0,580.67,3512
2022-06-14,580.67,584.98,574.1,578.41,888
2022-06-15,580.0,588.0,576.89,578.16,773
2022-06-16,584.0,585.9,564.0,566.77,1449
2022-06-17,560.0,569.98,555.45,565.16,2163
2022-06-20,560.0,567.9,560.0,567.08,941
2022-06-21,571.0,578.73,566.96,576.69,498
2022-06-22,574.1,574.1,567.0,569.85,948
2022-06-23,570.0,576.1,565.08,573.92,206
2022-06-24,579.0,579.06,574.53,579.0,1130
2022-06-27,585.0,586.99,575.1,580.47,861
2022-06-28,581.68,583.26,576.54,580.57,457
2022-06-29,578.0,584.5,577.16,582.9,377
2022-06-30,582.9,585.48,580.21,581.88,1489
2022-07-01,580.0,581.52,573.45,580.75,1998
2022-07-04,581.1,585.98,577.89,582.33,505
2022-07-05,581.0,589.36,579.0,583.33,557
2022-07-06,588.98,589.31,582.9,586.54,373
2022-07-07,592.98,594.76,590.11,591.1,263
2022-07-08,596.98,598.04,594.2,597.3,814
2022-07-11,595.57,598.48,592.68,598.12,258
2022-07-12,597.0,597.0,592.0,592.06,301
2022-07-13,598.98,598.98,545.3,588.76,512
2022-07-14,590.0,591.34,583.33,586.07,125
2022-07-15,589.0,590.68,583.99,587.52,1112
2022-07-18,594.98,598.61,589.5,597.08,1061
2022-07-19,602.98,602.98,594.42,597.89,224
2022-07-20,605.98,609.99,595.0,608.69,1966
2022-07-21,610.0,610.89,606.0,609.31,484
2022-07-22,613.0,617.22,610.22,614.61,951
2022-07-25,614.61,619.98,608.69,613.2,444
2022-07-26,612.0,612.0,607.0,608.35,753
2022-07-27,610.0,612.09,606.71,610.51,607
2022-07-28,598.3,624.4,598.3,621.89,705
2022-07-29,622.33,631.95,619.1,629.07,1362
2022-08-01,635.98,638.62,633.0,636.22,898
2022-08-02,641.99,641.99,632.39,638.56,640
2022-08-03,643.98,643.98,634.99,638.46,652
2022-08-04,644.15,644.24,633.89,641.37,406
2022-08-05,640.21,643.91,639.05,641.88,816
2022-08-08,641.88,647.0,636.0,645.33,1267
2022-08-10,639.33,650.48,632.45,646.89,773
2022-08-11,650.0,654.9,648.0,652.07,689
2022-08-12,649.3,654.0,633.01,651.97,1147
2022-08-16,656.0,659.09,655.77,658.41,468
2022-08-17,655.1,662.53,652.15,660.56,839
2022-08-18,660.56,663.93,657.74,662.79,1668
2022-08-19,662.79,668.48,654.54,656.87,1080
2022-08-22,656.87,656.87,645.0,647.38,2294
2022-08-23,645.0,651.98,640.1,649.37,897
2022-08-24,654.98,660.0,646.01,648.99,1929
2022-08-25,651.01,654.5,646.93,647.59,842
2022-08-26,653.0,654.98,647.05,648.03,494
2022-08-29,643.0,649.9,621.0,638.43,1518
2022-08-30,643.0,651.82,640.23,651.38,1347
2022-09-01,645.0,654.98,643.15,646.72,1043
2022-09-02,648.0,648.7,642.91,647.78,572
2022-09-05,649.5,649.5,643.1,648.76,1050
2022-09-06,651.0,653.98,646.97,650.98,440
2022-09-07,649.0,653.98,646.17,648.6,758
2022-09-08,655.0,655.41,646.1,654.13,725
2022-09-09,654.2,659.5,650.1,656.99,602
2022-09-12,660.0,662.94,657.44,659.7,815
2022-09-13,665.0,665.0,660.01,664.47,429
2022-09-14,633.01,664.9,628.3,663.89,1277
2022-09-15,666.9,677.0,656.96,659.98,874
2022-09-16,659.0,663.98,647.54,648.34,2971
2022-09-19,651.0,651.84,644.99,648.74,267
2022-09-20,655.26,658.8,654.9,655.3,1061
2022-09-21,657.8,657.81,653.3,654.91,210
2022-09-22,653.1,653.83,648.0,650.89,443
2022-09-23,650.0,650.0,639.36,640.51,1365
2022-09-26,640.0,650.0,629.0,630.62,2980
2022-09-27,635.0,636.98,628.0,629.74,1488
2022-09-28,628.0,663.0,623.0,627.73,932
2022-09-29,604.01,638.98,604.01,621.68,989
2022-09-30,625.0,654.0,620.0,630.26,7391
2022-10-03,633.98,639.0,625.01,625.89,5080
