Datetime,Open,High,Low,Close,Volume
2021-05-28,181.65,181.65,170.0,174.1,8410
2021-05-31,174.35,176.0,168.5,173.2,11893
2021-06-01,173.6,178.7,166.25,169.6,7850
2021-06-02,171.45,175.1,170.3,173.0,8450
2021-06-03,175.05,178.0,170.25,176.8,5561
2021-06-04,175.7,176.6,173.6,174.05,1715
2021-06-07,174.15,180.75,171.55,177.05,11218
2021-06-08,181.0,181.0,173.8,175.6,1365
2021-06-09,176.5,181.6,170.4,171.95,10592
2021-06-10,172.6,175.0,170.2,171.35,11338
2021-06-11,173.7,174.2,170.05,170.8,10342
2021-06-14,172.85,172.85,166.15,170.5,4325
2021-06-15,171.9,184.9,170.4,180.4,36237
2021-06-16,182.0,182.0,171.95,173.45,18474
2021-06-17,173.5,177.4,170.0,171.0,7867
2021-06-18,172.1,172.95,164.15,171.2,11949
2021-06-21,170.55,176.65,170.0,172.65,3815
2021-06-22,174.9,190.0,170.0,185.2,68789
2021-06-23,188.05,194.6,183.35,186.05,81689
2021-06-24,191.0,192.0,182.0,184.1,15058
2021-06-25,184.35,189.9,180.0,181.65,9291
2021-06-28,185.75,187.1,183.25,184.35,4625
2021-06-29,184.65,191.65,184.0,186.05,8583
2021-06-30,182.25,203.3,182.25,198.3,59461
2021-07-01,198.35,206.05,188.1,190.7,25482
2021-07-02,192.0,197.0,191.15,192.9,9453
2021-07-05,194.9,204.0,192.25,196.25,27054
2021-07-06,198.5,202.2,193.65,198.7,13492
2021-07-07,214.0,222.8,210.5,214.3,122662
2021-07-08,223.0,223.0,204.3,207.35,26631
2021-07-09,208.3,223.45,202.55,216.15,39963
2021-07-12,216.15,219.05,211.55,212.55,7853
2021-07-13,213.85,221.2,213.85,214.25,13961
2021-07-14,213.1,227.4,212.4,223.75,42358
2021-07-15,230.0,230.0,214.3,215.5,38803
2021-07-16,216.55,218.65,214.65,216.15,11147
2021-07-19,216.5,217.0,210.45,212.55,11821
2021-07-20,213.2,215.0,201.2,204.95,25128
2021-07-22,207.55,215.0,205.5,212.3,13562
2021-07-23,212.5,222.1,211.8,215.35,35259
2021-07-26,211.8,211.8,192.55,196.5,21857
2021-07-27,196.2,199.15,191.25,194.05,15173
2021-07-28,190.15,205.05,190.15,200.65,20950
2021-07-29,204.0,212.85,199.8,204.9,33972
2021-07-30,204.9,207.3,201.8,202.9,6940
2021-08-02,206.15,206.5,202.55,204.15,7950
2021-08-03,201.65,208.25,201.35,202.85,29148
2021-08-04,203.65,205.85,198.85,200.6,15235
2021-08-05,200.05,212.1,192.6,205.1,25411
2021-08-06,204.0,208.5,200.0,201.95,7092
2021-08-09,200.45,206.35,197.3,202.75,26118
2021-08-10,204.0,204.0,189.5,194.15,8618
2021-08-11,191.65,195.0,181.75,187.05,17708
2021-08-12,190.2,193.6,188.7,191.8,3334
2021-08-13,192.6,203.0,191.05,193.55,21516
2021-08-16,194.1,194.6,187.3,188.45,10054
2021-08-17,189.1,192.7,187.85,188.8,5841
2021-08-18,189.1,190.45,183.35,185.25,6045
2021-08-20,181.65,184.15,175.1,176.6,8204
2021-08-23,178.15,178.95,167.7,168.55,7691
2021-08-24,165.25,176.35,165.25,174.0,2047
2021-08-25,177.5,183.1,171.45,176.65,8423
2021-08-26,176.0,177.15,172.7,172.8,3616
2021-08-27,174.35,176.75,171.5,172.0,8413
2021-08-30,175.55,179.5,171.75,177.85,10652
2021-08-31,176.7,178.0,173.2,175.1,3511
2021-09-01,176.25,182.95,176.25,180.5,1886
2021-09-02,200.0,216.0,177.4,179.15,9359
2021-09-03,177.5,178.75,175.4,175.55,4337
2021-09-06,176.7,180.25,174.9,178.6,4672
2021-09-07,179.05,179.7,174.35,174.9,2318
2021-09-08,177.7,181.45,176.0,179.7,5357
2021-09-09,177.65,181.0,175.45,176.3,4130
2021-09-13,177.05,177.35,174.9,176.15,3516
2021-09-14,176.0,180.0,175.55,178.15,2008
2021-09-15,177.0,180.5,177.0,179.45,1713
2021-09-16,178.65,182.1,178.35,179.6,1826
2021-09-17,180.25,180.4,174.75,175.3,866
2021-09-20,174.5,176.7,172.0,173.85,716
2021-09-21,172.5,175.2,170.9,174.15,1510
2021-09-22,175.4,178.2,175.0,175.95,669
2021-09-23,177.7,181.9,175.0,175.7,1775
2021-09-24,178.3,179.0,171.55,172.55,478
2021-09-27,173.85,186.3,171.25,181.35,13243
2021-09-28,184.95,184.95,176.8,178.6,2228
2021-09-29,176.9,184.25,175.75,180.95,7399
2021-09-30,190.0,190.0,184.1,184.85,5097
2021-10-01,184.55,184.85,181.15,181.65,7217
2021-10-04,182.15,190.6,181.45,184.25,9278
2021-10-05,184.65,192.4,183.95,190.5,8606
2021-10-06,191.65,193.8,185.0,185.85,3322
2021-10-07,186.25,189.2,182.0,183.7,4942
