Datetime,Open,High,Low,Close,Volume
2019-05-28,155.0,162.0,152.0,162.0,36637
2019-05-29,166.8,166.8,155.0,159.2,6934
2019-05-30,160.0,161.8,154.05,155.35,1751
2019-06-03,155.5,160.0,155.5,159.55,1118
2019-06-10,157.95,157.95,147.0,150.95,1968
2019-06-11,149.0,150.4,149.0,149.65,1074
2019-06-12,148.0,152.5,143.2,146.6,3161
2019-06-13,150.0,150.0,145.65,147.65,1741
2019-06-14,148.0,153.0,148.0,150.5,2970
2019-06-17,162.0,162.0,145.8,146.25,435
2019-06-18,152.9,152.9,146.0,149.7,92
2019-06-19,145.15,153.0,145.1,147.85,1638
2019-06-20,145.1,153.9,145.1,153.25,1503
2019-06-21,156.2,156.2,150.0,150.0,515
2019-06-25,150.0,154.0,148.75,148.85,130
2019-06-26,150.0,158.8,148.0,153.15,1823
2019-06-27,152.0,155.9,150.1,154.95,1179
2019-06-28,152.0,154.95,152.0,152.65,1019
2019-07-01,158.8,158.9,153.15,155.8,222
2019-07-02,158.6,158.6,152.45,152.45,500
2019-07-03,153.0,153.0,146.35,151.75,537
2019-07-04,148.0,156.25,146.3,155.3,1050
2019-07-05,150.05,156.5,150.05,156.5,210
2019-07-08,150.0,152.05,149.5,152.0,986
2019-07-09,153.95,153.95,153.95,153.95,20
2019-07-10,148.1,152.65,147.0,148.0,1075
2019-07-11,150.0,156.9,150.0,154.3,36
2019-07-12,146.0,152.45,145.6,148.4,877
2019-07-15,149.0,151.0,146.5,146.55,1874
2019-07-16,150.0,150.0,150.0,150.0,600
2019-07-17,154.25,154.25,150.0,151.9,284
2019-07-18,147.0,148.0,147.0,147.15,29
2019-07-19,147.25,152.0,144.15,149.7,1476
2019-07-22,147.05,149.95,146.1,149.0,1820
2019-07-23,149.0,152.0,147.05,147.95,1179
2019-07-24,148.85,149.0,141.55,143.4,203
2019-07-25,150.25,150.25,141.7,144.7,862
2019-07-26,145.9,153.0,145.5,150.55,489
2019-07-29,141.05,150.0,141.05,149.7,418
2019-07-30,147.95,148.0,144.0,144.0,52
2019-07-31,145.0,149.0,143.0,148.5,373
2019-08-01,136.35,151.9,136.35,151.3,760
2019-08-02,140.85,149.95,140.85,149.8,465
2019-08-05,149.0,158.0,144.0,147.3,478
2019-08-06,141.1,166.0,141.1,158.25,1523
2019-08-07,164.0,165.0,153.6,157.6,3929
2019-08-08,162.5,162.5,155.05,156.85,1504
2019-08-09,158.75,160.0,150.0,157.6,1995
2019-08-13,148.0,156.5,148.0,155.0,640
2019-08-14,159.5,159.5,150.0,151.45,1541
2019-08-16,151.0,154.7,151.0,154.5,51
2019-08-19,153.0,154.75,151.5,151.5,2300
2019-08-20,156.75,156.75,155.45,155.7,794
2019-08-21,151.85,152.05,148.0,148.9,1653
2019-08-22,148.7,154.9,147.25,148.8,670
2019-08-23,147.55,156.95,147.5,149.6,651
2019-08-26,159.8,159.8,150.05,151.0,1119
2019-08-27,153.6,154.0,152.1,153.25,317
2019-08-28,158.0,158.0,148.2,148.8,2413
2019-08-29,148.3,154.95,148.3,150.3,608
2019-08-30,152.0,155.9,149.65,151.95,1758
2019-09-03,156.8,157.0,150.0,155.45,2252
2019-09-04,155.45,155.95,152.2,153.15,2067
2019-09-05,156.9,156.9,152.85,154.4,447
2019-09-06,158.55,158.7,154.5,157.6,2578
2019-09-11,157.9,161.75,155.5,159.9,2448
2019-09-12,168.0,168.0,161.0,163.05,8069
2019-09-13,163.5,166.0,163.25,164.6,5932
2019-09-16,166.0,175.0,166.0,173.05,24048
2019-09-17,132.55,159.95,132.55,150.65,7697
2019-09-18,148.35,149.95,145.0,147.3,4773
2019-09-19,144.05,149.0,144.0,148.8,1610
2019-09-20,144.5,151.95,144.5,149.0,1371
2019-09-23,150.1,152.85,150.1,152.45,4300
2019-09-24,150.0,155.0,150.0,153.0,1277
2019-09-25,150.05,155.2,150.0,154.65,1387
2019-09-26,157.5,157.5,146.9,148.25,3987
2019-09-27,147.7,154.95,147.7,149.55,679
2019-09-30,149.45,150.0,147.0,147.25,3050
2019-10-01,147.15,151.95,147.15,148.35,1490
2019-10-03,146.7,147.0,146.2,147.0,250
2019-10-04,147.05,147.1,147.0,147.0,460
2019-10-07,144.35,155.5,144.35,146.0,1103
2019-10-09,154.6,154.6,147.05,149.85,1744
2019-10-10,145.85,145.85,145.55,145.75,115
2019-10-11,148.95,149.0,146.05,148.95,343
2019-10-14,149.1,150.7,144.9,148.35,1940
2019-10-15,146.1,151.7,146.05,146.05,190
2019-10-16,146.1,150.9,146.1,150.9,52
2019-10-17,149.95,150.0,143.5,147.15,1686
2019-10-18,148.95,150.45,144.6,146.5,1533
2019-10-22,146.5,149.0,146.15,146.6,327
2019-10-23,149.2,151.75,148.1,151.55,1254
2019-10-24,151.0,153.55,148.0,151.0,876
2019-10-25,148.1,153.7,148.1,148.95,2033
2019-10-29,146.35,151.9,146.35,151.85,1505
2019-10-30,157.9,157.9,148.65,150.55,1001
2019-10-31,156.0,157.0,146.65,153.95,4305
2019-11-01,157.95,157.95,149.1,154.75,1098
2019-11-04,150.65,154.85,150.65,154.3,104
2019-11-05,154.3,162.5,154.3,158.45,7344
2019-11-06,163.5,167.9,160.7,164.2,4360
2019-11-07,165.3,165.3,160.75,162.0,543
2019-11-08,159.7,161.45,158.1,159.25,4279
2019-11-13,169.0,173.95,164.25,167.9,12216
2019-11-14,163.0,168.95,161.8,164.1,2070
2019-11-15,162.0,166.0,162.0,165.0,1929
2019-11-18,160.35,164.0,158.0,158.8,2361
2019-11-19,157.4,160.0,157.1,157.55,1460
2019-11-20,158.0,160.9,155.05,159.7,393
2019-11-21,161.0,164.95,159.0,163.25,524
2019-11-22,162.0,162.9,158.25,160.05,2865
2019-11-25,163.7,163.7,157.8,158.9,2313
2019-11-26,161.95,162.5,155.0,155.35,1517
2019-11-27,160.95,160.95,156.05,157.5,2980
2019-11-28,158.0,159.3,157.85,159.15,662
2019-11-29,157.45,160.95,157.45,160.95,254
2019-12-02,160.95,164.0,155.0,155.55,2041
2019-12-03,155.25,156.5,155.25,156.0,512
2019-12-04,157.5,157.95,154.0,155.0,854
2019-12-05,155.25,155.25,155.0,155.0,450
2019-12-06,155.25,157.7,155.0,155.5,3463
2019-12-09,156.1,158.9,155.0,155.05,1494
2019-12-10,156.85,156.85,153.3,154.0,290
2019-12-11,152.45,155.8,152.05,153.55,934
2019-12-13,159.7,159.7,155.0,156.05,2266
2019-12-16,157.95,157.95,154.15,157.0,489
2019-12-17,157.95,159.0,153.25,156.85,488
2019-12-18,158.5,158.5,155.15,155.15,115
2019-12-19,157.95,158.0,155.0,158.0,125
2019-12-20,157.95,158.0,156.0,157.85,1472
2019-12-23,158.7,158.7,154.0,155.25,770
2019-12-24,154.25,157.9,154.05,155.0,818
2019-12-26,154.25,156.3,152.05,153.15,999
2019-12-27,158.35,158.35,153.9,157.5,3207
2019-12-30,156.7,156.9,154.45,155.2,151
2019-12-31,154.05,158.25,154.0,156.95,2734
2020-01-01,157.5,164.9,157.5,160.8,1470
2020-01-02,162.0,168.85,161.0,165.45,3331
2020-01-03,167.0,167.0,161.1,162.05,1522
2020-01-06,160.0,162.1,156.5,160.5,1006
2020-01-07,164.7,164.7,161.15,163.65,601
2020-01-08,165.95,169.65,161.2,168.3,3418
2020-01-09,165.05,173.95,163.6,169.55,3302
2020-01-10,166.1,171.5,165.5,166.4,3338
2020-01-13,174.0,174.0,168.1,169.35,1271
2020-01-14,174.7,174.7,165.55,167.1,836
2020-01-15,172.95,175.0,169.9,173.7,4082
2020-01-16,174.0,184.9,173.0,182.0,9865
2020-01-17,180.0,183.95,180.0,181.05,1595
2020-01-20,182.0,184.75,180.0,181.7,717
2020-01-21,180.0,182.0,179.0,179.4,1750
2020-01-22,183.35,183.4,172.15,172.25,1351
2020-01-23,178.45,181.95,171.1,175.5,660
2020-01-24,178.65,178.65,175.6,178.0,732
2020-01-27,170.05,178.5,170.0,170.0,857
2020-01-28,172.0,177.0,172.0,173.75,874
2020-01-29,173.5,173.5,170.0,170.0,536
2020-01-30,169.3,169.3,167.1,167.15,300
2020-01-31,169.95,171.5,166.65,169.65,362
2020-02-01,165.0,167.0,165.0,167.0,360
2020-02-03,168.95,169.0,168.95,169.0,200
2020-02-04,169.0,169.8,161.1,166.35,2251
2020-02-05,175.85,175.85,161.25,161.75,1155
2020-02-06,162.05,165.85,162.05,162.65,768
2020-02-07,166.0,167.0,162.55,164.05,421
2020-02-10,165.95,175.1,165.7,169.0,1310
2020-02-11,172.5,172.5,167.05,170.55,1248
2020-02-12,170.25,174.8,170.25,173.65,1012
2020-02-13,168.8,168.8,160.0,161.05,2358
2020-02-14,177.65,177.65,158.55,162.5,3108
2020-02-17,160.05,162.5,158.0,158.8,685
2020-02-18,156.35,158.95,151.8,152.25,1405
2020-02-19,157.95,157.95,152.1,152.65,181
2020-02-20,153.05,161.8,152.7,157.0,156
2020-02-24,151.2,155.0,151.2,152.3,1611
2020-02-25,154.9,154.95,151.05,151.25,772
2020-02-26,154.0,156.5,151.0,151.75,1093
2020-02-27,150.45,152.45,145.8,151.5,617
2020-02-28,146.15,149.2,145.4,146.75,1624
2020-03-02,154.65,154.65,142.25,144.75,557
2020-03-03,146.95,150.0,142.2,149.25,1420
2020-03-04,150.0,150.0,142.0,144.65,859
2020-03-05,148.45,150.0,148.0,150.0,752
2020-03-06,145.0,145.0,140.0,142.1,2578
2020-03-09,139.0,139.0,133.0,134.3,2419
2020-03-11,139.9,144.0,135.35,139.55,522
2020-03-12,135.0,135.0,118.0,121.05,4177
2020-03-13,120.0,132.8,115.0,130.45,2055
2020-03-16,125.0,131.7,120.5,131.7,1013
2020-03-17,130.0,134.95,129.95,130.0,1078
2020-03-18,127.5,133.75,125.0,125.0,1748
2020-03-19,124.95,124.95,120.0,120.75,980
2020-03-20,115.5,125.0,115.5,124.3,1085
2020-03-23,115.05,127.95,113.1,118.0,3666
2020-03-24,117.0,122.75,114.0,114.95,950
2020-03-25,111.8,121.0,109.0,112.0,974
2020-03-26,110.0,122.0,110.0,112.65,2942
2020-03-27,123.75,123.75,113.05,118.0,807
2020-03-30,110.2,121.9,110.2,114.1,668
2020-03-31,121.0,122.9,116.05,116.6,917
2020-04-01,115.3,115.35,115.3,115.3,494
2020-04-03,124.0,128.0,115.0,120.65,1634
2020-04-07,134.0,134.0,121.95,125.35,990
2020-04-08,134.0,134.0,126.0,126.0,1400
2020-04-09,131.95,132.0,123.6,131.9,953
2020-04-13,142.0,142.0,132.55,137.75,1366
2020-04-15,137.75,137.75,133.7,133.95,527
2020-04-16,132.0,136.6,130.25,136.55,164
2020-04-17,141.0,143.0,136.2,140.35,447
2020-04-20,140.3,140.35,133.65,135.65,817
2020-04-21,133.65,136.0,130.0,136.0,160
2020-04-22,138.75,138.75,130.6,135.0,1897
2020-04-23,138.75,139.3,138.0,139.0,1149
2020-04-24,130.0,140.95,130.0,140.95,45
2020-04-27,132.25,136.0,132.25,132.85,155
2020-04-28,135.0,135.5,132.9,135.4,461
2020-04-29,132.35,141.75,132.35,138.45,203
2020-04-30,138.0,141.8,138.0,141.8,141
2020-05-04,131.6,136.0,131.4,132.0,259
2020-05-05,132.3,132.3,132.0,132.15,200
2020-05-06,127.65,133.0,127.65,128.7,2303
2020-05-07,130.0,132.95,126.25,126.9,1072
2020-05-08,138.0,138.0,122.55,128.0,540
2020-05-11,128.0,129.5,126.15,126.9,297
2020-05-12,127.0,129.4,125.1,127.9,511
2020-05-13,130.7,130.7,128.55,130.0,109
2020-05-14,131.65,135.0,130.0,134.2,1502
2020-05-15,136.9,136.95,135.0,136.55,235
2020-05-18,137.0,139.7,127.6,130.15,3196
2020-05-19,125.15,134.0,125.15,126.6,1657
2020-05-20,127.0,132.45,127.0,129.75,2
2020-05-21,128.0,132.0,128.0,132.0,101
2020-05-22,131.9,131.9,126.6,127.25,352
2020-05-26,125.25,135.0,125.25,129.9,1096
2020-05-27,128.0,131.0,127.05,128.45,784
2020-05-28,129.05,130.0,127.25,129.95,1540
2020-05-29,129.95,135.9,128.05,134.65,1128
2020-06-01,134.9,139.0,132.0,135.75,483
2020-06-02,137.9,137.95,133.05,136.5,809
2020-06-03,131.0,136.1,111.1,133.0,11914
2020-06-04,134.8,134.8,133.9,134.35,500
2020-06-05,135.0,144.0,134.2,142.2,7848
2020-06-08,144.5,153.95,144.5,148.9,1754
2020-06-09,148.45,148.5,140.5,145.0,1514
2020-06-10,144.0,145.0,140.35,142.45,183
2020-06-11,145.0,145.0,140.5,143.75,575
2020-06-12,134.0,141.5,133.5,141.4,968
2020-06-15,142.0,145.0,140.75,144.75,1880
2020-06-16,146.0,146.0,136.0,138.55,2398
2020-06-17,139.0,141.0,138.6,141.0,233
2020-06-18,143.7,144.8,139.1,143.0,2014
2020-06-19,137.6,146.0,137.6,139.9,2501
2020-06-22,144.9,149.0,142.25,143.35,2510
2020-06-23,145.1,146.85,144.0,145.55,1391
2020-06-24,146.95,149.8,145.3,146.55,2463
2020-06-25,146.0,146.0,144.0,145.0,1235
2020-06-26,150.0,151.7,145.15,146.0,2073
2020-06-29,151.95,167.0,147.0,160.55,10918
2020-06-30,163.0,166.75,155.0,155.7,6807
2020-07-01,156.0,159.95,154.1,155.4,1472
2020-07-02,160.0,164.45,155.25,156.35,5958
2020-07-03,160.5,161.65,156.0,159.05,3577
2020-07-06,160.0,169.2,158.75,163.5,4153
2020-07-07,162.25,169.0,161.5,163.6,3126
2020-07-08,166.6,166.6,161.25,164.8,2691
2020-07-09,165.65,172.0,163.75,168.6,6293
2020-07-10,171.35,171.35,163.25,167.5,1203
2020-07-13,166.8,166.8,160.0,164.4,5919
2020-07-14,167.5,167.5,160.85,162.1,1535
2020-07-15,160.15,166.25,160.0,160.0,1973
2020-07-16,164.3,164.3,158.6,160.0,554
2020-07-17,164.7,165.8,156.25,163.3,3733
2020-07-20,166.95,166.95,159.0,161.65,836
2020-07-21,165.95,166.0,163.05,165.0,2379
2020-07-22,164.5,166.0,162.75,164.0,2722
2020-07-23,163.0,166.8,163.0,164.5,1279
2020-07-24,157.0,164.25,157.0,162.5,1032
2020-07-27,162.5,163.95,160.15,160.75,2260
2020-07-28,160.8,172.0,158.65,164.05,9514
2020-07-29,166.0,166.0,161.9,165.35,2187
2020-07-30,165.95,172.0,165.95,168.8,7065
2020-07-31,171.4,171.4,162.6,164.35,1901
2020-08-03,163.4,165.5,162.35,165.15,2548
2020-08-04,170.4,173.4,167.0,168.1,8289
2020-08-05,177.8,179.45,166.3,169.0,4163
2020-08-06,169.95,171.0,166.0,166.85,2151
2020-08-07,170.6,170.6,163.2,166.05,2636
2020-08-10,177.95,177.95,163.0,171.7,5166
2020-08-11,172.05,174.0,166.25,169.2,1996
