Datetime,Open,High,Low,Close,Volume
2019-05-28,486.8,488.75,479.1,483.05,871
2019-05-29,481.9,488.0,480.0,485.4,356
2019-05-30,488.1,488.3,485.55,487.75,312
2019-06-03,482.7,486.85,480.55,485.95,252
2019-06-10,478.4,487.95,478.4,486.6,238
2019-06-11,479.85,483.65,478.5,482.35,175
2019-06-12,481.3,488.95,480.15,483.65,104
2019-06-13,481.45,482.7,480.55,482.7,60
2019-06-14,481.35,485.3,479.05,480.0,384
2019-06-17,475.35,478.25,473.35,477.15,319
2019-06-18,473.9,476.4,471.35,475.3,385
2019-06-19,474.65,476.4,471.75,476.15,1910
2019-06-20,473.65,482.65,472.25,481.05,168
2019-06-21,476.4,479.45,473.3,477.5,39
2019-06-24,477.75,482.35,476.8,481.6,392
2019-06-25,482.1,482.1,467.0,471.1,1142
2019-06-26,478.0,486.0,478.0,483.1,160
2019-06-27,482.95,482.95,477.65,477.85,275
2019-06-28,479.0,487.65,479.0,485.7,685
2019-07-01,487.0,494.45,485.65,489.55,485
2019-07-02,487.85,494.1,486.05,492.25,340
2019-07-03,504.5,510.2,497.75,503.8,4838
2019-07-04,507.0,507.0,496.6,501.5,1624
2019-07-05,500.2,504.45,494.9,498.2,444
2019-07-08,490.7,494.6,481.0,488.55,650
2019-07-09,485.2,485.2,473.05,473.75,401
2019-07-10,474.0,478.2,466.95,476.25,544
2019-07-11,479.45,483.6,478.1,479.05,322
2019-07-12,479.15,479.15,470.3,473.75,79
2019-07-15,476.7,482.0,462.9,474.2,336
2019-07-16,472.25,472.25,464.15,466.95,86
2019-07-17,466.0,466.85,463.6,464.35,384
2019-07-18,461.95,462.5,456.2,456.4,147
2019-07-19,458.25,470.0,458.25,466.3,848
2019-07-22,457.5,457.5,450.0,453.3,255
2019-07-23,450.35,451.35,423.3,428.8,532
2019-07-24,424.0,425.0,384.1,400.65,3063
2019-07-25,395.4,403.8,383.35,400.65,1223
2019-07-26,398.0,406.45,386.65,391.9,1846
2019-07-29,387.0,388.55,384.25,386.7,202
2019-07-30,381.55,385.8,371.9,379.8,924
2019-07-31,364.4,385.95,341.7,376.8,256417
2019-08-01,365.8,365.8,342.15,347.65,594
2019-08-02,347.65,363.5,338.6,361.8,895
2019-08-05,355.0,383.0,354.6,380.3,180
2019-08-06,377.8,378.0,374.0,377.9,544
2019-08-07,372.4,378.35,363.4,376.55,266
2019-08-08,378.05,395.0,378.05,385.9,240
2019-08-09,385.05,389.9,379.95,388.65,177
2019-08-13,393.1,396.1,387.35,394.55,438
2019-08-14,391.3,391.3,381.25,386.5,170
2019-08-16,382.95,382.95,375.1,379.45,184
2019-08-19,375.05,377.0,371.25,374.6,66
2019-08-20,373.7,380.0,369.2,373.8,139
2019-08-21,370.4,370.4,365.5,366.1,9
2019-08-22,361.25,365.0,360.0,360.15,1803
2019-08-23,357.4,372.9,357.4,368.55,84
2019-08-26,372.0,395.0,366.7,391.9,2854
2019-08-27,387.0,407.25,387.0,405.7,704
2019-08-28,401.3,402.0,385.95,400.9,426
2019-08-29,390.75,398.95,390.0,394.6,195
2019-08-30,396.15,402.5,392.5,398.65,183
2019-09-03,405.35,408.25,396.55,404.9,220
2019-09-04,402.05,418.95,400.15,414.2,1593
2019-09-05,410.0,411.65,396.45,399.8,171
2019-09-06,400.1,401.35,396.0,397.95,122
2019-09-11,393.45,398.7,392.0,398.55,209
2019-09-12,397.45,397.45,391.3,392.05,61
2019-09-13,396.25,419.85,391.15,409.65,2576
2019-09-16,407.0,413.55,407.0,412.15,234
2019-09-17,412.6,412.6,391.95,393.15,74
2019-09-18,394.05,407.0,393.15,399.95,1130
2019-09-19,391.35,409.0,358.95,394.3,6489
2019-09-20,400.0,418.0,391.35,396.55,1261
2019-09-23,402.0,423.45,399.35,420.4,1981
2019-09-24,424.2,429.65,419.35,422.75,1722
2019-09-25,414.05,414.15,400.6,406.8,260
2019-09-26,406.55,425.15,405.25,415.4,596
2019-09-27,413.75,415.0,405.65,408.75,394
2019-09-30,403.55,430.0,397.0,425.05,950
2019-10-01,416.35,430.0,411.8,429.1,406
2019-10-03,418.2,429.1,417.2,427.4,362
2019-10-04,424.7,429.75,415.8,420.5,238
2019-10-07,420.1,422.15,413.15,416.35,698
2019-10-09,418.25,418.25,411.3,413.85,54
2019-10-10,412.2,415.0,400.6,403.6,141
2019-10-11,411.3,416.7,402.1,406.6,167
2019-10-14,408.95,418.3,401.75,413.0,592
2019-10-15,414.2,421.0,385.4,395.5,3594
2019-10-16,399.0,400.8,391.55,393.9,691
2019-10-17,398.35,407.7,390.4,394.7,571
2019-10-18,394.7,396.0,391.5,394.4,312
2019-10-22,395.3,403.45,390.95,398.6,565
2019-10-23,396.45,398.5,389.25,393.5,174
2019-10-24,386.0,389.7,375.5,376.3,1314
2019-10-25,375.3,379.1,367.3,368.85,1461
2019-10-29,370.65,379.55,357.95,365.85,1564
2019-10-30,367.9,370.6,362.05,364.35,385
2019-10-31,366.0,379.8,364.3,370.5,2098
2019-11-01,383.25,384.25,377.8,380.35,136
2019-11-04,385.95,385.95,380.75,383.25,146
2019-11-05,379.35,382.45,367.1,374.65,120
2019-11-06,375.0,375.0,367.45,369.25,526
2019-11-07,366.6,373.05,366.6,369.25,199
2019-11-08,370.05,370.65,366.75,369.4,236
2019-11-13,367.0,368.65,355.65,360.2,318
2019-11-14,362.9,366.0,359.6,361.7,431
2019-11-15,362.4,372.0,362.4,366.0,142
2019-11-18,358.25,359.05,356.85,358.0,51
2019-11-19,358.2,358.2,349.95,352.2,1125
2019-11-20,350.9,356.2,350.9,353.8,477
2019-11-21,348.9,350.5,347.0,347.05,115
2019-11-22,345.0,345.0,340.5,340.75,67
2019-11-25,344.5,346.75,339.0,342.25,957
2019-11-26,340.9,354.7,340.25,351.0,159
2019-11-27,358.65,359.9,348.75,354.15,216
2019-11-28,354.15,355.55,345.1,348.5,630
2019-11-29,349.3,356.9,346.75,355.0,62
2019-12-02,348.4,353.1,348.4,351.0,139
2019-12-03,357.45,383.1,346.0,363.35,3529
2019-12-04,360.05,361.6,350.45,351.95,381
2019-12-05,346.0,350.95,346.0,349.55,1235
2019-12-06,348.0,360.75,344.4,351.3,5385
2019-12-09,354.95,354.95,350.0,350.6,79
2019-12-10,346.15,348.0,344.8,345.6,919
2019-12-12,348.3,349.15,344.5,345.0,334
2019-12-13,343.8,351.0,343.8,349.2,155
2019-12-16,350.4,356.1,348.95,350.15,2034
2019-12-17,347.75,354.5,347.75,353.25,382
2019-12-18,352.5,352.5,344.35,348.2,1107
2019-12-19,350.05,359.05,350.05,356.05,53
2019-12-23,349.8,357.5,348.85,350.15,2326
2019-12-24,347.2,347.2,341.05,342.7,139
2019-12-26,345.45,345.45,339.95,341.75,396
2019-12-27,346.45,366.1,340.0,359.3,1454
2019-12-30,362.95,377.05,358.5,372.0,740
2019-12-31,365.15,373.45,363.9,370.85,81
2020-01-01,370.3,370.35,370.3,370.35,20
2020-01-02,365.8,373.45,363.3,371.95,5488
2020-01-03,372.8,380.0,368.3,375.65,1724
2020-01-06,371.5,372.0,368.0,369.25,418
2020-01-07,368.0,371.85,363.6,370.0,2818
2020-01-08,368.95,378.55,368.9,377.1,805
2020-01-09,382.8,384.45,381.0,381.55,34
2020-01-10,383.75,386.2,383.75,384.25,48595
2020-01-13,388.85,392.75,388.0,390.55,1111
2020-01-14,391.5,393.5,391.3,391.9,526
2020-01-15,396.15,417.05,394.55,406.65,8640
2020-01-16,404.15,405.25,400.0,402.2,253286
2020-01-17,405.0,420.0,402.1,411.15,2538
2020-01-20,411.15,430.0,406.0,412.55,256751
2020-01-21,412.55,446.6,405.0,426.7,21713
2020-01-22,427.5,428.0,410.8,416.05,1845
2020-01-23,412.0,417.0,406.95,414.0,250731
2020-01-24,412.6,421.75,409.65,418.0,2775
2020-01-27,419.75,424.8,416.75,421.0,924
2020-01-28,418.0,434.7,413.8,420.65,1860
2020-01-29,420.55,421.95,415.0,419.95,636
2020-01-30,416.7,420.9,414.15,419.65,299
2020-01-31,415.1,418.25,413.3,414.0,145
2020-02-01,406.7,415.05,406.65,412.4,76358
2020-02-03,411.4,416.75,408.0,409.3,1862
2020-02-04,413.55,414.55,402.4,404.55,484
2020-02-05,410.0,412.5,402.7,405.0,40
2020-02-06,402.25,403.35,399.3,399.9,355
2020-02-07,400.95,401.75,392.1,400.55,756
2020-02-10,398.6,398.6,398.6,398.6,5
2020-02-11,388.6,394.55,388.0,393.6,830
2020-02-12,388.1,391.55,386.3,389.2,505
2020-02-13,389.0,389.5,384.9,388.0,725
2020-02-14,388.0,390.25,377.1,380.55,201
2020-02-17,379.5,385.2,372.1,381.9,208
2020-02-18,379.75,384.6,379.2,383.9,117
2020-02-19,384.1,384.35,380.25,384.1,75
2020-02-20,363.0,392.8,363.0,387.05,5380
2020-02-24,381.25,389.3,380.35,384.8,223
2020-02-25,382.3,386.45,382.0,383.9,2398
2020-02-26,380.0,385.95,376.55,383.15,129
2020-02-28,368.4,380.25,368.35,379.55,2338
2020-03-02,378.3,381.65,355.2,368.95,1247
2020-03-03,372.45,381.4,372.0,374.95,11205
2020-03-04,380.0,384.4,369.95,376.85,323
2020-03-05,374.65,378.05,363.35,370.25,344
2020-03-06,361.3,376.95,361.3,369.35,219
2020-03-09,350.9,367.75,350.9,361.6,3083
2020-03-11,360.0,371.15,348.55,353.25,9136
2020-03-12,340.25,344.0,312.8,314.6,2262
2020-03-13,314.2,333.05,294.05,311.4,796
2020-03-16,300.55,300.55,275.0,278.05,2489
2020-03-17,274.05,278.1,255.45,261.75,395
2020-03-18,251.55,258.2,230.05,234.2,3056
2020-03-19,228.15,232.15,224.2,225.1,449
2020-03-20,219.15,230.0,203.0,208.25,635
2020-03-23,190.0,229.0,187.45,198.05,723
2020-03-24,179.0,217.85,178.3,191.05,389
2020-03-25,200.0,210.15,171.95,210.0,126
2020-03-26,210.0,215.0,199.0,208.75,453
2020-03-27,228.8,228.8,202.05,222.25,162
2020-03-30,224.95,224.95,200.05,201.75,2136
2020-03-31,219.95,220.9,186.55,193.45,2054
2020-04-01,197.9,201.85,189.95,193.65,615
2020-04-03,184.1,197.85,184.1,191.55,159
2020-04-07,209.9,209.9,192.0,194.3,491
2020-04-08,198.2,203.05,196.05,198.15,568
2020-04-09,205.0,205.0,192.9,200.35,696
2020-04-13,200.0,203.1,192.95,195.5,1614
2020-04-15,233.75,233.75,195.05,198.0,1674
2020-04-16,192.5,202.55,192.5,199.15,556
2020-04-17,208.0,238.95,197.0,199.65,1926
2020-04-20,210.0,210.0,196.0,198.55,2051
2020-04-21,198.6,200.9,186.85,188.95,2032
2020-04-22,194.95,195.0,187.35,190.9,717
2020-04-23,195.5,200.0,191.75,193.85,1863
2020-04-24,191.0,196.25,189.05,190.2,615
2020-04-27,194.85,194.85,191.0,192.15,474
2020-04-28,192.0,192.25,187.45,188.1,1128
2020-04-29,192.8,200.0,188.7,190.2,4294
2020-04-30,193.95,202.65,183.05,187.35,3396
2020-05-04,188.0,190.6,175.0,176.0,3427
2020-05-05,176.0,180.85,164.0,166.7,3786
2020-05-06,176.0,177.0,155.85,162.2,10829
2020-05-07,166.05,173.55,164.0,164.5,7205
2020-05-08,165.75,167.65,161.35,162.85,1306
2020-05-11,164.9,165.4,162.5,162.85,1155
2020-05-12,163.6,163.6,159.55,161.55,1346
2020-05-13,166.55,166.95,161.5,162.05,1244
2020-05-14,158.8,162.15,158.8,159.9,766
2020-05-15,161.05,163.5,156.8,159.8,1943
2020-05-18,157.0,157.75,138.85,139.4,7738
2020-05-19,142.5,145.4,132.0,134.15,4736
2020-05-20,134.1,134.8,132.0,133.25,2777
2020-05-21,133.25,142.85,132.0,132.95,12980
2020-05-22,134.0,136.5,131.35,132.9,8802
2020-05-26,134.4,134.5,131.95,132.8,2982
2020-05-27,132.65,134.25,131.9,132.7,1366
2020-05-28,133.1,135.05,132.5,133.25,3681
2020-05-29,137.95,145.0,132.85,136.35,32904
2020-06-01,150.2,163.6,144.0,163.6,81798
2020-06-02,181.0,196.3,176.0,196.3,216837
2020-06-03,215.9,215.9,215.0,215.9,18944
2020-06-04,226.65,226.65,205.15,205.15,89124
