Datetime,Open,High,Low,Close,Volume
2023-10-12,82.19,86.29,82.19,86.29,4279
2023-10-13,90.6,90.6,90.6,90.6,7210
2023-10-16,95.13,95.13,95.13,95.13,1496
2023-10-17,99.88,99.88,99.88,99.88,1631
2023-10-18,104.87,104.87,104.87,104.87,2446
2023-10-19,110.11,110.11,110.11,110.11,1000
2023-10-20,115.62,115.62,115.62,115.62,2110
2023-10-23,121.4,121.4,121.4,121.4,4472
2023-10-25,127.47,127.47,127.47,127.47,5452
2023-10-26,133.84,133.84,133.84,133.84,2861
2023-10-27,147.22,147.22,147.22,147.22,3589
2023-10-30,161.94,161.94,161.94,161.94,9059
2023-10-31,170.03,170.03,170.03,170.03,4434
2023-11-01,178.52,178.52,178.52,178.52,78277
2023-11-02,187.43,187.43,187.43,187.43,11661
2023-11-03,196.8,196.8,196.8,196.8,8181
2023-11-06,206.63,206.63,206.63,206.63,7604
2023-11-07,216.95,216.95,216.95,216.95,10741
2023-11-08,221.27,221.27,221.27,221.27,63507
2023-11-09,225.66,225.66,225.66,225.66,102225
2023-11-10,230.14,230.14,230.14,230.14,31655
2023-11-12,234.74,234.74,234.74,234.74,4167
2023-11-13,239.42,239.42,239.42,239.42,6245
2023-11-15,244.19,244.19,243.78,243.78,45576
2023-11-16,238.93,238.93,238.93,238.93,8674
2023-11-17,234.16,236.31,234.16,236.31,45818
2023-11-20,236.31,241.04,236.31,236.31,14085
2023-11-21,231.59,237.89,231.59,231.59,13143
2023-11-22,232.13,232.13,226.99,228.85,17894
2023-11-23,228.81,233.41,227.19,233.41,16210
2023-11-24,238.06,238.06,238.06,238.06,6327
2023-11-28,240.42,240.42,233.33,233.33,17261
2023-11-29,228.85,228.85,228.69,228.69,5699
2023-11-30,233.21,233.25,224.13,233.25,5841
2023-12-01,237.89,237.89,235.49,236.31,3401
2023-12-04,236.31,236.31,231.75,231.75,4324
2023-12-05,231.34,231.34,227.15,227.15,10476
2023-12-06,227.61,228.44,227.61,228.44,4239
2023-12-07,232.17,232.17,224.37,225.16,6584
2023-12-08,225.62,225.62,220.68,220.68,4261
2023-12-11,216.29,216.29,216.29,216.29,6556
2023-12-12,211.98,213.93,211.98,212.27,4433
2023-12-13,208.29,208.29,208.04,208.04,2017
2023-12-14,212.19,212.19,204.72,204.72,4968
2023-12-15,200.66,200.66,200.66,200.66,4086
2023-12-18,204.72,206.34,191.58,196.27,5651
2023-12-19,187.52,197.97,187.52,194.69,3853
2023-12-20,190.79,204.39,190.79,198.21,12618
2023-12-21,194.86,197.84,188.31,188.31,6473
2023-12-22,182.58,190.71,182.42,189.72,5186
2023-12-26,185.73,192.33,183.33,192.33,6973
2023-12-27,193.94,195.69,190.71,191.71,2905
2023-12-28,191.71,201.28,191.71,201.28,745
2023-12-29,211.31,211.31,203.15,211.27,2616
2024-01-01,211.36,220.56,207.29,209.95,3130
2024-01-02,209.95,214.71,199.46,200.04,5549
2024-01-03,196.1,209.66,193.36,201.95,1427
2024-01-04,203.02,205.22,192.87,201.16,1839
2024-01-05,197.34,202.24,196.51,200.2,1602
2024-01-08,200.58,204.76,193.7,196.47,2592
2024-01-09,196.51,206.26,194.86,205.14,3161
2024-01-10,206.26,215.38,206.26,215.38,6982
2024-01-11,219.69,226.12,219.32,226.12,8966
2024-01-12,237.39,237.39,235.49,237.39,503910
2024-01-15,249.25,249.25,240.5,249.25,85941
2024-01-16,244.27,244.27,244.27,244.27,11046
2024-01-17,239.42,239.42,239.42,239.42,859
2024-01-18,234.66,234.66,234.66,234.66,1376
2024-01-19,229.97,230.51,229.97,229.97,3680
2024-01-20,225.41,234.53,225.41,234.53,3863
2024-01-23,229.85,234.66,229.85,234.66,2721
2024-01-24,229.97,229.97,229.97,229.97,4473
2024-01-25,226.2,227.19,225.41,225.41,1859
2024-01-29,220.93,220.93,220.93,220.93,570
2024-01-30,216.62,216.62,216.54,216.54,2142
2024-01-31,212.23,212.23,212.23,212.23,1294
2024-02-01,208.12,212.23,208.0,208.0,2731
2024-02-02,207.29,212.06,207.29,212.06,1081
2024-02-05,211.44,211.44,207.83,211.44,1160
2024-02-06,210.61,211.44,208.95,211.44,1880
2024-02-07,215.67,215.67,215.67,215.67,418
2024-02-08,219.98,219.98,219.98,219.98,439
2024-02-09,224.37,224.37,224.37,224.37,2767
2024-02-12,228.85,228.85,226.7,226.7,2379
2024-02-13,222.18,222.18,222.18,222.18,575
2024-02-14,217.74,217.74,217.74,217.74,16845
2024-02-15,217.74,221.31,213.39,216.0,1205
2024-02-16,211.69,215.59,211.69,215.59,3332
2024-02-19,214.71,219.9,214.71,218.07,483
2024-02-20,218.07,220.97,218.07,220.97,875
2024-02-21,219.73,220.44,219.73,219.81,1303
2024-02-22,218.9,219.73,218.9,219.73,5136
2024-02-23,218.82,223.88,218.82,223.88,4580
2024-02-26,226.7,226.7,212.68,212.68,6880
2024-02-27,202.07,212.6,202.07,204.76,11872
2024-02-28,202.32,202.82,194.57,194.57,1837
2024-02-29,187.39,194.44,184.86,186.27,2982
2024-03-01,185.07,195.56,185.07,195.56,5829
2024-03-02,199.0,199.0,192.82,195.69,4333
2024-03-04,194.28,198.13,186.56,187.48,1503
2024-03-05,182.83,187.39,178.11,178.11,3516
2024-03-06,178.23,181.46,169.36,170.27,2255
2024-03-07,170.27,178.77,165.83,178.77,85156
2024-03-11,185.65,185.65,172.51,174.04,3856
2024-03-12,173.26,176.74,165.38,166.33,18929
2024-03-13,165.83,172.39,158.04,158.04,2722
2024-03-14,158.04,162.44,152.82,157.58,4356
2024-03-15,153.98,156.71,149.79,150.45,2376
2024-03-18,153.48,156.38,149.42,150.58,3125
2024-03-19,149.42,151.53,145.11,148.92,2993
2024-03-20,151.49,155.06,147.59,155.06,856
2024-03-21,160.61,162.77,151.74,160.86,2731
2024-03-22,167.24,167.24,162.52,166.46,789
2024-03-26,167.49,167.49,158.16,159.2,2151
2024-03-27,153.44,161.48,151.24,151.24,3107
2024-03-28,151.24,155.35,146.02,148.01,8057
2024-04-01,146.81,155.39,145.11,155.39,3556
2024-04-02,163.06,163.14,162.02,163.14,2940
2024-04-03,170.69,171.27,165.01,171.27,3626
2024-04-04,174.71,179.81,174.13,179.81,8440
2024-04-05,174.96,188.76,172.84,187.52,4531
2024-04-08,191.29,191.29,181.63,182.92,3555
2024-04-09,186.4,192.0,182.46,185.57,1337
2024-04-10,189.3,194.81,189.05,194.23,1955
2024-04-12,191.87,192.29,184.53,184.53,2290
2024-04-15,179.1,179.1,175.33,175.45,3547
2024-04-16,175.37,179.93,175.33,176.61,5916
2024-04-18,183.25,183.25,174.21,174.21,568
2024-04-19,179.1,180.18,174.13,180.18,238
2024-04-22,185.69,185.69,174.25,175.91,1114
2024-04-23,174.13,177.24,170.23,170.93,378
2024-04-24,172.18,176.2,166.66,166.75,3859
2024-04-25,168.24,171.06,162.85,167.49,1347
2024-04-26,169.48,171.47,164.18,170.19,700
2024-04-29,166.79,170.4,161.69,166.33,2125
2024-04-30,165.21,168.49,165.21,167.82,673
2024-05-02,170.52,170.52,164.18,164.47,3838
2024-05-03,165.79,166.13,161.69,162.6,235
2024-05-06,159.45,162.52,159.2,159.7,1269
2024-05-07,159.2,161.19,156.92,157.54,356
2024-05-08,155.97,159.45,155.97,159.24,273
2024-05-09,159.24,159.24,156.01,156.59,442
2024-05-10,156.59,156.59,151.74,152.9,2819
2024-05-13,157.38,157.38,146.1,156.3,830
2024-05-14,149.5,155.88,149.5,155.8,784
2024-05-15,152.69,157.5,150.29,154.77,639
2024-05-16,155.06,155.06,150.29,153.89,219
2024-05-17,154.35,154.35,150.95,152.73,1115
2024-05-18,149.83,149.83,149.83,149.83,8
2024-05-21,155.3,155.3,145.27,148.3,1685
2024-05-22,145.48,148.71,141.29,142.62,2372
2024-05-23,142.66,149.09,141.13,145.73,1380
2024-05-24,145.81,147.55,141.79,142.0,1626
2024-05-27,144.19,144.19,134.91,136.44,2857
2024-05-28,137.64,137.64,132.88,133.5,946
2024-05-29,131.01,133.08,129.35,132.13,1274
2024-05-30,133.46,133.7,126.53,130.35,1419
2024-05-31,128.73,128.73,125.29,127.57,1967
2024-06-03,129.6,129.6,123.13,124.25,4698
2024-06-04,127.65,127.65,118.07,118.07,756
2024-06-05,117.62,123.96,112.19,123.96,3594
2024-06-06,127.69,130.14,125.41,130.14,638
2024-06-07,127.11,130.14,127.11,129.93,175
2024-06-10,127.86,135.82,127.86,131.38,724
2024-06-11,132.05,132.05,126.86,129.64,592
2024-06-12,126.03,136.11,126.03,132.96,3681
2024-06-13,135.65,137.89,128.48,131.22,1595
2024-06-14,130.76,130.76,124.67,124.92,4637
2024-06-18,126.24,126.24,118.7,118.7,6603
2024-06-19,117.7,118.12,113.89,116.83,2551
2024-06-20,116.08,116.08,111.86,113.43,8812
2024-06-21,115.96,119.07,114.01,119.07,2459
2024-06-24,122.72,125.0,122.72,125.0,2255
2024-06-25,131.18,131.22,130.97,131.22,3103
2024-06-26,137.6,137.77,137.6,137.77,1609
2024-06-27,144.65,144.65,137.64,143.57,11234
2024-07-22,119.77,119.77,119.77,119.77,2006
2024-07-29,113.8,113.8,113.8,113.8,5832
2024-08-05,108.12,108.12,108.12,108.12,134659
2024-08-12,102.73,102.78,102.73,102.73,220895
2024-08-19,97.64,106.96,97.64,104.68,142793
2024-08-26,105.31,109.91,105.31,109.91,14587
2024-09-02,115.38,115.38,115.38,115.38,8510
2024-09-03,121.14,121.14,121.14,121.14,29502
2024-09-04,127.2,127.2,127.2,127.2,3525
2024-09-05,133.54,133.54,127.69,133.54,42467
2024-09-06,140.21,140.21,134.33,140.17,26033
2024-09-09,140.17,147.18,140.13,147.18,6770
2024-09-16,154.52,154.52,154.52,154.52,21921
2024-09-23,162.23,162.23,146.81,152.24,32703
2024-09-30,144.65,149.25,144.65,144.65,8094
2024-10-07,137.44,137.64,137.44,137.44,8250
2024-10-14,131.01,136.81,130.59,136.81,6343
2024-10-21,130.18,131.01,129.97,129.97,8819
2024-10-28,123.55,123.55,123.51,123.51,14179
2024-11-01,123.51,129.64,120.23,121.76,1561
2024-11-04,117.74,125.99,117.74,120.35,2197
2024-11-05,122.68,124.71,121.93,124.71,331
2024-11-06,130.3,130.3,119.77,121.97,2217
2024-11-07,123.88,126.03,119.86,124.62,1268
2024-11-08,127.69,128.31,127.15,127.49,553
2024-11-11,124.42,127.49,124.38,126.32,1633
2024-11-12,126.03,126.03,122.72,123.8,327
2024-11-13,118.24,120.19,117.62,117.66,1726
2024-11-14,123.38,123.38,123.09,123.09,70
2024-11-18,125.87,126.03,116.95,117.74,4120
2024-11-19,119.9,122.34,116.08,118.74,385
2024-11-21,117.62,120.02,112.81,112.85,1418
2024-11-22,112.85,116.91,107.88,110.86,1313
2024-11-25,109.45,111.11,108.75,109.29,1667
2024-11-26,108.62,111.07,106.55,108.58,1963
2024-11-27,108.58,112.77,104.56,112.48,2524
2024-11-28,112.35,112.73,106.88,111.03,3060
2024-11-29,105.51,110.24,105.51,109.99,1785
2024-12-02,111.73,111.73,106.96,109.95,2523
2024-12-03,115.21,115.42,115.21,115.42,50481
2024-12-04,121.18,121.18,121.18,121.18,3920
2024-12-05,127.24,127.24,127.24,127.24,11909
2024-12-06,133.58,133.58,133.58,133.58,10635
2024-12-09,133.0,133.0,126.91,126.95,9492
2024-12-10,120.6,120.6,120.6,120.6,981
2024-12-11,118.65,119.24,114.59,119.03,4398
2024-12-12,119.03,119.07,113.1,113.1,2174
2024-12-13,108.62,113.1,108.62,112.97,805
2024-12-16,118.53,118.61,118.53,118.61,744
2024-12-17,124.38,124.54,124.38,124.54,584
2024-12-18,125.62,125.62,123.3,123.38,2809
2024-12-19,122.63,122.68,122.63,122.63,210
2024-12-20,122.26,122.26,116.54,119.24,1685
2024-12-23,120.98,125.16,119.32,119.32,3099
2024-12-24,123.55,125.25,118.57,125.12,4009
2024-12-26,124.38,128.52,120.23,125.08,868
2024-12-27,127.53,127.53,121.1,126.41,2295
2024-12-30,126.03,126.03,120.27,120.64,116
2024-12-31,120.27,121.89,117.08,119.19,1429
2025-01-01,124.09,125.12,117.16,125.12,2566
2025-01-02,125.12,125.21,123.55,124.96,1364
2025-01-03,123.75,130.1,122.01,127.15,693
2025-01-06,122.72,123.51,120.81,121.31,444
2025-01-07,120.89,120.89,116.08,120.19,287
2025-01-08,120.23,122.72,120.19,122.55,1429
2025-01-09,117.95,121.72,116.5,118.99,390
2025-01-10,114.43,117.7,113.06,116.0,1080
2025-01-13,118.99,118.99,110.24,110.24,902
2025-01-14,110.24,110.24,104.93,108.95,1106
2025-01-15,107.79,110.65,106.96,106.96,921
2025-01-16,104.48,110.11,104.48,109.24,437
2025-01-17,111.77,111.9,106.13,108.37,52
2025-01-20,105.01,112.6,105.01,112.27,7
2025-01-21,112.27,112.27,106.8,106.84,627
2025-01-22,106.84,106.84,102.82,102.94,432
2025-01-23,102.94,107.42,102.94,107.42,27
2025-01-24,104.48,106.96,102.11,106.76,307
