Datetime,Open,High,Low,Close,Volume
2021-05-28,0.83,0.91,0.83,0.87,3402
2021-05-31,0.91,0.91,0.91,0.91,555
2021-06-01,0.91,0.95,0.91,0.95,2130
2021-06-02,0.99,0.99,0.99,0.99,1020
2021-06-03,0.99,1.03,0.96,1.03,5187
2021-06-04,1.08,1.08,1.03,1.08,19392
2021-06-07,1.1,1.1,1.09,1.1,326
2021-06-08,1.15,1.15,1.1,1.15,365
2021-06-09,1.2,1.2,1.2,1.2,618
2021-06-14,1.2,1.2,1.2,1.2,3749
2021-06-15,1.2,1.25,1.2,1.25,10324
2021-06-16,1.3,1.3,1.25,1.3,22863
2021-06-17,1.35,1.36,1.35,1.36,6081
2021-06-18,1.4,1.42,1.36,1.42,16922
2021-06-21,1.45,1.48,1.35,1.4,21775
2021-06-22,1.4,1.4,1.33,1.39,443389
2021-06-23,1.44,1.44,1.33,1.33,31206
2021-06-24,1.33,1.38,1.27,1.28,31717
2021-06-25,1.22,1.22,1.22,1.22,29311
2021-06-28,1.16,1.28,1.16,1.2,5723
2021-06-29,1.2,1.2,1.14,1.14,39087
2021-06-30,1.1,1.14,1.09,1.09,9205
2021-07-01,1.09,1.09,1.04,1.06,17210
2021-07-02,1.06,1.11,1.06,1.11,672
2021-07-05,1.16,1.16,1.16,1.16,1848
2021-07-06,1.21,1.21,1.18,1.18,17605
2021-07-07,1.18,1.22,1.13,1.13,9966
2021-07-08,1.13,1.13,1.08,1.08,20561
2021-07-09,1.03,1.13,1.03,1.13,4642
2021-07-12,1.18,1.18,1.18,1.18,1173
2021-07-13,1.23,1.23,1.13,1.2,7510
2021-07-14,1.26,1.26,1.26,1.26,5372
2021-07-15,1.32,1.32,1.32,1.32,3167
2021-07-16,1.38,1.38,1.26,1.3,431363
2021-07-19,1.36,1.36,1.24,1.34,8025
2021-07-20,1.38,1.38,1.28,1.33,2159
2021-07-22,1.36,1.38,1.27,1.27,14690
2021-07-23,1.33,1.33,1.32,1.32,3035
2021-07-26,1.3,1.38,1.26,1.28,621556
2021-07-27,1.33,1.33,1.23,1.23,50582
2021-07-28,1.23,1.28,1.17,1.26,349986
2021-07-29,1.32,1.32,1.2,1.21,66008
2021-07-30,1.26,1.26,1.15,1.21,14926
2021-08-02,1.2,1.27,1.2,1.27,29154
2021-08-03,1.33,1.33,1.21,1.23,15859
2021-08-04,1.29,1.29,1.19,1.25,17291
2021-08-05,1.25,1.31,1.2,1.22,2740
2021-08-06,1.25,1.34,1.2,1.3,7449
2021-08-09,1.41,1.43,1.22,1.4,38107
2021-08-10,1.27,1.45,1.26,1.26,13343
2021-08-11,1.28,1.28,1.14,1.18,16921
2021-08-12,1.21,1.29,1.08,1.19,53782
2021-08-13,1.2,1.3,1.18,1.25,10471
2021-08-16,1.35,1.35,1.16,1.18,47802
2021-08-17,1.16,1.2,1.11,1.11,6603
2021-08-18,1.16,1.22,1.1,1.13,6221
2021-08-20,1.1,1.18,1.1,1.16,5345
2021-08-23,1.18,1.24,1.06,1.13,11689
2021-08-24,1.09,1.24,1.05,1.19,39052
2021-08-25,1.27,1.3,1.13,1.25,11432
2021-08-26,1.25,1.35,1.16,1.26,10997
2021-08-27,1.26,1.27,1.14,1.15,23482
2021-08-30,1.11,1.25,1.1,1.24,24678
2021-08-31,1.3,1.36,1.18,1.36,71114
2021-09-01,1.39,1.39,1.23,1.23,124232
2021-09-02,1.25,1.25,1.13,1.16,29014
2021-09-03,1.22,1.24,1.12,1.2,24966
2021-09-06,1.21,1.26,1.13,1.25,13150
2021-09-07,1.17,1.28,1.17,1.19,10667
2021-09-08,1.24,1.24,1.12,1.22,1740
2021-09-09,1.17,1.34,1.17,1.29,22182
2021-09-13,1.3,1.39,1.19,1.23,74893
2021-09-14,1.35,1.35,1.17,1.25,52644
2021-09-15,1.35,1.35,1.19,1.22,64309
2021-09-16,1.26,1.3,1.21,1.24,25205
2021-09-17,1.3,1.3,1.19,1.19,20500
2021-09-20,1.2,1.25,1.16,1.2,7398
2021-09-21,1.24,1.24,1.17,1.2,9392
2021-09-22,1.25,1.25,1.16,1.22,7411
2021-09-23,1.22,1.22,1.13,1.17,18181
2021-09-24,1.17,1.2,1.15,1.16,37668
2021-09-27,1.2,1.2,1.11,1.16,39037
2021-09-28,1.18,1.18,1.09,1.14,20998
2021-09-29,1.15,1.17,1.09,1.15,8429
2021-09-30,1.15,1.17,1.11,1.17,1745
2021-10-01,1.17,1.17,1.11,1.16,4876
2021-10-04,1.15,1.26,1.07,1.15,70055
2021-10-05,1.19,1.24,1.15,1.22,28265
2021-10-06,1.24,1.26,1.15,1.25,96492
2021-10-07,1.18,1.29,1.18,1.27,18707
2021-10-08,1.27,1.29,1.19,1.25,2733
2021-10-11,1.13,1.3,1.13,1.13,28940
2021-10-12,1.24,1.24,1.11,1.18,9332
2021-10-13,1.18,1.18,1.09,1.16,4031
2021-10-14,1.11,1.2,1.11,1.2,3462
2021-10-18,1.25,1.25,1.08,1.21,16480
2021-10-19,1.1,1.19,1.1,1.17,1075
2021-10-20,1.2,1.2,1.18,1.18,1008
2021-10-21,1.18,1.18,1.11,1.11,2073
2021-10-22,1.12,1.19,1.12,1.12,2206
2021-10-25,1.18,1.18,1.06,1.09,5263
2021-10-26,1.17,1.17,1.1,1.15,8870
2021-10-27,1.15,1.19,1.15,1.15,863
2021-10-28,1.17,1.17,1.11,1.16,54
2021-10-29,1.16,1.2,1.16,1.16,1588
2021-11-01,1.09,1.29,1.09,1.2,4732
2021-11-02,1.2,1.2,1.14,1.2,7332
2021-11-03,1.13,1.24,1.13,1.17,2880
2021-11-04,1.15,1.15,1.15,1.15,1500
2021-11-08,1.2,1.2,1.16,1.16,6383
2021-11-09,1.2,1.22,1.2,1.22,3406
2021-11-10,1.22,1.22,1.12,1.22,3691
2021-11-11,1.24,1.24,1.24,1.24,374
2021-11-12,1.01,1.2,1.01,1.2,13790
2021-11-15,1.24,1.24,1.18,1.18,5093
2021-11-16,1.25,1.25,1.23,1.23,2014
2021-11-17,1.23,1.24,1.2,1.24,4752
2021-11-18,1.22,1.22,1.15,1.15,5633
2021-11-22,1.2,1.2,1.07,1.07,8813
2021-11-23,1.18,1.18,1.11,1.15,25545
2021-11-24,1.18,1.3,1.18,1.3,26388
2021-11-25,1.26,1.28,1.2,1.2,10921
2021-11-26,1.2,1.2,1.13,1.2,5766
2021-11-29,1.1,1.3,1.1,1.3,28112
2021-11-30,1.15,1.21,1.05,1.17,28615
2021-12-01,1.16,1.16,1.14,1.14,2886
2021-12-02,1.14,1.14,1.1,1.14,2898
2021-12-03,1.1,1.13,1.1,1.13,3644
2021-12-06,1.13,1.18,1.13,1.18,13065
2021-12-07,1.18,1.25,1.16,1.24,14185
2021-12-08,1.25,1.25,1.2,1.22,36427
2021-12-09,1.22,1.22,1.12,1.17,58495
2021-12-10,1.12,1.25,1.12,1.24,103612
2021-12-13,1.25,1.25,1.2,1.24,19093
2021-12-14,1.2,1.2,1.15,1.15,48224
2021-12-15,1.15,1.15,1.15,1.15,176198
2021-12-16,1.15,1.18,1.15,1.15,27227
2021-12-17,1.3,1.3,1.2,1.2,63233
2021-12-20,1.38,1.38,1.2,1.26,191181
