Datetime,Open,High,Low,Close,Volume
2019-05-28,24.5,26.3,24.4,25.13,14598
2019-05-29,25.65,25.85,24.78,24.78,4104
2019-05-30,20.6,24.45,20.6,23.93,3614
2019-06-03,22.6,23.45,22.0,22.95,2108
2019-06-10,22.28,22.53,21.5,21.5,1610
2019-06-11,21.75,21.75,21.5,21.55,690
2019-06-12,20.98,21.73,20.85,21.13,8300
2019-06-13,20.55,21.03,19.93,19.95,7866
2019-06-14,19.48,19.48,18.0,18.58,21792
2019-06-17,19.2,19.2,18.18,18.68,2088
2019-06-18,18.95,20.2,18.0,19.8,4022
2019-06-19,20.25,20.95,18.25,18.77,5816
2019-06-20,19.08,20.9,18.25,19.48,4438
2019-06-21,19.6,20.5,19.35,20.15,2632
2019-06-24,20.85,20.85,19.33,19.33,480
2019-06-25,20.08,20.08,19.0,19.63,3318
2019-06-26,19.2,20.15,19.2,20.15,8828
2019-06-27,19.55,20.33,19.13,20.23,2142
2019-06-28,20.18,20.18,19.4,19.4,126
2019-07-01,19.73,20.0,19.13,19.5,2550
2019-07-02,19.5,19.77,19.3,19.63,13288
2019-07-03,19.73,20.95,19.5,19.63,622
2019-07-04,19.55,19.55,19.5,19.5,2000
2019-07-05,20.0,20.55,19.52,19.88,756
2019-07-08,19.0,19.55,18.5,19.0,464
2019-07-09,19.2,19.2,18.4,18.45,1900
2019-07-10,19.0,19.0,18.3,18.3,994
2019-07-11,18.75,18.75,18.45,18.7,1296
2019-07-12,18.52,18.52,18.0,18.45,2140
2019-07-15,18.63,18.63,18.23,18.38,248
2019-07-16,18.2,18.2,17.7,17.75,1082
2019-07-17,18.3,18.3,17.1,17.5,1466
2019-07-18,17.5,17.58,16.93,17.1,4068
2019-07-19,16.83,16.83,15.2,15.6,4134
2019-07-22,15.15,15.98,14.7,14.7,3028
2019-07-23,14.95,14.95,14.45,14.55,6580
2019-07-24,14.85,14.85,14.45,14.45,2712
2019-07-25,14.9,15.03,14.9,14.9,100
2019-07-26,15.1,15.75,14.9,15.55,1570
2019-07-29,15.48,15.73,15.23,15.3,9766
2019-07-30,14.68,15.63,13.6,14.95,4806
2019-07-31,14.53,16.35,14.5,15.1,2550
2019-08-01,12.63,15.5,12.63,14.65,3032
2019-08-02,14.88,14.9,14.45,14.45,1820
2019-08-05,14.5,15.78,14.5,15.18,3666
2019-08-06,15.0,15.53,15.0,15.25,1270
2019-08-07,15.45,16.35,15.45,15.5,3032
2019-08-08,15.18,18.18,15.18,16.08,838
2019-08-09,16.45,16.93,15.65,16.48,2364
2019-08-13,16.5,16.58,15.63,15.65,3104
2019-08-14,16.5,17.2,16.5,16.9,2206
2019-08-16,16.5,16.55,16.5,16.55,176
2019-08-19,17.63,17.63,16.98,16.98,866
2019-08-20,17.9,18.15,17.58,17.7,5516
2019-08-21,19.02,19.95,18.25,18.73,20052
2019-08-22,18.85,18.85,17.0,17.75,3856
2019-08-23,17.5,17.88,16.63,17.33,4144
2019-08-26,17.68,18.0,17.02,17.25,4278
2019-08-27,18.4,19.0,17.75,17.75,4942
2019-08-28,18.0,18.0,16.58,17.02,5016
2019-08-29,17.48,17.8,16.5,17.48,4930
2019-08-30,17.43,19.77,17.4,18.48,6970
2019-09-03,18.13,19.7,17.63,18.58,3676
2019-09-04,19.08,19.23,18.73,19.18,718
2019-09-05,19.02,19.35,18.68,19.13,4294
2019-09-06,19.23,19.52,19.23,19.43,5016
2019-09-11,18.8,20.27,18.75,19.83,12640
2019-09-12,19.5,21.23,19.5,20.43,19946
2019-09-13,24.0,24.0,20.85,21.13,12470
2019-09-16,20.8,21.23,20.68,20.78,1054
2019-09-17,22.2,22.5,20.5,20.7,7336
2019-09-18,21.85,21.85,21.0,21.0,3322
2019-09-19,21.0,21.03,20.23,20.35,1674
2019-09-20,20.5,21.28,20.5,21.0,3308
2019-09-23,22.03,22.03,20.53,20.9,2686
2019-09-24,20.7,20.9,20.02,20.38,3920
2019-09-25,20.27,20.55,19.58,19.9,524
2019-09-26,20.58,20.58,20.0,20.0,2706
2019-09-27,19.75,21.45,19.75,20.93,4828
2019-09-30,20.9,20.95,19.52,20.15,6082
2019-10-01,20.48,20.75,18.52,19.5,336
2019-10-03,19.2,20.5,19.2,20.43,3186
2019-10-04,20.5,20.85,19.5,19.6,5836
2019-10-07,20.85,20.85,19.5,19.9,966
2019-10-09,19.5,19.5,19.5,19.5,1000
2019-10-10,18.9,19.65,18.8,19.5,952
2019-10-11,20.4,20.4,18.4,19.25,162
2019-10-14,20.4,20.4,20.4,20.4,2
2019-10-15,18.98,20.4,18.98,19.95,584
2019-10-16,19.33,19.85,19.05,19.85,828
2019-10-17,19.1,19.73,18.6,18.85,1502
2019-10-18,19.15,19.5,18.85,19.48,992
2019-10-22,19.18,20.5,19.18,20.5,1110
2019-10-23,20.2,20.43,19.52,19.55,1222
2019-10-29,19.15,19.93,18.6,19.75,6978
2019-10-30,19.33,20.2,18.1,19.8,2904
2019-10-31,19.98,19.98,19.4,19.4,2240
2019-11-01,19.5,19.5,19.5,19.5,100
2019-11-04,19.68,20.63,19.55,20.38,12474
2019-11-05,21.5,21.98,20.33,21.5,5792
2019-11-06,21.5,21.83,20.5,20.93,2740
2019-11-07,20.43,23.4,20.43,22.15,33320
2019-11-08,21.8,22.23,20.93,21.03,14764
2019-11-13,20.68,20.68,20.02,20.2,2012
2019-11-14,20.48,20.75,19.55,19.75,5862
2019-11-15,19.98,20.48,19.35,19.65,12658
2019-11-18,19.5,19.5,19.1,19.1,400
2019-11-19,19.52,19.77,18.95,19.27,7696
2019-11-20,19.15,19.33,19.15,19.3,706
2019-11-21,19.15,19.48,19.0,19.08,82
2019-11-22,19.08,19.27,19.08,19.27,220
2019-11-25,19.73,19.73,19.73,19.73,50
2019-11-26,20.3,21.0,20.02,20.25,25196
2019-11-27,19.4,19.73,19.4,19.55,1794
2019-11-28,19.83,19.83,19.52,19.55,930
2019-11-29,20.88,21.75,20.1,20.35,24662
2019-12-02,20.08,20.25,19.5,19.65,12132
2019-12-03,19.93,19.98,19.3,19.3,1738
2019-12-04,19.5,19.5,19.5,19.5,500
2019-12-05,19.95,19.95,19.45,19.5,702
2019-12-06,19.5,19.5,19.08,19.08,654
2019-12-09,19.1,19.27,19.1,19.27,130
2019-12-10,19.33,19.58,18.7,18.75,6676
2019-12-11,18.75,18.75,18.52,18.52,720
2019-12-12,18.5,19.27,18.35,18.77,2526
2019-12-13,19.0,19.0,18.75,18.83,2436
2019-12-16,19.08,19.08,19.0,19.0,542
2019-12-17,18.95,19.05,18.88,19.02,112
2019-12-18,19.5,20.6,19.13,19.85,32630
2019-12-19,20.5,21.83,20.48,20.9,24374
2019-12-20,20.7,20.7,19.38,19.48,18340
2019-12-23,19.45,20.05,18.85,18.98,6770
2019-12-24,19.08,19.08,18.27,18.5,5720
2019-12-26,18.63,18.95,18.3,18.52,6692
2019-12-27,18.58,18.7,18.1,18.23,5662
2019-12-30,18.65,18.65,18.27,18.43,1686
2019-12-31,18.55,19.35,18.25,18.55,23676
2020-01-01,18.68,19.7,18.68,18.9,16428
2020-01-02,18.95,19.13,18.8,18.85,10970
2020-01-03,18.77,18.88,18.5,18.55,5340
2020-01-06,17.88,18.43,17.52,17.95,8656
2020-01-07,18.35,18.35,17.77,17.95,1914
2020-01-08,17.5,17.9,17.38,17.6,6018
2020-01-09,18.08,18.23,17.88,18.18,1020
2020-01-10,18.08,18.33,17.85,17.85,2794
2020-01-13,17.83,18.05,17.8,18.05,6710
2020-01-14,18.23,19.3,18.23,18.4,10458
2020-01-15,18.63,18.75,17.93,18.5,7048
2020-01-16,18.55,18.8,18.38,18.52,2186
2020-01-17,18.6,19.18,18.45,18.8,9676
2020-01-20,18.6,18.6,18.3,18.48,2442
2020-01-21,18.3,18.33,18.1,18.1,1162
2020-01-22,18.2,18.3,17.68,17.83,1414
2020-01-23,17.9,17.9,17.63,17.77,530
2020-01-24,17.85,18.1,17.7,17.7,2220
2020-01-27,17.73,17.75,17.43,17.45,1198
2020-01-28,17.88,17.88,17.3,17.33,1314
2020-01-29,17.55,17.55,17.38,17.52,892
2020-01-30,16.98,18.02,16.88,17.0,94
2020-01-31,17.43,17.43,16.23,16.5,5548
2020-02-01,16.5,17.45,16.38,16.88,19316
2020-02-03,16.75,16.83,15.98,15.98,4686
2020-02-04,16.65,16.75,16.3,16.38,2236
2020-02-05,16.23,16.3,16.08,16.25,1920
2020-02-06,16.0,16.35,16.0,16.0,1548
2020-02-07,16.02,16.27,15.73,16.08,922
2020-02-10,16.02,16.27,16.0,16.27,1260
2020-02-11,16.25,16.25,15.6,15.85,6050
2020-02-12,14.8,15.23,14.33,14.65,19364
2020-02-13,15.58,16.7,15.58,16.7,826
2020-02-14,16.15,16.15,15.5,15.88,4942
2020-02-17,15.6,15.63,14.18,15.55,652
2020-02-18,15.33,16.2,15.0,15.23,8476
2020-02-19,15.9,15.9,15.15,15.25,1428
2020-02-20,16.23,16.23,15.28,15.45,4340
2020-02-24,14.95,15.03,14.75,14.85,1256
2020-02-25,14.6,17.2,14.55,14.8,2862
2020-02-26,14.58,14.58,13.1,13.95,3768
2020-02-27,14.4,14.45,13.8,14.25,932
2020-02-28,14.25,14.25,12.13,13.13,13274
2020-03-02,14.03,14.03,12.0,12.38,2472
2020-03-03,12.18,12.43,11.65,12.3,2644
2020-03-04,12.08,12.08,12.0,12.0,250
