Datetime,Open,High,Low,Close,Volume
2021-05-28,460.5,464.4,452.0,453.55,3247
2021-05-31,455.4,455.4,450.0,452.15,1942
2021-06-01,453.5,456.9,446.95,449.05,5438
2021-06-02,452.75,456.5,448.7,452.6,2285
2021-06-03,456.0,463.9,455.0,461.0,1755
2021-06-04,462.55,465.35,454.65,456.9,3243
2021-06-07,459.8,490.3,456.6,478.3,13010
2021-06-08,488.0,488.2,469.7,478.75,4611
2021-06-09,495.9,499.6,478.6,483.15,14337
2021-06-10,490.0,499.45,484.05,486.05,3949
2021-06-11,485.5,498.05,485.5,488.6,3884
2021-06-14,484.3,487.0,471.2,483.35,3563
2021-06-15,480.25,489.3,480.25,482.25,1780
2021-06-16,484.5,489.2,475.85,477.95,1044
2021-06-17,475.3,482.8,465.4,467.0,10893
2021-06-18,471.8,471.8,452.65,462.15,1871
2021-06-21,458.0,465.3,451.7,457.85,2459
2021-06-22,462.8,476.65,461.0,467.4,5260
2021-06-23,471.15,490.75,467.0,477.75,5301
2021-06-24,477.75,488.8,467.5,468.3,1928
2021-06-25,470.05,477.7,465.0,466.9,424
2021-06-28,465.0,472.15,465.0,468.5,877
2021-06-29,470.65,474.05,462.05,462.95,3196
2021-06-30,465.85,469.7,462.0,462.05,1304
2021-07-01,466.15,495.0,464.55,475.35,10486
2021-07-02,475.0,486.65,471.0,476.85,5911
2021-07-05,480.05,482.0,472.2,472.65,1590
2021-07-06,476.7,521.0,472.5,494.8,61730
2021-07-07,491.75,498.0,485.6,486.9,7145
2021-07-08,490.65,518.05,487.9,495.75,15101
2021-07-09,481.0,509.75,481.0,500.6,5202
2021-07-12,512.0,600.7,503.8,599.5,111981
2021-07-13,616.7,697.2,605.85,628.15,223139
2021-07-14,631.8,640.0,610.9,616.2,41026
2021-07-15,621.3,630.0,607.0,613.4,4704
2021-07-16,616.45,617.0,600.0,606.0,2912
2021-07-19,587.8,608.05,585.5,593.4,13932
2021-07-20,590.7,595.95,565.25,574.0,13749
2021-07-22,574.0,604.0,573.6,585.75,6145
2021-07-23,591.9,593.05,565.4,572.3,2912
2021-07-26,571.95,598.95,571.9,578.15,12374
2021-07-27,580.15,586.15,567.8,570.4,2120
2021-07-28,570.6,577.0,559.05,568.3,6306
2021-07-29,571.0,583.0,569.0,572.05,3663
2021-07-30,575.25,592.4,566.8,582.6,3573
2021-08-02,592.45,637.4,586.3,623.65,19369
2021-08-03,629.0,631.7,606.35,609.7,5715
2021-08-04,624.9,624.9,598.0,602.15,14715
2021-08-05,601.6,601.6,580.95,588.05,3543
2021-08-06,590.0,610.0,583.55,598.9,4504
2021-08-09,606.4,606.5,590.5,602.3,1240
2021-08-10,601.7,603.2,574.9,585.85,2096
2021-08-11,587.75,587.75,564.9,581.3,2205
2021-08-12,586.6,597.0,584.45,589.95,1980
2021-08-13,594.95,626.85,590.75,612.6,8155
2021-08-16,614.65,618.25,605.4,607.2,1905
2021-08-17,607.05,607.35,592.0,592.85,1614
2021-08-18,593.4,605.25,580.6,586.55,1709
2021-08-20,587.0,587.8,574.0,581.65,1459
2021-08-23,581.0,582.5,559.55,560.7,2972
2021-08-24,541.55,570.4,541.55,562.75,2651
2021-08-25,565.5,583.5,556.6,562.55,1229
2021-08-26,561.75,577.0,553.8,555.85,3535
2021-08-27,556.4,584.0,556.35,576.1,4184
2021-08-30,579.4,581.05,570.0,575.0,7946
2021-08-31,566.65,577.8,566.1,570.1,2623
2021-09-01,572.8,597.0,565.05,577.15,5809
2021-09-02,587.9,587.9,572.0,573.0,2016
2021-09-03,575.0,580.1,566.45,567.7,1221
