Datetime,Open,High,Low,Close,Volume
2020-03-05,12.5,13.1,12.5,13.1,4
2020-03-06,13.7,13.7,13.7,13.7,1
2020-03-09,14.3,14.3,14.3,14.3,1
2020-03-11,15.0,15.0,15.0,15.0,1
2020-03-12,15.7,15.7,15.7,15.7,1
2020-03-13,16.4,16.4,16.4,16.4,1
2020-03-16,17.2,17.2,17.2,17.2,1
2020-03-17,18.0,18.0,18.0,18.0,1
2020-03-25,18.9,18.9,18.9,18.9,1
2020-03-26,19.8,19.8,19.8,19.8,1
2020-03-27,20.0,20.5,20.0,20.3,2
2020-06-08,21.3,21.3,21.3,21.3,3
2020-06-09,22.3,22.3,22.3,22.3,3
2020-06-10,22.9,23.0,22.9,22.9,3
2020-09-15,23.2,23.9,23.2,23.8,6163
2020-09-16,24.5,24.9,24.0,24.9,1171
2020-09-18,26.1,26.1,26.1,26.1,507
2020-09-21,27.4,27.4,27.4,27.4,767
2020-09-22,28.7,28.7,28.7,28.7,841
2020-09-23,30.1,30.1,30.1,30.1,9
2020-09-24,31.6,31.6,31.6,31.6,7
2020-09-25,33.1,33.1,33.1,33.1,9
2020-09-29,34.7,34.7,34.7,34.7,10
2020-09-30,36.4,36.4,36.4,36.4,10
2020-10-01,38.2,38.2,38.2,38.2,8
2020-10-05,40.1,40.1,40.1,40.1,524
2020-10-06,42.1,42.1,42.1,42.1,5
2020-10-07,42.9,42.9,42.9,42.9,3
2020-10-08,43.7,43.7,43.7,43.7,129
2020-10-09,44.5,44.5,44.5,44.5,3
2020-10-12,45.3,45.3,44.5,45.3,134
2020-10-13,46.2,46.2,46.2,46.2,17
2020-10-14,47.1,47.1,47.1,47.1,5
2020-10-15,48.0,48.0,48.0,48.0,7
2020-10-19,48.9,48.9,48.9,48.9,14
2020-10-20,49.8,49.8,49.8,49.8,4
2020-10-21,50.7,50.7,50.7,50.7,10
2020-10-22,51.7,51.7,51.7,51.7,527
2020-10-23,51.7,52.7,51.7,52.7,10
2020-10-27,53.7,53.7,53.7,53.7,9
2020-10-28,54.7,54.7,54.7,54.7,8
2020-10-29,55.7,55.7,55.7,55.7,7
2020-10-30,56.8,56.8,56.8,56.8,5
2020-11-02,57.9,57.9,57.9,57.9,7
2020-11-03,59.0,59.0,59.0,59.0,9
2020-11-04,60.1,60.1,60.1,60.1,8
2020-11-05,61.3,61.3,61.3,61.3,7
2020-11-06,62.5,62.5,62.5,62.5,8
2020-11-09,63.7,63.7,63.7,63.7,132
2020-11-10,64.9,64.9,64.9,64.9,4
2020-11-11,66.1,66.1,66.1,66.1,388
2020-11-12,67.4,67.4,67.4,67.4,3
2020-11-13,68.7,68.7,68.7,68.7,3
2020-11-14,70.0,70.0,70.0,70.0,1
2020-11-17,71.4,71.4,71.4,71.4,414
2020-11-18,72.8,72.8,72.8,72.8,203
2020-11-19,74.2,74.2,74.2,74.2,2
2020-11-20,75.6,75.6,75.6,75.6,356
2020-11-23,77.1,77.1,77.1,77.1,4
2020-11-24,78.6,78.6,78.6,78.6,304
2020-11-25,80.1,80.1,80.1,80.1,4
2020-11-26,81.7,81.7,81.7,81.7,2
2020-11-27,83.3,83.3,83.3,83.3,3
2020-12-01,84.9,84.9,84.9,84.9,5
2020-12-02,86.5,86.5,86.5,86.5,5
2020-12-03,88.2,88.2,88.2,88.2,3
2020-12-04,89.9,89.9,89.9,89.9,1260
2020-12-07,91.6,91.6,91.6,91.6,611
2020-12-08,93.4,93.4,93.4,93.4,5
2020-12-09,95.2,95.2,95.2,95.2,7
2020-12-10,97.1,97.1,97.1,97.1,36
2020-12-11,99.0,99.0,99.0,99.0,4
2020-12-14,100.9,100.9,100.9,100.9,4
2020-12-15,102.9,102.9,102.9,102.9,102
2020-12-16,104.9,104.9,104.9,104.9,2003
2020-12-17,106.9,106.9,106.9,106.9,4
2020-12-18,109.0,109.0,109.0,109.0,5
2020-12-21,111.1,111.1,111.1,111.1,7
2020-12-22,113.3,113.3,113.3,113.3,3357
2020-12-23,115.5,115.5,115.5,115.5,5
2020-12-24,117.8,117.8,117.8,117.8,7
2020-12-28,120.1,120.1,120.1,120.1,6
2020-12-29,122.5,122.5,122.5,122.5,9
2020-12-30,124.9,124.9,124.9,124.9,10
2020-12-31,127.3,127.3,127.3,127.3,10
2021-01-01,129.8,129.8,129.8,129.8,10
2021-01-04,132.3,132.3,132.3,132.3,11
2021-01-05,134.9,134.9,134.9,134.9,13
2021-01-06,137.5,137.5,137.5,137.5,14
2021-01-07,140.2,140.2,140.2,140.2,9
2021-01-08,143.0,143.0,143.0,143.0,6
2021-01-11,145.8,145.8,145.8,145.8,11
2021-01-12,148.7,148.7,148.7,148.7,9
2021-01-13,151.6,151.6,151.6,151.6,7
2021-01-14,154.6,154.6,154.6,154.6,9
2021-01-15,157.6,157.6,157.6,157.6,12
2021-01-18,160.7,160.7,160.7,160.7,97
2021-01-19,163.9,163.9,163.9,163.9,19
2021-01-20,167.1,167.1,167.1,167.1,84
2021-01-21,170.4,170.4,170.4,170.4,12
2021-01-22,173.8,173.8,173.8,173.8,14
2021-01-25,177.2,177.2,177.2,177.2,17
2021-01-27,180.7,180.7,180.7,180.7,341
2021-01-28,184.3,184.3,184.3,184.3,325
2021-01-29,187.9,187.9,187.9,187.9,16
2021-02-01,191.5,191.5,191.5,191.5,14
2021-02-02,192.0,195.0,192.0,195.0,339
2021-02-03,198.5,198.5,198.5,198.5,3
2021-02-04,202.0,202.0,202.0,202.0,12
2021-02-05,206.0,206.0,206.0,206.0,25
2021-02-08,210.0,210.0,209.0,210.0,376
2021-02-09,214.0,214.0,214.0,214.0,9
2021-02-10,218.0,218.0,218.0,218.0,14
2021-02-11,222.0,222.0,222.0,222.0,22
2021-02-12,226.0,226.0,226.0,226.0,21
2021-02-15,230.5,230.5,230.5,230.5,66
2021-02-16,235.0,235.0,228.0,235.0,61
2021-02-17,239.5,239.5,239.5,239.5,3004
2021-02-18,244.0,244.0,242.5,244.0,51
2021-02-19,248.5,248.5,248.5,248.5,15
2021-02-22,253.0,253.0,253.0,253.0,24
2021-02-23,258.0,258.0,258.0,258.0,12
2021-02-24,263.0,263.0,263.0,263.0,6
2021-02-25,268.0,268.0,268.0,268.0,3
2021-02-26,270.0,273.0,270.0,273.0,3
2021-03-01,275.0,278.0,275.0,278.0,16
2021-03-02,283.5,283.5,283.5,283.5,6
2021-03-03,288.5,289.0,288.5,289.0,9
2021-03-04,294.5,294.5,294.5,294.5,5
2021-03-05,300.0,300.0,300.0,300.0,17
2021-03-08,306.0,306.0,300.0,304.5,164
2021-03-09,309.0,310.5,309.0,310.5,4
2021-03-10,316.5,316.5,316.5,316.5,8
2021-03-12,322.5,322.5,322.5,322.5,166
2021-03-15,328.5,328.5,328.5,328.5,11
2021-03-16,335.0,335.0,335.0,335.0,10
2021-03-17,341.5,341.5,341.5,341.5,15
2021-03-18,348.0,348.0,348.0,348.0,53
2021-03-19,354.5,354.5,354.5,354.5,10
2021-03-22,361.5,361.5,361.5,361.5,16
2021-03-23,368.5,368.5,368.5,368.5,17
2021-03-24,375.5,375.5,375.5,375.5,95
2021-03-25,383.0,383.0,383.0,383.0,69
2021-03-26,390.5,390.5,390.5,390.5,14
2021-03-30,398.0,398.0,398.0,398.0,20
2021-03-31,405.0,405.5,405.0,405.5,30
2021-04-01,413.5,413.5,413.5,413.5,6
2021-04-05,421.5,421.5,413.5,421.5,120
2021-04-06,422.5,429.5,421.5,429.5,75
2021-04-07,438.0,438.0,438.0,438.0,7
2021-04-08,446.5,446.5,446.5,446.5,21
2021-04-09,455.0,455.0,455.0,455.0,19
2021-04-12,464.0,464.0,464.0,464.0,25
2021-04-13,473.0,473.0,473.0,473.0,9
2021-04-15,482.0,482.0,482.0,482.0,16
2021-04-16,491.5,491.5,491.5,491.5,16
2021-04-19,501.0,501.0,482.0,500.0,149
2021-04-20,490.0,510.0,490.0,510.0,117
2021-04-22,514.5,519.5,514.5,515.0,67
2021-04-23,510.0,510.0,510.0,510.0,51
2021-05-03,500.0,520.0,500.0,520.0,580
2021-06-28,519.0,519.0,518.0,518.0,671
2021-07-14,492.5,492.5,492.5,492.5,2
2021-07-22,492.5,492.5,492.5,492.5,77
2021-08-11,468.0,492.5,468.0,482.5,1462
2021-08-12,485.0,485.0,460.0,481.0,1765
2021-08-13,479.5,479.5,465.0,469.0,3681
2021-08-16,475.0,491.5,446.0,446.0,3213
2021-08-17,424.0,468.0,424.0,467.5,12091
2021-08-18,445.0,445.0,444.5,444.5,1618
2021-08-20,422.5,422.5,422.5,422.5,52
2021-08-23,401.5,401.5,401.5,401.5,0
2021-08-24,381.5,381.5,381.5,381.5,1
2021-08-25,362.5,362.5,362.5,362.5,3
2021-08-26,344.5,344.5,344.5,344.5,1
2021-08-27,327.5,327.5,327.5,327.5,0
2021-08-30,311.5,311.5,311.5,311.5,0
2021-08-31,296.0,296.0,296.0,296.0,0
2021-09-01,281.5,296.0,281.5,281.5,312
2021-09-03,267.5,267.5,267.5,267.5,5
2021-09-06,254.5,254.5,254.5,254.5,13
2021-09-07,242.0,242.0,242.0,242.0,2
2021-09-09,230.0,230.0,230.0,230.0,7
2021-09-13,218.5,218.5,218.5,218.5,5
2021-09-14,208.0,208.0,208.0,208.0,0
2021-09-15,198.0,198.0,198.0,198.0,15
2021-09-20,188.5,188.5,188.5,188.5,32
2021-09-21,179.5,179.5,179.5,179.5,5
2021-09-22,171.0,171.0,171.0,171.0,16
2021-09-23,168.0,168.0,162.5,162.5,24
2021-09-24,154.5,154.5,154.5,154.5,13
2021-09-27,147.0,147.0,147.0,147.0,37
2021-09-28,140.0,147.0,140.0,140.0,248
2021-09-29,133.0,140.0,133.0,133.0,67
2021-09-30,126.5,139.5,126.5,129.0,969
2021-10-01,122.7,122.7,122.6,122.6,143
2021-10-04,116.5,128.7,116.5,116.5,467
2021-10-05,110.7,122.3,110.7,122.3,151
2021-10-06,128.4,128.4,128.4,128.4,93
2021-10-07,134.8,134.8,125.0,134.8,892
2021-10-08,141.5,141.5,128.1,133.4,490
2021-10-11,138.5,140.0,126.8,140.0,659
2021-10-12,147.0,147.0,133.0,139.0,270
2021-10-13,145.9,145.9,132.1,132.1,48
2021-10-14,125.5,125.5,125.5,125.5,144
2021-10-18,119.3,131.7,119.3,131.7,624
2021-10-19,138.2,138.2,138.2,138.2,96
2021-10-20,145.1,145.1,145.1,145.1,2755
2021-10-21,152.3,152.3,152.3,152.3,3985
2021-10-22,159.9,159.9,159.9,159.9,5778
2021-10-25,167.8,167.8,167.8,167.8,1905
2021-10-26,176.1,176.1,176.1,176.1,3327
2021-10-27,184.9,184.9,184.9,184.9,22
2021-10-28,194.1,194.1,194.1,194.1,1090
2021-10-29,203.8,203.8,203.8,203.8,4249
2021-11-01,213.5,213.5,213.5,213.5,1080
2021-11-02,224.0,224.0,224.0,224.0,1104
2021-11-03,235.0,235.0,213.0,213.0,1443
2021-11-04,202.5,223.5,202.5,223.5,2406
2021-11-08,234.5,234.5,213.0,234.5,633
2021-11-09,246.0,246.0,234.5,246.0,156
2021-11-10,258.0,258.0,258.0,258.0,1540
2021-11-11,270.5,270.5,270.5,270.5,1877
2021-11-12,284.0,284.0,284.0,284.0,296
2021-11-15,298.0,298.0,298.0,298.0,1459
2021-11-16,312.5,312.5,311.5,312.5,716
2021-11-17,328.0,328.0,328.0,328.0,124
2021-11-18,344.0,344.0,344.0,344.0,375
2021-11-22,361.0,361.0,361.0,361.0,244
2021-11-23,379.0,379.0,379.0,379.0,517
2021-11-24,397.5,397.5,397.5,397.5,223
2021-11-25,417.0,417.0,417.0,417.0,194
2021-11-26,437.5,437.5,396.5,437.5,5935
2021-11-29,459.0,459.0,459.0,459.0,3237
2021-11-30,481.5,481.5,479.5,481.5,24967
2021-12-01,481.5,481.5,457.5,457.5,875
2021-12-02,435.0,435.0,435.0,435.0,663
2021-12-03,413.5,413.5,413.5,413.5,398
2021-12-06,393.0,393.0,393.0,393.0,83
2021-12-07,373.5,373.5,373.5,373.5,26
2021-12-08,355.0,355.0,355.0,355.0,1381
2021-12-09,337.5,337.5,337.5,337.5,119
2021-12-10,321.0,321.0,321.0,321.0,199
2021-12-13,305.0,305.0,305.0,305.0,115
2021-12-14,290.0,290.0,290.0,290.0,155
2021-12-15,275.5,275.5,275.5,275.5,199
2021-12-16,262.0,262.0,262.0,262.0,26
2021-12-17,249.0,249.0,249.0,249.0,73
2021-12-20,237.0,237.0,237.0,237.0,34
2021-12-21,225.5,225.5,225.5,225.5,172
2021-12-22,214.5,214.5,214.5,214.5,134
2021-12-23,204.0,204.0,204.0,204.0,102
2021-12-24,194.0,214.0,194.0,214.0,3220
2021-12-27,224.5,224.5,224.5,224.5,1195
2021-12-28,235.5,235.5,235.5,235.5,393
2021-12-29,247.0,247.0,247.0,247.0,405
2021-12-30,259.0,259.0,235.0,259.0,3261
2021-12-31,271.0,271.5,271.0,271.5,1380
2022-01-03,285.0,285.0,285.0,285.0,464
2022-01-04,299.0,299.0,271.0,271.0,1574
2022-01-05,257.5,257.5,257.5,257.5,232
2022-01-06,245.0,245.0,245.0,245.0,434
2022-01-07,233.5,257.0,233.0,256.5,2613
2022-01-10,251.5,269.0,244.0,247.5,2531
2022-01-11,247.5,247.5,235.5,235.5,709
2022-01-12,225.0,247.0,224.0,228.5,1918
2022-01-13,233.5,239.5,220.0,224.5,899
2022-01-14,222.5,229.0,213.5,223.5,373
2022-01-17,234.5,234.5,212.5,221.0,1133
