Datetime,Open,High,Low,Close,Volume
2019-05-28,5.26,5.26,5.26,5.26,200
2019-05-30,5.07,5.07,5.07,5.07,37
2019-07-17,5.07,5.07,5.07,5.07,129
2019-07-25,5.3,5.3,5.3,5.3,5000
2019-08-06,5.36,5.36,5.36,5.36,1000
2019-08-07,5.5,5.61,5.5,5.61,9000
2019-08-08,5.33,5.33,5.33,5.33,2
2019-08-21,5.33,5.33,5.33,5.33,10
2019-08-30,5.3,5.3,5.3,5.3,1
2019-10-11,5.04,5.04,5.04,5.04,1
2019-11-13,4.8,4.8,4.8,4.8,100
2019-11-19,4.57,4.57,4.57,4.57,62
2019-11-20,4.35,4.35,4.35,4.35,100
2019-11-21,4.5,4.5,4.5,4.5,21
2019-11-22,4.4,4.4,4.4,4.4,72
2019-11-28,4.18,4.18,4.18,4.18,28
2019-12-05,4.18,4.18,4.18,4.18,10
2019-12-23,4.0,4.0,4.0,4.0,1000
2020-01-13,3.8,3.8,3.8,3.8,15
2020-01-17,3.61,3.61,3.61,3.61,200
2020-01-20,3.43,3.43,3.43,3.43,801
2020-01-21,3.26,3.26,3.26,3.26,1000
2020-01-22,3.27,3.27,3.27,3.27,10
2020-01-23,3.42,3.42,3.42,3.42,753
2020-02-10,3.59,3.59,3.59,3.59,1100
2020-02-11,3.59,3.59,3.59,3.59,10
2020-02-14,3.59,3.59,3.59,3.59,100
2020-03-24,3.42,3.42,3.42,3.42,1
2020-04-09,3.42,3.42,3.42,3.42,200
2020-06-24,3.42,3.42,3.42,3.42,1
2020-06-25,3.25,3.25,3.25,3.25,64
2020-06-26,3.1,3.1,3.1,3.1,110
2020-06-30,3.25,3.25,3.25,3.25,1000
2020-07-08,3.41,3.41,3.41,3.41,90
2020-07-20,3.24,3.24,3.24,3.24,500
2020-07-22,3.08,3.08,3.08,3.08,46
2020-07-28,3.08,3.08,3.08,3.08,200
2020-08-11,2.93,2.94,2.93,2.94,1000
2020-08-20,3.08,3.08,3.08,3.08,91
2020-08-21,3.23,3.23,3.23,3.23,191
2020-08-28,3.39,3.39,3.39,3.39,95
2020-09-10,3.41,3.41,3.41,3.41,1
2020-09-14,3.24,3.24,3.24,3.24,30
2020-09-15,3.24,3.24,3.24,3.24,2
2020-09-17,3.4,3.4,3.4,3.4,5
2020-09-18,3.57,3.57,3.57,3.57,200
2020-10-07,3.4,3.4,3.4,3.4,490
2020-10-12,3.57,3.57,3.57,3.57,35
2020-10-13,3.74,3.74,3.74,3.74,55
2020-10-30,3.92,3.92,3.92,3.92,210
2020-11-02,4.11,4.11,4.11,4.11,110
2020-11-03,4.31,4.31,4.31,4.31,101
2020-11-04,4.31,4.31,4.31,4.31,100
2020-11-09,4.52,4.52,4.52,4.52,4
2020-11-13,4.52,4.52,4.52,4.52,1
2020-11-17,4.52,4.52,4.52,4.52,5
2020-11-18,4.52,4.52,4.52,4.52,27
2020-11-20,4.52,4.52,4.52,4.52,30
2020-11-23,4.52,4.52,4.52,4.52,4
2020-12-02,4.52,4.52,4.52,4.52,5
2020-12-04,4.52,4.52,4.52,4.52,108
2020-12-07,4.52,4.52,4.52,4.52,6
2020-12-10,4.52,4.52,4.52,4.52,250
2020-12-11,4.52,4.74,4.52,4.74,560
2020-12-17,4.74,4.74,4.74,4.74,12
2020-12-21,4.74,4.74,4.74,4.74,2
2020-12-29,4.74,4.74,4.74,4.74,623
2021-01-05,4.73,4.73,4.73,4.73,1000
2021-01-06,4.73,4.9,4.73,4.9,600
2021-01-08,4.8,4.8,4.8,4.8,1400
2021-01-11,4.8,4.8,4.8,4.8,450
2021-01-13,4.8,4.8,4.8,4.8,31
2021-01-15,4.8,4.8,4.8,4.8,104
2021-01-21,4.8,4.8,4.8,4.8,1
2021-02-02,4.8,5.04,4.8,5.04,16
2021-02-04,5.04,5.04,5.04,5.04,1
2021-02-05,5.04,5.04,5.04,5.04,1
2021-02-08,5.29,5.29,5.29,5.29,400
2021-02-09,5.55,5.55,5.55,5.55,39
2021-02-10,5.55,5.55,5.55,5.55,399
2021-02-12,5.55,5.55,5.55,5.55,7
2021-02-19,5.28,5.28,5.28,5.28,20
2021-02-22,5.28,5.28,5.28,5.28,25
2021-02-24,5.02,5.02,5.02,5.02,50
2021-02-25,5.02,5.02,5.02,5.02,6
2021-02-26,5.02,5.02,5.02,5.02,29
2021-03-01,5.25,5.25,5.25,5.25,10
2021-03-03,5.25,5.25,5.25,5.25,10
2021-03-05,5.25,5.25,5.25,5.25,91
2021-03-08,5.25,5.25,5.25,5.25,300
2021-03-09,5.51,5.51,5.51,5.51,340
2021-03-10,5.51,5.51,5.51,5.51,101
2021-03-17,5.24,5.78,5.24,5.78,2850
2021-03-18,6.05,6.06,6.05,6.06,2189
2021-03-19,6.06,6.06,6.06,6.06,100
2021-03-22,6.06,6.06,6.06,6.06,91
2021-03-23,6.06,6.06,6.06,6.06,10033
2021-03-25,6.06,6.06,6.06,6.06,201
2021-04-06,6.06,6.06,6.06,6.06,46
2021-04-07,6.06,6.06,6.06,6.06,30
2021-04-09,6.06,6.06,6.06,6.06,14
2021-04-13,6.06,6.06,6.06,6.06,1
2021-04-15,5.76,5.76,5.76,5.76,1208
2021-04-16,5.76,5.76,5.76,5.76,39
2021-04-23,6.04,6.04,6.04,6.04,2
2021-04-26,6.03,6.03,6.03,6.03,150
2021-04-29,6.01,6.01,6.01,6.01,30
2021-04-30,6.31,6.31,5.99,5.99,531
2021-05-05,5.98,5.98,5.98,5.98,100
2021-05-07,5.97,5.97,5.97,5.97,2
2021-05-11,5.97,5.97,5.97,5.97,37
2021-05-12,5.97,5.97,5.97,5.97,616
2021-05-18,5.96,5.96,5.94,5.94,129
2021-05-20,5.94,5.94,5.94,5.94,270
2021-05-21,5.94,5.94,5.9,5.9,318
2021-05-24,5.9,6.18,5.9,6.18,494
2021-05-25,6.48,6.48,5.88,5.88,1153
2021-05-26,6.17,6.17,6.17,6.17,197
2021-05-27,6.17,6.17,6.17,6.17,1099
2021-05-28,6.0,6.0,6.0,6.0,264
2021-05-31,6.0,6.2,6.0,6.2,53
2021-06-01,6.2,6.2,6.0,6.0,350
2021-06-02,6.0,6.0,6.0,6.0,1
2021-06-03,6.0,6.0,6.0,6.0,5
2021-06-04,6.2,6.2,6.2,6.2,106
2021-06-07,6.2,6.2,6.2,6.2,82
2021-06-08,6.2,6.2,6.2,6.2,32
2021-06-09,6.2,6.2,6.2,6.2,340
2021-06-10,6.51,6.51,6.51,6.51,100
2021-06-11,6.51,6.51,6.51,6.51,271
2021-06-14,6.83,6.83,6.7,6.7,500
2021-06-15,6.7,6.7,6.7,6.7,620
2021-06-16,7.03,7.03,7.0,7.0,528
2021-06-17,7.35,7.35,7.35,7.35,284
2021-06-18,7.71,7.71,7.71,7.71,222
2021-06-21,8.09,8.09,7.5,8.08,1523
2021-06-22,8.4,8.4,8.25,8.4,1956
2021-06-23,8.8,8.8,8.4,8.4,2470
2021-06-24,8.79,8.8,8.79,8.8,1081
2021-06-25,8.4,8.4,8.4,8.4,80
2021-06-28,8.8,8.8,8.01,8.01,236
2021-06-29,7.61,7.62,7.61,7.61,1025
2021-06-30,7.99,7.99,7.99,7.99,132
2021-07-01,8.2,8.38,7.6,8.38,473
2021-07-02,8.0,8.0,8.0,8.0,1641
2021-07-05,8.0,8.0,8.0,8.0,3
2021-07-08,8.4,8.4,8.3,8.3,506
2021-07-09,7.89,7.89,7.89,7.89,604
2021-07-12,7.89,7.89,7.89,7.89,58
2021-07-13,7.89,7.89,7.89,7.89,1002
2021-07-14,7.75,7.75,7.75,7.75,1007
2021-07-15,7.6,7.75,7.6,7.75,560
2021-07-16,7.95,7.95,7.94,7.94,1140
2021-07-19,7.94,7.94,7.92,7.93,4854
2021-07-20,7.94,8.32,7.54,8.32,2167
2021-07-22,8.32,8.73,7.92,8.73,2942
2021-07-23,9.14,9.16,8.97,9.09,6120
2021-07-26,9.54,9.54,8.64,9.54,2428
2021-07-27,9.35,10.01,9.35,9.5,30499
2021-07-28,9.03,9.95,9.03,9.04,611
2021-07-29,8.61,9.49,8.59,9.0,1559
2021-07-30,8.95,8.95,8.9,8.9,6
2021-08-02,8.9,8.9,8.9,8.9,17
2021-08-04,8.9,8.9,8.9,8.9,910
2021-08-05,9.1,9.1,9.0,9.0,367
2021-08-06,9.2,9.2,9.2,9.2,281
