Datetime,Open,High,Low,Close,Volume
2019-06-18,0.56,0.57,0.56,0.57,314000
2019-06-19,0.59,0.59,0.59,0.59,157000
2019-06-24,0.56,0.56,0.56,0.56,157000
2019-06-28,0.57,0.57,0.57,0.57,157000
2019-11-13,0.5,0.5,0.5,0.5,314000
2019-11-18,0.5,0.5,0.5,0.5,785020
2020-03-27,0.4,0.4,0.4,0.4,157000
2020-12-02,0.4,0.41,0.4,0.41,628020
2020-12-04,0.41,0.42,0.41,0.42,628020
2020-12-18,0.44,0.45,0.44,0.45,628020
2020-12-23,0.47,0.48,0.47,0.48,314000
2020-12-29,0.49,0.5,0.49,0.5,314000
2021-01-21,0.4,0.57,0.4,0.57,471020
2021-01-29,0.68,0.68,0.68,0.68,157000
2021-02-01,0.54,0.54,0.54,0.54,314000
2021-03-26,0.59,0.65,0.59,0.65,2198060
2021-04-30,0.52,0.52,0.52,0.52,314000
2021-05-07,0.52,0.52,0.52,0.52,157000
2021-06-04,0.63,0.63,0.63,0.63,157000
2021-06-11,0.75,0.75,0.75,0.75,314000
2021-06-14,0.89,0.89,0.89,0.89,157000
2021-07-07,0.81,0.81,0.81,0.81,157000
2021-07-12,0.73,0.73,0.73,0.73,157000
2021-10-29,0.81,0.81,0.81,0.81,1099020
2021-11-25,0.86,0.86,0.86,0.86,314000
2021-12-13,0.69,0.69,0.69,0.69,157000
2021-12-22,0.69,0.69,0.69,0.69,157000
2022-01-06,0.83,0.83,0.83,0.83,314000
2022-01-07,0.97,0.97,0.72,0.86,1413040
2022-01-12,0.7,0.96,0.7,0.96,314000
2022-01-13,0.86,1.06,0.86,1.06,314000
2022-01-17,1.25,1.25,0.97,0.97,314000
2022-01-20,0.79,1.08,0.79,1.08,314000
2022-01-24,1.22,1.22,0.89,0.89,314000
2022-02-17,0.74,1.0,0.74,1.0,314000
2022-03-03,1.15,1.15,0.86,0.91,785020
2022-03-07,1.03,1.04,0.83,1.01,1099020
2022-03-08,1.04,1.04,0.97,0.97,2355060
2022-03-09,1.16,1.16,1.16,1.16,157000
2022-03-10,1.34,1.34,1.01,1.01,314000
2022-03-14,1.16,1.16,0.92,0.92,314000
2022-03-16,1.07,1.07,0.85,0.85,314000
2022-03-22,1.01,1.01,0.85,0.85,314000
2022-03-24,0.77,0.78,0.77,0.78,628020
2022-06-03,0.66,0.66,0.66,0.66,314000
2022-06-06,0.79,0.79,0.79,0.79,157000
2022-06-14,0.74,0.74,0.74,0.74,314000
2022-06-21,0.74,0.74,0.74,0.74,314000
2022-07-01,0.76,0.76,0.76,0.76,314000
2022-07-04,0.75,0.75,0.75,0.75,314000
2022-07-05,0.72,0.72,0.72,0.72,314000
2022-07-18,0.6,0.6,0.6,0.6,314000
2022-07-20,0.65,0.65,0.65,0.65,157000
2022-08-18,0.77,0.77,0.77,0.77,157000
2022-08-24,0.93,0.93,0.75,0.84,314000
2022-09-08,0.68,0.68,0.68,0.68,314000
2022-09-09,0.73,0.73,0.73,0.73,314000
2022-09-13,0.78,0.78,0.78,0.78,471020
2022-09-26,0.93,0.93,0.93,0.93,157000
2022-09-27,1.09,1.11,1.09,1.11,314000
2022-09-28,1.21,1.22,1.21,1.22,471020
2022-09-29,1.34,1.34,1.34,1.34,157000
2022-10-03,1.47,1.47,1.47,1.47,157000
2022-10-10,1.4,1.41,1.4,1.41,314000
2022-10-13,1.35,1.48,1.35,1.48,314000
2022-10-14,1.41,1.54,1.41,1.54,314000
2022-10-19,1.47,1.47,1.47,1.47,157000
2022-11-01,1.39,1.39,1.39,1.39,157000
2022-11-03,1.32,1.32,1.32,1.32,157000
2022-11-09,1.26,1.26,1.26,1.26,157000
2022-11-10,1.32,1.32,1.2,1.2,314000
2022-11-11,1.14,1.14,1.14,1.14,157000
2022-11-15,1.14,1.14,1.14,1.14,157000
2023-01-11,1.25,1.25,1.25,1.25,157000
2023-01-12,1.38,1.38,1.38,1.38,157000
2023-01-20,1.29,1.32,1.29,1.32,2826040
2023-02-16,1.58,1.58,1.58,1.58,800000
2023-02-22,1.9,1.9,1.9,1.9,400000
2023-02-28,2.09,2.09,2.09,2.09,400000
2023-03-06,2.3,2.3,2.3,2.3,800000
2023-03-08,2.53,2.53,2.53,2.53,400000
2023-03-10,2.78,2.78,2.78,2.78,400000
2023-03-14,2.92,2.92,2.92,2.92,400000
2023-03-16,3.07,3.07,3.07,3.07,400000
2023-03-21,3.22,3.22,3.22,3.22,400000
2023-03-22,3.38,3.38,3.38,3.38,400000
2023-03-29,3.55,3.55,3.55,3.55,400000
2023-04-03,3.72,3.72,3.72,3.72,400000
2023-04-05,3.91,3.91,3.91,3.91,400000
2023-04-06,3.96,3.96,3.96,3.96,400000
2023-04-10,3.96,3.96,3.96,3.96,400000
2023-04-18,4.16,4.16,4.16,4.16,400000
2023-04-19,4.29,4.29,4.2,4.2,800000
2023-04-20,4.35,4.35,4.35,4.35,400000
2023-04-21,4.41,4.41,4.41,4.41,400000
2023-04-27,4.44,4.44,4.44,4.44,400000
2023-04-28,4.45,4.45,4.45,4.45,400000
2023-05-02,4.67,4.67,4.67,4.67,400000
2023-05-03,4.7,4.91,4.7,4.91,680000
2023-05-04,4.93,5.07,4.91,5.0,360000
2023-05-05,5.25,5.25,4.75,4.75,1440000
2023-05-08,4.51,4.99,4.51,4.91,840000
2023-05-09,5.08,5.09,4.95,4.98,1000000
2023-05-10,5.0,5.13,5.0,5.13,400000
2023-05-11,5.2,5.39,5.2,5.39,360000
2023-05-12,5.35,5.35,5.35,5.35,160000
2023-05-15,5.35,5.5,5.35,5.5,120000
2023-05-16,5.51,5.69,5.51,5.68,440000
2023-05-17,5.68,5.97,5.5,5.79,1000000
2023-05-18,5.83,6.08,5.75,5.8,480000
2023-05-19,5.93,6.05,5.8,5.85,560000
2023-05-22,6.04,6.15,6.0,6.0,1000000
2023-05-23,6.05,6.28,6.05,6.17,480000
2023-05-24,6.38,6.47,6.2,6.39,320000
2023-05-25,6.48,6.5,6.25,6.44,240000
2023-05-26,6.25,6.75,6.25,6.45,400000
2023-05-29,6.4,6.5,6.4,6.5,240000
2023-05-30,6.5,6.7,6.3,6.69,480000
2023-05-31,6.69,6.99,6.51,6.52,680000
2023-06-01,6.6,6.6,6.6,6.6,160000
2023-06-02,6.65,6.75,6.65,6.7,160000
2023-06-05,6.85,6.9,6.75,6.82,320000
2023-06-06,6.86,6.86,6.85,6.85,120000
2023-06-07,6.9,7.19,6.9,6.98,400000
2023-06-08,7.0,7.31,7.0,7.15,400000
2023-06-09,7.3,7.34,7.25,7.34,640000
2023-06-12,7.5,7.7,7.45,7.7,1002820
2023-06-13,7.75,8.09,7.75,8.01,2614880
2023-06-14,8.29,8.41,8.0,8.37,2229000
2023-06-15,8.75,8.78,8.36,8.52,963220
2023-06-16,8.55,8.9,8.36,8.5,584020
2023-06-19,8.92,8.92,8.08,8.08,1324720
2023-06-20,7.68,7.68,7.68,7.68,51800
2023-06-21,7.29,7.79,7.29,7.29,1372880
2023-06-22,7.29,7.29,6.93,7.16,1573180
2023-06-23,7.23,7.51,7.2,7.5,153240
2023-06-26,7.6,7.75,7.51,7.66,127060
2023-06-27,8.04,8.04,7.5,7.51,542720
2023-06-28,7.51,7.8,7.25,7.3,501520
2023-06-30,7.65,7.67,7.4,7.55,458760
2023-07-03,7.88,7.88,7.55,7.66,757740
2023-07-04,7.95,7.95,7.69,7.73,1770040
2023-07-05,7.88,7.92,7.76,7.77,581320
2023-07-06,7.93,7.93,7.8,7.82,377760
2023-07-07,7.89,7.9,7.85,7.89,437720
2023-07-10,7.9,7.98,7.88,7.93,294100
2023-07-11,7.95,8.0,7.95,7.95,1257780
2023-07-12,8.09,8.3,8.0,8.1,369260
2023-07-13,8.35,8.35,8.1,8.15,325120
2023-07-14,8.25,8.4,8.2,8.25,306600
2023-07-17,8.25,8.39,8.25,8.3,225500
2023-07-18,8.33,8.4,8.02,8.03,1212180
2023-07-19,8.03,8.43,8.03,8.43,974800
2023-07-20,8.82,8.85,8.51,8.85,1114700
2023-07-21,9.25,9.29,8.98,9.19,955020
2023-07-24,9.35,9.64,9.3,9.35,1997440
2023-07-25,9.76,9.82,9.51,9.54,1724600
2023-07-26,9.55,10.02,9.55,9.94,1465480
2023-07-27,10.0,10.43,9.75,10.02,2241940
2023-07-28,10.33,10.37,9.7,9.73,2122400
2023-07-31,9.78,10.07,9.75,9.9,513980
2023-08-01,10.29,10.29,9.8,9.81,631160
2023-08-02,9.9,10.19,9.9,9.92,1534400
2023-08-03,10.05,10.05,9.71,9.88,271340
2023-08-04,9.96,10.1,9.95,10.03,1334940
2023-08-07,9.8,10.1,9.8,9.8,397460
2023-08-08,9.86,10.15,9.86,9.98,260360
2023-08-09,9.81,10.48,9.81,10.18,453800
2023-08-10,10.4,10.5,10.0,10.07,504280
2023-08-11,10.4,10.4,10.1,10.11,1124020
2023-08-14,10.35,10.35,10.1,10.1,71420
2023-08-16,10.11,10.23,10.1,10.11,1153160
2023-08-17,10.23,10.23,10.14,10.18,517380
2023-08-18,10.25,10.35,10.15,10.16,520580
2023-08-21,10.28,10.3,10.15,10.16,355740
2023-08-22,10.15,10.3,9.75,9.75,607480
2023-08-23,9.54,10.09,9.5,9.51,344080
2023-08-24,9.7,9.93,9.6,9.62,342000
2023-08-25,9.87,9.87,9.63,9.65,685200
2023-08-28,10.13,10.13,9.63,9.75,655740
2023-08-29,9.95,10.2,9.91,10.01,1338000
2023-08-30,10.0,10.5,10.0,10.19,548960
2023-08-31,10.3,10.48,10.0,10.05,1236960
2023-09-01,10.3,10.3,10.05,10.07,172620
2023-09-04,10.13,10.3,10.1,10.12,253180
2023-09-05,10.25,10.25,10.1,10.1,460240
2023-09-06,10.1,10.1,9.75,9.88,146440
2023-09-07,9.88,10.09,9.57,9.69,144160
2023-09-08,9.75,9.99,9.52,9.73,169320
2023-09-11,9.99,9.99,9.51,9.57,1055420
2023-09-12,9.77,9.91,9.5,9.5,414040
2023-09-13,9.54,9.82,9.5,9.5,228660
2023-09-14,9.5,9.71,9.32,9.36,332580
2023-09-15,9.59,9.59,9.25,9.26,214400
2023-09-18,9.26,9.55,9.26,9.5,66120
2023-09-20,9.75,9.75,9.3,9.31,218740
2023-09-21,9.32,9.43,9.22,9.22,120640
2023-09-22,9.25,9.4,9.23,9.24,1028360
2023-09-25,9.25,9.35,8.78,9.05,223500
2023-09-26,9.0,9.38,8.99,8.99,110400
2023-09-27,9.19,9.19,9.0,9.02,51860
2023-09-28,9.0,9.1,8.99,9.09,15660
2023-09-29,9.05,9.44,9.03,9.04,49960
2023-10-03,9.0,9.32,8.96,9.01,1065640
2023-10-04,9.46,9.46,8.99,9.02,23840
2023-10-05,9.47,9.47,9.1,9.23,1015060
2023-10-06,9.11,9.45,9.1,9.1,23920
2023-10-09,9.34,9.34,8.96,8.99,68140
2023-10-10,9.1,9.25,9.01,9.22,99800
2023-10-11,9.35,9.35,9.05,9.13,180060
2023-10-12,9.25,9.58,9.25,9.52,448640
2023-10-13,9.75,9.95,9.61,9.88,1373920
2023-10-16,9.9,10.25,9.9,9.92,129720
2023-10-17,10.29,10.29,9.9,9.9,181340
2023-10-18,10.05,10.29,9.9,10.1,331100
2023-10-19,10.29,10.29,9.89,9.9,144100
2023-10-20,10.18,10.18,9.85,9.89,237920
2023-10-23,10.15,10.38,9.8,9.81,487000
2023-10-25,9.9,10.24,9.8,9.96,670960
2023-10-26,9.65,9.99,9.5,9.66,156120
2023-10-27,9.78,9.78,9.56,9.76,9920
2023-10-30,10.15,10.15,9.59,10.04,197080
2023-10-31,9.81,10.0,9.76,9.81,277520
2023-11-01,9.85,10.15,9.85,10.11,265540
2023-11-02,10.01,10.24,9.9,9.95,188540
2023-11-03,9.96,10.25,9.95,9.97,138220
2023-11-06,10.45,10.45,9.89,9.95,250020
2023-11-07,10.0,10.05,9.75,9.82,234060
2023-11-08,10.18,10.18,9.74,9.75,171180
2023-11-09,9.75,9.95,9.74,9.76,73780
2023-11-10,9.75,9.99,9.75,9.81,122200
2023-11-12,10.3,10.3,10.3,10.3,21580
2023-11-13,10.82,10.82,10.5,10.79,1285280
2023-11-15,11.3,11.33,11.07,11.33,1242080
2023-11-16,11.72,11.89,11.2,11.31,1323120
2023-11-17,11.3,11.87,11.29,11.58,709240
2023-11-20,12.03,12.16,11.35,11.58,606960
2023-11-21,11.85,11.9,11.2,11.29,766600
2023-11-22,11.75,11.75,11.25,11.31,585040
2023-11-23,11.56,11.6,11.26,11.36,776620
2023-11-24,11.55,11.6,11.17,11.19,799320
2023-11-28,11.53,11.53,11.0,11.02,602540
2023-11-29,10.9,10.95,10.73,10.74,627800
2023-11-30,10.7,10.99,10.49,10.89,278560
2023-12-01,10.89,11.4,10.53,10.73,751960
2023-12-04,10.55,10.98,10.35,10.38,1397660
2023-12-05,10.59,10.65,10.31,10.38,503080
2023-12-06,10.26,10.6,10.25,10.27,546000
2023-12-07,10.48,10.69,10.27,10.37,325100
2023-12-08,10.93,10.93,10.31,10.57,1275660
2023-12-11,10.73,10.73,10.31,10.39,232820
2023-12-12,10.65,10.65,10.45,10.45,535500
2023-12-13,10.73,10.73,10.45,10.52,1624520
2023-12-14,10.69,10.69,10.5,10.5,403980
2023-12-15,10.33,10.63,10.33,10.41,647420
2023-12-18,10.65,11.4,10.4,10.42,629140
2023-12-19,10.26,10.6,10.25,10.28,414560
2023-12-20,10.26,10.45,10.19,10.2,347140
2023-12-21,10.59,10.59,10.2,10.35,573540
2023-12-22,10.45,10.79,10.2,10.22,666780
2023-12-26,10.43,10.56,10.19,10.21,768620
2023-12-27,10.41,10.74,10.21,10.5,325280
2023-12-28,10.71,11.25,10.53,10.74,1342940
2023-12-29,11.26,11.26,10.73,10.75,741620
2024-01-01,10.7,11.0,10.38,10.61,396800
2024-01-02,10.82,10.82,10.38,10.7,263840
2024-01-03,10.7,10.7,10.38,10.47,239760
2024-01-04,10.35,10.66,10.35,10.5,720360
2024-01-05,10.65,10.65,10.28,10.37,633940
2024-01-08,10.54,10.54,10.3,10.31,242800
2024-01-09,10.31,10.43,10.29,10.29,296900
2024-01-10,10.43,10.43,10.3,10.33,242820
2024-01-11,10.38,10.41,10.27,10.29,570920
2024-01-12,10.31,10.4,10.31,10.33,227020
2024-01-15,10.54,10.54,10.2,10.24,372400
2024-01-16,10.25,10.35,10.25,10.32,277780
2024-01-17,10.25,10.6,10.25,10.36,303540
2024-01-18,10.3,10.54,10.3,10.3,232360
2024-01-19,10.3,10.47,10.23,10.25,322420
2024-01-20,10.25,10.4,10.15,10.25,235920
2024-01-23,10.74,10.74,10.25,10.25,282960
2024-01-24,10.25,10.68,10.21,10.26,336760
2024-01-25,10.26,10.49,10.26,10.3,537300
2024-01-29,10.3,10.41,10.25,10.3,381300
2024-01-30,10.43,10.6,10.41,10.53,866140
2024-01-31,10.59,10.89,10.53,10.76,906160
2024-02-01,10.73,11.0,10.47,10.49,1063680
2024-02-02,10.51,10.61,10.29,10.31,621320
2024-02-05,10.3,10.56,10.3,10.36,686740
2024-02-06,10.4,10.75,10.4,10.43,774840
2024-02-07,12.51,12.51,11.56,12.51,1943140
2024-02-08,13.25,15.01,12.6,13.31,13068580
2024-02-09,13.7,14.99,13.53,13.84,3299180
2024-02-12,14.2,14.84,13.9,14.36,1909100
2024-02-13,14.61,14.65,13.3,13.52,1159700
2024-02-14,14.25,14.25,12.18,12.65,1164520
2024-02-15,12.57,13.0,12.2,12.25,1010640
2024-02-16,12.5,14.35,12.3,13.08,4681140
2024-02-19,13.34,14.39,13.1,13.67,2745600
2024-02-20,13.8,13.81,13.33,13.55,2703860
2024-02-21,13.8,13.95,12.01,13.03,2053420
2024-02-22,13.05,13.6,12.75,13.07,2753420
2024-02-23,13.0,13.9,13.0,13.2,2107520
2024-02-26,13.05,13.75,13.03,13.2,1631820
2024-02-27,13.35,13.65,13.0,13.12,3291200
2024-02-28,13.32,13.47,12.8,12.94,991060
2024-02-29,13.0,13.1,12.3,12.46,2037740
2024-03-01,12.97,12.97,12.35,12.59,925240
2024-03-02,12.38,12.79,12.35,12.43,113720
2024-03-04,12.68,12.71,12.07,12.23,681760
2024-03-05,12.43,12.43,11.56,11.61,734560
2024-03-06,11.99,11.99,10.71,11.37,720040
2024-03-07,11.36,11.56,11.05,11.42,598700
2024-03-11,11.74,11.74,11.31,11.46,575520
2024-03-12,11.35,12.0,10.31,10.64,969580
2024-03-13,10.94,10.94,8.78,9.9,1335160
2024-03-14,9.68,11.35,9.05,10.79,822800
2024-03-15,10.75,11.39,10.51,10.78,533920
2024-03-18,10.35,10.8,10.35,10.46,917200
2024-03-19,10.76,10.99,10.24,10.24,1426080
2024-03-20,10.45,10.53,10.07,10.11,749520
2024-03-21,10.31,10.31,10.04,10.06,757460
2024-03-22,10.24,10.24,10.04,10.09,693640
2024-03-26,10.05,10.35,10.03,10.04,701580
2024-03-27,10.05,11.24,10.05,10.56,1760160
2024-03-28,10.7,11.2,10.31,10.44,1124680
2024-04-01,10.69,10.88,10.4,10.47,1215460
2024-04-02,11.0,11.9,10.76,11.23,3735900
2024-04-03,11.45,11.73,11.26,11.47,2422200
2024-04-04,11.85,11.9,11.26,11.39,2072960
2024-04-05,11.72,11.8,11.2,11.26,3171460
2024-04-08,11.6,11.6,11.1,11.12,2462120
2024-04-09,11.32,11.75,11.1,11.12,2953240
2024-04-10,11.2,11.45,10.84,10.95,4099560
2024-04-12,11.03,11.1,9.99,10.1,1229456
2024-04-15,9.26,9.6,8.75,9.1,1194432
2024-04-16,9.14,9.46,9.1,9.28,352992
2024-04-18,9.49,9.5,8.88,9.14,358108
2024-04-19,8.9,9.23,8.84,9.01,427404
2024-04-22,9.2,9.23,8.51,8.66,769652
2024-04-23,8.98,9.11,8.63,8.74,576480
2024-04-24,8.75,9.0,8.61,8.79,549672
2024-04-25,8.75,9.0,8.63,8.8,468352
2024-04-26,9.0,9.0,8.7,8.76,608060
2024-04-29,9.05,9.49,8.68,9.25,874636
2024-04-30,9.45,11.1,9.44,10.6,5440540
2024-05-02,11.25,12.45,11.2,11.45,10141520
2024-05-03,12.0,12.69,11.61,11.72,7770048
2024-05-06,11.95,11.99,10.88,11.25,1756516
2024-05-07,11.25,11.47,10.78,11.08,1007912
2024-05-08,11.08,11.18,10.5,10.72,834032
2024-05-09,10.98,11.38,10.51,11.04,1110120
2024-05-10,11.0,11.25,10.67,10.83,521712
2024-05-13,10.83,10.83,10.33,10.37,443660
2024-05-14,10.0,10.75,10.0,10.42,335832
2024-05-15,10.39,10.62,10.27,10.37,379144
2024-05-16,10.33,11.22,10.33,10.93,714904
2024-05-17,11.05,11.22,10.76,10.95,422636
2024-05-18,11.17,11.17,10.43,10.72,95568
2024-05-21,10.75,10.98,10.44,10.56,500464
2024-05-22,10.75,10.75,10.26,10.38,415456
2024-05-23,10.38,10.78,10.34,10.4,672576
2024-05-24,10.6,10.6,10.15,10.21,453076
2024-05-27,10.25,10.49,10.15,10.36,566936
2024-05-28,10.5,10.58,9.63,10.01,788960
2024-05-29,10.01,10.25,8.96,9.35,1157344
2024-05-30,9.25,9.65,9.25,9.47,340216
2024-05-31,9.9,10.24,9.57,9.81,445860
2024-06-03,10.26,10.5,9.62,9.71,446076
2024-06-04,9.95,9.95,8.5,9.16,741372
2024-06-05,9.25,9.5,9.0,9.41,384080
2024-06-06,9.53,9.88,9.38,9.81,305324
2024-06-07,10.0,10.07,9.54,9.72,293556
2024-06-10,9.65,10.0,9.64,9.72,226464
2024-06-11,9.72,10.46,9.68,10.3,944748
2024-06-12,10.38,10.47,10.15,10.21,507164
2024-06-13,10.37,10.38,10.03,10.33,616600
2024-06-14,10.5,10.5,10.21,10.33,534136
2024-06-18,10.49,10.49,9.86,10.05,467228
2024-06-19,10.36,10.36,9.88,9.95,565600
2024-06-20,10.19,10.24,9.88,9.93,584948
2024-06-21,10.12,10.12,9.75,9.94,468644
2024-06-24,9.8,10.18,9.43,9.74,638148
2024-06-25,9.73,9.87,9.59,9.68,495484
2024-06-26,9.86,10.38,9.86,9.98,1368504
2024-06-27,10.13,10.35,9.78,9.96,1010260
2024-06-28,9.8,10.12,9.63,9.77,928384
2024-07-01,10.06,10.37,9.88,10.0,1035544
2024-07-02,10.25,10.25,9.75,9.8,1178788
2024-07-03,9.98,10.1,9.8,9.86,2103968
2024-07-04,10.05,10.05,9.8,9.82,1753512
2024-07-05,9.81,9.89,9.63,9.67,486284
2024-07-08,9.74,9.74,9.54,9.56,329384
2024-07-09,9.75,9.75,9.45,9.5,383376
2024-07-10,9.74,9.74,9.38,9.5,390312
2024-07-11,9.71,9.85,9.5,9.52,8309280
2024-07-12,9.69,9.93,9.55,9.71,650592
2024-07-15,10.0,10.0,9.68,9.69,821764
2024-07-16,9.64,9.77,9.5,9.63,456120
2024-07-18,9.74,9.74,9.37,9.43,473620
2024-07-19,9.43,9.61,9.33,9.46,270804
2024-07-22,9.38,9.74,9.38,9.6,331792
2024-07-23,9.5,9.75,9.31,9.5,368944
2024-07-24,9.74,9.75,9.44,9.5,624976
2024-07-25,9.5,9.62,9.38,9.44,407592
2024-07-26,9.5,9.53,9.31,9.33,790908
2024-07-29,9.33,9.47,9.21,9.33,442344
2024-07-30,9.47,9.47,9.23,9.24,776472
2024-07-31,9.24,9.35,9.1,9.18,633316
2024-08-01,9.25,9.36,9.01,9.14,603400
2024-08-02,8.95,9.2,8.5,8.97,639416
2024-08-05,9.37,9.93,9.1,9.29,2941068
2024-08-06,9.39,9.88,9.39,9.48,1061932
2024-08-07,9.75,9.81,9.46,9.53,1737104
2024-08-08,9.7,10.5,9.61,10.29,4373492
2024-08-09,10.49,10.75,10.31,10.39,4099816
2024-08-12,10.5,11.25,10.43,10.73,7173688
2024-08-13,10.73,10.82,10.13,10.27,3944584
2024-08-14,10.7,11.25,10.25,10.38,8362200
2024-08-16,10.75,10.88,10.43,10.49,4838660
2024-08-19,10.69,10.88,10.35,10.46,6446324
2024-08-20,10.58,10.66,9.53,9.94,5467184
2024-08-21,11.12,11.5,9.51,10.04,6409444
2024-08-22,10.04,10.04,9.49,9.51,2375934
2024-08-23,9.51,9.85,9.51,9.66,785114
2024-08-26,9.5,9.84,8.99,9.01,2253030
2024-08-27,9.15,9.45,9.11,9.16,838184
2024-08-28,9.35,9.35,8.8,8.97,997124
2024-08-29,9.0,9.5,8.74,8.79,939680
2024-08-30,8.99,9.0,8.5,8.73,857654
2024-09-02,8.73,8.85,8.45,8.51,725950
2024-09-03,8.51,8.7,8.35,8.41,874298
2024-09-04,8.49,8.49,8.0,8.44,383312
2024-09-05,8.49,8.49,8.01,8.29,455508
2024-09-06,8.07,8.65,8.07,8.51,563580
2024-09-09,8.74,8.74,8.1,8.48,303100
2024-09-10,8.74,8.8,8.52,8.7,526520
2024-09-11,8.87,8.87,8.6,8.64,304454
2024-09-12,8.79,8.79,8.48,8.5,311440
2024-09-13,8.65,8.65,8.49,8.54,312354
2024-09-16,8.74,9.0,8.01,8.28,1170540
2024-09-17,8.5,8.5,8.0,8.02,1503278
