Datetime,Open,High,Low,Close,Volume
2021-11-15,21.0,21.0,21.0,21.0,3000
2022-01-27,19.8,19.8,19.8,19.8,6000
2022-03-04,15.85,22.4,15.85,22.4,15000
2022-03-07,17.95,17.95,17.95,17.95,9000
2022-03-08,14.65,20.3,14.65,19.15,21000
2022-03-10,15.65,15.65,15.65,15.65,6000
2022-03-15,18.25,18.25,12.95,16.9,18000
2022-03-23,19.8,19.8,14.4,14.4,12000
2022-03-28,12.15,16.85,12.15,16.85,12000
2022-04-26,14.05,14.05,14.05,14.05,3000
2022-05-30,16.85,16.85,16.85,16.85,3000
2022-06-01,13.5,13.5,13.5,13.5,3000
2022-12-23,16.2,16.2,16.2,16.2,6000
2022-12-27,13.02,13.02,13.02,13.02,3000
2022-12-28,15.62,15.62,15.62,15.62,3000
2023-01-06,18.7,18.7,18.7,18.7,9000
2023-01-17,18.7,18.7,18.7,18.7,3000
2023-01-24,15.0,18.0,15.0,18.0,9000
2023-02-03,14.4,14.4,14.4,14.4,3000
2023-03-22,16.85,16.85,12.8,12.8,6000
2023-03-23,12.25,12.25,12.25,12.25,60000
2023-03-24,14.7,14.7,14.7,14.7,3000
2023-06-16,11.84,17.64,11.84,17.63,9000
2023-08-14,14.11,14.5,14.11,14.5,9000
2023-08-25,12.0,12.0,11.6,11.6,6000
2023-08-31,13.92,13.92,13.92,13.92,3000
2023-09-01,16.7,16.7,16.7,16.7,6000
2023-09-04,18.37,18.37,18.37,18.37,3000
2023-09-05,20.2,20.2,20.2,20.2,3000
2023-09-07,22.22,22.22,22.22,22.22,3000
2023-09-13,23.33,23.33,23.33,23.33,3000
2023-09-21,24.49,24.49,24.49,24.49,3000
2023-09-22,25.71,25.71,25.71,25.71,3000
2023-09-25,26.99,26.99,26.99,26.99,3000
2023-10-18,28.33,28.33,28.33,28.33,3000
2023-10-19,29.4,29.4,29.4,29.4,3000
2024-01-05,26.46,31.8,26.46,31.8,18000
2024-01-08,28.62,30.0,28.62,30.0,27000
2024-01-09,30.0,30.0,30.0,30.0,3000
2024-03-21,26.0,26.0,26.0,26.0,3000
2024-06-13,20.8,20.8,20.8,20.8,3000
2024-06-27,20.8,24.9,20.8,24.9,12000
2024-06-28,29.88,29.88,29.0,29.0,6000
2024-07-01,32.0,34.8,29.5,32.0,21000
2024-07-02,33.0,35.19,33.0,35.19,6000
2024-07-03,36.77,37.0,36.0,37.0,45000
2024-07-04,37.0,37.0,36.0,36.0,6000
2024-07-05,36.0,36.0,34.0,34.0,12000
2024-07-11,34.0,34.0,34.0,34.0,3000
2024-07-12,30.61,30.61,30.61,30.61,3000
2024-07-15,33.67,33.67,28.54,33.67,12000
2024-07-16,35.35,35.35,35.35,35.35,3000
2024-07-18,37.11,37.11,37.11,37.11,3000
2024-07-19,38.96,38.96,38.96,38.96,3000
2024-07-22,39.0,40.9,39.0,40.9,6000
2024-07-23,42.94,42.94,42.94,42.94,3000
2024-07-25,45.08,45.08,45.08,45.08,3000
2024-07-26,47.33,47.33,45.91,47.33,18000
2024-07-29,45.91,45.91,44.97,44.97,6000
2024-07-30,43.62,43.62,43.62,43.62,3000
2024-07-31,41.44,41.44,41.44,41.44,3000
2024-08-01,40.19,40.19,40.19,40.19,3000
2024-08-02,38.19,38.19,38.19,38.19,3000
2024-08-07,36.29,36.29,36.29,36.29,3000
2024-08-19,34.48,34.48,34.48,34.48,3000
2024-08-22,36.2,36.2,36.2,36.2,3000
2024-08-23,38.01,38.01,38.01,38.01,3000
2024-08-26,39.91,39.91,39.91,39.91,3000
2024-08-27,41.9,41.9,41.9,41.9,3000
2024-08-28,43.99,43.99,43.99,43.99,6000
2024-08-29,43.99,46.17,43.99,46.17,9000
2024-08-30,48.47,48.47,48.47,48.47,3000
2024-09-02,50.88,50.88,50.88,50.88,3000
2024-09-03,53.4,53.41,53.4,53.41,6000
2024-09-04,56.07,56.08,56.07,56.08,9000
2024-09-05,58.88,58.88,58.88,58.88,3000
2024-09-06,61.8,61.8,61.8,61.8,3000
2024-09-26,58.71,64.89,58.71,64.89,6000
2024-09-27,68.13,68.13,68.13,68.13,3000
2024-10-01,71.53,71.53,71.5,71.5,6000
2024-10-03,75.07,75.07,75.07,75.07,3000
2024-10-15,78.81,78.81,78.81,78.81,3000
2024-11-06,74.87,74.87,74.87,74.87,3000
2024-11-07,71.13,71.13,71.13,71.13,3000
2024-11-25,67.58,67.58,67.58,67.58,3000
2024-11-26,64.21,64.21,64.21,64.21,3000
2024-11-27,61.0,61.0,61.0,61.0,3000
2024-11-28,57.95,57.95,57.95,57.95,3000
2024-12-03,55.06,55.06,55.06,55.06,3000
2024-12-04,52.31,52.31,52.31,52.31,3000
2024-12-05,49.7,49.7,49.7,49.7,3000
2024-12-06,47.22,47.22,47.22,47.22,3000
2024-12-09,44.86,44.86,44.86,44.86,3000
2024-12-11,42.62,42.62,42.62,42.62,3000
2024-12-17,40.49,40.49,40.49,40.49,3000
2024-12-27,38.47,38.47,38.47,38.47,3000
2024-12-30,36.55,36.55,36.55,36.55,3000
2025-01-20,34.73,34.73,34.73,34.73,3000
2025-01-28,33.0,33.0,33.0,33.0,3000
2025-01-29,31.35,31.35,31.35,31.35,3000
2025-02-11,29.79,29.79,29.79,29.79,3000
2025-03-24,28.31,28.31,28.31,28.31,3000
2025-03-26,28.15,28.15,27.55,28.0,57000
2025-03-27,26.6,29.4,26.6,29.4,210000
2025-04-01,30.87,30.87,30.87,30.87,3000
2025-04-03,32.41,32.41,32.41,32.41,6000
2025-04-09,32.41,32.41,32.41,32.41,3000
2025-04-21,35.0,35.0,35.0,35.0,3000
2025-05-12,35.0,35.0,35.0,35.0,3000
2025-05-15,31.5,31.5,31.5,31.5,9000
2025-07-24,32.0,32.0,32.0,32.0,3000
2025-08-22,25.6,28.5,25.6,28.5,6000
2026-03-18,22.8,25.4,22.8,25.4,12000
2026-03-23,22.8,22.8,22.8,22.8,6000
