Datetime,Open,High,Low,Close,Volume
2025-08-18,142.0,143.0,134.9,135.95,1045000
2025-08-19,129.2,134.4,129.2,129.3,169000
2025-08-20,123.25,131.3,123.0,126.8,145000
2025-08-21,129.95,133.1,128.0,133.1,132000
2025-08-22,137.0,139.75,133.0,139.75,119000
2025-08-25,141.8,146.5,140.05,140.4,212000
2025-08-26,138.0,141.0,133.4,136.7,65000
2025-08-28,134.0,137.5,132.05,136.0,41000
2025-08-29,135.0,139.8,135.0,138.95,15000
2025-09-01,141.95,145.5,139.0,143.25,346000
2025-09-02,147.0,151.0,143.5,144.7,203000
2025-09-03,143.5,144.2,141.15,141.95,43000
2025-09-04,143.05,144.85,141.5,142.05,28000
2025-09-05,140.1,140.1,130.0,133.3,81000
2025-09-08,135.9,135.9,133.0,133.6,28000
2025-09-09,132.4,133.95,132.25,133.95,14000
2025-09-10,134.5,139.0,134.0,137.55,36000
2025-09-11,135.3,137.8,129.25,129.9,52000
2025-09-12,130.9,136.0,129.05,135.15,81000
2025-09-15,132.0,139.0,132.0,136.6,52000
2025-09-16,135.0,136.0,134.1,134.1,28000
2025-09-17,134.0,135.0,130.0,130.3,47000
2025-09-18,130.3,133.9,130.3,132.25,29000
2025-09-19,132.0,134.85,131.0,132.25,28000
2025-09-22,135.75,136.0,134.9,136.0,25000
2025-09-23,134.75,136.0,134.15,135.0,16000
2025-09-24,135.45,135.95,131.0,133.2,56000
2025-09-25,136.25,144.75,132.5,141.1,202000
2025-09-26,142.4,142.95,135.0,135.3,101000
2025-09-29,137.7,138.0,133.75,133.75,10000
2025-09-30,132.6,136.65,132.0,132.65,16000
2025-10-01,132.05,133.95,129.2,132.05,64000
2025-10-03,131.0,137.0,130.0,136.4,45000
2025-10-06,136.0,137.35,132.5,132.7,38000
2025-10-07,132.0,134.2,130.5,131.5,29000
2025-10-08,131.0,131.0,129.5,130.5,23000
2025-10-09,130.5,133.05,130.5,133.0,17000
2025-10-10,134.55,134.8,133.65,134.7,5000
2025-10-13,131.8,132.5,131.05,132.05,4000
2025-10-14,132.5,132.5,131.0,131.0,8000
2025-10-15,131.0,131.0,131.0,131.0,1000
2025-10-17,129.0,131.1,128.0,128.0,29000
2025-10-20,126.8,128.0,126.8,128.0,5000
2025-10-21,128.0,132.0,127.9,129.7,7000
2025-10-23,130.0,132.0,127.0,129.0,17000
2025-10-24,130.0,133.0,129.0,129.8,9000
2025-10-27,129.8,132.9,129.8,132.35,14000
2025-10-28,129.0,131.95,128.0,131.95,6000
2025-10-29,131.95,139.5,131.95,137.15,59000
2025-10-30,135.6,143.9,135.6,142.4,186000
2025-10-31,142.5,146.0,140.0,144.0,163000
2025-11-03,145.9,148.0,143.0,147.9,109000
2025-11-04,147.9,147.9,141.4,142.9,31000
2025-11-06,141.0,141.5,138.5,139.0,9000
2025-11-07,138.0,139.0,138.0,138.1,8000
2025-11-10,138.05,138.6,135.2,137.0,11000
2025-11-11,139.0,144.9,139.0,142.95,79000
2025-11-12,142.0,143.8,140.0,141.5,44000
2025-11-13,144.5,148.8,142.65,147.6,164000
2025-11-14,152.0,152.0,136.0,137.9,184000
2025-11-17,139.9,140.0,132.1,133.05,70000
2025-11-18,136.5,136.5,131.0,131.9,67000
2025-11-19,136.0,136.0,131.55,134.8,41000
2025-11-20,134.8,136.0,133.1,135.6,48000
2025-11-21,138.0,141.8,138.0,140.0,93000
2025-11-24,140.0,140.0,132.05,133.55,39000
2025-11-25,133.15,135.0,132.6,134.55,33000
2025-11-26,136.5,136.5,134.0,135.0,17000
2025-11-27,139.55,139.6,134.0,135.15,15000
2025-11-28,134.0,135.0,134.0,135.0,5000
2025-12-01,132.6,136.65,132.6,133.0,20000
2025-12-02,132.15,132.15,127.7,132.0,29000
2025-12-03,130.0,131.0,124.05,126.0,17000
2025-12-04,124.75,129.95,119.0,121.0,48000
2025-12-05,122.0,122.95,119.05,120.65,12000
2025-12-08,116.05,117.0,100.0,106.3,98000
2025-12-09,114.0,119.9,107.0,112.25,79000
2025-12-10,108.6,113.0,108.6,109.6,8000
2025-12-11,110.0,110.0,110.0,110.0,7000
2025-12-12,110.0,112.0,108.4,108.55,22000
2025-12-15,106.0,109.0,104.0,104.65,23000
2025-12-16,105.2,108.0,104.6,104.6,25000
2025-12-17,105.0,108.0,100.25,102.0,65000
2025-12-18,100.0,100.6,96.0,97.05,81000
2025-12-19,101.95,102.0,97.0,97.05,37000
2025-12-22,96.0,100.0,95.0,96.35,63000
2025-12-23,96.0,99.8,93.0,94.8,161000
2025-12-24,92.05,95.0,91.6,92.55,77000
2025-12-26,94.8,94.85,92.55,92.8,39000
2025-12-29,92.55,96.0,92.1,92.9,50000
2025-12-30,92.0,94.0,90.0,90.75,39000
2025-12-31,88.95,94.0,87.0,90.95,73000
2026-01-01,90.05,90.75,90.05,90.38,6000
2026-01-02,91.95,91.95,88.72,89.0,29000
2026-01-05,87.2,89.1,86.2,88.75,12000
2026-01-06,81.8,88.0,81.8,85.03,29000
2026-01-07,85.0,88.84,85.0,88.0,38000
2026-01-08,85.55,87.5,83.05,86.0,45000
2026-01-09,82.75,87.25,82.75,85.0,7000
2026-01-12,85.0,85.0,83.0,84.0,10000
2026-01-13,84.01,86.5,83.8,85.02,91000
2026-01-14,85.5,88.4,85.0,85.7,124000
2026-01-16,80.5,88.4,80.5,87.51,59000
2026-01-19,88.3,88.3,85.32,86.41,21000
2026-01-20,84.0,84.0,75.6,81.63,104000
2026-01-21,78.8,82.49,78.8,79.0,5000
2026-01-22,77.0,84.99,77.0,83.0,58000
2026-01-23,83.75,83.75,83.75,83.75,1000
2026-01-27,78.0,81.6,78.0,80.35,7000
2026-01-28,79.1,81.0,79.1,81.0,4000
2026-01-29,80.0,81.9,79.0,79.3,5000
2026-01-30,78.3,78.3,78.3,78.3,1000
2026-02-01,73.5,75.0,73.5,75.0,23000
2026-02-02,75.0,79.65,75.0,77.0,12000
2026-02-03,80.0,83.62,75.21,82.54,33000
2026-02-04,82.0,86.95,79.0,83.8,41000
2026-02-05,85.0,88.5,85.0,88.4,54000
2026-02-06,88.0,88.4,87.0,87.8,29000
2026-02-09,90.26,92.0,88.08,90.25,43000
2026-02-10,90.2,90.2,83.0,84.93,28000
2026-02-11,82.1,82.1,78.35,79.01,30000
2026-02-12,79.5,80.0,74.5,74.92,32000
2026-02-13,73.0,73.0,73.0,73.0,1000
2026-02-16,73.51,75.0,73.05,75.0,30000
2026-02-17,72.6,72.6,72.6,72.6,27000
2026-02-18,74.0,77.99,74.0,77.86,58000
2026-02-19,80.0,80.8,75.8,76.33,41000
2026-02-20,73.43,74.55,72.79,74.55,8000
2026-02-23,74.04,74.04,70.2,71.67,11000
2026-02-24,70.0,70.5,68.27,68.52,12000
2026-02-25,69.0,69.0,67.1,68.0,7000
2026-02-26,69.0,69.48,68.0,68.66,7000
2026-02-27,70.0,72.95,62.0,66.87,42000
2026-03-02,64.0,67.9,62.5,65.0,88000
2026-03-04,62.8,64.9,62.79,64.9,9000
2026-03-05,63.31,63.31,61.0,62.5,17000
2026-03-06,63.3,63.3,61.05,62.38,17000
2026-03-09,59.0,65.0,59.0,64.24,79000
2026-03-10,68.0,70.9,64.5,64.85,19000
2026-03-11,67.18,68.0,62.0,62.51,30000
