Datetime,Open,High,Low,Close,Volume
2021-05-28,0.34,0.34,0.33,0.33,3700
2021-05-31,0.34,0.34,0.34,0.34,3500
2021-06-01,0.34,0.34,0.33,0.33,33300
2021-06-02,0.34,0.34,0.34,0.34,3501
2021-06-03,0.35,0.35,0.35,0.35,255864
2021-06-04,0.36,0.36,0.36,0.36,400
2021-06-07,0.37,0.37,0.37,0.37,1450
2021-06-08,0.38,0.38,0.38,0.38,100
2021-06-09,0.39,0.39,0.39,0.39,150
2021-06-10,0.4,0.4,0.4,0.4,5450
2021-06-11,0.42,0.42,0.42,0.42,302
2021-06-14,0.44,0.44,0.44,0.44,550
2021-06-15,0.46,0.46,0.46,0.46,3162
2021-06-16,0.48,0.48,0.48,0.48,10
2021-06-17,0.5,0.5,0.5,0.5,2010
2021-06-18,0.52,0.52,0.52,0.52,55365
2021-06-21,0.54,0.54,0.54,0.54,1025
2021-06-22,0.56,0.56,0.55,0.55,27090
2021-06-23,0.55,0.56,0.53,0.53,39000
2021-06-24,0.51,0.51,0.51,0.51,1200
2021-06-25,0.49,0.49,0.49,0.49,30750
2021-06-28,0.47,0.47,0.47,0.47,10000
2021-06-29,0.47,0.47,0.45,0.45,2500
2021-06-30,0.45,0.45,0.43,0.43,10050
2021-07-01,0.41,0.41,0.41,0.41,14350
2021-07-02,0.39,0.43,0.39,0.43,3748
2021-07-05,0.45,0.45,0.41,0.45,23256
2021-07-06,0.44,0.47,0.44,0.47,9591
2021-07-07,0.49,0.49,0.49,0.49,15000
2021-07-08,0.49,0.51,0.49,0.51,26399
2021-07-09,0.53,0.53,0.53,0.53,1000
2021-07-12,0.55,0.55,0.55,0.55,11000
2021-07-13,0.57,0.57,0.56,0.57,28909
2021-07-14,0.59,0.59,0.59,0.59,5500
2021-07-19,0.59,0.61,0.57,0.61,63705
2021-07-26,0.59,0.61,0.59,0.59,40500
2021-08-02,0.59,0.59,0.57,0.57,103500
2021-08-09,0.55,0.55,0.55,0.55,2500
2021-09-06,0.51,0.52,0.51,0.51,3500
2021-09-13,0.49,0.49,0.49,0.49,2000
2021-09-27,0.45,0.45,0.45,0.45,2858
2021-10-04,0.43,0.43,0.43,0.43,5050
2021-10-11,0.41,0.41,0.41,0.41,3599
2021-10-14,0.39,0.39,0.39,0.39,20000
2021-10-18,0.38,0.38,0.38,0.38,11900
2021-10-21,0.37,0.37,0.37,0.37,10110
2021-10-25,0.37,0.37,0.37,0.37,10
2021-11-01,0.37,0.37,0.36,0.37,12600
2021-11-08,0.36,0.36,0.36,0.36,10000
2021-11-09,0.36,0.37,0.35,0.35,78643
2021-11-10,0.35,0.36,0.34,0.35,146350
2021-11-11,0.36,0.36,0.34,0.36,1034307
2021-11-12,0.37,0.37,0.37,0.37,120332
2021-11-15,0.38,0.38,0.38,0.38,126000
2021-11-16,0.39,0.39,0.39,0.39,59504
2021-11-17,0.4,0.4,0.4,0.4,75511
2021-11-18,0.42,0.42,0.41,0.42,580774
2021-11-22,0.44,0.44,0.44,0.44,203241
2021-11-23,0.46,0.46,0.46,0.46,249417
2021-11-24,0.48,0.48,0.48,0.48,200874
2021-11-25,0.5,0.5,0.5,0.5,207047
2021-11-26,0.52,0.52,0.52,0.52,232526
2021-11-29,0.54,0.54,0.54,0.54,279530
2021-11-30,0.56,0.56,0.52,0.52,310052
2021-12-01,0.5,0.5,0.5,0.5,516949
2021-12-02,0.48,0.48,0.48,0.48,215357
2021-12-03,0.46,0.5,0.46,0.5,1185528
2021-12-06,0.52,0.52,0.5,0.52,867375
2021-12-07,0.54,0.54,0.53,0.54,353603
2021-12-08,0.56,0.56,0.56,0.56,303590
2021-12-09,0.58,0.58,0.56,0.58,1008852
2021-12-10,0.6,0.6,0.6,0.6,307434
2021-12-13,0.6,0.63,0.57,0.57,302200
2021-12-14,0.55,0.55,0.55,0.55,38700
2021-12-15,0.53,0.53,0.53,0.53,59136
2021-12-16,0.51,0.51,0.51,0.51,42920
2021-12-17,0.49,0.49,0.49,0.49,164950
2021-12-20,0.47,0.47,0.47,0.47,45350
2021-12-21,0.45,0.45,0.45,0.45,28063
2021-12-22,0.43,0.43,0.43,0.43,198945
2021-12-23,0.41,0.45,0.41,0.41,293384
2021-12-24,0.39,0.39,0.39,0.39,379461
2021-12-27,0.38,0.4,0.38,0.4,81893
2021-12-28,0.4,0.42,0.4,0.42,115858
2021-12-29,0.44,0.44,0.44,0.44,24260
2021-12-30,0.45,0.46,0.42,0.46,365145
2021-12-31,0.48,0.48,0.48,0.48,20863
2022-01-03,0.5,0.5,0.46,0.5,893645
2022-01-04,0.52,0.52,0.48,0.52,1176682
2022-01-05,0.54,0.54,0.5,0.54,1229485
2022-01-06,0.56,0.56,0.56,0.56,1098182
2022-01-07,0.58,0.58,0.58,0.58,691362
2022-01-10,0.6,0.6,0.6,0.6,4597934
2022-01-11,0.63,0.63,0.63,0.63,113986
2022-01-12,0.66,0.66,0.66,0.66,65341
2022-01-17,0.69,0.69,0.63,0.63,2480357
2022-01-24,0.6,0.6,0.6,0.6,687311
2022-01-31,0.57,0.6,0.57,0.57,2431299
2022-02-07,0.55,0.55,0.55,0.55,334033
2022-02-14,0.53,0.53,0.53,0.53,323811
2022-02-21,0.51,0.51,0.51,0.51,185890
2022-02-28,0.49,0.49,0.49,0.49,83500
2022-03-07,0.47,0.47,0.47,0.47,29848
2022-03-14,0.45,0.45,0.45,0.45,112260
2022-03-16,0.43,0.45,0.43,0.43,255061
2022-03-17,0.41,0.45,0.41,0.45,196394
2022-03-21,0.43,0.45,0.43,0.43,1039973
2022-03-22,0.43,0.45,0.41,0.41,659840
2022-03-23,0.41,0.41,0.39,0.39,629292
2022-03-24,0.38,0.38,0.38,0.38,189944
2022-03-25,0.37,0.37,0.37,0.37,199977
2022-03-28,0.36,0.36,0.36,0.36,273231
2022-03-29,0.35,0.35,0.35,0.35,850966
2022-03-30,0.34,0.36,0.34,0.36,586420
2022-03-31,0.37,0.37,0.37,0.37,76657
2022-04-01,0.38,0.38,0.38,0.38,466320
