Datetime,Open,High,Low,Close,Volume
2019-05-28,44.15,45.4,43.55,43.85,14377
2019-05-29,44.9,44.9,42.2,42.5,17279
2019-05-30,43.0,43.45,42.1,42.95,8978
2019-06-03,41.85,42.5,40.6,40.85,16222
2019-06-10,38.0,40.3,37.0,38.9,15942
2019-06-11,40.0,40.25,39.0,39.95,8068
2019-06-12,40.5,41.1,40.0,40.15,11591
2019-06-13,39.9,39.95,39.0,39.65,4726
2019-06-14,39.25,39.35,38.7,38.95,17434
2019-06-17,39.0,39.35,38.0,38.05,8293
2019-06-18,37.6,37.7,36.85,37.05,8507
2019-06-19,37.75,37.95,34.8,35.1,15294
2019-06-20,34.5,37.6,34.5,36.8,11089
2019-06-21,36.85,36.9,36.0,36.25,8433
2019-06-24,35.05,36.7,33.6,33.9,22081
2019-06-25,33.05,34.25,33.05,34.05,10372
2019-06-26,34.0,37.3,34.0,36.5,16776
2019-06-27,37.0,37.7,36.85,37.45,7807
2019-06-28,37.0,37.25,36.45,37.0,5422
2019-07-01,38.0,38.0,36.5,36.5,3123
2019-07-02,36.5,36.85,36.0,36.25,5520
2019-07-03,36.0,36.9,36.0,36.55,4104
2019-07-04,36.75,36.75,36.15,36.25,1803
2019-07-05,36.0,36.2,35.15,35.3,8184
2019-07-08,35.0,35.0,34.0,34.25,4441
2019-07-09,34.65,34.75,34.35,34.45,1380
2019-07-10,36.0,36.0,35.15,35.25,3483
2019-07-11,35.55,35.8,34.9,35.0,6657
2019-07-12,35.5,36.25,35.25,35.3,13487
2019-07-15,35.4,35.65,34.0,34.5,8846
2019-07-16,35.15,36.25,34.65,35.75,13993
2019-07-17,36.0,36.15,35.5,35.75,5400
2019-07-18,35.9,35.9,33.7,34.05,15011
2019-07-19,34.05,34.05,32.5,32.7,9958
2019-07-22,32.15,32.2,31.5,31.75,12336
2019-07-23,31.5,32.4,31.0,31.15,8058
2019-07-24,33.5,33.5,31.25,31.55,2256
2019-07-25,31.7,31.95,30.75,31.15,5821
2019-07-26,30.1,32.0,30.1,31.6,8154
2019-07-29,31.45,31.45,30.3,30.75,15963
2019-07-30,30.55,30.9,28.0,28.35,36396
2019-07-31,28.0,28.75,27.6,28.3,8253
2019-08-01,28.35,28.9,27.5,27.95,10758
2019-08-02,27.5,27.85,27.2,27.6,4384
2019-08-05,26.45,26.9,25.0,26.55,18637
2019-08-06,25.6,27.5,25.6,26.65,19067
2019-08-07,26.7,28.5,26.5,27.65,5187
2019-08-08,27.4,27.8,26.5,27.3,3776
2019-08-09,28.6,29.25,28.3,29.15,6986
2019-08-13,27.5,28.0,25.5,26.55,30851
2019-08-14,26.6,27.45,26.4,27.3,4964
2019-08-16,26.8,27.8,26.8,27.2,10686
2019-08-19,27.25,27.8,27.2,27.65,6201
2019-08-20,27.8,28.65,27.1,27.2,8595
2019-08-21,27.0,27.5,24.4,25.35,32151
2019-08-22,24.8,26.75,23.5,23.9,12896
2019-08-23,23.0,24.4,22.55,24.05,12639
2019-08-26,24.4,25.5,23.55,24.85,4503
2019-08-27,25.3,26.9,25.3,26.15,7826
2019-08-28,26.65,27.05,26.05,26.35,6030
2019-08-29,26.45,27.0,25.55,25.75,7530
2019-08-30,26.4,26.55,26.0,26.25,4475
2019-09-03,26.2,26.2,24.7,25.75,2756
2019-09-04,25.9,26.2,25.5,25.65,10434
2019-09-05,26.0,26.0,25.5,25.55,1685
2019-09-06,25.2,26.9,25.2,26.55,15459
2019-09-11,26.85,32.25,26.85,32.25,164817
2019-09-12,33.0,33.75,30.05,30.4,59347
2019-09-13,30.0,30.3,29.0,30.05,15565
2019-09-16,29.6,30.4,29.25,30.35,8711
2019-09-17,30.8,32.6,30.8,31.25,37165
2019-09-18,31.4,31.4,30.5,30.65,4221
2019-09-19,30.5,30.5,29.0,29.2,20615
2019-09-20,29.6,32.0,29.0,30.85,39315
2019-09-23,32.3,33.0,31.05,31.7,30241
2019-09-24,31.85,32.0,31.05,31.5,9369
2019-09-25,31.0,31.4,30.0,30.8,15143
2019-09-26,31.0,31.8,30.8,30.9,19162
2019-09-27,31.2,31.45,29.05,29.75,24107
2019-09-30,29.6,29.6,27.0,28.45,47863
2019-10-01,28.0,29.2,27.65,27.9,4567
2019-10-03,27.95,27.95,27.1,27.55,19731
2019-10-04,28.15,29.5,27.4,27.45,4855
2019-10-07,27.0,27.8,25.95,26.2,7065
2019-10-09,26.55,26.55,25.8,26.25,5608
2019-10-10,26.1,26.2,25.1,25.2,12440
2019-10-11,26.1,26.45,25.75,26.0,12884
2019-10-14,26.35,26.35,25.65,25.65,10800
2019-10-15,25.55,26.3,24.75,25.35,52805
2019-10-16,25.6,25.65,25.0,25.15,37631
2019-10-17,25.1,25.5,24.7,24.85,21155
2019-10-18,24.9,25.75,24.9,25.25,29564
2019-10-22,25.7,26.35,24.75,25.05,59605
2019-10-23,25.15,25.3,24.7,25.0,65436
2019-10-24,25.1,25.35,24.35,24.5,66865
2019-10-25,24.15,25.0,24.05,24.55,31499
2019-10-29,24.6,26.5,24.6,24.95,38101
2019-10-30,25.0,25.5,24.75,24.8,43421
2019-10-31,24.95,26.4,24.95,25.1,19695
2019-11-01,26.0,28.5,25.35,27.7,65197
2019-11-04,28.4,29.7,27.9,28.75,34650
2019-11-05,28.1,29.05,27.55,27.7,13493
2019-11-06,27.7,28.2,27.2,27.25,17794
2019-11-07,27.55,28.45,27.15,27.95,8251
2019-11-08,27.95,28.35,27.5,27.85,9171
2019-11-13,29.9,30.0,28.6,28.8,45605
2019-11-14,30.5,30.5,27.6,28.0,48375
2019-11-15,28.25,30.5,27.9,29.55,241642
2019-11-18,30.5,33.75,30.5,32.9,998962
2019-11-19,33.0,34.5,31.55,31.6,33210
2019-11-20,31.65,35.0,31.65,32.95,84834
2019-11-21,33.3,33.9,32.3,32.6,37739
2019-11-22,32.25,32.25,31.0,31.9,42056
2019-11-25,32.45,34.4,32.25,32.45,46428
2019-11-26,32.3,32.8,30.3,30.75,32914
2019-11-27,31.5,31.5,30.5,30.8,20611
2019-11-28,30.95,32.4,30.9,32.3,41921
2019-11-29,32.4,32.5,31.1,31.2,16723
2019-12-02,31.0,31.5,30.25,30.75,49836
2019-12-03,31.0,31.2,29.7,30.55,20953
2019-12-04,30.0,30.5,29.4,30.3,15319
2019-12-05,30.5,30.9,29.25,29.4,17576
2019-12-06,28.35,30.0,28.35,29.2,13928
2019-12-09,29.5,30.0,29.25,29.5,3811
2019-12-10,29.55,29.8,28.2,28.25,11619
2019-12-11,28.25,28.25,27.15,27.45,7110
2019-12-12,27.6,28.75,27.4,28.45,17963
2019-12-13,29.0,29.75,28.9,29.0,18864
2019-12-16,29.0,30.05,28.95,29.0,667
2019-12-17,28.8,30.25,28.65,29.5,27221
2019-12-18,29.8,30.4,29.6,29.7,17191
2019-12-19,29.6,29.6,28.8,29.0,33330
2019-12-20,29.05,30.5,28.8,29.3,19909
2019-12-23,29.5,29.95,29.0,29.2,7415
2019-12-24,29.0,29.65,28.9,29.0,1283
2019-12-26,29.6,31.4,29.6,30.7,176201
2019-12-27,31.0,33.0,31.0,32.85,40465
2019-12-30,33.0,33.8,31.85,33.55,31423
