Datetime,Open,High,Low,Close,Volume
2023-10-11,155.0,158.0,147.25,147.25,299000
2023-10-12,139.9,139.9,139.9,139.9,9000
2023-10-13,132.95,146.85,132.95,146.85,340000
2023-10-16,149.95,150.0,139.55,147.65,200000
2023-10-17,150.0,150.0,144.8,145.55,50000
2023-10-18,142.25,145.55,138.3,139.0,155000
2023-10-19,135.75,145.95,135.75,144.8,81000
2023-10-20,142.15,143.1,140.2,140.9,12000
2023-10-23,142.35,142.6,133.9,133.9,43000
2023-10-25,134.0,134.0,127.25,133.0,31000
2023-10-26,130.85,139.0,116.5,138.5,53000
2023-10-27,138.5,146.0,136.0,141.1,55000
2023-10-30,146.8,149.0,144.65,147.85,163000
2023-10-31,148.85,171.0,148.8,166.95,467000
2023-11-01,172.7,175.0,155.0,159.3,186000
2023-11-02,158.0,174.9,158.0,172.55,216000
2023-11-03,177.0,182.0,171.05,179.5,161000
2023-11-06,185.0,185.0,155.0,168.35,306000
2023-11-07,164.2,172.9,163.0,168.0,57000
2023-11-08,171.0,171.0,155.7,167.6,89000
2023-11-09,169.0,169.0,156.2,157.35,46000
2023-11-10,160.0,166.45,158.5,159.35,33000
2023-11-12,161.0,163.65,161.0,162.45,7000
2023-11-13,158.25,159.0,156.0,156.5,19000
2023-11-15,159.8,162.0,157.5,157.6,29000
2023-11-16,159.0,159.95,156.05,158.3,35000
2023-11-17,155.0,166.4,155.0,164.95,60000
2023-11-20,165.0,171.95,161.0,166.6,67000
2023-11-21,168.0,170.05,163.2,170.0,32000
2023-11-22,169.9,177.0,165.05,173.7,94000
2023-11-23,180.0,208.4,180.0,208.4,348000
2023-11-24,220.0,233.85,210.0,218.45,285000
2023-11-28,230.0,230.0,202.2,207.9,78000
2023-11-29,207.05,220.95,199.0,212.75,64000
2023-11-30,214.0,214.8,205.0,212.2,32000
2023-12-01,208.05,208.7,201.3,203.55,23000
2023-12-04,207.0,207.0,195.1,200.0,24000
2023-12-05,195.0,199.95,190.0,190.95,26000
2023-12-06,187.05,217.9,187.05,206.2,36000
2023-12-07,202.55,216.0,202.55,207.85,18000
2023-12-08,206.0,210.0,204.1,204.15,26000
2023-12-11,200.0,205.0,195.0,197.35,22000
2023-12-12,195.15,209.0,192.0,199.45,48000
2023-12-13,200.5,207.0,198.0,200.65,31000
2023-12-14,204.0,208.9,201.35,208.0,26000
2023-12-15,215.0,215.0,205.0,211.05,52000
2023-12-18,205.0,213.0,205.0,209.25,9000
2023-12-19,205.0,205.0,201.0,202.35,35000
2023-12-20,204.0,204.0,188.7,194.8,61000
2023-12-21,192.0,196.5,188.0,188.8,24000
2023-12-22,193.25,199.0,193.0,196.05,23000
2023-12-26,199.0,206.95,199.0,205.0,27000
2023-12-27,214.2,214.2,203.0,204.9,24000
2023-12-28,210.0,215.0,200.3,212.75,73000
2023-12-29,209.0,244.0,209.0,237.35,129000
2024-01-01,241.7,242.9,223.1,234.7,35000
2024-01-02,232.0,234.0,219.0,229.0,20000
2024-01-03,231.5,231.95,220.05,223.15,18000
2024-01-04,267.75,267.75,240.0,267.75,244000
2024-01-05,279.4,284.55,257.0,266.3,43000
2024-01-08,268.95,291.0,265.0,281.85,96000
2024-01-09,289.65,324.4,289.65,299.0,59000
2024-01-10,300.0,301.0,277.0,290.3,57000
2024-01-11,303.35,303.35,255.0,273.15,60000
2024-01-12,272.1,277.0,255.25,258.1,33000
2024-01-15,258.1,258.1,251.0,253.5,10000
2024-01-16,254.1,256.5,253.5,255.35,8000
2024-01-17,250.0,269.95,250.0,256.75,27000
2024-01-18,265.9,265.9,256.0,262.0,12000
2024-01-19,268.9,270.0,266.0,266.0,8000
2024-01-20,266.1,275.0,266.1,273.5,13000
2024-01-23,270.0,273.5,261.0,261.0,11000
2024-01-24,266.0,266.7,260.05,262.4,17000
2024-01-25,262.4,266.9,260.0,265.25,10000
2024-01-29,260.0,260.0,256.0,256.0,5000
2024-01-30,235.0,255.95,235.0,240.25,45000
2024-01-31,240.3,245.8,238.0,238.0,20000
2024-02-01,240.1,240.1,228.0,233.4,35000
2024-02-02,230.0,245.0,230.0,243.95,7000
2024-02-05,238.05,239.0,231.8,239.0,20000
2024-02-06,239.0,244.9,238.0,242.0,15000
2024-02-07,239.0,239.0,234.0,236.5,6000
2024-02-08,239.0,239.0,230.0,233.5,14000
2024-02-09,235.0,244.7,232.0,235.1,41000
2024-02-12,233.0,235.0,223.35,223.55,44000
2024-02-13,223.0,229.95,212.4,224.6,29000
2024-02-14,225.0,235.8,224.0,235.8,18000
2024-02-15,242.0,247.5,236.1,244.0,17000
2024-02-16,254.0,254.0,246.0,248.8,19000
2024-02-19,248.8,258.0,242.0,252.9,14000
2024-02-20,250.0,254.9,248.7,254.9,8000
2024-02-21,243.4,263.95,243.4,259.0,25000
2024-02-22,254.0,264.0,246.05,254.5,29000
2024-02-23,258.0,267.2,257.4,265.8,26000
2024-02-26,264.75,278.0,264.75,277.0,15000
2024-02-27,278.0,278.0,263.15,274.0,24000
2024-02-28,287.7,287.7,270.0,274.35,41000
2024-02-29,270.0,283.5,263.5,272.65,42000
2024-03-01,280.0,280.0,261.1,262.95,18000
2024-03-02,274.0,274.0,274.0,274.0,3000
2024-03-04,280.0,287.7,265.0,287.7,37000
2024-03-05,302.05,302.05,302.05,302.05,10000
2024-03-06,317.15,317.15,287.0,312.2,101000
2024-03-07,304.8,307.0,296.6,305.0,30000
2024-03-11,314.0,314.0,289.75,289.75,22000
2024-03-12,276.0,276.0,275.3,275.3,28000
2024-03-13,261.8,261.8,261.55,261.55,15000
2024-03-14,248.5,274.6,248.5,268.6,23000
2024-03-15,268.6,269.6,255.2,255.2,14000
