Datetime,Open,High,Low,Close,Volume
2019-05-28,494.25,505.05,490.0,494.6,49725
2019-05-29,498.25,501.0,492.25,496.3,46496
2019-05-30,502.15,505.35,480.3,492.8,56465
2019-06-03,497.3,510.7,489.75,498.15,169487
2019-06-10,488.0,488.95,472.0,475.5,51377
2019-06-11,476.05,478.9,462.15,470.9,55973
2019-06-12,475.0,478.35,466.25,472.05,53150
2019-06-13,472.3,476.15,461.75,470.6,50527
2019-06-14,470.35,474.0,459.8,466.85,48227
2019-06-17,465.15,465.15,446.95,449.55,45629
2019-06-18,449.2,451.95,443.8,446.75,44901
2019-06-19,447.4,458.85,432.25,442.55,65886
2019-06-20,445.45,447.0,433.7,440.25,30889
2019-06-21,447.75,447.75,428.0,433.85,39926
2019-06-24,433.0,433.0,412.3,419.4,41017
2019-06-25,420.0,433.75,413.85,429.6,32299
2019-06-26,429.55,432.4,422.25,424.9,39727
2019-06-27,428.0,439.5,428.0,433.35,39073
2019-06-28,437.0,440.0,431.75,434.3,51929
2019-07-01,438.05,464.85,437.0,461.3,52222
2019-07-02,465.95,466.0,453.95,462.55,34849
2019-07-03,465.0,471.2,457.7,469.5,44611
2019-07-04,473.0,486.0,465.2,476.65,52360
2019-07-05,477.4,487.0,447.6,455.75,61951
2019-07-08,461.0,461.0,435.9,439.0,45241
2019-07-09,440.0,460.95,430.0,459.0,43304
2019-07-10,463.0,463.0,447.75,452.6,43306
2019-07-11,455.95,456.05,442.35,446.85,45089
2019-07-12,449.1,462.5,446.75,454.85,46776
2019-07-15,453.5,453.5,440.3,442.9,48486
2019-07-16,445.45,451.9,440.0,449.9,59579
2019-07-17,452.3,453.05,445.35,449.35,52039
2019-07-18,448.0,452.6,440.65,450.15,31009
2019-07-19,453.0,454.35,439.65,440.65,31653
2019-07-22,441.0,443.15,426.3,432.85,35959
2019-07-23,432.0,432.0,418.55,425.5,34563
2019-07-24,426.5,446.1,406.9,428.4,38431
2019-07-25,430.55,431.85,411.6,416.25,35117
2019-07-26,415.35,418.65,409.05,415.9,40659
2019-07-29,418.1,423.95,393.9,411.1,28331
2019-07-30,411.35,416.35,392.5,400.9,26582
2019-07-31,403.0,403.0,379.95,391.25,27574
2019-08-01,390.0,397.45,375.7,391.0,30059
2019-08-02,390.0,414.8,380.1,403.65,35142
2019-08-05,409.5,415.2,385.2,405.15,36382
2019-08-06,402.0,409.15,399.15,407.4,28239
2019-08-07,405.0,411.15,398.4,407.65,22565
2019-08-08,412.4,424.0,404.05,420.25,27165
2019-08-09,425.0,439.6,420.35,433.1,29938
2019-08-13,435.55,446.35,424.0,438.15,29128
2019-08-14,444.0,465.15,441.0,461.9,35237
2019-08-16,464.9,467.1,455.0,460.75,26311
2019-08-19,465.0,477.65,446.6,458.55,32531
2019-08-20,465.0,465.5,452.5,459.45,26132
2019-08-21,460.0,460.0,442.0,449.5,34366
2019-08-22,447.0,448.4,421.3,428.75,29067
2019-08-23,424.85,469.05,423.95,457.45,37024
2019-08-26,462.0,487.35,443.2,476.3,22560
2019-08-27,485.0,485.0,457.0,469.4,45086
2019-08-28,468.3,468.3,449.3,456.65,29432
2019-08-29,452.0,472.4,442.8,463.55,43800
2019-08-30,471.0,475.8,458.0,466.45,36116
2019-09-03,460.0,460.0,442.0,455.6,40991
2019-09-04,444.9,450.35,432.05,447.35,43378
2019-09-05,445.15,454.6,442.0,450.15,40299
2019-09-06,454.75,459.35,444.5,449.55,30165
