Datetime,Open,High,Low,Close,Volume
2023-01-12,20.5,21.5,20.5,21.5,1842000
2023-01-13,22.55,22.55,22.55,22.55,396000
2023-01-16,23.65,23.65,21.45,21.45,1104000
2023-01-17,20.4,20.4,20.4,20.4,72000
2023-01-18,19.4,19.4,19.4,19.4,42000
2023-01-19,18.45,18.45,18.45,18.45,174000
2023-01-20,17.55,19.35,17.55,18.25,1248000
2023-01-23,17.35,19.15,17.35,17.35,414000
2023-01-24,18.1,18.1,16.5,16.5,192000
2023-01-25,15.7,15.7,15.7,15.7,72000
2023-01-27,16.5,16.5,13.8,14.7,168000
2023-01-30,14.1,16.45,13.25,14.2,228000
2023-01-31,14.0,14.2,13.5,13.6,30000
2023-02-01,13.61,16.32,13.61,16.13,294000
2023-02-02,19.35,19.35,13.6,14.22,420000
2023-02-03,14.32,14.32,12.9,13.7,234000
2023-02-06,13.25,13.4,12.81,12.98,126000
2023-02-07,13.98,13.98,11.0,11.9,390000
2023-02-08,10.93,12.3,10.93,12.07,120000
2023-02-09,11.5,11.99,11.3,11.52,78000
2023-02-10,10.51,11.98,10.51,11.79,96000
2023-02-13,12.7,12.7,11.11,11.65,42000
2023-02-14,11.06,11.48,11.06,11.39,48000
2023-02-15,11.3,11.8,10.71,10.95,78000
2023-02-16,11.48,11.5,11.0,11.07,102000
2023-02-17,10.72,11.09,10.72,10.93,60000
2023-02-20,10.9,10.93,10.0,10.37,144000
2023-02-21,10.37,10.73,10.06,10.25,48000
2023-02-22,10.25,10.6,9.87,9.91,48000
2023-02-23,9.9,10.9,9.9,10.9,108000
2023-02-24,11.95,11.99,9.81,10.3,1116000
2023-02-27,9.85,10.0,9.85,10.0,18000
2023-02-28,9.99,9.99,9.34,9.38,30000
2023-03-01,9.0,9.5,8.45,9.15,252000
2023-03-02,8.71,9.0,8.71,8.99,48000
2023-03-03,9.0,9.0,8.9,8.96,66000
2023-03-06,8.9,9.25,8.7,9.12,66000
2023-03-08,8.51,8.96,8.51,8.72,48000
2023-03-09,8.52,8.52,8.5,8.5,48000
2023-03-10,8.84,8.84,8.35,8.36,42000
2023-03-13,9.18,9.18,8.4,8.65,48000
2023-03-14,8.64,8.64,7.8,8.05,78000
2023-03-15,8.25,8.25,7.66,7.98,60000
2023-03-16,7.45,7.85,7.19,7.22,156000
2023-03-17,7.3,7.3,7.1,7.19,36000
2023-03-20,7.1,7.1,6.85,6.99,72000
