Datetime,Open,High,Low,Close,Volume
2021-05-31,0.94,0.95,0.94,0.95,2457
2021-06-01,0.94,0.94,0.94,0.94,561
2021-06-02,0.93,0.93,0.93,0.93,800
2021-06-03,0.93,0.93,0.92,0.92,1410
2021-06-04,0.92,0.92,0.92,0.92,1050
2021-06-07,0.92,0.92,0.9,0.9,9765
2021-06-08,0.86,0.86,0.86,0.86,13021
2021-06-09,0.86,0.9,0.82,0.84,5053
2021-06-10,0.8,0.85,0.8,0.85,5732
2021-06-11,0.85,0.89,0.81,0.81,18807
2021-06-14,0.8,0.85,0.8,0.85,30902
2021-06-15,0.89,0.89,0.81,0.85,32700
2021-06-16,0.85,0.89,0.85,0.87,15611
2021-06-17,0.91,0.91,0.91,0.91,9785
2021-06-18,0.95,0.95,0.92,0.95,20174
2021-06-21,0.99,0.99,0.99,0.99,25208
2021-06-22,1.03,1.03,1.03,1.03,3687
2021-06-23,1.08,1.08,1.08,1.08,733
2021-06-24,1.13,1.13,1.13,1.13,1773
2021-06-25,1.18,1.18,1.18,1.18,81
2021-06-28,1.23,1.23,1.23,1.23,7012
2021-06-29,1.29,1.29,1.29,1.29,1549
2021-06-30,1.35,1.35,1.35,1.35,60953
2021-07-01,1.41,1.41,1.35,1.41,6333
2021-07-05,1.41,1.41,1.41,1.41,1400
2021-07-19,1.41,1.41,1.34,1.34,5544
2021-10-04,1.34,1.34,1.34,1.34,14
2021-10-05,1.3,1.34,1.3,1.32,225
2021-10-08,1.3,1.38,1.3,1.32,2402
2021-10-11,1.38,1.38,1.3,1.38,38695
2021-10-12,1.44,1.44,1.44,1.44,26783
2021-10-13,1.51,1.51,1.51,1.51,4443
2021-10-14,1.58,1.58,1.58,1.58,28074
2021-10-25,1.51,1.51,1.51,1.51,500
2021-11-08,1.44,1.44,1.44,1.44,50
2021-11-22,1.44,1.44,1.37,1.37,2820
2021-11-29,1.31,1.31,1.31,1.31,200
2021-12-06,1.25,1.25,1.25,1.25,1500
2021-12-13,1.19,1.19,1.19,1.19,1000
2021-12-20,1.14,1.24,1.14,1.24,25382
2021-12-27,1.18,1.18,1.18,1.18,3488
2022-01-03,1.13,1.13,1.13,1.13,2833
2022-01-10,1.08,1.18,1.08,1.18,6977
2022-01-11,1.18,1.23,1.18,1.23,2186
2022-01-12,1.29,1.29,1.29,1.29,2459
2022-01-13,1.35,1.35,1.35,1.35,1745
2022-01-14,1.41,1.41,1.41,1.41,4740
2022-01-17,1.48,1.48,1.48,1.48,249
2022-01-18,1.55,1.55,1.55,1.55,3899
2022-01-24,1.62,1.62,1.62,1.62,5834
2022-01-31,1.62,1.62,1.62,1.62,15520
2022-02-07,1.6,1.62,1.59,1.59,6030
2022-02-14,1.52,1.52,1.52,1.52,100
2022-02-21,1.45,1.5,1.45,1.5,600
2022-03-07,1.43,1.5,1.43,1.5,3000
2022-03-14,1.5,1.5,1.43,1.5,122979
2022-03-21,1.57,1.57,1.57,1.57,6674
2022-03-28,1.57,1.57,1.57,1.57,16361
2022-04-04,1.57,1.57,1.57,1.57,1622
2022-04-11,1.57,1.57,1.57,1.57,1080
2022-04-18,1.57,1.57,1.57,1.57,629
2022-04-25,1.57,1.57,1.57,1.57,3548
2022-05-02,1.57,1.57,1.57,1.57,3413
2022-05-09,1.64,1.64,1.64,1.64,6830
2022-05-16,1.64,1.64,1.64,1.64,8908
2022-05-23,1.64,1.64,1.64,1.64,5372
2022-05-30,1.64,1.64,1.64,1.64,30478
2022-06-06,1.64,1.64,1.64,1.64,10026
2022-06-13,1.72,1.72,1.71,1.72,10030
2022-06-20,1.72,1.72,1.72,1.72,5349
2022-06-27,1.72,1.72,1.72,1.72,161
2022-07-04,1.64,1.72,1.64,1.72,250
2022-07-11,1.72,1.8,1.72,1.8,1174
2022-07-18,1.8,1.8,1.8,1.8,249
2022-07-25,1.8,1.8,1.8,1.8,1326
2022-08-01,1.8,1.8,1.8,1.8,1594
2022-08-16,1.8,1.89,1.8,1.89,2239
2022-08-29,1.89,1.89,1.89,1.89,432
2022-09-05,1.8,1.89,1.8,1.89,1859
2022-09-12,1.8,1.81,1.8,1.81,1322
2022-09-19,1.72,1.81,1.72,1.81,2100
2022-09-26,1.72,1.72,1.72,1.72,70
2022-10-03,1.72,1.72,1.64,1.64,1024
2022-10-10,1.56,1.72,1.56,1.56,6151
2022-10-17,1.56,1.56,1.49,1.56,4288
2022-10-31,1.42,1.52,1.42,1.52,1427
2022-11-07,1.45,1.59,1.45,1.59,1567
2022-11-14,1.52,1.52,1.52,1.52,200
2022-11-15,1.45,1.45,1.45,1.45,695
2022-11-16,1.38,1.45,1.38,1.42,330
2022-11-17,1.42,1.42,1.35,1.35,2830
2022-11-18,1.35,1.35,1.3,1.3,1769
2022-11-21,1.24,1.36,1.24,1.36,1925
2022-11-22,1.3,1.36,1.3,1.3,1172
2022-11-23,1.24,1.24,1.24,1.24,1250
2022-11-24,1.18,1.18,1.18,1.18,1287
2022-11-25,1.13,1.15,1.13,1.14,750
2022-11-28,1.14,1.19,1.09,1.1,1731
2022-11-29,1.05,1.05,1.05,1.05,100
2022-11-30,1.1,1.1,1.1,1.1,160
2022-12-01,1.15,1.15,1.15,1.15,513
2022-12-02,1.2,1.2,1.11,1.11,916
2022-12-05,1.06,1.08,1.06,1.08,47
2022-12-08,1.03,1.13,1.03,1.13,1422
2022-12-09,1.18,1.18,1.18,1.18,617
2022-12-12,1.23,1.23,1.23,1.23,675
2022-12-13,1.29,1.29,1.29,1.29,700
2022-12-14,1.35,1.35,1.35,1.35,419
2022-12-15,1.41,1.41,1.41,1.41,65
2022-12-16,1.48,1.48,1.48,1.48,94
2022-12-19,1.55,1.55,1.55,1.55,25
2022-12-26,1.62,1.62,1.48,1.59,1032
2023-01-02,1.52,1.52,1.52,1.52,100
2023-01-09,1.5,1.52,1.5,1.52,114
2023-01-16,1.52,1.52,1.45,1.45,1200
2023-01-23,1.4,1.4,1.4,1.4,2000
2023-02-06,1.35,1.35,1.33,1.33,2158
2023-02-13,1.33,1.33,1.33,1.33,1480
2023-02-20,1.33,1.33,1.33,1.33,119
2023-02-27,1.3,1.33,1.3,1.33,300
2023-03-06,1.27,1.33,1.27,1.33,102
2023-03-13,1.33,1.33,1.33,1.33,5
2023-03-16,1.27,1.33,1.27,1.33,2767
2023-03-17,1.33,1.33,1.33,1.33,1015
2023-03-20,1.33,1.33,1.33,1.33,630
2023-03-21,1.33,1.33,1.33,1.33,1900
2023-03-23,1.3,1.33,1.3,1.33,2000
2023-03-24,1.33,1.33,1.33,1.33,689
2023-03-27,1.33,1.36,1.33,1.36,1458
2023-03-28,1.36,1.36,1.36,1.36,928
2023-04-10,1.36,1.36,1.36,1.36,100
2023-04-17,1.3,1.3,1.3,1.3,1460
2023-04-24,1.36,1.36,1.36,1.36,1585
2023-05-02,1.36,1.36,1.36,1.36,272
2023-05-08,1.35,1.36,1.35,1.36,3864
2023-05-10,1.36,1.36,1.36,1.36,301
2023-05-11,1.36,1.36,1.36,1.36,241
2023-05-12,1.36,1.36,1.3,1.3,600
2023-05-15,1.3,1.36,1.3,1.36,1002
2023-05-16,1.36,1.36,1.36,1.36,2000
2023-05-18,1.36,1.36,1.36,1.36,100
2023-05-19,1.36,1.36,1.36,1.36,186
2023-05-22,1.36,1.4,1.36,1.4,150
2023-05-23,1.36,1.36,1.36,1.36,82
2023-05-25,1.36,1.36,1.3,1.35,1235
2023-05-26,1.41,1.41,1.41,1.41,2345
2023-05-29,1.48,1.48,1.48,1.48,300
2023-05-30,1.52,1.55,1.52,1.55,1360
2023-06-05,1.55,1.55,1.55,1.55,1100
2023-06-12,1.55,1.55,1.55,1.55,7000
2023-06-19,1.55,1.55,1.48,1.48,4774
2023-06-26,1.41,1.48,1.41,1.48,2399
2023-07-03,1.55,1.55,1.55,1.55,21887
2023-07-10,1.62,1.62,1.62,1.62,1508
2023-07-11,1.7,1.7,1.7,1.7,11696
2023-07-17,1.7,1.7,1.7,1.7,1736
2023-07-24,1.62,1.7,1.62,1.7,15120
2023-07-31,1.7,1.7,1.7,1.7,5358
2023-08-07,1.7,1.7,1.64,1.68,74928
2023-08-14,1.68,1.68,1.63,1.66,169463
2023-08-21,1.66,1.66,1.66,1.66,2539
2023-08-28,1.66,1.66,1.66,1.66,2115
2023-09-04,1.66,1.66,1.66,1.66,212093
2023-09-18,1.66,1.74,1.66,1.74,94983
2023-09-25,1.74,1.74,1.74,1.74,245196
2023-10-03,1.74,1.74,1.74,1.74,9700
2023-10-09,1.74,1.74,1.74,1.74,1500
2023-10-16,1.74,1.74,1.74,1.74,39
2023-10-30,1.74,1.74,1.74,1.74,965
2023-11-06,1.74,1.74,1.74,1.74,3523
2023-11-20,1.82,1.82,1.82,1.82,875
2023-11-28,1.82,1.82,1.82,1.82,10033
2023-12-04,1.82,1.82,1.82,1.82,17689
2023-12-11,1.82,1.82,1.82,1.82,5290
2023-12-18,1.82,1.82,1.82,1.82,3566
2023-12-26,1.82,1.82,1.82,1.82,289
2024-01-01,1.82,1.82,1.82,1.82,574
2024-01-08,1.91,1.91,1.91,1.91,3120
2024-01-15,1.91,1.91,1.91,1.91,272
2024-01-23,1.91,1.91,1.91,1.91,1445
2024-01-29,1.91,1.91,1.91,1.91,1516
2024-02-05,1.91,1.91,1.91,1.91,15332
2024-02-12,2.0,2.0,2.0,2.0,3914
2024-02-19,2.0,2.0,2.0,2.0,34992
2024-05-27,2.2,2.2,2.2,2.2,423
2024-06-03,2.2,2.2,2.2,2.2,403
2024-06-18,2.31,2.31,2.31,2.31,4056
2024-07-01,2.31,2.31,2.31,2.31,1738
2024-07-22,2.42,2.42,2.42,2.42,6768
2024-07-29,2.42,2.42,2.42,2.42,2654
2024-08-05,2.42,2.42,2.42,2.42,3891
2024-08-12,2.54,2.54,2.54,2.54,944
2024-08-19,2.54,2.54,2.54,2.54,2599
2024-08-26,2.54,2.54,2.54,2.54,2185
2024-09-02,2.54,2.54,2.54,2.54,13557
2024-09-09,2.54,2.54,2.54,2.54,10105
2024-09-16,2.66,2.66,2.66,2.66,336
2024-09-23,2.66,2.66,2.66,2.66,3843
2024-09-30,2.66,2.66,2.66,2.66,466
2024-10-07,2.66,2.66,2.66,2.66,459
2024-10-14,2.66,2.66,2.66,2.66,297
2024-10-21,2.66,2.66,2.66,2.66,1314
2024-10-28,2.66,2.66,2.66,2.66,770
2024-11-04,2.66,2.66,2.66,2.66,448
2024-11-11,2.79,2.79,2.79,2.79,260
2024-11-18,2.79,2.79,2.79,2.79,1764
2024-11-25,2.79,2.79,2.79,2.79,1285
2024-12-02,2.79,2.79,2.79,2.79,160
2024-12-09,2.79,2.79,2.79,2.79,3061
2024-12-16,2.92,2.92,2.92,2.92,2196
2024-12-23,2.92,2.92,2.92,2.92,4312
2024-12-30,2.92,2.92,2.92,2.92,110
2025-01-06,2.92,2.92,2.92,2.92,1186
2025-01-13,2.92,2.92,2.92,2.92,3302
2025-01-20,2.92,2.92,2.92,2.92,10
2025-01-27,2.92,2.92,2.92,2.92,60
2025-02-03,2.92,2.92,2.92,2.92,126
2025-02-10,3.06,3.06,3.06,3.06,314
2025-02-24,3.06,3.06,3.06,3.06,197
2025-03-03,3.06,3.06,3.06,3.06,77579
2025-03-10,3.06,3.06,3.06,3.06,150
2025-03-11,3.21,3.21,3.21,3.21,2358
2025-03-12,3.37,3.37,3.37,3.37,3047
2025-03-13,3.53,3.53,3.53,3.53,1017
2025-03-17,3.7,3.7,3.7,3.7,811
2025-03-18,3.88,3.88,3.88,3.88,1671
2025-03-19,4.07,4.07,4.07,4.07,2385
2025-03-20,4.27,4.27,4.27,4.27,530
2025-03-21,4.48,4.48,4.48,4.48,2865
2025-03-24,4.7,4.7,4.7,4.7,379
2025-03-25,4.93,4.93,4.93,4.93,1355
2025-03-26,5.17,5.17,5.17,5.17,1281
2025-03-27,5.42,5.42,5.42,5.42,901
2025-03-28,5.69,5.69,5.69,5.69,683
2025-04-01,5.97,5.97,5.97,5.97,356
2025-04-02,6.26,6.26,6.26,6.26,84
2025-04-03,6.57,6.57,6.57,6.57,251
2025-04-04,6.89,6.89,6.89,6.89,370
2025-04-07,7.23,7.23,7.23,7.23,5555
2025-04-08,7.59,7.59,7.59,7.59,411
2025-04-09,7.96,7.96,7.96,7.96,2173
2025-04-11,8.35,8.35,8.35,8.35,2724
2025-04-15,8.51,8.51,8.51,8.51,6321
2025-04-16,8.68,8.68,8.68,8.68,5252
2025-04-17,8.85,8.85,8.85,8.85,339
2025-04-21,9.02,9.02,9.02,9.02,2861
2025-04-22,9.2,9.2,9.2,9.2,2600
2025-04-23,9.38,9.38,9.38,9.38,4834
2025-04-24,9.56,9.56,9.56,9.56,52502
2025-04-25,9.75,9.75,9.75,9.75,10181
2025-04-28,9.94,9.94,9.94,9.94,640
2025-04-29,10.13,10.13,10.13,10.13,4622
2025-04-30,10.33,10.33,10.33,10.33,410
2025-05-02,10.53,10.53,10.53,10.53,5661
2025-05-05,10.74,10.74,10.74,10.74,10
2025-05-06,10.95,10.95,10.95,10.95,1600
2025-05-07,11.16,11.16,11.16,11.16,521
2025-05-08,11.38,11.38,11.38,11.38,1801
2025-05-09,11.6,11.6,11.6,11.6,2200
2025-05-12,11.83,11.83,11.83,11.83,1205
2025-05-13,12.06,12.06,12.06,12.06,4919
2025-05-14,12.3,12.3,12.25,12.3,760
2025-05-15,12.54,12.54,12.54,12.54,2142
2025-05-16,12.78,12.79,12.78,12.79,2998
2025-05-19,13.04,13.04,13.04,13.04,3715
2025-05-20,13.3,13.3,13.3,13.3,2454
2025-05-21,13.56,13.56,13.56,13.56,1374
2025-05-22,13.83,13.83,13.83,13.83,311
2025-05-23,14.1,14.1,14.1,14.1,1100
2025-05-26,14.38,14.38,14.38,14.38,121
2025-05-27,14.66,14.66,14.66,14.66,1250
2025-05-28,14.95,14.95,14.95,14.95,3771
2025-05-29,15.24,15.24,15.24,15.24,1971
2025-05-30,15.54,15.54,15.54,15.54,1204
2025-06-02,15.85,15.85,15.85,15.85,1689
2025-06-03,16.16,16.16,16.16,16.16,6324
2025-06-04,16.48,16.48,16.48,16.48,222
2025-06-05,16.8,16.8,16.8,16.8,707
2025-06-06,16.8,17.13,16.8,17.13,153282
2025-06-09,17.47,17.47,17.47,17.47,1449
2025-06-10,17.81,17.81,17.81,17.81,3575
2025-06-11,18.16,18.16,18.16,18.16,613
2025-06-12,18.52,18.52,18.52,18.52,1455
2025-06-13,18.15,18.89,18.15,18.89,112597
2025-06-16,19.26,19.26,19.26,19.26,18391
2025-06-17,19.64,19.64,19.64,19.64,8102
2025-06-18,20.03,20.03,20.03,20.03,1648
2025-06-19,20.43,20.43,20.43,20.43,3478
2025-06-20,20.83,20.83,20.83,20.83,2652
2025-06-23,21.24,21.24,21.24,21.24,540
2025-06-24,21.66,21.66,21.66,21.66,1289
2025-06-25,22.09,22.09,22.09,22.09,2750
2025-06-26,22.52,22.53,22.48,22.53,251023
