Datetime,Open,High,Low,Close,Volume
2019-05-28,12.5,12.54,11.56,11.72,1233
2019-05-29,11.15,12.29,11.14,11.19,105
2019-05-30,11.72,11.72,10.66,10.68,244
2019-06-03,11.2,11.76,10.67,11.75,1760
2019-06-10,12.13,12.13,12.13,12.13,10
2019-06-11,11.53,11.53,11.53,11.53,1130
2019-06-12,12.0,12.0,11.99,11.99,101
2019-06-13,12.5,12.5,11.4,11.4,120
2019-06-14,10.83,11.97,10.83,11.97,461
2019-06-17,12.48,12.56,12.48,12.56,410
2019-06-18,12.49,12.49,12.49,12.49,3
2019-06-21,12.7,12.7,12.57,12.57,25
2019-06-25,12.8,12.8,12.8,12.8,18
2019-06-26,13.1,13.1,13.1,13.1,15
2019-06-27,13.09,13.09,13.09,13.09,1
2019-06-28,13.08,13.08,13.08,13.08,10
2019-07-03,13.08,13.7,13.08,13.7,55
2019-07-05,14.0,14.0,14.0,14.0,15
2019-07-10,14.4,14.4,14.4,14.4,40
2019-07-18,15.1,15.1,15.1,15.1,19
2019-07-22,15.55,15.55,15.5,15.5,17
2019-07-23,16.19,16.19,15.5,15.5,620
2019-07-24,14.73,15.5,14.73,15.5,137
2019-07-25,16.25,16.25,14.73,14.73,260
2019-08-02,14.0,14.0,14.0,14.0,10
2019-08-05,13.3,13.3,13.3,13.3,50
2019-08-06,12.64,12.64,12.64,12.64,18
2019-08-07,12.01,12.63,12.01,12.63,174
2019-08-13,12.63,12.63,12.63,12.63,20
2019-08-14,12.63,13.25,12.63,13.25,500
2019-08-19,13.0,13.0,13.0,13.0,1
2019-08-20,12.35,12.35,12.35,12.35,11
2019-08-22,12.35,12.35,12.35,12.35,1
2019-08-26,12.5,12.96,12.5,12.96,11
2019-08-27,12.32,12.32,12.32,12.32,50
2019-08-28,11.71,11.71,11.71,11.71,1
2019-08-29,11.71,11.71,11.71,11.71,10
2019-08-30,11.13,11.13,11.13,11.13,10
2019-09-03,10.6,11.67,10.58,11.35,414
2019-09-04,11.9,11.9,11.9,11.9,1
2019-09-06,11.31,12.49,11.31,11.31,662
2019-09-13,11.86,12.4,11.86,12.4,100
2019-09-16,13.02,13.02,12.5,13.02,515
2019-09-17,13.65,13.65,13.59,13.59,320
2019-09-18,14.2,14.2,14.17,14.17,30
2019-09-20,14.85,14.85,14.85,14.85,10
2019-09-23,14.85,14.85,14.85,14.85,1
2019-10-03,14.11,14.11,14.11,14.11,5
2019-10-04,13.41,13.41,13.41,13.41,65
2019-10-09,12.74,14.05,12.74,14.0,170
2019-10-10,13.3,13.3,13.3,13.3,5
2019-10-14,12.64,12.64,12.64,12.64,50
2019-10-15,13.25,13.25,13.25,13.25,39
2019-10-17,13.85,13.85,13.85,13.85,20
2019-10-18,13.16,13.85,13.16,13.85,20
2019-10-31,13.85,13.85,13.85,13.85,10
2019-11-01,13.85,13.85,13.85,13.85,4
2019-11-04,14.25,14.25,13.8,13.8,510
2019-11-05,13.79,13.79,13.37,13.37,2
2019-11-14,12.71,12.71,12.71,12.71,20
2019-11-15,12.08,12.08,12.08,12.08,100
2019-11-20,11.48,11.48,11.48,11.48,383
2019-11-21,11.48,12.0,11.48,11.9,51
2019-11-28,12.45,12.45,12.45,12.45,12
2019-11-29,13.04,13.04,13.01,13.01,13
2019-12-02,12.36,12.36,12.36,12.36,1
2019-12-05,11.75,12.95,11.75,12.49,501
2019-12-10,13.1,13.1,13.1,13.1,18
2019-12-18,12.45,12.45,12.45,12.45,100
2019-12-27,13.05,13.05,13.05,13.05,10
2019-12-31,13.1,13.1,12.4,12.4,10
2020-01-07,12.1,12.1,11.78,12.1,1827
2020-01-08,11.85,12.56,11.85,12.56,550
2020-01-20,11.94,11.94,11.94,11.94,50
2020-01-22,11.35,11.35,11.35,11.35,27
2020-01-31,11.35,11.89,11.35,11.89,6
2020-02-01,11.3,11.3,11.3,11.3,5
2020-02-07,10.74,10.74,10.74,10.74,1
2020-02-10,10.73,10.73,10.73,10.73,1
2020-02-12,10.2,10.2,10.2,10.2,201
2020-02-14,10.2,10.69,10.2,10.2,16
2020-02-17,9.69,9.69,9.69,9.69,5
2020-02-20,9.21,9.21,9.21,9.21,6
2020-02-24,9.21,9.21,9.21,9.21,5
2020-02-25,9.67,9.67,9.67,9.67,110
2020-02-26,9.26,9.26,9.19,9.26,1108
2020-02-27,8.8,9.72,8.8,9.72,301
2020-02-28,9.24,10.14,9.24,9.61,368
2020-03-02,9.13,9.13,9.13,9.13,10
2020-03-03,8.68,9.0,8.68,9.0,200
2020-03-04,8.55,8.55,8.55,8.55,1570
2020-03-05,8.13,8.13,8.13,8.13,70
2020-03-06,7.73,8.53,7.73,7.73,1300
2020-03-09,8.11,8.11,7.35,8.11,701
2020-03-11,7.71,7.71,7.71,7.71,312
2020-03-13,7.71,8.09,7.4,7.4,12
2020-03-16,7.4,7.4,7.03,7.03,1108
2020-03-18,6.98,6.98,6.98,6.98,500
2020-03-19,6.64,6.64,6.64,6.64,517
2020-03-20,6.95,6.95,6.95,6.95,1
2020-03-23,7.29,7.29,7.29,7.29,1
2020-03-24,7.65,7.65,7.65,7.65,1
2020-03-25,8.03,8.03,8.03,8.03,1
2020-03-26,8.43,8.43,8.43,8.43,1
2020-03-27,8.85,8.85,8.01,8.01,402
2020-03-30,8.41,8.41,8.41,8.41,1
2020-03-31,8.83,8.83,8.83,8.83,1
2020-04-01,9.27,9.27,9.27,9.27,1
2020-06-01,9.27,9.27,9.27,9.27,1
2020-06-02,8.81,8.81,8.81,8.81,14454
2020-06-03,8.37,8.37,8.37,8.37,4
2020-06-05,7.96,7.96,7.96,7.96,1280
2020-06-09,7.58,7.58,7.57,7.57,350
2020-06-10,7.57,7.57,7.57,7.57,5223
2020-06-11,7.2,7.59,7.2,7.2,4738
2020-06-12,7.0,7.0,7.0,7.0,20
2020-06-15,6.66,7.35,6.66,7.35,2783
2020-06-16,7.0,7.35,7.0,7.35,200
2020-06-17,7.71,7.71,7.71,7.71,8120
2020-06-18,7.35,7.35,7.35,7.35,68
2020-06-19,7.5,7.71,7.5,7.71,107
2020-06-22,8.0,8.0,8.0,8.0,150
2020-06-23,7.6,8.4,7.6,8.4,111
2020-06-24,8.4,8.82,8.4,8.82,35
2020-06-25,9.22,9.26,9.22,9.25,865
2020-06-26,9.25,9.25,9.25,9.25,100
2020-06-29,9.02,9.71,9.02,9.71,5967
2020-06-30,10.19,10.19,9.26,9.55,2909
2020-07-01,9.55,10.02,9.08,10.01,8396
2020-07-06,9.51,10.5,9.51,10.5,270
2020-07-07,9.98,11.0,9.98,10.15,161
2020-07-09,9.75,9.75,9.75,9.75,74
2020-07-10,9.27,9.27,9.27,9.27,16
2020-07-13,8.82,8.82,8.81,8.81,14189
2020-07-14,8.5,8.5,8.5,8.5,20
2020-07-15,8.5,8.5,8.1,8.1,455
2020-07-16,8.0,8.0,8.0,8.0,83
2020-07-17,8.0,8.0,7.6,7.6,105
2020-07-20,7.25,7.25,7.25,7.25,200
2020-07-21,7.25,7.61,7.25,7.61,450
2020-07-23,7.5,7.61,7.5,7.61,922
2020-07-27,7.25,7.25,7.25,7.25,100
2020-07-28,6.91,6.91,6.91,6.91,109
2020-08-03,6.91,6.92,6.91,6.92,101
2020-08-04,6.61,6.61,6.61,6.61,200
2020-08-12,6.94,6.94,6.94,6.94,10
2020-08-14,7.1,7.25,7.1,7.2,7900
2020-08-17,7.56,7.56,7.56,7.56,774
2020-08-18,7.93,7.93,7.93,7.93,1445
2020-08-19,7.8,8.32,7.8,8.32,211
2020-08-20,8.0,8.73,8.0,8.73,881
2020-08-21,9.16,9.16,8.5,8.5,1129
2020-08-24,8.62,8.62,8.62,8.62,300
2020-08-25,9.05,9.05,9.04,9.04,19
2020-08-26,8.6,9.4,8.6,9.4,60
2020-08-27,9.4,9.4,9.4,9.4,1000
2020-08-28,8.93,9.75,8.93,8.93,1711
2020-08-31,8.49,8.83,8.49,8.83,505
2020-09-02,8.39,8.39,8.39,8.39,20
2020-09-03,8.0,8.0,8.0,8.0,50
2020-09-09,8.4,8.4,8.4,8.4,10
2020-09-10,8.4,8.4,8.4,8.4,114
2020-09-11,7.98,7.98,7.98,7.98,110
2020-09-14,8.37,8.37,8.37,8.37,5
2020-09-15,8.37,8.37,8.37,8.37,100
2020-09-16,7.96,8.78,7.96,8.78,15
2020-09-17,8.5,9.21,8.5,9.21,8861
2020-09-18,8.75,8.75,8.75,8.75,20
2020-09-21,8.32,8.32,8.32,8.32,64
2020-09-22,8.32,8.32,7.91,7.91,300001
2020-09-23,7.72,7.72,7.72,7.72,100
2020-09-24,7.35,7.35,7.35,7.35,395
2020-09-28,7.35,7.7,7.0,7.7,211
2020-09-30,7.35,7.35,7.35,7.35,390
2020-10-01,7.0,7.0,7.0,7.0,103
2020-10-05,6.65,7.35,6.65,7.35,704
2020-10-06,7.0,7.71,7.0,7.71,6
2020-10-08,7.71,7.71,7.33,7.33,100
2020-10-09,7.69,7.69,7.69,7.69,1
2020-10-12,7.69,8.07,7.69,8.07,1596
2020-10-13,8.47,8.47,8.47,8.47,1
2020-10-14,8.05,8.89,8.05,8.32,192
2020-10-15,7.91,7.91,7.91,7.91,17
2020-10-16,8.3,8.3,8.3,8.3,90
2020-10-19,8.25,8.3,8.25,8.3,201
2020-10-21,8.71,8.71,8.71,8.71,1
2020-10-22,9.14,9.14,9.14,9.14,5
2020-10-23,9.59,9.59,8.69,8.69,520
2020-10-29,8.69,8.69,8.69,8.69,5
2020-11-03,8.69,9.12,8.69,9.12,250
2020-11-04,9.0,9.0,8.98,9.0,46
2020-11-05,9.0,9.0,9.0,9.0,300
2020-11-06,9.45,9.45,9.45,9.45,10
2020-11-09,8.98,9.8,8.98,9.79,77
2020-11-10,9.31,9.31,9.31,9.31,100
2020-11-11,8.85,9.31,8.85,9.31,30
2020-11-12,8.85,9.77,8.85,9.77,1533
2020-11-13,10.0,10.0,9.29,10.0,1015
2020-11-14,10.5,10.5,10.0,10.08,2300
2020-11-17,10.58,10.58,10.0,10.23,3510
2020-11-18,10.6,10.74,10.6,10.74,12816
2020-11-19,11.27,11.27,11.0,11.27,13079
2020-11-20,11.83,11.83,10.71,11.42,2382
2020-11-23,11.95,11.95,11.95,11.95,192
2020-11-26,11.36,11.36,11.36,11.36,100
2020-11-27,11.36,11.36,10.8,10.8,22760
2020-12-01,10.8,11.34,10.8,11.34,15598
2020-12-02,11.0,11.9,11.0,11.9,10926
2020-12-03,12.49,12.49,12.2,12.49,1800
2020-12-04,13.11,13.11,11.87,13.1,2628
2020-12-07,13.4,13.75,12.45,13.59,2083
2020-12-08,12.93,14.21,12.93,12.93,1765
2020-12-09,12.93,12.93,12.29,12.29,846
2020-12-10,11.68,11.68,11.68,11.68,2287
2020-12-11,11.68,12.25,11.68,12.25,1085
2020-12-14,12.8,12.8,12.4,12.8,9771
2020-12-15,13.4,13.4,12.16,13.4,873
2020-12-16,13.9,13.9,12.74,13.75,29
2020-12-17,13.75,13.75,13.07,13.07,3737
2020-12-18,12.42,12.42,12.42,12.42,100
2020-12-21,12.0,12.0,12.0,12.0,161
