Datetime,Open,High,Low,Close,Volume
2019-08-28,11.7,11.7,11.7,11.7,125
2019-10-31,12.28,12.28,12.28,12.28,5
2019-11-01,12.89,12.89,12.89,12.89,5
2019-11-05,13.53,13.53,13.53,13.53,5
2019-11-06,14.2,14.2,14.2,14.2,5
2019-11-07,14.91,14.91,14.91,14.91,5
2019-11-19,15.65,15.65,15.65,15.65,110
2020-08-05,16.43,16.43,16.43,16.43,5
2020-08-12,17.25,17.25,17.25,17.25,165
2020-09-17,18.11,18.11,18.11,18.11,2000
2021-08-18,19.01,19.01,19.01,19.01,55
2021-11-17,19.96,19.96,19.96,19.96,60
2022-02-10,6.25,6.25,6.25,6.25,75
2022-02-15,6.56,6.56,6.56,6.56,5
2022-03-02,2.1,2.1,2.1,2.1,2500
2022-03-17,2.2,2.2,2.2,2.2,25000
2022-04-05,2.31,2.31,2.31,2.31,15000
2022-07-13,2.43,2.43,2.43,2.43,10000
2023-02-24,2.1,2.1,2.1,2.1,5
2023-03-06,2.2,2.2,2.2,2.2,2500
2023-03-10,2.31,2.31,2.31,2.31,25000
2023-03-15,2.43,2.43,2.43,2.43,125000
2023-03-20,2.1,2.1,2.1,2.1,5
2023-06-09,2.2,2.2,2.2,2.2,5
2023-06-20,2.31,2.31,2.31,2.31,5
2023-06-26,2.1,2.1,2.1,2.1,500
2023-07-28,2.2,2.2,2.2,2.2,50000
2023-08-04,2.31,2.31,2.31,2.31,1000
2023-08-08,2.42,2.42,2.42,2.42,250
2023-08-10,2.54,2.54,2.54,2.54,200
2023-08-14,2.66,2.66,2.66,2.66,10000
2023-09-11,2.79,2.79,2.79,2.79,500
2023-11-30,2.92,2.92,2.92,2.92,130
2023-12-28,3.06,3.06,3.06,3.06,4000
2024-02-27,3.21,3.21,3.21,3.21,5
2024-03-02,3.37,3.37,3.37,3.37,4
2024-03-04,3.53,3.53,3.53,3.53,1
2024-03-07,3.7,3.7,3.7,3.7,500
2024-04-29,3.88,3.88,3.88,3.88,4
2024-05-08,4.07,4.07,4.07,4.07,1005
2024-05-09,4.27,4.27,4.27,4.27,3
2024-07-22,4.48,4.48,4.48,4.48,104
2024-07-23,4.7,4.7,4.7,4.7,20000
2024-07-24,4.93,4.93,4.93,4.93,1111
2024-07-25,5.17,5.17,5.17,5.17,100
2024-07-26,5.42,5.42,5.42,5.42,500
2024-07-29,5.69,5.69,5.69,5.69,1503
2024-07-31,5.97,5.97,5.97,5.97,100
2024-08-05,6.26,6.26,6.26,6.26,100
2024-08-08,6.57,6.57,6.57,6.57,500
2024-08-29,6.89,6.89,6.89,6.89,3
2024-09-03,7.23,7.23,7.23,7.23,10000
2024-09-05,7.59,7.59,7.59,7.59,1000
2024-09-09,7.96,7.96,7.96,7.96,2006
2024-10-09,8.35,8.35,8.35,8.35,8
2024-11-13,8.76,8.76,8.76,8.76,4
2024-11-25,9.19,9.19,9.19,9.19,670
2024-12-24,9.64,9.64,9.64,9.64,2300
2025-01-13,10.12,10.12,10.12,10.12,111
2025-01-23,10.62,10.62,10.62,10.62,1
2025-02-01,11.15,11.15,11.15,11.15,3
2025-02-03,11.7,11.7,11.7,11.7,2
2025-02-04,12.28,12.28,12.28,12.28,100
2025-02-05,12.89,12.89,12.89,12.89,100
2025-02-06,13.53,13.53,13.53,13.53,507
2025-02-10,14.2,14.2,14.2,14.2,1006
2025-02-11,14.91,14.91,14.91,14.91,100
2025-02-25,15.65,15.65,15.65,15.65,3
2025-02-27,16.43,16.43,16.43,16.43,1
2025-03-17,17.25,17.25,17.25,17.25,21
2025-03-18,18.11,18.11,18.11,18.11,1
2025-04-25,19.01,19.01,19.01,19.01,5000
2025-05-15,19.96,19.96,19.96,19.96,1
2025-06-09,20.95,20.95,20.95,20.95,1000
2025-06-20,21.99,21.99,21.99,21.99,2
2025-07-01,23.08,23.08,23.08,23.08,6
2025-07-04,24.23,24.23,24.23,24.23,600
2025-07-09,25.44,25.44,25.44,25.44,2
2025-07-21,26.71,26.71,26.71,26.71,1
2025-07-24,28.04,28.04,28.04,28.04,700
2025-08-04,10.5,10.5,10.5,10.5,1
2025-08-07,11.02,11.02,11.02,11.02,1
2025-08-11,11.57,11.57,11.57,11.57,2
2025-09-10,12.14,12.14,12.14,12.14,3
2025-09-18,12.74,12.74,12.74,12.74,1
2025-10-03,13.37,13.37,13.37,13.37,2
2025-11-13,14.03,14.03,14.03,14.03,1
2025-11-19,10.5,10.5,10.5,10.5,201
2025-11-25,11.02,11.02,11.02,11.02,1
2025-11-26,11.57,11.57,11.57,11.57,2
2025-12-12,12.14,12.14,12.14,12.14,200
2025-12-22,12.74,12.74,12.74,12.74,3
2025-12-29,13.37,13.37,13.37,13.37,11
2026-01-02,14.03,14.03,14.03,14.03,5
2026-01-12,14.73,14.73,14.73,14.73,2
2026-01-20,15.46,15.46,15.46,15.46,1
2026-01-21,16.23,16.23,16.23,16.23,1
2026-01-22,17.04,17.04,17.04,17.04,1
2026-01-29,17.89,17.89,17.89,17.89,250
2026-01-30,18.78,18.78,18.78,18.78,1
2026-02-04,19.71,19.71,19.71,19.71,249
2026-03-09,20.69,20.69,20.69,20.69,2
2026-03-13,21.72,21.72,21.72,21.72,4
2026-03-16,22.8,22.8,22.8,22.8,1
2026-03-30,23.94,23.94,23.94,23.94,3
2026-04-10,25.13,25.13,25.13,25.13,11000
2026-04-24,26.38,26.38,26.38,26.38,250
2026-05-04,26.38,26.38,26.38,26.38,0
2026-05-05,27.69,26.38,26.38,26.38,0
2026-05-06,26.38,26.38,26.38,26.38,0
