Datetime,Open,High,Low,Close,Volume
2019-05-29,38.7,38.7,38.5,38.55,500
2019-05-30,40.2,40.2,37.2,39.0,1155
2019-06-10,37.0,38.5,37.0,37.05,205
2019-06-11,36.0,38.9,35.2,36.8,1964
2019-06-13,36.25,37.0,36.0,36.15,4175
2019-06-14,39.0,39.5,35.1,36.0,1146
2019-06-17,36.0,36.0,36.0,36.0,200
2019-06-18,38.75,38.75,35.5,36.45,149
2019-06-19,33.75,36.75,33.6,33.7,1150
2019-06-20,33.0,33.8,32.0,33.7,1679
2019-06-24,35.45,35.45,30.7,33.3,686
2019-06-25,37.0,38.75,30.6,32.2,5334
2019-06-26,32.0,32.05,31.0,32.05,24
2019-06-27,35.0,35.0,31.05,31.55,2118
2019-06-28,30.2,31.85,30.2,30.95,459
2019-07-01,30.7,31.55,30.6,31.5,897
2019-07-02,31.2,31.45,31.0,31.45,422
2019-07-04,31.0,34.0,30.8,31.35,1305
2019-07-05,32.15,32.15,32.0,32.1,10
2019-07-08,31.3,32.15,31.3,32.15,291
2019-07-09,33.0,35.7,32.85,32.9,23
2019-07-10,31.05,31.15,31.0,31.1,204
2019-07-11,31.55,31.55,31.15,31.15,195
2019-07-12,30.6,30.6,28.15,28.4,1181
2019-07-15,28.85,28.85,27.05,27.4,2623
2019-07-16,27.75,28.5,26.25,28.25,933
2019-07-17,28.25,28.25,27.75,27.75,500
2019-07-18,28.15,28.15,28.15,28.15,10
2019-07-19,29.15,29.15,27.0,27.15,1004
2019-07-22,25.85,27.4,25.55,27.2,1623
2019-07-23,28.3,28.65,28.3,28.65,78
2019-07-24,26.35,26.6,26.3,26.3,801
2019-07-25,25.0,28.9,25.0,26.5,118
2019-07-26,27.2,27.2,27.2,27.2,21
2019-07-29,23.55,29.0,23.55,28.25,5
2019-07-30,30.45,30.45,27.0,27.25,1519
2019-07-31,27.0,27.05,27.0,27.0,784
2019-08-01,30.0,31.45,26.05,27.05,17
2019-08-05,23.7,29.0,23.7,24.5,355
2019-08-06,26.95,26.95,25.35,25.35,124
2019-08-08,25.0,27.95,25.0,25.3,710
2019-08-09,25.5,25.5,25.1,25.35,1548
2019-08-13,25.65,25.65,25.6,25.65,17
2019-08-14,25.45,27.85,25.1,27.85,3
2019-08-16,26.0,27.0,25.75,26.1,299
2019-08-19,24.35,28.85,23.9,24.2,10316
2019-08-20,23.95,24.0,23.8,23.95,279
2019-08-21,23.4,26.0,23.4,24.6,11268
2019-08-22,25.6,26.9,23.85,23.95,1102
2019-08-23,22.8,22.95,21.95,22.05,903
2019-08-26,21.55,23.3,21.5,22.7,2422
2019-08-27,21.55,22.4,21.55,22.25,1088
2019-08-28,21.4,21.4,20.3,20.3,407
2019-08-29,20.1,20.8,20.05,20.8,298
2019-08-30,20.3,20.6,20.3,20.6,515
2019-09-03,20.3,21.0,20.0,21.0,60
2019-09-04,21.5,21.5,19.75,20.55,3152
2019-09-05,20.0,21.0,20.0,20.95,285
2019-09-06,21.0,21.0,21.0,21.0,100
2019-09-11,26.0,26.45,24.95,26.45,13875
2019-09-12,26.0,27.75,26.0,27.75,7791
2019-09-13,29.0,29.1,28.25,29.0,6432
2019-09-16,28.5,28.5,27.55,27.55,800
2019-09-17,26.2,26.2,26.2,26.2,10
2019-09-18,25.5,25.5,25.5,25.5,1
2019-09-19,24.25,24.25,24.25,24.25,603
2019-09-20,23.95,25.45,23.1,25.45,176
2019-09-23,25.95,26.45,25.9,25.95,1771
2019-09-24,26.9,27.2,26.35,27.1,1077
2019-09-25,26.35,27.95,26.35,26.45,1710
2019-09-26,25.2,27.0,25.15,26.15,1125
2019-09-27,25.1,26.9,25.1,26.9,21
2019-09-30,25.6,25.6,25.6,25.6,100
2019-10-01,24.35,24.35,24.35,24.35,37
2019-10-03,25.45,25.45,25.3,25.3,60
2019-10-04,24.15,25.95,24.15,25.95,2720
2019-10-07,27.1,27.1,27.1,27.1,1981
2019-10-09,25.75,27.25,25.75,27.25,2279
2019-10-14,26.75,27.5,25.9,26.85,639
2019-10-22,25.55,25.55,25.55,25.55,10
2019-10-23,25.55,25.55,24.3,25.4,3446
2019-10-24,25.4,25.7,24.15,24.15,11
2019-10-25,24.0,25.35,24.0,25.3,51
2019-10-29,25.0,25.95,25.0,25.95,1000
2019-10-30,25.15,25.15,24.7,25.15,306
2019-10-31,25.75,25.75,25.75,25.75,20
2019-11-01,25.85,25.85,25.0,25.8,27
2019-11-04,26.95,26.95,26.95,26.95,200
2019-11-05,25.65,25.65,25.65,25.65,6
2019-11-06,26.0,26.0,24.5,25.1,330
2019-11-07,26.35,26.35,26.35,26.35,497
2019-11-08,27.5,27.65,26.0,26.05,1705
2019-11-13,28.65,28.7,28.0,28.65,1300
2019-11-14,28.35,29.0,28.35,28.35,730
2019-11-15,27.2,29.75,27.2,28.55,201
2019-11-18,27.5,27.5,27.5,27.5,5
2019-11-19,26.85,28.8,26.85,28.75,26
2019-11-20,29.3,29.3,27.35,27.65,1347
2019-11-21,28.3,28.3,28.3,28.3,10
2019-11-22,26.95,28.4,26.95,28.4,55
2019-11-25,27.0,27.0,27.0,27.0,150
2019-11-26,25.65,26.5,25.65,26.5,105
2019-11-27,25.6,26.95,25.6,25.7,3809
2019-11-28,26.4,26.4,26.4,26.4,1
2019-11-29,26.85,26.85,25.1,25.1,21
2019-12-02,24.5,25.6,24.1,25.5,715
2019-12-03,24.25,25.45,24.25,25.45,12
2019-12-04,24.2,25.9,24.2,25.9,91
2019-12-05,24.65,24.65,24.65,24.65,32
2019-12-06,24.65,25.3,23.85,25.3,551
2019-12-09,22.8,25.5,22.8,23.75,453
2019-12-10,23.0,25.45,23.0,25.45,11
2019-12-11,25.45,25.45,22.95,23.35,829
2019-12-12,23.45,25.55,23.25,25.55,1224
2019-12-13,23.85,26.85,23.85,26.65,488
2019-12-16,25.5,25.85,24.4,25.1,875
2019-12-17,24.75,26.25,24.5,25.55,23
2019-12-18,25.35,25.35,24.1,24.1,35
2019-12-19,23.65,25.5,23.2,25.3,1311
2019-12-20,24.65,25.6,24.05,25.2,461
2019-12-23,23.95,25.05,23.7,24.2,614
2019-12-24,25.5,25.6,23.3,23.4,812
2019-12-26,22.5,23.85,22.5,23.85,1055
2019-12-27,23.0,23.7,22.55,22.8,3810
2019-12-30,22.5,24.45,22.5,24.45,232
2020-01-01,22.65,22.8,22.6,22.8,300
2020-01-02,23.85,24.8,23.2,24.8,357
2020-01-03,23.05,23.95,23.05,23.95,232
2020-01-06,21.85,24.5,21.85,24.5,5200
2020-01-07,26.55,26.55,26.55,26.55,5
2020-01-08,26.55,29.15,26.55,27.95,6017
2020-01-09,27.2,27.6,26.0,26.8,1358
2020-01-10,27.6,29.3,27.6,28.8,3163
2020-01-13,28.15,28.4,28.15,28.15,500
2020-01-14,28.05,28.05,28.0,28.0,100
2020-01-15,29.55,29.65,27.8,28.85,904
2020-01-16,28.6,28.6,27.25,27.25,630
2020-01-17,26.0,27.8,26.0,27.8,704
2020-01-20,27.05,27.05,26.0,26.45,1377
2020-01-22,25.6,25.6,24.75,24.75,1000
2020-01-23,27.0,27.0,25.5,25.5,101
2020-01-24,26.05,26.05,26.05,26.05,100
2020-01-27,26.05,26.05,25.0,25.0,4415
2020-01-28,24.65,25.65,24.6,24.6,504
2020-01-29,24.2,24.2,23.65,23.8,502
2020-01-30,25.9,25.9,25.9,25.9,10
2020-02-01,23.4,24.2,23.4,24.2,75
2020-02-04,25.6,26.6,25.6,26.6,5390
2020-02-05,26.5,29.25,26.5,29.25,5887
2020-02-06,30.4,30.4,28.3,28.5,355
2020-02-07,29.45,29.75,29.45,29.75,4367
2020-02-10,30.4,31.2,29.55,31.2,2615
2020-02-11,32.1,32.75,32.1,32.75,813
2020-02-12,33.3,34.25,31.15,31.15,9003
2020-02-13,29.6,29.6,29.6,29.6,202
2020-02-14,31.05,31.05,28.6,29.95,957
2020-02-17,30.9,30.9,28.95,29.0,1501
2020-02-18,29.0,30.45,29.0,30.45,4384
2020-02-19,31.6,31.95,31.4,31.95,1187
2020-02-20,31.5,33.5,31.5,33.4,2340
2020-02-24,33.05,34.7,33.05,34.7,634
2020-02-25,35.0,35.25,33.0,34.95,5961
2020-02-26,35.0,35.75,34.2,35.0,339
2020-02-28,33.3,35.0,33.3,34.75,1600
2020-03-02,34.35,34.35,34.35,34.35,200
2020-03-04,35.95,36.05,35.95,36.05,3122
2020-03-05,36.5,36.5,35.6,35.6,1950
2020-03-06,35.0,35.0,34.0,34.0,573
2020-03-09,33.0,33.0,33.0,33.0,500
