Datetime,Open,High,Low,Close,Volume
2019-05-28,1057.0,1064.8,1002.0,1020.3,6959
2019-05-29,1000.0,1024.55,996.9,1008.35,1990
2019-05-30,999.15,1016.0,998.05,1005.35,2158
2019-06-03,1022.5,1029.0,1000.0,1012.95,962
2019-06-10,1032.6,1080.0,1011.0,1066.4,3541
2019-06-11,1066.45,1138.9,1066.45,1132.55,21658
2019-06-12,1150.0,1150.0,1097.3,1116.1,6696
2019-06-13,1109.65,1136.45,1083.0,1090.7,559448
2019-06-14,1095.0,1096.25,1077.0,1088.3,1435
2019-06-17,1080.9,1085.5,1040.05,1049.0,1230
2019-06-18,1058.9,1058.9,1022.5,1044.35,1430
2019-06-19,1062.85,1073.5,1035.75,1055.95,2155
2019-06-20,1069.65,1072.35,1052.2,1063.85,500
2019-06-21,1055.0,1076.0,1021.15,1052.85,2446
2019-06-24,1050.0,1073.55,1042.6,1068.2,539
2019-06-25,1066.0,1082.25,1059.0,1065.25,10166
2019-06-26,1063.5,1070.9,1056.0,1067.5,1297
2019-06-27,1062.95,1073.5,1052.15,1057.3,654
2019-06-28,1057.0,1062.5,1030.0,1055.5,1227
2019-07-01,1056.45,1065.0,997.0,1047.35,1194
2019-07-02,1038.55,1059.9,1036.65,1057.75,609
2019-07-03,1053.3,1057.85,1040.05,1051.35,1164
2019-07-04,1050.7,1069.6,1048.0,1063.65,356
2019-07-05,1063.0,1065.2,1036.25,1044.95,1762
2019-07-08,1042.15,1042.15,1008.65,1020.8,2674
2019-07-09,1010.0,1060.6,1005.1,1045.5,1276
2019-07-10,1033.2,1043.15,1021.5,1038.15,959
2019-07-11,1050.0,1050.0,1026.55,1031.15,1133
2019-07-12,1028.85,1043.85,1016.0,1040.45,3215
2019-07-15,1040.2,1046.3,1025.4,1042.2,1258
2019-07-16,1037.1,1088.5,1035.35,1079.5,2846
2019-07-17,1079.5,1096.75,1079.0,1091.95,3974
2019-07-18,1099.0,1101.75,1082.25,1088.9,1468
2019-07-19,1108.0,1120.0,1081.0,1100.75,6044
2019-07-22,1097.1,1130.0,1075.5,1121.2,3484
2019-07-23,1124.6,1131.0,1093.15,1101.15,802
2019-07-24,1099.7,1101.0,1075.45,1079.9,752
2019-07-25,1082.75,1119.3,1077.95,1105.65,1788
2019-07-26,1105.8,1123.0,1090.5,1120.6,695
2019-07-29,1132.9,1144.0,1111.4,1137.35,1645
2019-07-30,1121.0,1137.65,1070.6,1081.85,2629
2019-07-31,1072.6,1129.35,1072.45,1100.15,2919
2019-08-01,1091.2,1100.85,1084.0,1098.6,869
2019-08-02,1093.5,1100.0,1080.0,1098.85,27811
2019-08-05,1099.0,1099.0,1016.0,1031.3,2078
2019-08-06,1025.0,1069.0,1025.0,1062.65,960
2019-08-07,1056.8,1072.25,1037.5,1049.95,378
2019-08-08,1050.0,1139.9,1043.0,1092.8,7413
2019-08-09,1085.45,1105.55,1060.0,1093.55,3620
2019-08-13,1098.0,1098.0,1059.05,1061.15,866
2019-08-14,1070.2,1086.25,1050.0,1074.85,2588
2019-08-16,1064.3,1064.3,1050.0,1058.55,398
2019-08-19,1066.85,1078.0,1053.15,1071.75,1630
2019-08-20,1064.5,1064.5,1021.05,1028.05,2012
2019-08-21,1022.5,1039.25,1022.5,1035.0,2192
2019-08-22,1038.6,1045.0,1000.9,1014.85,1092
2019-08-23,1012.0,1017.9,999.0,1012.7,673
2019-08-26,1017.0,1020.0,1001.0,1004.45,1555
2019-08-27,1007.0,1037.7,996.55,1005.45,1435
2019-08-28,1003.3,1020.05,1002.05,1013.05,1346
2019-08-29,1013.15,1015.0,1002.0,1008.9,300
2019-08-30,1004.6,1005.75,990.85,995.35,413
2019-09-03,1000.0,1003.15,985.0,999.2,544
2019-09-04,996.4,1003.2,996.0,998.35,247
2019-09-05,1000.65,1009.15,985.5,989.5,1551
2019-09-06,991.0,1019.45,991.0,1008.75,1302
2019-09-11,1004.4,1022.8,1004.4,1013.0,3358
2019-09-12,1019.0,1029.3,989.1,991.6,1801
2019-09-13,991.6,1052.35,991.6,1041.15,685
2019-09-16,1023.75,1050.0,1013.0,1019.2,1317
2019-09-17,1019.0,1022.4,1000.0,1001.65,395
2019-09-18,1005.15,1011.85,1003.1,1005.1,593
2019-09-19,1005.7,1007.7,995.4,1002.8,798
2019-09-20,1003.0,1125.0,996.0,1098.45,6810
2019-09-23,1120.0,1180.0,1105.0,1109.55,13061
2019-09-24,1124.5,1155.7,1115.1,1140.25,4956
2019-09-25,1148.0,1159.05,1114.05,1131.3,2548
2019-09-26,1138.5,1159.9,1134.0,1152.7,1490
2019-09-27,1160.0,1164.0,1150.0,1154.55,951
2019-09-30,1150.2,1150.2,1121.0,1124.65,2816
2019-10-01,1131.2,1170.05,1118.65,1142.2,1054
2019-10-03,1132.0,1145.0,1118.15,1138.85,1002
2019-10-04,1150.0,1170.0,1122.55,1131.5,655
2019-10-07,1120.0,1130.0,1104.0,1110.6,453
2019-10-09,1110.0,1148.65,1085.8,1141.3,1245
2019-10-10,1137.85,1142.9,1109.9,1118.5,379
2019-10-11,1125.0,1127.0,1101.15,1121.5,687
2019-10-14,1125.65,1140.0,1111.0,1119.7,473
2019-10-15,1108.8,1130.05,1092.1,1114.05,1394
2019-10-16,1115.0,1118.5,1095.0,1103.45,1320
2019-10-17,1108.0,1120.05,1087.7,1107.2,2230
2019-10-18,1108.8,1128.65,1107.8,1119.9,1510
2019-10-22,1125.05,1156.4,1125.0,1140.25,919
2019-10-23,1136.3,1140.65,1126.3,1137.05,391
2019-10-24,1149.65,1150.0,1102.0,1105.35,670
2019-10-25,1099.1,1099.1,1090.55,1095.8,272
2019-10-29,1091.0,1126.25,1088.0,1108.15,414
2019-10-30,1111.4,1141.0,1111.4,1123.95,640
2019-10-31,1122.05,1130.0,1111.0,1127.4,874
2019-11-01,1120.15,1169.3,1120.15,1157.7,2131
2019-11-04,1156.15,1165.0,1140.25,1155.35,4011
2019-11-05,1147.9,1147.9,1136.0,1143.45,277
2019-11-06,1138.0,1138.0,1121.0,1128.65,764
2019-11-07,1126.7,1131.65,1095.7,1101.0,619
2019-11-08,1104.8,1110.95,1085.0,1092.35,525
2019-11-13,1090.0,1091.75,1065.9,1070.45,945
2019-11-14,1070.5,1085.0,1066.05,1068.65,14449
2019-11-15,1070.35,1070.35,1045.0,1050.5,1136
2019-11-18,1050.0,1055.25,1026.55,1030.75,1513
2019-11-19,1025.0,1046.2,1025.0,1040.5,1105
2019-11-20,1063.95,1063.95,1021.0,1025.7,2323
2019-11-21,1025.0,1030.0,1011.0,1014.75,600
2019-11-22,1005.0,1009.15,999.05,1006.65,738
2019-11-25,1000.0,1007.6,992.7,1000.25,1452
2019-11-26,1019.0,1027.15,980.05,994.1,2529
2019-11-27,998.1,1011.0,980.0,998.55,1460
2019-11-28,1009.0,1015.2,998.6,1001.35,50544
2019-11-29,999.95,1040.0,999.95,1028.95,1005
2019-12-02,1019.5,1021.0,1003.0,1005.65,894
2019-12-03,1005.0,1017.9,999.0,999.5,1104
2019-12-04,1003.95,1005.75,975.25,981.4,1466
2019-12-05,989.45,996.75,985.05,989.85,288
2019-12-06,998.1,1003.5,981.6,985.95,556
2019-12-09,984.8,993.75,978.0,981.3,393
2019-12-10,983.85,1012.0,983.85,992.95,577285
2019-12-11,989.6,1010.95,985.6,997.85,2041
2019-12-12,1004.45,1011.15,1003.05,1007.15,676
2019-12-13,1017.1,1017.1,1003.95,1010.85,319
2019-12-16,1007.55,1014.4,1005.0,1010.4,418
2019-12-17,1020.0,1037.2,1014.35,1033.45,1838
2019-12-18,1036.0,1062.0,1036.0,1056.35,1679
2019-12-19,1066.0,1066.85,1037.9,1044.3,635
2019-12-20,1050.0,1060.0,1038.45,1056.0,698
2019-12-23,1055.0,1062.3,1049.0,1053.55,1634
2019-12-24,1049.4,1060.05,1048.65,1050.95,1122
2019-12-26,1049.85,1057.5,1039.55,1054.6,900
2019-12-27,1054.25,1059.4,1040.85,1058.4,1686
2019-12-30,1059.0,1065.15,1054.0,1059.2,763
2019-12-31,1055.4,1094.0,1041.55,1085.55,1749
2020-01-01,1116.0,1119.0,1090.0,1114.4,1079
2020-01-02,1112.3,1115.0,1088.0,1098.4,986
2020-01-03,1069.0,1108.0,1069.0,1093.3,890
2020-01-06,1093.0,1096.4,1075.5,1093.0,758
2020-01-07,1094.0,1095.7,1085.1,1090.9,146
2020-01-08,1079.7,1091.45,1070.55,1081.35,655
2020-01-09,1088.2,1091.7,1065.5,1071.7,568
2020-01-10,1074.7,1092.8,1070.65,1087.45,1272
2020-01-13,1081.0,1098.25,1081.0,1088.0,804
2020-01-14,1083.0,1105.45,1083.0,1090.4,290
2020-01-15,1081.4,1091.4,1081.4,1087.75,2452
2020-01-16,1090.0,1102.3,1081.95,1085.85,663
2020-01-17,1080.0,1082.55,1066.5,1076.05,646
2020-01-20,1080.0,1093.85,1059.4,1064.1,1136
2020-01-21,1063.25,1065.0,1045.85,1053.65,3063
2020-01-22,1047.6,1072.1,1046.0,1056.75,6165
2020-01-23,1067.35,1073.3,1053.0,1070.4,175
2020-01-24,1068.0,1089.45,1067.05,1084.0,2353
2020-01-27,1083.75,1095.0,1083.05,1090.75,663
2020-01-28,1100.25,1105.0,1065.55,1067.6,3970
2020-01-29,1070.0,1074.55,1061.85,1063.75,740
2020-01-30,1062.0,1062.1,1027.1,1048.55,1501
2020-01-31,1051.45,1090.15,1044.8,1066.0,995
2020-02-01,1076.55,1082.8,1040.0,1044.8,449
2020-02-03,1031.0,1039.9,1003.9,1029.9,533
2020-02-04,1046.7,1047.6,1025.0,1031.55,370
2020-02-05,1041.0,1075.0,1036.4,1074.15,4481
2020-02-06,1061.15,1062.05,1047.95,1057.2,1052
2020-02-07,1047.95,1049.0,1025.25,1041.45,2630
2020-02-10,1044.0,1044.0,1005.6,1009.85,1425
2020-02-11,1018.0,1022.0,989.15,1014.85,1131
2020-02-12,1015.9,1026.9,1010.35,1019.9,378
2020-02-13,1006.3,1011.9,994.0,996.15,1167
2020-02-14,1001.6,1006.6,986.05,991.2,423
2020-02-17,991.2,996.0,980.6,989.45,903
2020-02-18,981.1,981.1,949.9,967.55,2294
2020-02-19,974.9,1000.65,964.05,985.55,1643
2020-02-20,985.55,1007.15,972.7,980.1,1037
2020-02-24,979.95,980.5,964.6,970.25,738
2020-02-25,970.25,975.55,956.75,959.9,510
2020-02-26,960.0,961.85,922.0,943.0,4163
2020-02-27,931.0,936.25,912.2,931.9,1172
2020-02-28,909.9,927.1,909.0,921.65,1247
2020-03-02,977.0,977.0,880.0,897.1,2244
2020-03-03,972.0,972.0,887.6,892.95,945
2020-03-04,892.4,905.05,887.3,900.4,424
2020-03-05,903.0,903.0,887.0,889.25,739
2020-03-06,880.0,880.0,859.65,871.9,2356
2020-03-09,860.0,872.2,835.0,861.9,1318
2020-03-11,861.9,861.9,826.05,852.6,720
2020-03-12,840.0,850.0,812.85,831.15,1365
2020-03-13,795.0,879.85,665.1,834.2,2071
2020-03-16,827.0,827.0,760.0,776.55,2219
2020-03-17,776.55,778.4,746.0,775.9,632
2020-03-18,746.0,750.0,714.0,738.95,2008
2020-03-19,705.95,705.95,665.05,690.75,9061
2020-03-20,690.0,765.0,656.45,718.2,949651
2020-03-23,711.0,719.0,655.0,678.75,5502
2020-03-24,644.0,717.0,644.0,685.35,6686
2020-03-25,709.8,726.75,697.55,724.2,880
2020-03-26,730.0,843.4,723.8,770.25,1705
2020-03-27,799.9,805.6,723.95,761.65,679
2020-03-30,766.6,774.1,727.0,757.05,1246
2020-03-31,743.95,770.05,729.6,739.5,1060
2020-04-01,743.35,755.0,725.5,736.4,525
2020-04-03,733.6,733.6,704.2,716.3,871
2020-04-07,717.1,739.75,717.1,727.1,1727
2020-04-08,732.1,732.15,710.0,714.05,4059
2020-04-09,726.25,727.4,708.4,712.45,1767
2020-04-13,710.0,713.75,692.4,701.75,262382
2020-04-15,690.0,718.8,690.0,703.8,1032
2020-04-16,709.45,741.5,701.6,712.5,5979
2020-04-17,727.15,727.6,698.5,701.0,1536
2020-04-20,705.0,735.7,705.0,712.05,1309
2020-04-21,705.0,705.0,685.0,700.9,1659
2020-04-22,701.1,719.55,698.0,702.1,1729
2020-04-23,702.0,718.55,702.0,704.5,1238
2020-04-24,702.0,735.3,699.1,702.8,526253
2020-04-27,708.35,711.7,700.05,704.0,778954
2020-04-28,717.6,765.0,717.6,737.4,9053
2020-04-29,744.45,752.95,729.0,734.4,1550
2020-04-30,740.0,745.1,710.25,725.5,1305
2020-05-04,707.7,722.35,700.2,704.1,2608
2020-05-05,723.95,724.45,698.0,700.7,1348
2020-05-06,708.8,717.9,702.25,714.35,1332
2020-05-07,710.1,722.0,699.25,701.25,777
2020-05-08,695.0,711.55,695.0,700.85,629
2020-05-11,705.9,707.95,699.75,701.15,1084
2020-05-12,701.7,704.45,699.35,700.4,350624
2020-05-13,710.05,715.55,702.0,703.85,672
2020-05-14,704.2,708.0,699.05,700.5,1132
2020-05-15,699.0,704.2,699.0,700.35,925
2020-05-18,702.25,707.0,695.0,700.05,1138
2020-05-19,701.15,714.0,701.15,710.55,181
2020-05-20,709.15,714.0,701.2,706.45,576
2020-05-21,708.6,714.0,705.0,706.15,543
2020-05-22,705.1,707.0,701.05,705.05,636
2020-05-26,707.4,712.9,705.6,709.5,876
2020-05-27,717.2,738.55,716.1,717.25,918
2020-05-28,731.0,734.1,718.25,721.55,373
2020-05-29,724.45,726.0,707.95,711.35,698
2020-06-01,728.8,764.05,719.15,756.35,2208
2020-06-02,771.85,786.35,724.0,755.1,3856
2020-06-03,762.45,765.6,737.35,745.1,976
2020-06-04,749.35,750.0,725.0,729.15,1324
2020-06-05,733.35,752.0,730.0,747.45,1361
2020-06-08,760.0,766.5,742.2,746.3,2480
2020-06-09,745.0,745.0,727.0,730.45,1400
2020-06-10,731.0,731.15,717.4,720.85,1563
2020-06-11,723.0,724.9,712.0,717.55,2747
2020-06-12,747.0,747.0,703.25,717.1,1383
2020-06-15,718.0,732.6,716.35,719.15,1299
2020-06-16,731.95,736.0,713.65,733.05,1659
2020-06-17,735.4,742.0,709.35,713.05,1987
2020-06-18,710.0,740.0,710.0,728.2,2159
2020-06-19,714.05,795.3,710.0,751.15,27635
2020-06-22,770.0,770.0,737.0,738.8,4988
2020-06-23,750.3,751.55,740.0,742.7,2538
2020-06-24,751.35,779.4,746.1,757.6,9278
2020-06-25,759.0,790.95,748.9,778.8,14515
2020-06-26,780.0,785.85,766.2,772.5,5674
2020-06-29,772.5,772.5,748.0,748.8,3919
2020-06-30,748.8,764.15,748.8,754.3,1289
2020-07-01,754.3,754.3,737.45,739.6,1481
2020-07-02,748.3,762.45,745.6,754.35,4894
2020-07-03,756.05,780.0,751.4,766.0,9657
2020-07-06,785.0,785.75,771.4,781.45,4098
2020-07-07,779.45,782.9,775.45,781.05,4698
2020-07-08,785.0,785.0,760.0,762.8,5959
2020-07-09,762.8,774.05,756.25,764.9,3552
2020-07-10,784.95,784.95,753.0,773.3,3516
2020-07-13,785.0,789.9,767.4,784.3,3613
2020-07-14,771.35,780.0,766.9,770.95,4455
2020-07-15,770.6,780.0,760.0,767.4,2212
2020-07-16,763.6,767.85,747.55,758.5,1189
2020-07-17,761.9,763.0,736.0,743.3,2108
2020-07-20,745.0,750.0,737.0,746.95,3030
2020-07-21,748.6,770.0,745.1,762.7,5346
2020-07-22,765.0,771.25,749.0,750.25,2243
