Datetime,Open,High,Low,Close,Volume
2019-05-28,519.0,519.0,510.3,510.95,244
2019-05-29,496.75,496.75,468.0,477.1,1635
2019-05-30,479.7,484.55,464.5,467.3,1715
2019-06-03,464.5,476.0,456.0,464.25,1399
2019-06-10,453.75,453.75,433.0,440.3,388
2019-06-11,428.05,444.8,414.0,439.35,1058
2019-06-12,437.1,441.95,436.0,438.5,95
2019-06-13,436.6,445.0,434.6,437.6,217
2019-06-14,450.0,450.0,440.2,442.75,78
2019-06-17,445.75,456.6,433.0,444.1,17687
2019-06-18,444.6,445.55,432.7,436.6,962
2019-06-19,445.0,461.0,430.9,434.15,821
2019-06-20,433.15,441.15,415.2,425.65,2274
2019-06-21,429.15,437.2,425.0,429.7,286
2019-06-24,430.0,430.95,421.85,422.8,18
2019-06-25,420.0,420.0,406.0,418.3,462
2019-06-26,415.15,415.75,410.7,414.4,93
2019-06-27,423.8,434.3,423.4,428.4,1075
2019-06-28,431.3,449.8,430.0,438.35,1162
2019-07-01,438.5,448.45,431.8,442.7,386
2019-07-02,444.25,447.6,438.35,439.9,47
2019-07-03,440.0,450.0,434.9,443.25,113
2019-07-04,448.45,448.45,437.8,441.85,27
2019-07-05,446.3,446.7,436.4,439.1,118
2019-07-08,436.0,439.9,420.0,422.65,336
2019-07-09,425.05,434.65,415.85,420.1,185
2019-07-10,420.7,426.4,417.05,424.45,85
2019-07-11,422.2,422.85,418.0,421.65,307
2019-07-12,410.0,410.0,394.6,402.25,2311
2019-07-15,413.65,418.0,402.95,413.1,837
2019-07-16,424.85,424.85,393.0,404.0,1356
2019-07-17,400.8,400.8,390.0,394.05,1230
2019-07-18,388.4,390.0,380.6,386.1,619
2019-07-19,382.6,382.6,312.85,350.05,11357
2019-07-22,344.05,354.9,330.0,343.3,534
2019-07-23,345.0,347.1,321.0,326.2,678
2019-07-24,281.0,349.9,281.0,347.25,1670
2019-07-25,342.25,342.25,320.1,322.95,309
2019-07-26,315.15,337.0,307.6,326.2,988
2019-07-29,341.25,341.25,309.5,324.55,832
2019-07-30,305.05,324.9,305.05,315.75,151
2019-07-31,310.1,329.1,310.1,320.7,1136
2019-08-01,318.45,328.9,313.3,318.65,159
2019-08-02,313.45,328.05,310.35,319.1,224
2019-08-05,315.0,317.0,304.3,305.3,334
2019-08-06,310.0,337.0,307.85,327.5,172
2019-08-07,318.45,332.5,313.0,319.35,385
2019-08-08,319.3,326.45,314.5,321.75,111
2019-08-09,327.2,337.55,326.85,333.4,146
2019-08-13,332.0,332.0,317.0,324.4,151
2019-08-14,338.4,338.4,312.3,316.8,178
2019-08-16,312.0,325.8,300.1,311.5,1359
2019-08-19,306.55,312.9,301.0,302.6,124
2019-08-20,314.95,314.95,300.0,302.1,1382
2019-08-21,304.95,319.95,294.3,301.9,2429
2019-08-22,306.0,309.45,295.05,298.2,1136
2019-08-23,288.0,307.0,286.0,305.6,1336
2019-08-26,295.95,295.95,281.65,285.45,346
2019-08-27,286.65,333.95,286.65,321.65,489
2019-08-28,328.6,345.95,313.8,327.8,409
2019-08-29,313.6,321.25,302.4,314.25,30237
2019-08-30,315.0,337.4,315.0,330.55,91
2019-09-03,323.15,332.0,312.2,318.1,166
2019-09-04,321.35,332.0,315.05,320.95,423
2019-09-05,324.4,337.4,324.4,333.1,132
2019-09-06,327.5,337.4,323.0,335.55,128
2019-09-11,359.1,377.4,353.65,375.65,801
2019-09-12,375.15,384.4,374.9,384.15,1151
2019-09-13,376.5,392.4,373.5,390.0,734
2019-09-16,392.0,395.0,379.25,386.35,829
2019-09-17,388.1,404.4,370.2,373.45,2422
2019-09-18,375.0,387.95,364.0,384.05,1008
2019-09-19,378.55,394.9,367.05,387.7,58
2019-09-20,382.15,412.4,368.95,404.6,812
2019-09-23,412.1,414.8,386.65,409.95,751
2019-09-24,408.0,418.35,401.7,410.75,127
2019-09-25,399.0,413.5,395.4,401.45,87
