Datetime,Open,High,Low,Close,Volume
2019-05-28,109.46,111.69,108.43,108.89,1372157
2019-05-29,108.67,108.67,105.69,106.2,1136419
2019-05-30,106.42,107.59,104.4,105.45,1247352
2019-06-03,102.41,105.48,101.57,105.15,1562623
2019-06-10,102.71,103.61,98.52,100.09,1539964
2019-06-11,101.14,103.52,99.88,102.8,1180007
2019-06-12,103.01,103.61,101.3,101.81,796511
2019-06-13,100.0,101.69,99.1,100.84,955719
2019-06-14,100.84,100.99,98.34,98.86,905868
2019-06-17,98.83,98.86,95.18,95.69,996593
2019-06-18,95.78,96.96,94.46,95.36,1082680
2019-06-19,96.14,98.61,91.87,93.16,1719082
2019-06-20,92.17,96.33,91.63,95.87,1359471
2019-06-21,93.31,96.84,93.1,95.78,1313159
2019-06-24,95.96,96.48,94.16,95.93,1048423
2019-06-25,95.42,96.93,94.46,96.69,1126088
2019-06-26,96.63,97.71,95.66,97.05,1060473
2019-06-27,97.59,101.14,97.05,99.91,1512713
2019-06-28,99.79,100.48,97.23,97.95,1067539
2019-07-01,98.64,102.02,98.34,101.11,1376245
2019-07-02,100.6,100.75,97.2,98.61,950852
2019-07-03,98.61,99.4,97.44,97.8,941947
2019-07-04,98.01,101.08,97.65,99.52,1482509
2019-07-05,99.91,100.54,96.14,96.48,1081086
2019-07-08,96.14,96.14,92.47,93.16,1027817
2019-07-09,92.77,94.67,91.96,93.83,1212001
2019-07-10,94.01,94.16,89.85,91.2,2137778
2019-07-11,92.38,94.97,90.6,94.52,1818655
2019-07-12,94.22,98.01,92.74,95.96,1654697
2019-07-15,96.08,97.95,95.06,96.96,1010589
2019-07-16,96.51,102.95,95.99,102.32,2071726
2019-07-17,102.41,103.86,100.18,101.11,1413456
2019-07-18,101.02,101.02,96.45,96.87,1133938
2019-07-19,97.59,97.89,92.71,93.25,1378105
2019-07-22,93.4,95.93,93.4,94.4,1221780
2019-07-23,94.61,95.78,93.25,94.1,730430
2019-07-24,94.34,94.88,90.6,91.11,995479
2019-07-25,91.39,91.9,86.6,86.96,2065053
2019-07-26,83.22,90.39,83.22,88.67,4307935
2019-07-29,89.46,89.46,82.5,82.89,2455452
2019-07-30,83.37,84.16,79.88,80.39,1969623
2019-07-31,80.99,82.11,79.82,81.69,1498182
2019-08-01,81.81,82.08,76.87,78.01,2930418
2019-08-02,77.65,80.24,76.39,78.67,2561175
2019-08-05,77.08,77.11,73.73,74.55,2667848
2019-08-06,73.7,76.2,73.4,73.83,2524258
2019-08-07,73.83,74.58,70.12,70.72,3204358
2019-08-08,70.87,75.27,70.45,74.67,2522247
2019-08-09,75.09,76.2,72.71,73.52,3331629
2019-08-13,74.7,76.11,72.89,73.49,2602763
2019-08-14,73.67,74.58,71.45,72.8,1927978
2019-08-16,72.29,73.73,70.72,73.01,2166532
2019-08-19,73.19,73.73,72.29,72.74,1765704
2019-08-20,72.26,75.18,71.75,74.58,2273178
2019-08-21,74.4,74.4,65.99,67.65,4689886
2019-08-22,67.59,68.67,63.98,64.85,2938664
2019-08-23,65.96,67.26,64.88,66.96,2780239
2019-08-26,69.67,69.67,64.4,66.57,3503995
2019-08-27,67.65,73.13,67.32,72.47,4260357
2019-08-28,72.74,74.73,69.13,70.09,4908228
2019-08-29,70.09,71.36,67.53,68.89,4019911
2019-08-30,69.28,70.54,67.5,70.33,3112120
2019-09-03,67.26,69.37,67.11,67.86,2167576
2019-09-04,67.59,68.07,63.86,65.96,4774455
2019-09-05,66.27,71.81,65.96,71.11,5909050
2019-09-06,71.45,73.61,70.27,72.95,4378366
2019-09-11,75.0,81.33,75.0,80.93,5801021
2019-09-12,81.05,81.51,76.39,77.08,3956061
2019-09-13,77.89,78.92,75.6,78.04,4657739
2019-09-16,77.23,78.52,76.33,77.44,2678417
2019-09-17,77.56,78.58,73.13,73.46,3235096
2019-09-18,74.04,75.63,72.59,73.4,3958456
2019-09-19,74.4,75.45,73.07,74.85,3022513
2019-09-20,75.3,83.01,73.92,80.36,6461166
2019-09-23,81.33,83.4,76.17,77.02,7273047
2019-09-24,77.59,79.61,77.11,78.83,3455586
2019-09-25,78.28,78.28,73.19,74.1,3338250
2019-09-26,74.67,76.63,74.04,75.0,2647017
2019-09-27,73.8,73.8,71.23,72.23,3069634
2019-09-30,72.5,72.77,70.15,70.75,2246672
2019-10-01,71.33,72.17,68.1,69.49,3384596
2019-10-03,67.47,74.4,67.47,73.77,3386018
2019-10-04,75.27,75.27,71.48,72.02,2314731
2019-10-07,72.59,72.59,69.88,70.75,2006001
2019-10-09,71.63,73.25,69.58,72.8,2691452
2019-10-10,72.29,72.29,70.03,70.42,1853365
2019-10-11,70.9,73.58,70.63,73.1,2862153
2019-10-14,73.83,78.34,73.83,76.99,3791400
2019-10-15,76.81,77.68,74.55,76.48,3220165
2019-10-16,76.81,77.26,75.0,75.78,2004725
2019-10-17,76.48,86.63,75.39,83.22,4292640
2019-10-18,84.34,85.42,81.66,82.35,4141592
2019-10-22,80.36,81.69,78.22,79.46,2916864
2019-10-23,78.4,80.63,76.72,79.91,2853041
2019-10-24,80.42,81.39,78.73,80.39,2177527
2019-10-25,80.0,80.12,75.81,76.48,2627744
2019-10-29,91.27,105.69,91.27,103.95,9419500
2019-10-30,105.06,105.72,100.36,103.52,5665026
2019-10-31,102.92,108.13,101.84,107.05,4722799
2019-11-01,105.48,107.23,103.92,105.36,2471566
2019-11-04,103.61,107.44,103.01,103.7,3159469
2019-11-05,104.19,105.84,102.38,103.61,2451232
2019-11-06,103.67,106.27,102.71,105.03,1721329
2019-11-07,105.42,105.42,101.08,103.28,2145274
2019-11-08,103.28,107.68,101.11,101.9,2074457
2019-11-13,103.31,106.02,102.05,102.77,1729899
