Datetime,Open,High,Low,Close,Volume
2021-05-28,1487.0,1518.8,1457.0,1463.6,6987
2021-05-31,1463.6,1559.0,1463.0,1539.6,15138
2021-06-01,1530.0,1559.0,1510.5,1546.3,8279
2021-06-02,1531.0,1549.0,1518.25,1528.1,6835
2021-06-03,1530.55,1543.6,1500.0,1508.7,6755
2021-06-04,1510.0,1519.8,1482.0,1502.9,6753
2021-06-07,1525.0,1527.0,1494.4,1508.7,4558
2021-06-08,1525.0,1525.0,1485.0,1492.35,9007
2021-06-09,1515.0,1565.0,1499.0,1519.3,19085
2021-06-10,1534.95,1619.0,1534.0,1583.05,17914
2021-06-11,1595.0,1615.0,1550.0,1564.4,3863
2021-06-14,1575.0,1611.0,1540.0,1603.9,13636
2021-06-15,1620.0,1715.0,1610.0,1677.95,63662
2021-06-16,1680.0,1715.0,1650.1,1685.75,14238
2021-06-17,1660.0,1690.0,1643.3,1662.2,8414
2021-06-18,1660.0,1700.0,1622.25,1650.95,6644
2021-06-21,1650.95,1665.0,1615.0,1637.0,4205
2021-06-22,1650.0,1698.0,1602.55,1614.45,4514
2021-06-23,1623.0,1660.0,1601.55,1616.2,4426
2021-06-24,1630.0,1659.0,1610.0,1643.3,3496
2021-06-25,1650.0,1669.9,1625.15,1637.2,3044
2021-06-28,1634.0,1684.8,1634.0,1640.9,2179
2021-06-29,1641.0,1668.0,1620.05,1639.05,6540
2021-06-30,1650.0,1685.0,1640.05,1671.9,3391
2021-07-01,1689.0,1700.0,1638.05,1646.25,2701
2021-07-02,1646.25,1664.0,1630.0,1633.9,5909
2021-07-05,1647.0,1685.0,1633.65,1665.8,4350
2021-07-06,1676.0,1796.0,1653.0,1768.9,24548
2021-07-07,1767.8,1777.0,1725.0,1757.1,4285
2021-07-08,1777.0,1868.95,1747.0,1783.55,11748
2021-07-09,1752.0,1818.0,1740.0,1777.8,5417
2021-07-12,1777.8,1799.9,1730.0,1747.9,3872
2021-07-13,1748.0,1830.0,1725.25,1816.25,9741
2021-07-14,1825.0,1859.8,1801.5,1826.5,5780
2021-07-15,1844.0,1899.0,1831.0,1885.9,7342
2021-07-16,1890.0,1939.0,1856.25,1902.15,8941
2021-07-19,1893.0,1930.0,1878.5,1887.45,6726
2021-07-20,1888.0,1888.85,1718.0,1841.4,8980
2021-07-22,1850.0,1900.0,1840.0,1851.6,5598
2021-07-23,1887.8,1920.0,1840.0,1882.45,6407
2021-07-26,1909.0,1930.0,1875.0,1894.2,5168
2021-07-27,1922.9,1925.0,1860.0,1877.25,5188
2021-07-28,1918.75,1918.75,1821.1,1867.6,6477
2021-07-29,1919.0,1919.0,1870.0,1888.25,2323
2021-07-30,1890.0,1899.0,1840.0,1844.3,3483
2021-08-02,1828.0,1885.0,1821.0,1874.65,3469
2021-08-03,1894.0,1894.0,1840.0,1853.05,7232
2021-08-04,1850.05,1955.0,1845.0,1930.7,23171
2021-08-05,1930.0,1950.0,1873.0,1915.3,5628
2021-08-06,1925.0,1947.0,1870.0,1883.3,6709
2021-08-09,1900.0,1970.0,1831.0,1847.95,11980
2021-08-10,1881.0,1917.95,1851.0,1874.4,15275
2021-08-11,1909.0,2025.0,1761.0,2010.15,31750
2021-08-12,2038.0,2150.0,2007.05,2097.8,29629
2021-08-13,2096.0,2184.9,2040.05,2102.7,13951
2021-08-16,2102.7,2150.0,2062.1,2145.9,6671
2021-08-17,2150.0,2150.0,2060.0,2075.7,4597
2021-08-18,2075.7,2322.4,2070.0,2243.2,24951
2021-08-20,2245.0,2273.0,2155.0,2193.6,8952
2021-08-23,2191.0,2270.0,2001.0,2077.7,15933
2021-08-24,2110.0,2183.0,2030.0,2084.7,15800
2021-08-25,2099.0,2150.0,1989.0,2006.25,27500
2021-08-26,2010.5,2090.0,1957.6,1966.05,16972
2021-08-27,1966.05,2068.0,1965.8,2052.95,5499
2021-08-30,2030.0,2099.9,2030.0,2080.65,4536
2021-08-31,2129.0,2160.0,2101.0,2137.15,6990
2021-09-01,2145.0,2164.9,2101.15,2125.25,4269
2021-09-02,2125.0,2262.0,2090.5,2222.05,11165
2021-09-03,2245.0,2279.0,2201.15,2215.6,3260
2021-09-06,2225.0,2474.0,2225.0,2377.2,15584
2021-09-07,2420.0,2428.9,2278.95,2287.65,4604
2021-09-08,2290.0,2395.0,2283.5,2324.05,8097
2021-09-09,2323.95,2323.95,2230.1,2255.7,4086
2021-09-13,2274.8,2344.15,2255.0,2316.9,5608
2021-09-14,2316.9,2385.0,2290.0,2354.25,4369
2021-09-15,2382.0,2420.0,2360.0,2403.7,6543
2021-09-16,2410.0,2599.0,2405.5,2467.85,20208
2021-09-17,2467.85,2549.0,2300.0,2338.0,8806
2021-09-20,2288.0,2338.25,2250.0,2269.9,5109
2021-09-21,2232.0,2288.0,2205.0,2250.3,6603
2021-09-22,2269.0,2349.9,2231.5,2315.7,6175
2021-09-23,2345.0,2400.0,2250.0,2259.75,5172
2021-09-24,2266.6,2289.0,2241.0,2246.85,1806
2021-09-27,2255.0,2300.0,2235.0,2267.3,3119
2021-09-28,2256.3,2290.0,2165.0,2259.2,5007
2021-09-29,2244.8,2250.0,2220.0,2227.25,2278
2021-09-30,2225.0,2300.0,2161.5,2189.4,1495
2021-10-01,2169.95,2199.0,2120.0,2142.05,4779
2021-10-04,2140.0,2250.0,2140.0,2211.1,3259
2021-10-05,2194.45,2240.0,2162.0,2179.2,3218
2021-10-06,2189.8,2200.0,2110.0,2141.5,4242
2021-10-07,2140.0,2198.0,2124.0,2172.8,2749
2021-10-08,2200.0,2260.0,2176.0,2189.05,4906
2021-10-11,2175.0,2375.0,2175.0,2302.1,7957
2021-10-12,2325.0,2385.0,2301.5,2372.8,5496
2021-10-13,2371.0,2400.0,2305.25,2319.25,6819
2021-10-14,2402.0,2449.95,2350.0,2366.0,11784
2021-10-18,2372.0,2480.0,2340.0,2357.7,8594
2021-10-19,2357.7,2390.0,2250.0,2272.8,19975
2021-10-20,2260.0,2324.9,2255.0,2279.75,4305
