Datetime,Open,High,Low,Close,Volume
2019-05-28,1.7,1.7,1.7,1.7,2500
2019-05-29,1.62,1.78,1.62,1.78,60
2019-05-30,1.71,1.86,1.7,1.86,260
2019-06-03,1.77,1.85,1.69,1.85,26920
2019-06-10,2.0,2.2,2.0,2.15,1512
2019-06-11,2.05,2.25,2.05,2.25,1465
2019-06-13,2.36,2.36,2.14,2.3,4188
2019-06-14,2.41,2.41,2.41,2.41,10
2019-06-17,2.3,2.53,2.3,2.53,110
2019-06-18,2.65,2.65,2.41,2.65,1985
2019-06-20,2.65,2.78,2.65,2.65,230
2019-06-24,2.78,2.78,2.6,2.6,16
2019-06-25,2.6,2.73,2.47,2.73,3263
2019-06-26,2.6,2.86,2.6,2.77,9729
2019-06-27,2.66,2.8,2.64,2.64,5097
2019-06-28,2.6,2.6,2.6,2.6,100
2019-07-03,2.6,2.73,2.47,2.47,214
2019-07-15,2.59,2.59,2.59,2.59,20
2019-07-16,2.65,2.65,2.62,2.62,40
2019-07-17,2.75,2.75,2.49,2.49,40
2019-07-19,2.4,2.4,2.4,2.4,2000
2019-07-23,2.28,2.28,2.28,2.28,500
2019-07-24,2.2,2.28,2.2,2.2,600200
2019-07-30,2.2,2.2,2.2,2.2,200
2019-07-31,2.13,2.13,2.13,2.13,79
2019-08-01,2.12,2.12,2.12,2.12,48
2019-08-02,2.1,2.1,2.02,2.09,2100
2019-08-06,2.0,2.19,2.0,2.19,500
2019-08-07,2.09,2.29,2.09,2.29,2355
2019-08-08,2.18,2.18,2.18,2.18,5000
2019-08-09,2.08,2.28,2.08,2.08,4700
2019-08-13,2.08,2.1,2.0,2.1,10000
2019-08-14,2.1,2.1,2.0,2.0,2190
2019-08-16,2.0,2.0,2.0,2.0,150
2019-08-19,2.0,2.05,1.9,2.03,8400
2019-08-20,2.03,2.13,1.93,2.13,3535
2019-08-21,2.04,2.19,2.03,2.15,10250
2019-08-22,2.15,2.15,2.15,2.15,12
2019-08-23,2.05,2.05,2.05,2.05,2450
2019-08-26,2.05,2.05,2.05,2.05,850
2019-08-27,2.14,2.14,2.14,2.14,30
2019-08-28,2.04,2.04,2.04,2.04,400
2019-08-29,2.14,2.14,2.14,2.14,100
2019-09-25,2.05,2.1,2.04,2.05,44000
2019-09-26,2.04,2.05,2.04,2.05,5250
2019-09-27,1.95,1.95,1.95,1.95,400
2019-10-01,1.86,2.04,1.86,2.04,1910
2019-10-03,2.04,2.05,2.0,2.03,503688
2019-10-07,2.03,2.03,2.03,2.03,1534
2019-10-09,2.13,2.13,1.93,2.04,501
2019-10-16,2.0,2.0,2.0,2.0,1
2019-10-17,1.9,2.1,1.9,1.9,5490
2019-10-18,1.99,1.99,1.99,1.99,50
2019-10-23,1.99,1.99,1.99,1.99,1320
2019-10-30,1.9,1.9,1.9,1.9,100
2019-10-31,1.9,1.95,1.89,1.91,1230
2019-11-01,1.9,2.0,1.82,1.99,28613
2019-11-04,1.9,2.08,1.9,2.08,128
2019-11-06,2.1,2.1,1.98,2.05,3700
2019-11-14,2.1,2.1,2.1,2.1,1500
2019-11-15,2.0,2.0,2.0,2.0,1
2019-11-20,2.1,2.1,2.1,2.1,50
2019-11-21,2.1,2.1,2.1,2.1,111
2019-11-29,2.1,2.1,2.1,2.1,10
2019-12-02,2.0,2.0,2.0,2.0,3500
2019-12-03,2.0,2.0,2.0,2.0,4000
2019-12-06,2.1,2.1,2.0,2.1,930
2019-12-09,2.1,2.1,2.1,2.1,2000
2019-12-16,2.0,2.0,2.0,2.0,186
2019-12-17,2.1,2.1,2.1,2.1,2
2019-12-26,2.1,2.1,2.0,2.0,501
2019-12-27,1.9,2.0,1.9,2.0,11
2019-12-31,1.9,1.9,1.9,1.9,8
2020-01-01,1.9,1.9,1.81,1.9,2891
2020-01-02,1.81,1.99,1.81,1.81,7450
2020-01-03,1.81,1.9,1.72,1.9,15030
2020-01-06,1.85,1.85,1.85,1.85,10
2020-01-08,1.76,1.94,1.76,1.88,30583
2020-01-09,1.97,1.97,1.97,1.97,100
2020-01-10,1.88,2.0,1.88,2.0,9700
2020-01-13,1.9,2.09,1.9,2.09,3650
2020-01-14,2.15,2.15,2.15,2.15,500
2020-01-16,2.1,2.1,2.1,2.1,2
2020-01-17,2.19,2.19,2.19,2.19,1000
2020-01-20,2.19,2.2,2.19,2.2,1627
2020-01-21,2.2,2.2,2.2,2.2,20
2020-01-23,2.09,2.2,2.09,2.2,1708
