Datetime,Open,High,Low,Close,Volume
2019-05-28,292.6,294.1,261.5,267.75,7587
2019-05-29,266.25,273.6,256.1,270.3,8150
2019-05-30,272.95,288.25,272.85,281.6,18670
2019-06-03,291.1,292.45,279.5,288.7,3697
2019-06-10,272.0,278.5,266.35,278.45,25861
2019-06-11,271.15,273.95,265.65,268.15,1543
2019-06-12,273.4,275.0,264.1,265.25,2278
2019-06-13,266.0,272.8,265.6,271.25,1214
2019-06-14,268.55,268.55,262.45,263.15,390
2019-06-17,263.9,263.9,256.15,257.5,986
2019-06-18,259.05,260.9,257.1,259.8,693
2019-06-19,259.3,259.95,247.95,249.1,959
2019-06-20,248.75,252.0,238.2,241.5,8750
2019-06-21,238.5,256.0,237.2,251.95,1074
2019-06-24,250.45,259.0,248.9,258.5,740
2019-06-25,262.0,262.0,251.7,258.1,1640
2019-06-26,259.7,285.75,257.8,260.55,11927
2019-06-27,265.95,272.0,264.0,268.45,1736
2019-06-28,283.0,287.6,272.0,279.8,4427
2019-07-01,294.75,294.75,276.85,280.85,3002
2019-07-02,282.0,294.95,263.05,283.85,1577
2019-07-03,290.0,291.95,283.85,285.3,4726
2019-07-04,284.65,284.65,279.5,281.2,726
2019-07-05,282.4,286.5,272.9,277.6,2467
2019-07-08,277.6,280.7,267.1,276.9,872
2019-07-09,269.0,276.0,269.0,274.95,1182
2019-07-10,276.3,279.5,275.6,278.75,658
2019-07-11,278.05,278.3,275.55,277.85,151
2019-07-12,275.7,275.7,272.0,275.0,731
2019-07-15,276.5,280.1,275.0,277.75,563
2019-07-16,277.4,287.5,277.4,283.8,541
2019-07-17,282.85,284.4,280.55,283.9,399
2019-07-18,279.6,281.75,279.6,280.0,1570
2019-07-19,279.5,283.65,279.5,282.7,753
2019-07-22,284.8,284.8,272.7,276.75,403
2019-07-23,272.15,272.7,267.0,269.25,442
2019-07-24,266.4,280.6,263.2,276.95,2395
2019-07-25,276.1,283.6,276.1,282.25,719
2019-07-26,282.5,289.9,280.0,283.5,2284
2019-07-29,283.6,283.7,276.15,280.1,1133
2019-07-30,280.0,284.9,273.35,276.85,1475
2019-07-31,276.0,276.95,267.25,268.85,932
2019-08-01,269.8,280.0,267.5,279.0,50985
2019-08-02,277.55,284.15,270.0,282.0,2697
2019-08-05,273.0,273.95,266.85,267.45,902
2019-08-06,275.7,283.7,270.75,280.6,3401
2019-08-07,297.0,306.4,278.75,299.3,3201
2019-08-08,296.0,304.8,291.8,303.35,486
2019-08-09,307.15,317.7,305.3,308.05,19176
2019-08-13,314.15,314.15,304.0,311.45,2712
2019-08-14,312.45,312.45,291.05,299.35,45896
2019-08-16,297.45,307.55,296.05,300.2,2302
2019-08-19,299.0,301.5,292.9,300.35,1344
2019-08-20,304.0,304.0,300.3,301.8,1021
2019-08-21,300.5,305.8,298.8,302.15,5439
2019-08-22,299.9,301.0,298.0,298.5,380
2019-08-23,304.45,304.45,299.8,301.65,2779
2019-08-26,303.35,303.8,302.25,302.4,193
2019-08-27,307.05,312.0,305.35,310.25,770
2019-08-28,312.3,319.0,312.3,315.5,4686
2019-08-29,314.35,320.4,302.6,304.9,1980
2019-08-30,303.0,307.9,303.0,304.8,1524
2019-09-03,305.0,305.0,295.05,297.0,1788
2019-09-04,296.2,297.0,294.0,294.25,216
2019-09-05,298.6,298.6,295.15,296.4,972
2019-09-06,298.8,298.8,289.3,296.15,2979
2019-09-11,297.45,310.0,297.45,305.05,3082
2019-09-12,309.75,312.0,296.0,301.15,147363
2019-09-13,298.0,299.65,294.0,297.6,2893
2019-09-16,298.0,306.0,295.05,300.1,2813
2019-09-17,309.5,313.95,297.0,297.45,4352
2019-09-18,299.1,299.8,291.35,293.0,1012
2019-09-19,292.0,293.7,291.0,292.0,1459
2019-09-20,285.3,301.9,277.0,299.45,5009
2019-09-23,304.5,317.0,300.35,310.9,9696
2019-09-24,315.9,318.25,308.1,311.55,1509
2019-09-25,309.55,313.05,299.8,303.85,2076
2019-09-26,319.8,319.8,299.05,303.95,3703
2019-09-27,307.85,308.55,301.15,303.65,4254
2019-09-30,300.25,311.65,299.0,309.95,2817
2019-10-01,309.85,316.3,305.0,306.6,2643
2019-10-03,300.5,317.7,300.5,311.95,2588
2019-10-04,314.45,314.45,296.0,300.85,1034
2019-10-07,314.9,314.9,297.2,301.1,2273
2019-10-09,308.45,314.9,296.95,312.45,344
2019-10-10,303.0,309.55,301.85,308.7,210
2019-10-11,312.3,313.4,307.65,309.75,1233
2019-10-14,314.6,314.6,302.1,306.55,655
2019-10-15,306.9,306.9,296.0,297.95,1208
2019-10-16,297.0,301.25,297.0,298.55,454
2019-10-17,298.1,309.9,298.1,303.15,695
2019-10-18,312.2,312.2,305.55,308.95,816
2019-10-22,307.0,321.25,303.7,309.5,10898
2019-10-23,315.2,325.0,313.3,315.65,8162
2019-10-24,323.45,324.9,313.25,321.15,5674
2019-10-25,323.5,325.8,320.0,320.55,5807
2019-10-29,339.0,339.05,330.55,336.75,4615
2019-10-30,339.75,345.35,337.1,342.7,7486
2019-10-31,330.0,330.4,318.0,319.35,2984
2019-11-01,310.05,319.8,310.0,311.4,1704
2019-11-04,310.95,310.95,302.0,304.5,1910
2019-11-05,300.4,302.85,292.4,297.05,2125
2019-11-06,294.6,298.3,288.0,297.5,2419
2019-11-07,309.95,309.95,293.3,297.35,368
2019-11-08,295.2,305.15,295.2,298.25,2370
2019-11-13,300.35,303.0,297.4,299.7,625
2019-11-14,298.75,300.55,294.95,295.95,1220
2019-11-15,294.8,297.2,293.4,294.55,653
2019-11-18,294.55,294.55,292.7,292.85,100
2019-11-19,293.25,293.25,286.2,289.85,449
2019-11-20,291.7,291.8,287.0,290.2,390
2019-11-21,295.7,297.2,292.1,294.55,1705
2019-11-22,303.0,304.1,286.1,287.55,13261
2019-11-25,287.9,290.25,285.1,289.75,557
2019-11-26,290.0,290.0,286.6,287.85,860
2019-11-27,287.9,289.05,286.15,286.85,377
2019-11-28,285.7,285.7,282.85,284.15,5737
2019-11-29,282.0,282.75,280.0,281.15,367
2019-12-02,284.25,284.25,275.05,275.15,5345
2019-12-03,276.75,282.75,266.0,268.5,6971
2019-12-04,268.5,276.75,268.5,272.15,584
2019-12-05,276.5,276.75,267.8,268.75,5444
2019-12-06,267.7,268.0,258.3,260.2,756
2019-12-09,258.75,259.4,247.0,248.5,1767
2019-12-10,248.0,251.1,240.65,249.6,2764
2019-12-11,251.05,251.05,227.5,235.5,4562
2019-12-12,237.5,240.75,236.85,238.95,504
2019-12-13,241.45,247.3,241.35,243.9,1907
2019-12-16,247.3,247.3,244.65,245.95,4846
2019-12-17,247.95,248.1,247.9,248.1,229
2019-12-18,246.0,251.6,241.6,242.7,870
2019-12-19,242.7,243.6,239.85,241.8,587
2019-12-20,240.65,250.65,240.65,248.65,2786
2019-12-23,246.85,254.55,242.75,246.15,1301
2019-12-24,244.25,244.25,238.1,239.95,2306
2019-12-26,242.2,245.45,239.65,242.0,6112
2019-12-27,242.4,242.4,240.65,241.4,236
2019-12-30,242.0,248.0,239.5,241.45,2108
2019-12-31,241.95,242.15,240.0,242.0,2325
2020-01-01,241.6,244.15,241.6,243.45,2861
2020-01-02,247.0,259.6,247.0,251.8,2984
2020-01-03,255.3,260.1,246.9,249.0,3305
2020-01-06,244.0,248.65,241.8,245.0,28091
2020-01-07,254.9,254.9,243.0,244.35,531
