Datetime,Open,High,Low,Close,Volume
2021-05-28,3.52,3.52,3.52,3.52,4632
2021-05-31,3.52,3.52,3.35,3.52,11707
2021-06-01,3.52,3.68,3.52,3.65,2892
2021-06-02,3.65,3.83,3.47,3.47,1521
2021-06-03,3.3,3.64,3.3,3.64,2520
2021-06-04,3.82,3.82,3.81,3.81,8119
2021-06-07,4.0,4.0,3.62,3.62,10898
2021-06-08,3.62,3.62,3.52,3.53,1100
2021-06-09,3.7,3.7,3.37,3.37,3891
2021-06-10,3.37,3.52,3.37,3.52,676
2021-06-11,3.35,3.69,3.35,3.69,2705
2021-06-14,3.87,3.87,3.51,3.51,3911
2021-06-15,3.68,3.68,3.34,3.39,1025
2021-06-16,3.3,3.35,3.3,3.35,199
2021-06-17,3.51,3.51,3.23,3.23,1862
2021-06-18,3.2,3.39,3.07,3.07,7195
2021-06-21,3.07,3.22,3.07,3.22,527
2021-06-22,3.38,3.38,3.06,3.06,4972
2021-06-23,2.91,2.91,2.91,2.91,2050
2021-06-24,2.91,3.05,2.91,3.05,701
2021-06-25,3.05,3.05,2.91,2.91,862
2021-06-28,2.77,3.05,2.77,3.05,602
2021-06-29,3.2,3.2,3.18,3.19,4913
2021-06-30,3.04,3.34,3.04,3.34,3074
2021-07-01,3.34,3.34,3.34,3.34,230
2021-07-02,3.5,3.5,3.18,3.18,17412
2021-07-05,3.18,3.18,3.03,3.18,73
2021-07-06,3.14,3.14,3.05,3.05,730
2021-07-07,3.0,3.0,2.9,2.95,3752
2021-07-08,3.09,3.09,2.95,2.95,1569
2021-07-09,2.95,2.95,2.9,2.9,609
2021-07-12,2.9,3.04,2.76,3.03,2261
2021-07-13,3.03,3.18,2.88,2.92,5508
2021-07-14,3.06,3.06,2.78,2.82,532
2021-07-15,2.83,2.96,2.83,2.96,1799
2021-07-16,2.96,3.1,2.96,3.05,3218
2021-07-19,3.05,3.2,2.94,2.99,13896
2021-07-20,2.99,3.13,2.99,3.13,2060
2021-07-22,3.27,3.28,3.0,3.25,12164
2021-07-23,3.28,3.41,3.11,3.11,2031
2021-07-26,3.11,3.25,2.96,3.13,534
2021-07-27,3.28,3.28,2.98,3.15,13627
2021-07-28,3.15,3.3,3.03,3.29,7824
2021-07-29,3.45,3.45,3.13,3.43,5208
2021-07-30,3.43,3.57,3.26,3.31,5725
2021-08-02,3.47,3.47,3.15,3.44,282
2021-08-03,3.61,3.61,3.27,3.27,13860
2021-08-04,3.43,3.43,3.12,3.13,4284
2021-08-05,3.28,3.28,2.99,3.28,1281
2021-08-06,3.55,3.55,3.01,3.42,19909
2021-08-09,3.1,3.73,3.08,3.28,4227
2021-08-10,3.5,3.6,2.96,3.58,14281
2021-08-11,3.6,3.9,3.27,3.29,4513
2021-08-12,3.03,3.6,3.03,3.24,3448
2021-08-13,3.03,3.56,3.03,3.28,7451
2021-08-16,3.28,3.28,3.0,3.28,1007
2021-08-17,3.02,3.28,3.02,3.08,2275
2021-08-18,3.2,3.38,3.2,3.25,6940
2021-08-20,2.94,3.44,2.94,3.07,2208
2021-08-23,3.07,3.37,2.86,3.26,1717
2021-08-24,3.26,3.58,2.96,3.58,427
2021-08-25,3.75,3.75,3.23,3.23,1273
2021-08-26,3.25,3.54,3.05,3.17,8052
2021-08-27,2.91,3.46,2.91,3.22,11190
2021-08-30,3.54,3.54,3.02,3.06,5403
2021-08-31,3.35,3.36,3.06,3.14,3853
2021-09-01,3.2,3.45,2.91,3.43,15517
2021-09-02,3.5,3.5,3.1,3.35,2682
2021-09-03,3.4,3.68,3.1,3.44,3523
2021-09-06,3.4,3.6,3.16,3.24,7847
2021-09-07,3.56,3.56,2.98,3.23,4226
2021-09-08,3.2,3.45,2.94,2.98,24425
2021-09-09,3.0,3.27,3.0,3.27,24628
2021-09-13,3.42,3.59,3.29,3.57,13734
2021-09-14,3.65,3.79,3.31,3.39,15116
2021-09-15,3.55,3.55,3.22,3.27,1888
2021-09-16,3.25,3.55,3.17,3.32,14058
2021-09-17,3.18,3.63,3.18,3.39,2169
2021-09-20,3.7,3.7,3.11,3.49,4552
2021-09-21,3.31,3.83,3.31,3.6,28619
2021-09-22,3.6,3.96,3.5,3.96,14971
2021-09-23,4.35,4.35,4.1,4.35,26002
2021-09-24,4.56,4.56,4.35,4.55,33804
2021-09-27,4.75,4.77,4.75,4.77,22630
2021-09-28,5.0,5.0,5.0,5.0,13065
2021-09-29,5.25,5.25,5.25,5.25,2840
2021-09-30,5.51,5.51,5.51,5.51,7556
2021-10-01,5.78,5.78,5.78,5.78,3480
2021-10-04,6.06,6.06,6.06,6.06,8851
2021-10-05,6.36,6.36,6.18,6.36,29225
2021-10-06,6.67,6.67,6.67,6.67,31084
2021-10-07,7.0,7.0,6.8,7.0,30685
2021-10-08,7.35,7.35,6.65,6.65,13375
2021-10-18,6.32,6.32,6.32,6.32,108
2021-10-25,6.01,6.01,6.01,6.01,250
2021-11-01,5.71,5.71,5.71,5.71,34
2021-11-08,5.43,5.43,5.43,5.43,200
2021-11-09,5.16,5.16,5.16,5.16,300
2021-11-10,4.91,4.91,4.91,4.91,400
2021-11-11,4.67,4.67,4.67,4.67,420
2021-11-12,4.44,4.44,4.44,4.44,1800
2021-11-15,4.22,4.22,4.22,4.22,10466
2021-11-16,4.01,4.01,4.01,4.01,600
2021-11-17,3.81,3.81,3.81,3.81,800
2021-11-18,3.62,3.62,3.62,3.62,900
2021-11-22,3.44,3.44,3.44,3.44,450
2021-11-23,3.27,3.27,3.27,3.27,1461
2021-11-24,3.3,3.43,3.12,3.12,2520
2021-11-25,3.12,3.25,3.12,3.25,1404
2021-11-29,3.25,3.25,3.25,3.25,25
2021-11-30,3.09,3.1,3.09,3.09,1301
2021-12-01,2.95,2.95,2.94,2.94,2849
2021-12-02,2.8,2.8,2.8,2.8,1700
2021-12-03,2.94,2.94,2.66,2.66,5800
2021-12-06,2.53,2.79,2.53,2.79,4677
2021-12-07,2.92,2.92,2.66,2.66,5329
2021-12-08,2.55,2.55,2.55,2.55,5
2021-12-09,2.67,2.67,2.67,2.67,94
2021-12-10,2.67,2.8,2.67,2.8,2725
2021-12-13,2.94,2.94,2.94,2.94,3001
2021-12-14,3.08,3.08,3.08,3.08,1010
2021-12-15,3.23,3.23,3.23,3.23,1360
2021-12-16,3.39,3.39,3.39,3.39,3095
2021-12-17,3.55,3.55,3.55,3.55,400
2021-12-20,3.72,3.72,3.72,3.72,4195
2021-12-21,3.9,3.9,3.9,3.9,1185
2021-12-22,4.09,4.09,4.09,4.09,2333
2021-12-23,4.05,4.29,4.05,4.29,1633
2021-12-24,4.5,4.5,4.5,4.5,1679
2021-12-27,4.72,4.72,4.72,4.72,2929
2021-12-28,4.95,4.95,4.95,4.95,6000
2021-12-29,5.19,5.19,5.19,5.19,1200
2021-12-30,5.44,5.44,5.44,5.44,13360
2021-12-31,5.71,5.71,5.71,5.71,2029
2022-01-03,5.99,5.99,5.99,5.99,15334
2022-01-04,6.28,6.28,5.7,5.7,18558
2022-01-05,5.42,5.98,5.42,5.98,21798
2022-01-06,5.97,5.97,5.79,5.79,4272
2022-01-07,5.51,6.07,5.51,6.05,5660
2022-01-10,5.95,6.35,5.75,6.35,20999
2022-01-11,6.55,6.66,6.55,6.66,15996
2022-01-12,6.99,6.99,6.66,6.99,39834
2022-01-13,7.33,7.33,6.68,6.72,30723
2022-01-14,6.72,7.05,6.39,7.02,27727
2022-01-17,7.1,7.1,6.67,6.93,3239
2022-01-18,6.8,7.27,6.63,6.9,7179
2022-01-19,6.6,6.8,6.56,6.8,972
2022-01-20,6.7,6.8,6.46,6.46,250
2022-01-21,6.14,6.14,6.14,6.14,220
2022-01-24,5.84,6.14,5.84,6.14,7
2022-01-25,5.84,5.84,5.84,5.84,200
2022-01-27,5.55,5.55,5.55,5.55,1100
2022-01-28,5.32,5.32,5.3,5.3,1060
2022-01-31,5.04,5.04,5.04,5.04,120
2022-02-01,4.79,4.8,4.79,4.79,306
2022-02-02,4.79,4.99,4.56,4.99,811
2022-02-03,4.99,4.99,4.99,4.99,510
2022-02-04,4.99,4.99,4.8,4.8,21
2022-02-09,4.8,4.8,4.56,4.56,145
2022-02-10,4.5,4.78,4.34,4.34,4236
2022-02-11,4.34,4.55,4.13,4.55,2151
2022-02-14,4.55,4.77,4.33,4.34,16841
2022-02-15,4.35,4.55,4.13,4.16,14267
2022-02-16,4.15,4.36,3.96,4.01,10482
2022-02-17,3.82,4.21,3.82,4.21,127
2022-02-18,4.42,4.42,4.21,4.22,654
2022-02-21,4.22,4.22,4.01,4.2,1777
2022-02-22,4.28,4.41,3.99,4.22,4804
2022-02-23,4.22,4.42,4.01,4.28,2903
2022-02-24,4.08,4.49,4.08,4.41,3087
2022-02-25,4.5,4.63,4.19,4.2,4887
2022-02-28,4.2,4.21,4.2,4.21,784
2022-03-02,4.0,4.3,4.0,4.22,504
2022-03-03,4.22,4.43,4.01,4.25,584
2022-03-04,4.35,4.46,4.32,4.33,2652
2022-03-07,4.45,4.54,4.3,4.45,2821
2022-03-08,4.23,4.67,4.23,4.26,1742
2022-03-09,4.26,4.47,4.05,4.25,20305
2022-03-10,4.35,4.35,4.2,4.31,10089
2022-03-11,4.45,4.45,4.15,4.31,10605
2022-03-14,4.51,4.51,4.26,4.31,2207
2022-03-15,4.5,4.52,4.11,4.5,1688
2022-03-16,4.71,4.72,4.71,4.72,15297
2022-03-17,4.94,4.95,4.94,4.95,727
2022-03-21,5.19,5.19,5.19,5.19,1756
2022-03-22,5.44,5.44,5.19,5.43,9329
2022-03-23,5.69,5.7,5.2,5.65,18655
2022-03-24,5.8,5.89,5.37,5.37,6376
2022-03-25,5.37,5.58,5.11,5.13,4529
2022-03-28,5.25,5.25,4.88,4.88,3966
2022-03-29,4.88,4.88,4.64,4.65,1501
2022-03-30,4.65,4.88,4.43,4.48,17741
2022-03-31,4.65,4.7,4.26,4.51,9465
2022-04-01,4.51,4.73,4.34,4.73,2068
2022-04-04,4.73,4.96,4.7,4.96,6938
2022-04-05,5.1,5.19,4.81,5.12,4418
2022-04-06,5.16,5.37,5.0,5.21,16485
2022-04-07,5.47,5.47,5.1,5.47,9879
2022-04-08,5.74,5.74,5.47,5.7,8448
2022-04-11,5.73,5.98,5.73,5.97,12978
2022-04-12,6.26,6.26,5.95,6.11,5423
