Datetime,Open,High,Low,Close,Volume
2021-05-28,13.34,13.35,12.09,13.01,33962
2021-05-31,13.29,13.29,12.36,12.36,2168
2021-06-01,12.8,12.8,11.76,12.75,2344
2021-06-02,13.3,13.3,12.15,12.15,1873
2021-06-03,12.7,12.7,11.55,12.55,14754
2021-06-04,12.01,13.08,12.0,12.46,1607
2021-06-07,12.85,12.85,11.31,12.32,14772
2021-06-08,11.82,12.85,11.82,12.5,2386
2021-06-09,12.5,12.5,11.89,12.01,263
2021-06-10,12.02,13.21,12.0,13.0,130538
2021-06-11,13.1,14.0,12.06,13.05,49419
2021-06-14,12.99,14.19,12.0,12.65,5441
2021-06-15,13.47,13.47,12.5,12.98,13217
2021-06-16,13.32,13.89,12.28,12.83,2112
2021-06-17,13.5,13.5,12.2,13.26,2516
2021-06-18,12.31,13.18,12.23,12.96,2967
2021-06-21,12.96,12.96,11.67,11.86,38091
2021-06-22,11.9,13.04,10.68,12.38,97943
2021-06-23,13.5,13.5,11.15,11.15,63566
2021-06-24,11.37,11.37,10.08,10.18,37101
2021-06-25,10.43,10.58,10.1,10.53,11635
2021-06-28,10.99,10.99,10.01,10.01,63185
2021-06-29,10.01,10.46,9.8,10.25,9529
2021-06-30,10.75,10.75,10.05,10.18,2656
2021-07-01,10.45,10.45,9.71,10.06,8278
2021-07-02,10.38,10.38,9.6,10.02,4039
2021-07-05,9.62,10.28,9.62,10.03,30012
2021-07-06,10.43,10.43,9.75,10.23,16166
2021-07-07,10.25,10.25,9.72,10.2,33433
2021-07-08,10.23,10.3,9.75,10.2,25385
2021-07-09,9.8,10.3,9.69,10.07,6841
2021-07-12,10.5,10.5,9.71,10.2,22601
2021-07-13,10.3,10.3,10.2,10.3,660
2021-07-14,10.29,10.3,9.79,10.21,29973
2021-07-15,9.81,10.3,9.7,9.85,16248
2021-07-16,9.51,10.34,9.51,10.34,55262
2021-07-19,10.1,10.64,10.0,10.35,31548
2021-07-20,10.59,10.59,10.05,10.47,538
2021-07-22,10.46,10.46,10.0,10.28,329
2021-07-23,10.3,10.3,9.77,10.2,30100
2021-07-26,10.5,10.71,9.69,10.42,46458
2021-07-27,10.18,10.9,10.01,10.66,23753
2021-07-28,10.89,10.99,10.13,10.16,11077
2021-07-29,10.48,10.48,10.0,10.43,33202
2021-07-30,10.69,10.69,10.43,10.59,1422
2021-08-02,10.99,10.99,10.07,10.27,13649
2021-08-03,9.9,10.75,9.9,10.21,15151
2021-08-04,10.6,10.6,10.47,10.48,11000
2021-08-05,10.05,10.85,10.0,10.53,3907
2021-08-06,10.1,10.99,10.1,10.4,10022
2021-08-09,10.99,10.99,9.73,10.49,4972
2021-08-10,10.5,10.5,9.8,9.83,1212
2021-08-11,10.0,10.49,9.26,9.44,3856
2021-08-12,9.98,10.29,9.5,10.24,4174
2021-08-13,10.24,10.24,9.62,10.23,5459
2021-08-16,10.78,10.78,9.5,10.37,56581
2021-08-17,10.38,10.66,9.6,10.43,6343
2021-08-18,10.0,10.39,9.39,9.39,5830
2021-08-20,9.86,10.29,8.46,10.16,9380
2021-08-23,10.16,10.16,9.2,10.16,8310
2021-08-24,10.04,10.04,9.15,9.97,10869
2021-08-25,9.8,9.95,9.13,9.85,7553
2021-08-26,9.85,9.85,9.06,9.76,7852
2021-08-27,10.0,10.0,9.2,9.96,5945
2021-08-30,10.2,10.2,9.11,9.83,4627
2021-08-31,10.2,10.2,9.21,9.54,9130
2021-09-01,9.32,9.89,9.32,9.79,7183
2021-09-02,10.3,10.3,9.02,10.17,10230
2021-09-03,9.51,10.5,9.51,10.44,4848
2021-09-06,10.65,11.0,9.81,10.53,7562
2021-09-07,10.8,10.8,10.01,10.68,7220
2021-09-08,10.5,10.7,10.12,10.69,9684
2021-09-09,10.01,10.5,9.71,9.99,12505
2021-09-13,10.5,10.5,9.31,9.9,12887
2021-09-14,9.7,10.18,9.7,9.92,7165
2021-09-15,10.09,10.09,9.52,9.94,2170
2021-09-16,10.15,10.3,8.95,9.07,81413
2021-09-17,9.79,9.79,9.0,9.24,15926
2021-09-20,9.45,9.77,8.6,9.09,11510
2021-09-21,9.09,9.5,8.61,8.89,12264
2021-09-22,9.34,9.34,8.3,8.36,27483
2021-09-23,8.98,8.98,8.36,8.49,8351
