Datetime,Open,High,Low,Close,Volume
2025-10-08,57.0,59.85,57.0,58.63,1962000
2025-10-09,57.0,58.5,55.7,55.74,422000
2025-10-10,57.99,57.99,53.05,56.0,92000
2025-10-13,56.5,56.5,53.2,53.63,158000
2025-10-14,53.63,56.31,53.6,55.4,122000
2025-10-15,52.63,57.7,52.63,56.99,28000
2025-10-16,56.9,56.9,54.3,54.43,14000
2025-10-17,56.9,56.95,55.0,55.0,16000
2025-10-20,57.75,57.75,55.0,55.5,12000
2025-10-21,57.0,57.0,56.9,57.0,8000
2025-10-23,54.8,56.95,54.7,55.35,22000
2025-10-24,57.49,57.5,56.0,56.29,20000
2025-10-27,57.42,57.42,54.6,56.9,20000
2025-10-28,56.89,62.85,56.89,59.64,102000
2025-10-29,62.0,62.0,57.0,60.78,492000
2025-10-30,62.4,62.5,60.0,60.71,232000
2025-10-31,60.25,62.9,60.0,61.2,152000
2025-11-03,61.2,62.0,60.1,60.67,76000
2025-11-04,60.67,61.49,60.0,61.49,44000
2025-11-06,59.1,60.49,56.51,60.49,316000
2025-11-07,58.5,60.99,57.26,58.13,140000
2025-11-10,59.99,59.99,57.0,57.3,16000
2025-11-11,60.4,60.4,58.5,58.5,12000
2025-11-12,58.0,58.5,58.0,58.0,6000
2025-11-13,57.75,60.0,57.75,59.3,10000
2025-11-14,60.5,60.5,58.0,58.05,104000
2025-11-17,58.5,59.0,57.6,58.38,22000
2025-11-18,60.0,61.0,59.5,60.06,404000
2025-11-19,60.0,61.0,58.05,58.87,52000
2025-11-20,62.26,64.99,59.75,62.69,494000
2025-11-21,61.33,67.99,61.33,65.0,214000
2025-11-24,64.0,64.0,62.01,63.0,12000
2025-11-25,63.0,63.0,63.0,63.0,2000
2025-11-26,63.1,63.1,61.01,61.27,10000
2025-11-27,61.0,61.0,60.55,60.55,8000
2025-11-28,60.43,62.0,60.43,62.0,4000
2025-12-01,62.2,62.2,60.0,60.0,32000
2025-12-02,60.0,60.0,57.7,57.9,44000
2025-12-03,57.2,58.8,56.1,58.8,32000
2025-12-04,58.8,58.8,58.8,58.8,2000
2025-12-05,58.0,58.0,58.0,58.0,2000
2025-12-08,56.15,57.1,56.15,57.1,20000
2025-12-09,58.0,59.9,58.0,59.9,4000
2025-12-10,59.0,59.0,59.0,59.0,2000
2025-12-11,59.1,59.6,59.0,59.6,6000
2025-12-12,58.0,58.0,58.0,58.0,2000
2025-12-16,58.0,59.6,56.0,57.0,30000
2025-12-17,57.0,57.0,57.0,57.0,4000
2025-12-18,55.51,60.49,55.51,60.49,4000
2025-12-19,59.99,59.99,58.0,58.0,54000
2025-12-22,59.85,59.85,58.49,58.5,100000
2025-12-23,58.25,58.25,58.25,58.25,2000
2025-12-26,56.25,56.5,56.0,56.14,14000
2025-12-29,58.0,58.0,54.15,54.5,50000
2025-12-30,56.1,56.1,56.0,56.0,4000
2026-01-01,56.0,56.0,55.25,55.25,4000
2026-01-05,55.25,56.1,54.0,54.0,30000
2026-01-06,55.0,55.0,55.0,55.0,2000
2026-01-07,54.5,55.0,54.5,55.0,10000
2026-01-08,54.05,54.05,54.05,54.05,4000
2026-01-09,54.05,56.81,53.6,53.6,10000
2026-01-12,58.45,58.45,58.45,58.45,4000
2026-01-14,54.55,54.55,54.25,54.25,6000
2026-01-16,54.5,54.5,54.5,54.5,2000
2026-01-19,53.0,54.0,52.4,53.47,8000
2026-01-21,52.4,55.81,51.15,51.8,22000
2026-01-22,51.6,54.81,51.6,52.52,6000
2026-01-30,50.55,55.01,50.52,51.01,12000
2026-02-03,50.01,51.0,50.0,50.01,30000
2026-02-04,50.0,52.0,50.0,52.0,4000
2026-02-06,52.0,52.0,52.0,52.0,2000
2026-02-09,51.0,51.0,50.0,50.0,12000
2026-02-10,49.01,49.01,48.2,48.59,8000
2026-02-11,50.99,50.99,50.99,50.99,2000
2026-02-20,51.0,51.0,51.0,51.0,4000
2026-02-23,48.01,48.01,46.15,46.2,14000
2026-02-24,46.2,52.95,46.2,50.0,56000
2026-03-04,50.0,54.9,46.55,54.45,14000
2026-03-05,48.3,48.3,48.2,48.2,8000
2026-03-06,46.8,46.8,46.8,46.8,2000
2026-03-16,43.02,43.5,42.25,43.03,48000
2026-03-17,43.03,43.03,43.03,43.03,40000
2026-03-18,43.18,45.62,43.18,45.6,62000
2026-03-19,45.6,45.6,41.0,41.0,28000
2026-03-20,45.0,45.0,39.1,40.0,84000
2026-03-23,40.99,41.98,38.0,39.53,224000
2026-03-24,40.0,41.0,36.5,40.26,298000
2026-03-25,39.1,40.11,37.9,38.22,220000
2026-03-27,40.99,40.99,36.9,38.5,110000
2026-03-30,35.06,37.7,30.8,33.75,154000
2026-04-01,37.99,38.0,37.99,38.0,6000
2026-04-06,40.0,40.0,40.0,40.0,14000
2026-04-07,45.0,47.58,45.0,47.39,22000
2026-04-08,48.0,48.0,48.0,48.0,44000
2026-04-09,52.99,54.99,48.75,51.5,32000
2026-04-10,46.0,48.0,46.0,48.0,6000
2026-04-13,51.0,52.69,50.75,51.85,24000
2026-04-15,47.25,50.0,47.25,50.0,6000
2026-04-16,48.0,50.0,48.0,50.0,18000
2026-04-17,51.0,58.0,51.0,54.0,162000
2026-04-22,54.0,54.0,53.75,54.0,76000
2026-04-23,55.0,56.0,53.0,55.15,58000
2026-04-27,54.55,55.0,54.55,55.0,4000
2026-05-04,53.95,53.95,53.95,53.95,2000
2026-05-05,51.0,51.0,51.0,51.0,2000
2026-05-06,52.0,52.0,52.0,52.0,2000
2026-05-07,52.0,52.0,52.0,52.0,0
