Datetime,Open,High,Low,Close,Volume
2019-05-28,520.0,529.7,518.8,522.65,14177
2019-05-29,530.0,549.7,522.0,524.35,85326
2019-05-30,532.65,532.65,517.0,521.05,2092
2019-06-03,515.0,518.65,506.1,507.9,1202
2019-06-10,463.55,475.0,463.45,471.95,3484
2019-06-11,473.85,484.75,473.0,478.45,7942
2019-06-12,484.0,493.0,479.7,482.35,4712
2019-06-13,480.25,489.0,476.5,481.35,3610
2019-06-14,475.1,479.7,472.0,474.15,471
2019-06-17,473.1,475.8,464.0,468.9,4177
2019-06-18,469.95,469.95,461.0,464.8,1330
2019-06-19,468.05,468.2,442.05,447.85,3374
2019-06-20,440.1,457.35,427.65,450.4,5099
2019-06-21,450.05,464.2,447.55,456.05,4947
2019-06-24,459.0,473.7,452.75,458.55,4691
2019-06-25,458.0,463.4,452.7,458.65,5529
2019-06-26,460.0,480.0,457.0,474.1,5660
2019-06-27,475.05,478.2,470.0,471.6,1724
2019-06-28,473.55,484.15,471.15,474.8,4154
2019-07-01,473.0,474.55,470.0,470.95,1465
2019-07-02,470.45,482.0,468.8,474.55,5972
2019-07-03,472.0,480.0,470.05,478.15,844
2019-07-04,480.0,488.7,478.0,479.05,1633
2019-07-05,481.75,482.0,468.75,470.1,4115
2019-07-08,470.0,472.3,453.5,461.8,3742
2019-07-09,464.1,467.0,461.35,465.2,1139
2019-07-10,466.5,467.0,458.0,460.0,755
2019-07-11,460.0,461.45,451.8,454.3,1714
2019-07-12,454.0,456.45,442.3,451.05,1679
2019-07-15,461.0,461.0,445.85,446.25,1828
2019-07-16,444.6,453.2,444.6,445.9,1505
2019-07-17,444.85,447.85,440.4,445.1,606
2019-07-18,444.0,445.8,436.6,441.3,980
2019-07-19,441.9,442.9,428.0,440.3,2836
2019-07-22,430.0,435.0,426.0,430.8,1030
2019-07-23,431.0,447.75,427.8,430.6,1088
2019-07-24,431.2,442.0,431.05,434.6,324
2019-07-25,436.05,438.6,430.0,432.5,785
2019-07-26,430.15,438.45,429.0,435.4,1073
2019-07-29,432.25,438.7,427.35,428.25,608
2019-07-30,429.3,435.0,401.9,420.1,1316
2019-07-31,421.9,423.5,415.6,421.75,1815
2019-08-01,411.15,424.0,411.0,419.85,1351
2019-08-02,418.0,423.7,417.05,421.75,545
2019-08-05,411.15,421.25,407.65,420.55,944
2019-08-06,420.5,430.0,419.4,423.75,643
2019-08-07,424.05,433.9,424.05,429.85,298
2019-08-08,423.55,436.0,423.5,433.25,642
2019-08-09,430.0,447.55,426.35,443.35,661
2019-08-13,444.0,445.1,431.0,432.6,387
2019-08-14,431.65,432.65,430.0,430.7,113
2019-08-16,437.1,450.0,431.0,431.1,264
2019-08-19,432.65,445.0,431.75,439.2,595
2019-08-20,433.7,435.0,425.0,426.3,457
2019-08-21,419.1,424.15,407.65,409.25,1484
2019-08-22,405.65,405.65,380.05,392.9,816
2019-08-23,392.9,398.0,387.2,393.65,425
2019-08-26,412.3,416.5,395.0,413.15,395
2019-08-27,413.5,442.65,413.5,434.7,4922
2019-08-28,434.7,465.8,433.0,438.55,2248
