Datetime,Open,High,Low,Close,Volume
2019-05-28,62.74,64.51,62.33,63.57,846118
2019-05-29,63.52,63.52,61.6,62.33,567754
2019-05-30,62.33,62.39,61.2,61.64,451088
2019-06-03,60.39,61.84,59.92,61.64,442630
2019-06-10,63.16,63.25,61.58,62.2,318993
2019-06-11,62.56,63.85,62.27,63.63,464625
2019-06-12,63.57,65.13,63.27,63.95,487537
2019-06-13,63.91,64.15,62.18,63.29,297222
2019-06-14,63.29,64.4,63.1,63.76,286036
2019-06-17,63.55,63.55,61.41,61.64,293318
2019-06-18,61.65,63.59,61.65,63.16,434402
2019-06-19,63.91,64.94,62.52,63.27,751680
2019-06-20,62.67,64.81,62.61,64.64,495633
2019-06-21,64.85,65.3,64.25,64.79,420380
2019-06-24,65.02,65.21,62.82,63.35,427898
2019-06-25,63.53,64.42,62.69,64.04,396641
2019-06-26,63.95,67.39,63.48,66.86,629173
2019-06-27,67.12,67.65,66.28,66.5,843537
2019-06-28,67.26,67.26,64.85,65.53,360800
2019-07-01,66.88,66.88,64.92,65.41,301596
2019-07-02,65.79,66.09,64.4,65.7,222328
2019-07-03,65.41,65.64,63.93,64.91,406737
2019-07-04,65.39,65.45,63.98,64.32,244175
2019-07-05,64.66,64.66,61.33,61.48,564458
2019-07-08,61.69,62.11,60.53,60.88,428336
2019-07-09,60.88,61.5,60.15,60.73,338432
2019-07-10,60.17,60.94,59.0,60.15,483279
2019-07-11,61.09,62.07,60.47,61.54,569180
2019-07-12,61.97,63.42,61.05,63.05,663365
2019-07-15,63.05,63.05,61.22,62.67,389978
2019-07-16,62.67,63.98,62.41,62.73,445047
2019-07-17,63.42,63.57,62.73,63.4,299474
2019-07-18,62.78,62.99,60.96,61.32,343050
2019-07-19,61.58,62.29,60.39,60.55,443917
2019-07-22,60.55,63.4,60.55,62.88,729201
2019-07-23,62.86,63.33,61.99,63.18,509336
2019-07-24,63.18,63.35,60.49,62.05,513023
2019-07-25,62.03,64.89,61.77,64.42,733105
2019-07-26,65.83,66.02,61.2,61.67,1338459
2019-07-29,62.03,62.03,58.31,58.53,955659
2019-07-30,58.76,59.77,56.32,56.6,1239050
2019-07-31,56.6,58.14,55.73,57.95,797224
2019-08-01,57.61,57.61,54.15,54.74,1120093
2019-08-02,54.02,54.49,52.35,53.82,944536
2019-08-05,53.01,53.67,50.58,52.89,711746
2019-08-06,51.58,54.08,51.58,52.97,997866
2019-08-07,52.65,53.33,51.13,51.37,892396
2019-08-08,51.54,52.26,50.73,52.09,660539
2019-08-09,52.63,54.42,52.05,53.21,747165
2019-08-13,53.21,53.7,51.28,52.54,896130
2019-08-14,53.01,55.64,52.97,55.09,601897
2019-08-16,54.47,54.76,53.03,54.25,562988
2019-08-19,54.85,54.98,53.52,54.25,464876
2019-08-20,54.55,54.57,53.25,53.52,409862
2019-08-21,53.5,53.5,51.92,52.59,513317
2019-08-22,52.18,52.2,47.26,48.52,1189783
2019-08-23,48.52,51.95,48.06,51.69,1145004
2019-08-26,52.26,52.26,48.74,50.75,1165661
2019-08-27,51.82,52.22,50.75,51.8,709411
2019-08-28,51.95,52.07,49.44,49.7,868131
2019-08-29,50.0,51.86,49.19,51.05,733350
2019-08-30,51.73,52.84,50.77,52.37,1269144
2019-09-03,51.71,52.33,50.21,50.43,770208
2019-09-04,50.47,51.71,49.85,51.41,693223
2019-09-05,52.11,53.57,52.01,52.27,888040
2019-09-06,52.61,53.67,52.2,53.29,704066
2019-09-11,54.36,55.39,53.95,54.89,956798
2019-09-12,55.38,55.58,54.3,54.61,957329
2019-09-13,53.46,56.39,53.46,56.09,719701
2019-09-16,56.02,56.77,55.3,55.85,747676
2019-09-17,56.02,57.56,54.3,54.72,1233958
2019-09-18,54.74,56.58,54.61,56.18,891306
2019-09-19,56.18,56.39,53.35,55.04,646341
2019-09-20,55.02,60.62,54.72,59.7,2093976
2019-09-23,60.9,61.99,58.42,59.38,1803447
2019-09-24,59.77,60.94,58.87,60.11,964654
2019-09-25,59.7,59.7,57.44,58.67,714895
2019-09-26,59.17,62.76,58.82,62.46,1820274
2019-09-27,62.44,62.44,58.8,59.1,1301910
2019-09-30,58.59,58.61,56.86,57.91,752809
2019-10-01,58.27,58.65,54.64,56.92,1071910
2019-10-03,56.32,56.32,53.91,54.27,789565
2019-10-04,54.85,55.26,53.59,53.87,871679
2019-10-07,54.51,54.72,53.27,53.63,519084
2019-10-09,53.63,55.08,53.16,54.79,468964
2019-10-10,54.7,54.7,52.84,53.14,501685
2019-10-11,53.72,55.71,53.12,55.24,817319
2019-10-14,56.02,57.42,55.34,55.58,688514
2019-10-15,55.45,58.57,54.36,57.69,1170132
2019-10-16,57.58,57.82,56.11,56.28,724163
2019-10-17,55.94,56.24,54.45,55.7,952446
2019-10-18,55.75,57.2,55.64,56.43,879790
2019-10-22,56.77,57.14,55.38,56.02,847287
2019-10-23,57.35,57.35,54.51,54.92,700348
2019-10-24,55.64,55.85,54.55,54.76,818987
2019-10-25,54.96,55.19,53.2,53.4,701687
2019-10-29,54.59,57.33,54.59,56.32,1050653
2019-10-30,56.77,57.01,56.17,56.45,716208
2019-10-31,57.14,57.14,55.3,55.75,804786
2019-11-01,56.2,57.89,55.17,57.48,1372180
2019-11-04,58.91,60.58,58.68,59.14,1483428
2019-11-05,59.7,60.47,58.76,59.17,1099784
2019-11-06,58.83,60.58,58.83,59.47,974553
2019-11-07,59.92,61.24,58.42,60.51,1174792
2019-11-08,60.86,60.86,58.27,58.46,1033078
2019-11-13,57.24,58.05,55.49,55.73,1546424
2019-11-14,57.44,57.44,53.68,54.12,1609180
2019-11-15,54.7,54.92,53.27,53.42,889392
2019-11-18,54.12,54.49,53.57,53.91,677320
2019-11-19,54.1,54.12,52.8,53.25,724710
2019-11-20,53.2,54.06,52.82,53.16,1072123
2019-11-21,53.67,53.67,52.14,52.26,919458
2019-11-22,52.56,53.68,52.26,53.44,715024
2019-11-25,53.65,55.19,53.38,54.91,1387645
2019-11-26,55.26,55.45,54.02,54.55,721066
2019-11-27,54.79,55.9,54.34,55.24,665785
2019-11-28,54.91,55.7,54.55,55.41,677401
2019-11-29,54.64,55.77,54.14,54.3,716947
2019-12-02,54.64,54.98,54.1,54.38,1474437
2019-12-03,54.51,54.51,52.33,52.52,913057
2019-12-04,52.14,54.4,51.43,54.17,974802
2019-12-05,54.59,54.7,53.18,53.55,978167
2019-12-06,54.04,54.23,52.88,53.36,483213
2019-12-09,53.74,54.7,53.46,53.61,414719
2019-12-10,53.76,53.89,52.78,52.97,267324
2019-12-11,53.2,53.38,51.35,52.11,396181
2019-12-12,52.71,54.42,52.31,54.12,564535
2019-12-13,55.26,56.64,55.26,56.15,829460
2019-12-16,56.39,56.73,54.98,55.34,424268
2019-12-17,55.75,57.97,55.64,57.27,1024080
2019-12-18,57.14,57.89,56.52,57.44,748283
2019-12-19,57.52,57.89,55.77,56.15,528853
2019-12-20,56.09,56.58,53.87,54.21,1338819
2019-12-23,54.59,55.66,54.59,55.55,692311
2019-12-24,55.64,56.15,55.34,55.64,565920
2019-12-26,56.0,57.31,55.51,56.64,912045
2019-12-27,56.95,57.46,56.43,57.09,556552
2019-12-30,57.14,58.23,56.47,58.05,372557
2019-12-31,58.05,58.42,57.2,57.33,404134
2020-01-01,57.52,58.35,56.94,58.08,463255
2020-01-02,58.53,60.11,58.4,59.94,700811
2020-01-03,59.77,60.47,58.91,59.29,668454
2020-01-06,59.12,59.25,56.43,56.64,499785
2020-01-07,57.48,58.93,57.37,58.68,718350
2020-01-08,57.52,59.47,57.33,59.15,772718
2020-01-09,59.62,60.19,59.17,59.45,445483
2020-01-10,60.3,61.39,59.27,60.13,829794
2020-01-13,60.3,60.66,59.51,60.34,458802
2020-01-14,60.83,62.42,60.56,61.99,770122
2020-01-15,62.05,62.18,60.81,61.9,729339
2020-01-16,61.65,61.65,60.28,61.0,423189
2020-01-17,61.28,61.3,59.77,59.98,347307
2020-01-20,60.0,60.11,58.72,58.97,228459
2020-01-21,58.95,59.51,57.76,57.86,244559
2020-01-22,58.46,59.42,57.44,57.58,390686
2020-01-23,57.82,58.42,57.29,57.95,258766
2020-01-24,57.97,59.02,57.82,58.57,212548
2020-01-27,58.21,58.21,55.68,55.96,598572
2020-01-28,56.02,56.02,53.21,53.44,944621
2020-01-29,54.14,54.66,53.35,53.44,461629
2020-01-30,53.65,53.91,52.56,52.99,924438
2020-01-31,53.12,53.31,51.71,51.86,452982
2020-02-01,52.24,52.42,50.19,50.77,934808
2020-02-03,50.56,51.43,49.94,50.43,611396
2020-02-04,51.47,52.22,50.68,52.09,435998
2020-02-05,52.26,54.12,51.73,53.78,711098
2020-02-06,54.47,55.19,53.74,54.08,635412
2020-02-07,54.29,54.61,53.35,54.36,475101
2020-02-10,54.42,54.42,52.48,52.73,416826
2020-02-11,53.48,53.97,52.71,52.91,426394
2020-02-12,53.57,54.1,53.08,53.21,305385
2020-02-13,53.72,53.87,52.82,53.57,236658
2020-02-14,53.5,54.08,52.88,53.03,192022
2020-02-17,53.23,54.04,52.95,53.4,256115
2020-02-18,53.53,53.53,51.71,52.86,302599
2020-02-19,53.67,54.21,53.23,53.63,178662
2020-02-20,53.42,54.36,52.97,53.5,270610
2020-02-24,53.31,53.31,49.79,50.09,694720
2020-02-25,50.56,51.13,49.66,49.94,456806
2020-02-26,49.77,50.23,48.65,48.98,496326
2020-02-27,49.1,49.36,47.54,49.06,881557
2020-02-28,47.37,47.37,42.22,42.86,13031992
2020-03-02,44.32,44.87,40.98,41.71,1282764
2020-03-03,43.2,45.45,42.71,44.94,1028054
2020-03-04,45.41,45.41,43.31,44.83,1008695
2020-03-05,44.49,45.86,43.63,44.0,595590
2020-03-06,41.17,42.63,40.64,41.77,825560
2020-03-09,39.47,39.47,35.13,35.68,1876217
2020-03-11,35.56,35.9,34.3,34.61,1094085
2020-03-12,32.63,32.63,29.59,30.02,2115142
2020-03-13,27.09,32.52,25.92,31.5,2980037
2020-03-16,29.94,30.3,27.93,28.16,1824875
2020-03-17,28.4,30.23,27.99,28.2,1711454
