Datetime,Open,High,Low,Close,Volume
2019-05-28,980.25,1014.5,974.75,1003.38,6786
2019-05-29,1014.75,1065.0,1014.75,1039.03,14404
2019-05-30,1040.0,1067.75,1018.08,1046.75,10138
2019-06-03,1090.0,1096.28,1070.0,1075.22,10944
2019-06-10,1066.8,1068.1,1035.05,1043.12,4500
2019-06-11,1047.5,1052.32,1000.0,1009.33,9960
2019-06-12,1020.0,1025.03,1004.97,1017.55,3004
2019-06-13,1019.5,1019.5,996.75,1002.8,4362
2019-06-14,1003.0,1013.67,990.0,1002.08,2074
2019-06-17,1005.53,1046.75,1002.45,1022.83,8716
2019-06-18,1045.8,1051.45,1035.45,1048.18,3732
2019-06-19,1060.25,1073.5,1048.5,1054.28,3660
2019-06-20,1057.5,1069.78,1045.0,1048.4,3774
2019-06-21,1052.5,1058.18,1018.88,1028.55,4132
2019-06-24,1039.05,1063.0,1029.0,1060.15,3902
2019-06-25,1067.5,1076.07,1037.53,1054.07,5282
2019-06-26,1065.0,1065.0,1046.9,1053.28,2982
2019-06-27,1051.22,1070.0,1051.0,1051.53,1620
2019-06-28,1052.2,1067.5,1040.0,1064.35,3644
2019-07-01,1071.0,1075.0,1059.28,1068.9,3700
2019-07-02,1075.25,1075.25,1057.53,1063.35,1296
2019-07-03,1066.0,1101.32,1066.0,1095.95,10748
2019-07-04,1102.95,1129.55,1102.95,1126.38,8714
2019-07-05,1132.75,1138.5,1090.0,1102.35,7612
2019-07-08,1082.45,1082.45,1035.0,1052.57,6264
2019-07-09,1035.0,1080.28,1019.85,1055.85,5442
2019-07-10,1057.68,1068.68,1032.3,1041.97,3064
2019-07-11,1059.43,1060.97,1032.5,1042.25,2122
2019-07-12,1046.5,1050.25,1025.0,1030.28,1938
2019-07-15,1035.0,1048.0,1027.5,1046.22,2154
2019-07-16,1045.0,1076.8,1045.0,1073.62,4326
2019-07-17,1072.28,1090.25,1071.75,1084.25,1614
2019-07-18,1090.25,1094.5,1075.0,1085.0,2578
2019-07-19,1081.9,1081.9,1031.68,1035.25,18004
2019-07-22,1026.7,1026.7,977.5,1006.28,49520
2019-07-23,1010.0,1014.78,955.98,969.18,4224
2019-07-24,969.18,969.18,902.6,908.38,5798
2019-07-25,908.5,927.0,904.05,920.63,4820
2019-07-26,921.6,937.03,906.65,930.8,2474
2019-07-29,930.03,954.15,930.03,950.05,2436
2019-07-30,971.5,976.75,940.25,950.43,2284
2019-07-31,969.5,969.5,889.2,908.53,14898
2019-08-01,902.5,929.08,894.53,903.05,2928
2019-08-02,908.5,914.75,894.0,900.73,3796
2019-08-05,900.73,924.35,890.33,913.3,3296
2019-08-06,922.28,925.5,910.0,917.1,1380
2019-08-07,925.0,968.9,921.8,960.9,7660
2019-08-08,969.43,976.0,960.0,974.68,6874
2019-08-09,983.23,1028.5,983.23,1023.35,6170
2019-08-13,1030.38,1065.0,1028.5,1040.93,8590
2019-08-14,1048.1,1065.0,1046.68,1055.85,3176
2019-08-16,1060.0,1072.6,1045.15,1052.62,3272
2019-08-19,1054.35,1060.0,1035.65,1043.53,3410
2019-08-20,1044.0,1052.88,1028.15,1036.85,4016
2019-08-21,1045.95,1050.0,1000.88,1017.67,2218
2019-08-22,1003.03,1035.0,1000.0,1024.68,2250
2019-08-23,1023.0,1031.0,992.08,1028.6,3734
2019-08-26,1040.0,1054.5,1033.3,1037.85,2750
2019-08-27,1049.15,1077.5,1049.15,1062.1,4386
2019-08-28,1071.38,1096.47,1070.68,1083.55,4922
2019-08-29,1089.75,1107.0,1084.57,1091.82,3558
2019-08-30,1060.53,1097.5,1044.7,1060.97,3740
2019-09-03,1061.0,1097.5,1047.85,1086.9,5252
2019-09-04,1097.5,1113.5,1070.0,1075.78,3918
2019-09-05,1087.5,1102.5,1084.43,1096.82,2612
2019-09-06,1089.95,1110.5,1089.95,1103.2,3380
2019-09-11,1150.0,1179.0,1147.5,1156.97,10476
2019-09-12,1161.0,1177.25,1153.5,1172.15,3140
2019-09-13,1173.25,1173.95,1139.0,1144.4,7024
2019-09-16,1129.5,1157.5,1129.5,1148.72,3910
2019-09-17,1158.75,1198.45,1157.3,1164.38,10168
2019-09-18,1180.0,1190.0,1152.0,1161.72,4238
2019-09-19,1164.28,1164.28,1126.0,1133.6,2974
2019-09-20,1140.1,1147.47,1095.5,1121.32,7158
2019-09-23,1137.0,1255.5,1122.0,1136.03,8240
2019-09-24,1135.5,1151.75,1128.75,1134.05,2658
2019-09-25,1143.0,1144.0,1122.0,1130.22,2672
2019-09-26,1127.25,1138.0,1118.0,1123.65,4402
