Datetime,Open,High,Low,Close,Volume
2021-05-31,5.68,5.68,5.68,5.68,30
2021-06-01,5.4,5.4,5.4,5.4,257
2021-06-02,5.15,5.15,5.15,5.15,450
2021-06-03,4.9,4.9,4.9,4.9,1980
2021-06-04,4.66,4.66,4.66,4.66,1850
2021-06-07,4.85,4.85,4.43,4.43,7742
2021-06-08,4.21,4.21,4.21,4.21,11700
2021-06-09,4.01,4.42,4.01,4.05,6399
2021-06-10,4.05,4.05,4.05,4.05,2073
2021-06-11,4.25,4.25,4.25,4.25,2501
2021-06-14,4.05,4.2,4.05,4.2,1650
2021-06-15,4.4,4.4,4.4,4.4,1300
2021-06-16,4.62,4.62,4.19,4.62,12343
2021-06-17,4.85,4.85,4.7,4.7,50
2021-06-18,4.7,4.93,4.7,4.93,4701
2021-06-21,5.0,5.0,5.0,5.0,26
2021-06-22,5.2,5.2,4.75,4.75,501
2021-06-23,4.52,4.98,4.52,4.98,6975
2021-06-24,4.74,5.22,4.74,4.74,4065
2021-06-25,4.51,4.51,4.51,4.51,2520
2021-06-29,4.73,4.73,4.29,4.29,1933
2021-06-30,4.08,4.08,4.08,4.08,400
2021-07-01,3.88,4.28,3.88,4.28,5793
2021-07-05,4.07,4.07,4.07,4.07,840
2021-07-08,4.27,4.27,4.27,4.27,100
2021-07-09,4.27,4.27,4.27,4.27,1
2021-07-13,4.48,4.48,4.48,4.48,2966
2021-07-14,4.7,4.7,4.48,4.5,5850
2021-07-16,4.72,4.72,4.72,4.72,1500
2021-07-19,4.72,4.72,4.72,4.72,20
2021-07-20,4.72,4.95,4.71,4.95,1000
2021-07-22,5.19,5.19,5.19,5.19,9908
2021-07-23,5.44,5.44,5.44,5.44,2100
2021-07-26,5.71,5.71,5.71,5.71,2900
2021-07-27,5.99,5.99,5.99,5.99,2138
2021-07-28,5.99,6.28,5.7,5.7,2481
2021-07-29,5.42,5.42,5.42,5.42,2540
2021-07-30,5.43,5.69,5.43,5.69,5999
2021-08-02,5.69,5.69,5.69,5.69,192
2021-08-03,5.41,5.97,5.41,5.41,768
2021-08-04,5.4,5.68,5.14,5.14,684
2021-08-05,5.1,5.39,4.9,5.39,2378
2021-08-06,5.65,5.65,5.13,5.65,2451
2021-08-10,5.65,5.65,5.65,5.65,300
2021-08-11,5.64,5.65,5.64,5.65,581
2021-08-12,5.37,5.7,5.37,5.7,500
2021-08-13,5.42,5.42,5.42,5.42,309
2021-08-16,5.15,5.69,5.15,5.69,694
2021-08-18,5.72,5.72,5.41,5.41,11
2021-08-20,5.5,5.5,5.14,5.14,41
2021-08-23,4.9,5.39,4.9,5.39,429
2021-08-24,5.65,5.65,5.65,5.65,439
