Datetime,Open,High,Low,Close,Volume
2019-05-28,253.8,261.6,249.3,254.05,23572
2019-05-29,255.0,268.0,255.0,262.35,27897
2019-05-30,289.8,297.0,276.4,279.1,303729
2019-06-03,272.7,272.7,263.0,269.25,12817
2019-06-10,258.05,263.85,254.65,259.0,4178
2019-06-11,256.7,258.0,253.0,255.45,1724
2019-06-12,252.65,253.5,245.65,246.25,10355
2019-06-13,249.95,249.95,234.45,236.25,5908
2019-06-14,237.0,243.4,232.5,239.25,5393
2019-06-17,242.6,259.4,239.4,254.25,37022
2019-06-18,254.5,256.0,249.0,250.05,6094
2019-06-19,249.15,252.45,240.0,244.6,6674
2019-06-20,240.05,245.85,239.85,245.15,2846
2019-06-21,246.7,252.8,245.35,251.6,2484
2019-06-24,251.0,256.0,245.55,252.7,5825
2019-06-25,253.0,255.3,250.75,251.75,2488
2019-06-26,254.0,258.25,245.9,250.4,7158
2019-06-27,247.7,253.0,246.85,249.95,3607
2019-06-28,250.05,252.45,247.8,251.55,4214
2019-07-01,251.85,256.9,251.85,253.95,8300
2019-07-02,254.0,254.0,247.15,249.8,2231
2019-07-03,249.7,253.05,247.0,248.2,8872
2019-07-04,249.5,251.5,244.6,245.7,4978
2019-07-05,246.0,247.5,237.0,238.9,5379
2019-07-08,239.7,239.7,228.5,231.8,8691
2019-07-09,230.0,235.85,229.65,235.15,6707
2019-07-10,233.65,238.35,233.65,237.1,3047
2019-07-11,235.05,237.45,225.6,228.45,2888
2019-07-12,227.0,232.0,227.0,228.35,2703
2019-07-15,230.25,230.4,223.2,224.25,3413
2019-07-16,223.7,226.2,220.45,221.95,4194
2019-07-17,223.55,227.4,223.55,224.5,9990
2019-07-18,226.05,240.2,223.85,238.1,17643
2019-07-19,235.6,238.05,227.4,232.7,16416
2019-07-22,228.05,228.05,219.0,220.65,4650
2019-07-23,223.1,231.0,221.4,229.3,4570
2019-07-24,231.35,233.15,225.95,228.05,2382
2019-07-25,235.0,235.0,226.0,228.35,4755
2019-07-26,227.1,235.3,227.0,234.8,2236
2019-07-29,233.1,235.7,227.25,229.4,1315
2019-07-30,231.0,231.0,218.05,220.85,1963
2019-07-31,218.0,221.65,217.1,220.65,2359
2019-08-01,220.1,222.85,219.05,220.1,2983
2019-08-02,218.0,219.55,214.95,216.55,882
2019-08-05,211.95,213.45,209.85,211.7,549
2019-08-06,214.1,222.4,214.1,219.2,2839
2019-08-07,218.15,221.0,216.15,216.35,1365
2019-08-08,216.95,221.5,216.95,220.2,2004
2019-08-09,222.35,226.65,221.5,222.15,3149
2019-08-13,222.0,241.2,219.5,235.25,32390
2019-08-14,242.0,245.85,233.4,235.25,9842
2019-08-16,236.0,243.0,231.25,241.95,3018
2019-08-19,243.5,243.5,239.25,239.75,1171
2019-08-20,242.0,243.4,240.0,240.25,1626
2019-08-21,240.0,240.0,229.45,234.4,3127
2019-08-22,234.7,234.7,215.05,219.25,4460
2019-08-23,214.7,224.6,210.6,219.45,7746
2019-08-26,229.0,233.7,225.0,230.35,8777
2019-08-27,230.6,239.0,228.5,237.4,6117
2019-08-28,236.7,236.7,227.9,230.2,4065
2019-08-29,228.7,228.7,218.35,220.7,9487
2019-08-30,223.5,224.25,220.0,222.9,4926
2019-09-03,222.9,225.8,219.95,220.35,2372
2019-09-04,222.35,225.7,220.6,223.95,2866
2019-09-05,222.85,230.8,221.55,229.4,5367
2019-09-06,236.0,250.0,234.0,245.8,57307
2019-09-11,257.5,286.0,257.0,271.65,131699
2019-09-12,272.5,281.75,261.1,262.8,32428
2019-09-13,264.0,265.0,256.0,261.0,10783
2019-09-16,258.1,271.35,255.0,264.3,18919
2019-09-17,264.0,265.95,248.2,250.3,16289
2019-09-18,253.85,263.4,250.25,257.9,44013
2019-09-19,266.1,273.0,260.9,263.3,62989
2019-09-20,264.0,269.0,256.5,264.1,27654
2019-09-23,266.9,270.0,262.35,264.0,22592
2019-09-24,264.45,266.1,256.15,258.1,12807
2019-09-25,255.5,268.55,254.6,266.65,29443
2019-09-26,275.7,280.5,271.0,274.55,44811
2019-09-27,276.45,277.55,269.0,272.25,14858
2019-09-30,275.0,282.9,272.75,275.55,53151
2019-10-01,275.55,275.6,255.85,259.9,26377
2019-10-03,252.7,252.7,243.25,250.65,25154
2019-10-04,251.1,252.95,245.1,246.7,7320
2019-10-07,242.0,245.2,234.45,242.15,9821
2019-10-09,240.0,246.0,234.0,243.9,7378
2019-10-10,238.0,243.05,236.3,238.3,3309
2019-10-11,238.65,242.15,234.2,235.6,5248
2019-10-14,235.5,237.1,230.25,234.6,3955
2019-10-15,235.6,244.0,234.05,242.45,6341
2019-10-16,241.95,249.15,236.05,244.6,25592
2019-10-17,241.45,244.45,239.0,240.3,4320
2019-10-18,239.8,246.4,239.2,241.15,4784
2019-10-22,241.9,243.8,236.4,238.0,10180
2019-10-23,239.0,242.05,236.5,239.85,4737
2019-10-24,245.7,245.7,234.6,235.8,4556
2019-10-25,235.9,236.7,232.4,234.9,2227
2019-10-29,238.0,247.1,236.4,241.65,5072
2019-10-30,241.4,243.95,239.15,243.0,5002
2019-10-31,242.05,248.6,234.0,235.15,8829
2019-11-01,236.95,238.45,225.2,227.9,11192
2019-11-04,230.0,236.55,229.8,231.45,8907
2019-11-05,233.0,233.0,228.4,229.45,3528
2019-11-06,229.7,233.05,228.6,230.35,4379
2019-11-07,228.8,231.1,227.0,227.45,6159
2019-11-08,225.5,229.15,225.5,225.7,1832
2019-11-13,228.0,230.0,216.5,217.55,13894
2019-11-14,220.85,222.85,215.9,217.7,5661
2019-11-15,217.85,218.75,216.3,217.0,4008
2019-11-18,219.6,220.0,210.6,211.75,8576
2019-11-19,215.6,215.6,204.65,206.9,8418
2019-11-20,204.15,214.45,204.15,207.95,12443
2019-11-21,210.9,211.6,208.55,208.95,3732
2019-11-22,208.25,208.25,206.0,207.2,3095
2019-11-25,209.55,220.65,208.9,219.05,10129
2019-11-26,221.8,224.0,213.1,213.45,6446
2019-11-27,214.45,215.15,209.25,212.7,11244
2019-11-28,212.7,215.1,210.8,211.7,3306
2019-11-29,211.35,217.0,210.05,211.3,4524
2019-12-02,212.0,212.5,207.4,209.3,1944
2019-12-03,207.85,209.2,206.5,206.9,1900
2019-12-04,207.5,213.5,207.5,211.5,5487
2019-12-05,212.2,212.2,209.0,210.65,4607
2019-12-06,214.15,214.6,205.8,206.35,6794
2019-12-09,213.0,219.0,206.1,207.45,15908
2019-12-10,207.95,210.0,206.0,206.75,10387
2019-12-11,206.95,208.0,204.9,206.5,5537
2019-12-12,212.3,212.3,205.8,206.7,2888
2019-12-13,208.5,209.5,207.0,208.35,4829
2019-12-16,207.7,213.5,205.0,212.4,7500
2019-12-17,216.0,227.4,214.25,221.1,114630
2019-12-18,217.1,218.6,211.9,212.85,7596
2019-12-19,214.45,216.8,212.35,213.2,9281
2019-12-20,213.0,213.9,209.25,211.35,5616
2019-12-23,211.0,211.95,209.0,209.55,20735
2019-12-24,208.9,210.6,207.65,208.45,16591
2019-12-26,211.6,214.0,209.0,211.6,9515
2019-12-27,212.0,213.7,210.5,213.35,52879
2019-12-30,214.5,215.6,211.2,214.85,54876
2019-12-31,214.3,219.2,213.7,217.9,10325
2020-01-01,218.45,218.9,214.8,215.85,8174
2020-01-02,217.2,225.55,215.45,223.95,20560
2020-01-03,225.0,228.4,221.0,222.9,5047
2020-01-06,223.25,223.25,213.65,214.8,4107
2020-01-07,216.35,218.85,216.35,217.85,3976
2020-01-08,217.0,217.6,213.0,214.35,2577
2020-01-09,218.0,224.8,217.1,220.25,9139
2020-01-10,228.8,231.0,225.05,226.35,22961
2020-01-13,228.7,229.2,226.9,227.25,2361
2020-01-14,228.0,239.55,228.0,238.5,19430
2020-01-15,236.7,243.35,236.0,241.65,22567
2020-01-16,242.4,250.85,240.95,249.45,18896
2020-01-17,253.6,257.45,244.9,247.1,20825
2020-01-20,246.2,248.85,242.85,244.05,12726
2020-01-21,242.15,250.0,240.9,246.95,15771
2020-01-22,249.0,249.6,237.55,241.3,16166
2020-01-23,242.0,244.25,241.5,243.3,5558
2020-01-24,243.6,249.6,243.6,248.75,12869
2020-01-27,246.25,257.25,238.7,240.45,14469
2020-01-28,246.7,246.7,229.0,229.75,8796
2020-01-29,231.35,235.6,231.35,233.55,10125
2020-01-30,232.0,233.7,229.1,229.8,3643
2020-01-31,230.0,230.0,226.8,228.45,5383
2020-02-01,228.9,230.85,213.8,217.65,6640
2020-02-03,216.0,220.7,214.3,216.05,5211
2020-02-04,219.1,222.8,218.3,219.6,2409
2020-02-05,220.0,226.65,218.0,223.75,2555
2020-02-06,226.2,233.55,226.2,230.5,4753
2020-02-07,233.0,233.0,226.35,227.3,3218
2020-02-10,226.7,227.05,219.45,221.95,6307
2020-02-11,223.0,223.5,220.8,221.3,4269
2020-02-12,222.0,222.0,210.3,214.95,8840
2020-02-13,215.0,224.0,215.0,218.5,8463
2020-02-14,219.95,220.35,214.2,215.8,7406
2020-02-17,215.1,217.55,212.25,212.7,3737
2020-02-18,212.95,214.15,207.3,209.25,3421
2020-02-19,210.95,228.0,209.45,221.25,9526
2020-02-20,230.6,232.05,217.35,219.55,29090
2020-02-24,217.05,218.25,211.0,211.45,8031
2020-02-25,213.0,213.5,210.0,210.95,3501
2020-02-26,210.95,213.75,209.1,211.5,4391
2020-02-27,211.4,212.0,208.8,211.15,4919
2020-02-28,206.15,212.85,199.75,205.8,5470
2020-03-02,210.2,215.0,206.35,208.75,2340
2020-03-03,215.0,215.0,208.0,210.55,1698
2020-03-04,207.8,210.4,203.0,204.9,4924
2020-03-05,209.0,209.25,203.55,204.7,5289
2020-03-06,198.55,202.0,194.0,199.9,4085
2020-03-09,196.0,198.0,185.95,193.95,7223
2020-03-11,195.0,198.55,189.0,189.25,4209
2020-03-12,183.05,185.0,169.0,176.8,11255
2020-03-13,168.3,181.0,142.0,171.4,7816
2020-03-16,168.0,175.0,159.3,161.95,6288
2020-03-17,162.5,165.0,160.0,160.1,3965
2020-03-18,166.0,166.0,150.0,151.8,2481
2020-03-19,146.85,146.85,139.15,142.05,4251
2020-03-20,142.0,151.3,140.0,141.4,5823
2020-03-23,121.0,136.65,113.15,115.1,19994
2020-03-24,113.85,113.85,103.6,109.45,63832
2020-03-25,109.05,109.05,99.9,106.85,7488
2020-03-26,114.6,117.5,108.15,116.6,11970
2020-03-27,119.6,127.9,115.1,124.35,3758
2020-03-30,120.25,135.95,115.0,125.1,2212
2020-03-31,128.0,132.0,122.1,128.95,4295
2020-04-01,127.5,140.55,124.55,133.5,2374
2020-04-03,133.6,133.6,130.0,130.05,880
2020-04-07,131.1,136.55,131.1,136.55,3591
2020-04-08,141.0,143.35,137.35,141.65,7803
2020-04-09,146.5,148.7,145.0,148.6,13236
2020-04-13,142.2,145.0,141.2,141.6,3779
2020-04-15,144.0,148.6,138.65,140.85,5193
2020-04-16,141.0,147.85,135.8,143.4,3452
2020-04-17,150.5,150.55,145.0,146.95,16268
2020-04-20,146.6,153.5,146.6,147.45,6090
2020-04-21,145.0,145.0,140.1,141.6,4218
2020-04-22,142.0,142.0,135.0,138.25,9367
2020-04-23,140.6,144.6,139.35,142.15,2418
2020-04-24,138.0,139.95,135.5,136.3,2386
2020-04-27,140.45,142.25,139.0,141.55,10888
2020-04-28,148.6,148.6,141.1,143.55,5429
2020-04-29,144.7,145.2,140.15,141.3,1999
2020-04-30,145.35,147.95,142.0,142.5,2589
2020-05-04,141.5,141.5,135.4,138.75,1648
2020-05-05,139.0,139.35,135.0,135.5,620
2020-05-06,136.0,136.0,130.75,133.25,1016
2020-05-07,134.15,139.9,131.6,139.6,6059
2020-05-08,138.05,138.1,134.9,135.0,4102
2020-05-11,137.35,139.0,131.2,133.3,1977
2020-05-12,131.1,133.6,130.0,133.05,1146
2020-05-13,135.35,135.35,133.0,134.3,1747
2020-05-14,133.0,133.85,132.4,133.5,764
2020-05-15,132.6,134.45,132.25,134.05,2207
2020-05-18,133.2,133.2,128.45,129.25,3429
2020-05-19,129.2,132.7,128.0,129.0,3569
2020-05-20,128.1,128.15,122.55,124.05,7570
2020-05-21,124.55,126.35,124.35,124.9,9316
2020-05-22,123.55,125.25,123.2,124.25,553
2020-05-26,124.35,127.8,124.0,127.4,2069
2020-05-27,127.75,128.0,125.5,126.75,5493
2020-05-28,128.8,130.0,127.25,128.3,1106
2020-05-29,127.8,130.7,127.25,127.5,1646
2020-06-01,131.6,133.85,131.6,133.85,498
2020-06-02,135.55,140.5,135.25,140.5,3935
2020-06-03,147.5,147.5,145.0,147.5,4757
2020-06-04,149.95,150.8,144.1,150.75,3511
2020-06-05,154.0,166.5,154.0,160.2,9368
2020-06-08,161.35,168.95,159.85,162.05,11960
2020-06-09,162.05,162.05,155.45,156.5,4057
2020-06-10,156.0,157.5,154.55,155.05,2600
2020-06-11,156.0,164.65,152.0,152.8,6666
2020-06-12,149.0,156.5,148.4,155.05,4024
2020-06-15,154.0,154.95,147.9,151.4,5082
2020-06-16,154.1,154.2,148.65,151.9,3445
2020-06-17,152.05,153.0,148.8,152.25,1768
2020-06-18,152.4,162.55,150.05,160.15,10062
2020-06-19,160.4,166.5,158.35,165.15,11232
2020-06-22,166.0,177.75,165.6,167.45,47908
2020-06-23,168.75,174.6,168.0,172.6,6089
2020-06-24,172.1,178.0,171.0,171.7,15133
2020-06-25,170.0,188.95,167.6,181.9,42081
2020-06-26,185.9,189.85,174.0,178.05,61656
