Datetime,Open,High,Low,Close,Volume
2022-01-21,31.4,34.7,31.4,34.6,2799
2022-01-24,36.3,36.3,32.9,32.9,2433
2022-01-25,32.9,34.5,31.3,34.5,2545
2022-01-27,36.2,36.2,32.8,35.0,3969
2022-01-28,35.0,35.0,33.25,33.25,1297
2022-01-31,33.25,34.9,31.6,32.2,1403
2022-02-01,31.6,33.5,31.6,33.0,1273
2022-02-02,33.0,33.0,33.0,33.0,1
2022-02-03,32.9,34.0,31.35,32.65,1426
2022-02-04,31.05,34.25,31.05,33.8,3807
2022-02-07,35.45,35.45,35.45,35.45,4801
2022-02-08,37.2,37.2,37.2,37.2,4122
2022-02-09,39.05,39.05,39.05,39.05,2628
2022-02-10,41.0,41.0,41.0,41.0,1681
2022-02-11,43.05,43.05,41.75,43.05,23082
2022-02-14,45.2,45.2,43.05,45.2,12899
2022-02-15,47.45,47.45,47.45,47.45,6985
2022-02-16,49.8,49.8,45.1,45.1,4976
2022-02-17,42.85,42.85,42.85,42.85,562
2022-02-18,40.75,40.75,40.75,40.75,828
2022-02-21,38.75,38.75,38.75,38.75,1149
2022-02-22,36.85,36.85,36.85,36.85,555
2022-02-23,35.05,35.75,35.05,35.7,840
2022-02-24,34.6,34.6,33.95,33.95,38
2022-02-25,32.3,35.6,32.3,35.25,11800
2022-02-28,33.5,36.9,33.5,36.7,1619
2022-03-02,36.7,38.5,34.9,37.75,2784
2022-03-03,39.6,39.6,35.9,35.9,466
2022-03-04,35.9,35.9,34.15,35.9,621
2022-03-07,35.9,35.9,34.15,35.75,230
2022-03-08,34.0,34.0,34.0,34.0,60
2022-03-09,34.0,34.0,32.5,32.55,2379
2022-03-10,31.9,31.9,30.95,31.0,4006
2022-03-11,32.55,32.55,32.55,32.55,201
2022-03-14,34.15,34.15,34.15,34.15,1593
2022-03-15,35.85,35.85,32.55,34.75,2905
2022-03-16,34.75,36.45,33.05,36.0,4900
2022-03-17,37.8,37.8,35.0,37.0,405
2022-03-21,37.1,37.1,35.15,35.15,1329
2022-03-22,33.4,36.9,33.4,36.3,2633
2022-03-23,38.1,38.1,34.6,35.2,4376
2022-03-24,35.3,36.95,35.3,36.95,1183
2022-03-25,38.75,38.75,35.15,35.15,1284
2022-03-28,33.4,36.9,33.4,36.75,1785
2022-03-29,36.75,38.0,34.95,34.95,340
2022-03-30,36.65,36.65,33.25,33.35,902
2022-03-31,31.75,35.0,31.7,35.0,4116
2022-04-04,36.75,36.75,33.25,33.55,966
2022-04-05,33.55,35.2,31.9,35.15,2247
2022-04-06,36.5,36.5,34.0,36.2,53
2022-04-07,36.2,37.0,35.0,35.0,366
2022-04-08,33.25,33.3,33.25,33.25,959
2022-04-11,33.25,34.9,31.75,34.0,934
2022-04-12,34.0,34.8,34.0,34.8,1013
2022-04-13,35.85,36.0,33.1,33.15,5319
2022-04-18,32.0,34.8,32.0,34.75,1502
2022-04-19,33.7,36.4,33.05,33.05,1094
2022-04-20,34.7,34.7,31.4,34.7,414
2022-04-21,33.0,36.15,33.0,34.85,1233
2022-04-22,36.55,36.55,33.15,36.0,106
2022-04-25,36.0,36.0,36.0,36.0,11
2022-04-26,36.0,37.8,34.2,36.05,894
2022-04-27,37.8,37.8,37.15,37.45,25
2022-04-28,37.45,37.45,36.3,37.1,190
2022-04-29,35.25,37.0,35.25,36.75,90
2022-05-02,37.0,37.0,34.95,34.95,31
2022-05-04,34.95,34.95,33.25,33.25,1668
2022-05-05,33.25,34.0,31.6,33.7,2784
2022-05-06,33.7,33.7,32.05,32.05,1256
2022-05-09,32.05,33.65,30.45,33.0,602
2022-05-10,33.0,34.6,31.35,33.95,905
2022-05-11,33.95,33.95,32.3,32.3,239
2022-05-12,32.3,33.75,30.7,33.75,916
2022-05-13,33.75,35.0,32.1,34.9,221
2022-05-16,33.2,33.2,33.2,33.2,1
2022-05-17,31.55,34.85,31.55,31.55,817
2022-05-18,30.0,31.55,30.0,31.55,16
2022-05-19,30.0,30.0,30.0,30.0,601
2022-05-20,30.0,30.0,28.5,28.5,251
2022-05-23,29.1,29.55,27.1,27.1,1723
2022-05-24,27.65,27.65,25.75,25.75,269
2022-05-25,25.75,25.75,24.5,24.5,198
2022-05-26,23.3,23.3,23.3,23.3,188
2022-05-27,22.15,22.15,22.15,22.15,266
2022-05-30,21.05,21.05,21.05,21.05,525
2022-05-31,20.0,22.1,20.0,20.0,5508
2022-06-01,20.0,21.0,19.0,19.0,4639
2022-06-02,19.4,19.95,18.05,18.1,16122
2022-06-03,18.5,19.0,17.3,18.75,843
2022-06-06,19.15,19.65,17.85,19.65,383
2022-06-07,20.6,20.6,20.5,20.5,315
2022-06-08,20.5,20.5,19.5,20.5,260
2022-06-09,20.95,21.5,19.85,20.05,1925
2022-06-10,19.85,20.95,19.1,19.1,927
2022-06-13,19.1,20.0,18.15,20.0,1262
2022-06-14,21.0,21.0,20.1,21.0,2125
2022-06-15,22.0,22.05,20.2,22.0,3125
2022-06-16,23.05,23.1,20.9,20.9,11702
2022-06-17,21.9,21.9,19.9,20.8,8972
2022-06-20,21.8,21.8,19.8,19.8,4887
2022-06-21,18.9,20.75,18.85,20.75,1268
2022-06-22,21.4,21.4,21.4,21.4,1000
2022-06-23,22.0,22.0,20.4,20.5,1425
2022-06-24,19.55,21.5,19.5,21.45,932
2022-06-27,21.0,22.0,20.4,22.0,1271
2022-06-28,23.05,23.1,21.05,23.1,3611
2022-06-29,23.95,24.15,23.0,23.8,520
2022-06-30,24.15,24.95,24.1,24.3,2086
2022-07-01,24.9,25.5,24.9,25.5,581
2022-07-04,26.75,26.75,24.25,25.55,3839
2022-07-05,25.55,26.8,24.3,25.95,388
2022-07-06,26.05,27.2,26.05,26.5,1411
2022-07-07,27.8,27.8,25.2,27.6,3335
2022-07-08,27.6,28.85,26.25,28.4,2248
2022-07-11,28.9,29.75,27.0,28.65,3048
2022-07-12,28.0,29.95,27.3,28.15,3108
2022-07-13,29.0,29.0,26.9,28.85,3886
2022-07-14,28.85,29.0,27.9,28.95,1920
2022-07-15,28.95,28.95,28.8,28.85,594
2022-07-18,28.85,28.85,27.45,28.8,3617
2022-07-19,28.8,28.8,27.45,28.8,2302
2022-07-20,27.9,28.8,27.9,28.8,1918
2022-07-21,29.4,29.4,29.35,29.4,514
2022-07-22,29.4,29.4,29.4,29.4,8
2022-07-25,29.4,29.4,27.95,28.4,3200
2022-07-26,28.4,28.4,28.0,28.35,2025
2022-07-27,27.5,28.35,27.0,27.05,1490
2022-07-28,26.5,27.05,25.8,27.05,702
2022-07-29,26.2,27.05,25.7,26.05,1242
2022-08-01,26.05,26.05,26.05,26.05,1250
2022-08-02,24.75,27.3,24.75,27.3,1953
2022-08-03,28.5,28.5,26.1,26.2,2432
2022-08-04,24.9,27.45,24.9,27.0,136
2022-08-05,28.15,28.15,25.65,27.75,218
2022-08-08,27.8,27.8,26.4,26.4,1503
2022-08-10,26.0,27.5,25.1,25.1,1560
2022-08-11,25.1,26.0,23.85,26.0,3974
2022-08-12,24.7,24.7,24.7,24.7,576
2022-08-16,25.9,25.9,23.5,25.7,1126
2022-08-17,25.7,25.7,25.7,25.7,54
2022-08-18,25.7,26.95,25.7,26.65,848
2022-08-19,26.15,26.95,25.35,26.75,2213
2022-08-22,26.75,28.0,26.75,27.5,353
2022-08-23,28.0,28.05,26.15,26.35,844
2022-08-24,27.15,27.5,27.15,27.5,336
2022-08-25,28.75,28.75,28.4,28.7,361
2022-08-26,28.15,29.0,28.15,28.75,1901
2022-08-29,29.35,30.1,27.35,28.7,1796
2022-08-30,30.0,30.0,27.5,29.35,1574
2022-09-01,29.95,29.95,27.9,29.6,1612
2022-09-02,29.35,29.35,29.0,29.1,1018
2022-09-05,28.2,29.9,28.2,29.05,414
2022-09-06,29.0,29.0,27.65,28.35,202
2022-09-07,28.45,29.75,28.45,29.75,110
2022-09-08,29.0,30.1,28.5,29.5,2609
2022-09-09,30.2,30.2,29.0,29.0,11
2022-09-12,29.0,29.95,28.1,29.45,852
2022-09-13,30.35,30.35,28.9,29.1,1305
2022-09-14,27.65,29.0,27.65,28.1,104
2022-09-15,26.7,28.95,26.7,28.35,347
2022-09-16,28.95,29.75,27.0,29.25,4978
2022-09-19,29.25,30.7,27.8,30.7,7114
2022-09-20,29.2,30.5,29.2,30.5,1903
