Datetime,Open,High,Low,Close,Volume
2020-08-19,0.69,0.69,0.69,0.69,600
2020-08-20,0.72,0.72,0.72,0.72,76
2020-08-21,0.75,0.75,0.75,0.75,10656
2020-08-24,0.78,0.78,0.78,0.78,4657
2020-08-25,0.81,0.81,0.81,0.81,1196
2020-08-26,0.85,0.85,0.85,0.85,1000
2020-08-27,0.89,0.89,0.89,0.89,6021
2020-08-28,0.93,0.93,0.93,0.93,9779
2020-08-31,0.97,0.97,0.97,0.97,7933
2020-09-01,1.01,1.01,0.93,1.01,8500
2020-09-02,1.06,1.06,1.06,1.06,12390
2020-09-07,1.01,1.11,1.01,1.04,104866
2020-09-14,1.08,1.09,1.0,1.0,43595
2020-09-21,1.0,1.05,0.95,0.95,14880
2020-09-28,0.95,0.95,0.95,0.95,5721
2020-10-05,0.91,0.99,0.91,0.99,17646
2020-10-12,0.99,1.0,0.95,0.97,36230
2020-10-16,0.95,1.0,0.95,0.96,20591
2020-10-19,0.98,0.98,0.98,0.98,10000
2020-10-20,0.96,0.97,0.96,0.96,2500
2020-10-21,0.94,0.94,0.94,0.94,8000
2020-10-22,0.94,0.94,0.9,0.91,1620
2020-10-23,0.88,0.88,0.88,0.88,676
2020-10-26,0.84,0.92,0.84,0.92,63425
2020-10-27,0.95,0.96,0.95,0.96,40478
2020-10-28,0.97,0.97,0.97,0.97,8000
2020-10-29,1.01,1.01,1.0,1.0,12200
2020-10-30,0.95,0.95,0.95,0.95,1458
2020-11-09,0.95,0.99,0.91,0.99,56714
2020-11-17,1.03,1.03,0.95,1.03,90143
2020-11-23,1.03,1.08,0.98,1.08,8000
2020-12-01,1.04,1.05,1.03,1.05,61000
2020-12-07,1.0,1.1,1.0,1.05,333004
2020-12-14,1.0,1.1,1.0,1.1,129499
2020-12-16,1.1,1.1,1.05,1.05,3600
2020-12-18,1.05,1.05,1.0,1.0,1100
2020-12-21,0.95,0.95,0.95,0.95,1150
2020-12-22,0.91,0.91,0.91,0.91,1000
2020-12-23,0.87,0.87,0.87,0.87,1600
2020-12-24,0.83,0.87,0.83,0.85,48457
2020-12-28,0.81,0.81,0.81,0.81,4939
2020-12-29,0.77,0.81,0.77,0.77,12100
2020-12-30,0.74,0.74,0.74,0.74,900
2020-12-31,0.73,0.74,0.73,0.74,539
2021-01-01,0.74,0.74,0.74,0.74,907
2021-01-04,0.77,0.77,0.77,0.77,1288
2021-01-05,0.75,0.75,0.74,0.74,4002
2021-01-06,0.77,0.77,0.77,0.77,1000
2021-01-07,0.8,0.8,0.77,0.77,185
2021-01-08,0.8,0.8,0.77,0.8,6296
2021-01-11,0.84,0.84,0.84,0.84,3832
2021-01-12,0.88,0.88,0.88,0.88,4607
2021-01-13,0.92,0.92,0.92,0.92,12230
2021-01-14,0.96,0.96,0.96,0.96,5654
2021-01-15,1.0,1.0,1.0,1.0,3532
2021-01-18,1.05,1.05,1.05,1.05,3733
2021-01-19,1.1,1.1,1.1,1.1,908
2021-01-20,1.15,1.15,1.15,1.15,5610
2021-01-21,1.2,1.2,1.1,1.2,209700
2021-01-22,1.17,1.26,1.17,1.26,32410
2021-02-01,1.2,1.2,1.2,1.2,11300
2021-02-08,1.26,1.26,1.14,1.14,11550
2021-02-15,1.09,1.09,1.09,1.09,5000
2021-02-22,1.04,1.04,1.04,1.04,90
2021-03-01,0.99,0.99,0.99,0.99,26100
2021-03-08,0.95,0.95,0.95,0.95,1001
2021-03-09,0.91,0.91,0.91,0.91,50
2021-03-10,0.87,0.87,0.87,0.87,6598
2021-03-12,0.83,0.9,0.83,0.83,156736
2021-03-15,0.79,0.79,0.79,0.79,4861
2021-03-16,0.76,0.76,0.76,0.76,10130
2021-03-17,0.73,0.73,0.73,0.73,1008
2021-03-18,0.7,0.7,0.7,0.7,1168
2021-03-19,0.67,0.73,0.67,0.67,27693
2021-03-22,0.7,0.7,0.64,0.64,4058
2021-03-23,0.61,0.64,0.61,0.61,7083
2021-03-24,0.63,0.64,0.59,0.61,23343
2021-03-25,0.6,0.64,0.58,0.58,13277
2021-03-26,0.6,0.6,0.6,0.6,1802
2021-03-30,0.63,0.63,0.61,0.61,12569
2021-03-31,0.58,0.64,0.58,0.58,16920
2021-04-01,0.56,0.57,0.56,0.57,4300
2021-04-05,0.58,0.59,0.58,0.59,2111
2021-04-06,0.61,0.61,0.61,0.61,5130
2021-04-07,0.64,0.64,0.64,0.64,5099
2021-04-08,0.67,0.67,0.67,0.67,4732
2021-04-09,0.7,0.7,0.7,0.7,1688
2021-04-12,0.73,0.73,0.73,0.73,213
2021-04-13,0.76,0.76,0.76,0.76,12682
2021-04-15,0.79,0.79,0.74,0.76,18720
2021-04-16,0.79,0.79,0.79,0.79,3019
2021-04-19,0.82,0.82,0.77,0.82,6885
2021-04-20,0.85,0.85,0.78,0.78,18563
2021-04-22,0.81,0.81,0.75,0.81,47614
2021-04-23,0.77,0.85,0.77,0.78,61497
2021-04-26,0.78,0.81,0.78,0.81,14117
2021-04-27,0.8,0.85,0.8,0.85,18491
2021-04-28,0.88,0.89,0.85,0.89,33706
2021-04-29,0.93,0.93,0.86,0.91,13950
2021-04-30,0.95,0.95,0.95,0.95,4310
2021-05-03,0.99,0.99,0.99,0.99,11215
2021-05-04,1.03,1.03,1.03,1.03,17652
2021-05-05,1.08,1.08,1.08,1.08,9450
2021-05-06,1.13,1.13,1.13,1.13,8210
2021-05-07,1.18,1.18,1.18,1.18,2200
2021-05-10,1.13,1.2,1.13,1.2,82571
2021-05-11,1.14,1.26,1.14,1.2,135300
