Datetime,Open,High,Low,Close,Volume
2026-07-06,130.0,136.5,130.0,136.49,8282259
2026-07-07,131.0,133.0,129.67,129.67,121969
2026-07-08,123.19,123.19,123.19,123.19,45236
2026-07-09,117.04,117.04,117.04,117.04,342469
2026-07-10,122.89,122.89,122.88,122.88,957677
2026-07-13,129.02,129.02,129.01,129.01,813673
2026-07-14,135.45,135.46,135.45,135.45,1138381
2026-07-15,128.68,132.74,128.68,128.68,226561
2026-07-16,122.25,122.25,122.25,122.25,58053
2026-07-17,116.14,127.45,116.14,116.14,1010965
2026-07-20,115.0,122.0,105.33,107.55,4800531
2026-07-21,117.92,129.06,115.5,129.05,10338553
2026-07-22,140.01,140.01,103.24,103.24,18345174
