Datetime,Open,High,Low,Close,Volume
2011-06-01,23.24,23.24,23.03,23.11,2091210
2011-06-02,22.92,23.21,22.82,23.0,938800
2011-06-03,22.68,23.8,22.68,22.73,896915
2011-06-06,22.78,22.94,22.14,22.55,2283785
2011-06-07,22.84,23.21,22.74,23.17,9833675
2011-06-08,22.81,23.09,22.44,22.57,2411695
2011-06-09,22.45,22.79,22.45,22.51,1161280
2011-06-10,22.42,22.7,22.2,22.28,3036305
2011-06-13,22.15,22.34,21.52,22.24,4648285
2011-06-14,22.0,22.63,21.9,22.56,2152195
2011-06-15,22.39,22.6,22.22,22.3,1240020
2011-06-16,22.0,22.67,22.0,22.25,2098655
2011-06-17,22.16,22.54,21.87,21.99,2400890
2011-06-20,22.1,22.15,21.2,21.54,1836165
2011-06-21,21.7,21.84,21.44,21.51,1956425
2011-06-22,21.76,21.78,21.36,21.45,1063745
2011-06-23,21.32,22.08,21.17,22.0,6005435
2011-06-24,22.2,22.4,21.96,22.19,5449415
2011-06-27,22.35,22.6,21.96,22.06,5124660
2011-06-28,22.0,22.38,21.83,21.99,3278980
2011-06-29,22.18,22.26,21.95,22.02,2674265
2011-06-30,22.06,22.06,21.9,21.99,3309460
2011-07-01,22.01,22.06,21.86,21.95,2681920
2011-07-04,22.05,22.25,21.94,21.98,2452555
2011-07-05,22.04,22.39,21.96,22.05,3001565
2011-07-06,22.02,22.25,21.93,21.99,6314715
2011-07-07,22.16,22.26,22.01,22.11,1746295
2011-07-08,22.15,22.24,21.78,21.82,1549740
2011-07-11,21.8,21.89,21.5,21.57,1640270
2011-07-12,21.43,21.9,21.4,21.8,3500745
2011-07-13,21.6,22.16,21.51,22.02,2162650
2011-07-14,21.99,22.45,21.89,22.37,5107830
2011-07-15,22.5,22.96,22.21,22.73,32087660
2011-07-18,22.95,23.04,22.58,22.65,3809130
2011-07-19,22.74,22.98,22.58,22.68,1496445
2011-07-20,22.5,22.87,22.3,22.35,1302035
2011-07-21,22.45,22.7,22.24,22.56,1710865
2011-07-22,22.62,22.86,22.45,22.57,1404465
2011-07-25,22.6,23.16,22.39,22.78,5388020
2011-07-26,22.7,23.04,22.43,22.82,2993675
2011-07-27,22.89,22.9,22.54,22.61,10863635
2011-07-28,22.61,22.7,22.32,22.48,6409170
2011-07-29,22.41,22.69,18.73,19.83,56820235
2011-08-01,20.8,21.22,19.96,20.65,27621145
2011-08-02,20.85,21.18,20.24,20.58,13227845
2011-08-03,20.0,20.51,19.91,20.2,8080325
2011-08-04,20.6,20.7,18.42,18.75,73097570
2011-08-05,18.2,18.4,17.8,18.07,13151010
2011-08-08,18.07,18.56,17.08,18.28,13806120
2011-08-09,17.62,18.49,17.3,18.35,15308145
2011-08-10,18.4,19.0,18.4,18.81,8921375
2011-08-11,18.59,18.9,18.2,18.76,3999670
2011-08-12,18.8,19.07,18.7,18.83,3087165
2011-08-16,18.62,18.83,17.4,17.81,4551580
2011-08-17,17.8,18.28,17.22,18.0,8093475
2011-08-18,18.02,18.15,16.72,17.19,11971080
2011-08-19,17.1,17.1,16.51,16.91,6803940
2011-08-22,16.88,17.3,16.67,16.92,5293735
2011-08-23,17.11,18.36,16.77,17.91,4904555
2011-08-24,17.98,18.22,17.64,17.84,4012470
2011-08-25,17.6,18.74,17.06,18.17,8113475
2011-08-26,18.06,18.06,17.0,17.18,4080755
2011-08-29,17.0,18.3,17.0,17.9,2785955
2011-08-30,18.18,18.67,17.9,18.31,2211760
2011-09-02,18.41,18.57,17.63,17.78,2730975
2011-09-05,17.6,18.33,17.3,17.85,2903805
2011-09-06,17.82,17.98,17.4,17.62,1803075
2011-09-07,17.79,18.96,17.69,18.81,7199740
2011-09-08,18.7,18.72,18.08,18.37,4203700
2011-09-09,18.4,18.5,17.65,17.69,3480580
2011-09-12,17.4,17.4,16.52,16.76,4212680
2011-09-13,16.8,17.15,16.68,16.83,3819640
2011-09-14,16.95,16.95,16.41,16.81,2552035
2011-09-15,16.86,17.26,16.74,17.14,2698645
2011-09-16,17.3,17.5,17.06,17.32,1930295
2011-09-19,17.25,17.57,17.05,17.2,1279495
2011-09-20,17.2,17.65,17.2,17.56,2026560
2011-09-21,17.6,17.88,17.54,17.77,1935065
2011-09-22,17.12,17.55,16.02,16.76,3046130
2011-09-23,16.6,17.17,16.3,16.91,1559855
2011-09-26,16.99,17.28,16.75,16.97,921285
2011-09-27,17.12,17.4,17.12,17.32,915800
2011-09-28,17.41,17.43,16.6,16.69,1750735
2011-09-29,16.7,17.88,16.41,17.59,5845515
2011-09-30,17.49,17.49,16.88,17.08,1763510
2011-10-03,17.0,17.0,16.66,16.8,1047880
