Datetime,Open,High,Low,Close,Volume
2021-06-04,31.68,33.23,31.28,32.88,144276
2021-06-07,33.45,34.75,32.65,33.95,187100
2021-06-08,34.38,34.85,33.17,33.8,74610
2021-06-09,34.38,34.63,33.2,33.45,43486
2021-06-10,34.15,34.15,32.55,32.88,42802
2021-06-11,33.2,33.6,32.33,32.78,18372
2021-06-14,34.0,34.25,32.25,33.15,30762
2021-06-15,34.35,34.35,32.55,32.67,27026
2021-06-16,33.5,33.5,31.7,31.9,31746
2021-06-17,32.55,33.7,31.4,31.83,143134
2021-06-18,33.33,34.5,32.38,33.53,313202
2021-06-21,33.45,34.0,31.78,32.8,173980
2021-06-22,32.8,34.5,32.73,32.92,160826
2021-06-23,33.6,33.95,32.63,33.28,60984
2021-06-24,33.25,33.45,32.6,32.83,24862
2021-06-25,32.53,33.5,32.53,32.78,36680
2021-06-28,32.78,36.0,32.78,34.17,545800
2021-06-29,34.98,35.0,34.08,34.5,97876
2021-06-30,35.4,35.4,33.53,33.95,39784
2021-07-01,34.5,34.88,33.2,33.38,72342
2021-07-02,33.63,34.17,33.4,33.63,23460
2021-07-05,33.25,34.35,33.25,33.75,31614
2021-07-06,34.25,34.98,33.6,34.05,65300
2021-07-07,34.75,34.88,34.15,34.45,28552
2021-07-08,34.9,34.9,33.6,33.83,24100
2021-07-09,34.67,34.73,33.63,33.67,42620
2021-07-12,33.67,34.17,33.25,33.55,42028
2021-07-13,34.0,34.98,33.55,34.67,86088
2021-07-14,34.5,34.6,33.55,33.92,50738
2021-07-15,33.92,34.45,33.13,33.23,43770
2021-07-16,33.92,36.53,33.2,35.98,541364
2021-07-19,35.5,39.35,34.28,38.35,660784
2021-07-20,39.0,39.25,36.0,37.23,245492
2021-07-22,38.23,38.23,36.5,36.65,103644
2021-07-23,36.08,36.38,34.1,34.63,130200
2021-07-26,35.85,35.85,34.0,35.35,65972
2021-07-27,35.85,37.48,35.0,36.23,149082
2021-07-28,36.0,37.48,35.42,36.38,95178
2021-07-29,37.35,37.35,35.95,36.1,50076
2021-07-30,36.35,36.7,35.73,36.25,22504
2021-08-02,36.98,37.0,36.05,36.25,71884
2021-08-03,36.88,39.13,36.03,38.05,436354
2021-08-04,37.73,40.35,37.15,39.45,741368
2021-08-05,39.88,42.0,37.53,38.08,948878
2021-08-06,38.48,42.98,38.15,40.98,1361940
2021-08-09,41.4,48.95,40.75,42.6,2019062
2021-08-10,42.6,42.98,36.3,36.9,519052
2021-08-11,37.35,37.35,31.05,34.67,665870
2021-08-12,35.2,37.35,35.08,36.9,202542
2021-08-13,37.5,39.48,36.3,36.55,134100
2021-08-16,36.0,36.48,34.55,34.85,46358
2021-08-17,34.98,35.3,32.9,34.28,117176
2021-08-18,34.25,37.67,33.5,35.38,183040
2021-08-20,35.5,36.85,33.45,36.25,151416
2021-08-23,37.4,37.4,33.9,34.5,101026
2021-08-24,34.53,35.5,34.28,35.13,40306
2021-08-25,35.13,36.5,34.23,34.88,48672
2021-08-26,35.45,35.67,34.7,34.85,17514
2021-08-27,35.35,35.4,34.55,34.67,16016
2021-08-30,34.5,34.98,33.58,34.38,44458
2021-08-31,34.13,34.75,33.55,33.7,43760
2021-09-01,33.78,35.1,33.53,33.88,51408
2021-09-02,34.0,35.08,34.0,34.75,41538
2021-09-03,34.75,35.23,34.25,34.4,21982
2021-09-06,34.88,35.23,34.0,34.55,17470
2021-09-07,34.95,34.95,33.55,33.8,32478
2021-09-08,33.75,34.28,33.1,33.58,25438
2021-09-09,33.95,36.75,33.5,35.8,145282
2021-09-13,36.5,36.9,35.5,35.6,68360
2021-09-14,35.4,36.0,35.1,35.4,16692
2021-09-15,35.0,41.33,34.85,38.63,342134
2021-09-16,39.4,39.8,37.83,38.08,49092
2021-09-17,37.3,38.95,36.5,36.92,27764
2021-09-20,37.95,42.35,37.95,39.08,630408
2021-09-21,39.75,40.98,38.5,39.5,201970
2021-09-22,39.88,46.13,39.5,43.65,1090872
2021-09-23,45.93,45.93,42.03,42.43,232990
2021-09-24,43.45,44.45,40.83,41.08,103842
2021-09-27,41.0,46.0,41.0,42.9,433340
2021-09-28,42.98,43.83,41.53,42.38,115624
2021-09-29,42.8,43.05,38.8,41.05,154668
2021-09-30,41.75,42.25,41.0,41.23,52808
2021-10-01,41.88,43.0,41.13,42.15,93936
2021-10-04,43.05,43.4,41.13,41.4,100582
2021-10-05,41.75,42.13,41.0,41.23,46592
2021-10-06,42.1,42.1,40.0,40.23,50070
2021-10-07,40.4,41.98,40.38,41.08,78836
2021-10-08,41.83,43.5,41.13,41.65,364564
2021-10-11,42.05,42.6,40.73,41.65,88350
2021-10-12,41.95,43.75,39.4,40.7,241452
2021-10-13,40.73,41.5,39.9,40.28,72230
2021-10-14,40.1,42.1,40.05,41.68,162848
2021-10-18,41.75,42.43,40.53,41.05,88586
2021-10-19,42.0,42.13,40.0,40.48,50492
2021-10-20,40.0,41.5,38.75,39.08,61200
2021-10-21,39.65,40.05,38.55,38.7,23894
2021-10-22,39.7,39.83,37.55,38.15,39256
2021-10-25,38.8,38.85,37.13,37.5,39868
2021-10-26,37.6,38.23,37.23,37.55,27454
2021-10-27,38.2,40.05,37.6,37.83,52202
2021-10-28,38.2,38.35,37.23,37.63,16802
2021-10-29,37.63,37.63,35.53,36.38,46618
2021-11-01,36.38,37.53,36.38,37.13,14808
2021-11-02,37.08,38.73,37.08,38.28,23358
2021-11-03,38.0,38.67,37.58,38.1,6688
2021-11-04,38.38,39.28,38.13,38.9,12874
2021-11-08,38.7,40.92,38.5,38.9,93666
2021-11-09,39.28,41.45,38.58,40.5,64930
2021-11-10,41.23,41.5,40.08,40.23,39106
2021-11-11,40.03,40.88,39.63,39.8,16802
2021-11-12,39.53,41.1,37.65,39.1,32628
2021-11-15,41.15,41.15,38.6,39.05,27808
2021-11-16,39.98,41.13,39.53,40.15,100660
2021-11-17,40.42,40.42,39.25,39.67,14150
2021-11-18,39.05,39.83,38.0,38.23,19890
2021-11-22,39.92,39.92,37.08,37.38,17470
2021-11-23,37.08,38.53,37.08,38.2,28648
2021-11-24,38.5,41.45,38.3,39.98,126270
2021-11-25,40.7,40.7,38.03,39.08,50734
2021-11-26,39.08,39.95,37.78,38.75,52354
2021-11-29,38.73,39.83,38.5,39.4,80590
2021-11-30,39.4,39.85,38.58,39.5,43108
2021-12-01,39.5,40.17,38.78,39.98,38532
2021-12-02,39.13,40.35,39.13,40.0,134750
2021-12-03,40.0,40.45,39.28,39.5,27934
2021-12-06,39.5,39.5,37.5,37.83,17912
2021-12-07,38.53,39.0,38.3,38.48,9860
2021-12-08,39.42,39.42,38.15,38.55,140172
2021-12-09,39.23,40.5,38.8,39.9,111258
2021-12-10,39.95,40.3,39.23,39.28,17352
2021-12-13,39.28,39.9,39.08,39.45,16440
2021-12-14,38.5,39.45,38.4,38.7,22054
2021-12-15,38.7,39.5,38.4,39.03,19374
2021-12-16,39.75,39.75,37.42,39.05,37780
2021-12-17,39.48,39.48,37.92,38.03,15684
2021-12-20,38.5,38.5,36.0,38.05,65626
