Datetime,Open,High,Low,Close,Volume
2026-07-03,22.0,22.0,20.9,20.9,269259
2026-07-06,19.86,19.86,19.86,19.86,47942
2026-07-07,18.87,18.87,18.87,18.87,43115
2026-07-08,17.93,17.93,17.93,17.93,74333
2026-07-09,17.04,17.04,17.04,17.04,49444
2026-07-10,16.19,16.19,16.19,16.19,89437
2026-07-13,15.39,15.5,15.39,15.39,8367252
2026-07-14,14.63,14.63,14.63,14.63,1034537
2026-07-15,13.9,14.63,13.9,13.9,8086905
2026-07-16,13.52,14.37,13.21,13.21,2700362
2026-07-17,12.46,12.74,12.03,12.59,12690614
2026-07-20,12.6,13.18,12.25,12.9,6825818
2026-07-21,13.02,13.2,12.61,13.1,5005195
2026-07-22,13.1,13.5,12.83,13.2,3521518
2026-07-23,13.14,13.14,12.61,12.7,2473731
2026-07-24,12.56,12.75,12.21,12.58,2678802
2026-07-27,12.58,12.77,12.25,12.3,2310534
2026-07-28,12.27,12.58,12.16,12.43,1189536
2026-07-29,12.4,12.53,12.25,12.48,912373
2026-07-30,12.21,12.5,12.1,12.19,1333055
2026-07-31,12.26,12.35,12.15,12.23,901226
2026-08-03,12.1,12.55,12.1,12.46,1465955
2026-08-04,12.24,13.6,12.24,13.27,3257640
2026-08-05,13.6,13.69,13.06,13.15,1493237
2026-08-06,13.29,14.46,13.12,14.46,12134338
2026-08-07,14.47,14.63,13.56,13.84,5613366
2026-08-10,13.85,13.98,13.26,13.71,3548945
2026-08-11,13.37,13.9,13.32,13.58,1696722
2026-08-12,13.99,15.9,13.71,14.59,17463534
2026-08-13,14.81,15.01,14.45,14.83,3635861
2026-08-14,14.95,15.19,14.5,14.91,2095582
2026-08-17,14.75,14.96,13.75,14.01,3835064
2026-08-18,14.0,14.01,13.03,13.25,3444947
2026-08-19,13.25,13.5,13.05,13.12,2613507
2026-08-20,13.19,13.3,12.64,12.73,3024664
2026-08-21,13.18,13.4,12.64,13.12,8593909
2026-08-24,13.13,14.2,13.13,13.86,9094846
2026-08-25,13.92,14.5,13.8,14.07,5444136
2026-08-26,14.0,14.48,13.91,14.32,2718989
2026-08-27,14.22,14.85,14.22,14.34,2786057
2026-08-28,14.33,14.6,13.95,14.03,1366639
2026-08-31,14.05,14.5,13.82,13.83,2415944
2026-09-01,13.85,13.93,13.51,13.59,3355300
2026-09-02,13.56,13.95,13.28,13.79,1532028
2026-09-03,13.79,13.83,13.52,13.66,1278727
2026-09-04,13.61,13.97,13.61,13.65,978529
2026-09-07,13.6,13.71,13.46,13.58,8294166
2026-09-08,13.57,16.23,13.55,16.02,54467549
2026-09-09,15.73,16.38,15.32,15.55,7575417
2026-09-10,15.85,16.1,15.05,15.51,3759448
2026-09-11,15.32,15.69,15.0,15.13,3154038
2026-09-15,15.14,15.23,14.01,14.23,2608653
2026-09-16,14.23,14.26,13.63,14.03,2126782
2026-09-17,14.0,14.2,13.75,13.88,2074548
2026-09-18,13.94,14.11,13.56,13.8,1221013
2026-09-21,13.87,14.26,13.62,13.81,1690058
2026-09-22,13.7,14.25,13.7,13.94,1471915
2026-09-23,14.05,14.39,13.84,14.22,1464781
2026-09-24,14.49,14.6,13.61,13.68,1874610
